UPTIMENANO,Gx,Gy,Gz
351714524881764,0.08188607,0.20966436,0.11056499
351714534809957,0.07602712,0.09088738,0.1654261
351714544738150,0.015307044,-0.016171694,0.20057984
351714554666340,-0.117318384,-0.2361488,0.21868932
351714564594533,-0.2334322,-0.49500808,0.24159251
351714574522726,-0.22597535,-0.43322274,0.25064728
351714584456761,-0.15460263,-0.15039502,0.23200513
351714594384954,-0.12584049,0.02803678,0.19898194
351714604313275,-0.11998154,0.07757157,0.20484088
351714614241593,-0.08322992,0.11538846,0.23200513
351714624169786,-0.020379314,0.16971695,0.23040724
351714634098107,0.04353655,0.18622854,0.18779665
351714644026297,0.08881029,0.12817164,0.12973975
351714653954618,0.107452415,0.022710457,0.08233549
351714663882811,0.108517684,-0.093936004,0.055171236
351714673811129,0.08987556,-0.1914077,0.040790167
351714683739322,0.078690276,-0.27822676,0.042388063
351714693667643,0.12396402,-0.34746894,0.05836703
351714703598544,0.22090308,-0.36770898,0.07913969
351714713526865,0.3402127,-0.3735679,0.09831445
351714723455058,0.4312928,-0.36185002,0.12121764
351714733383376,0.45739177,-0.32616365,0.15264294
351714743311697,0.41211805,-0.26331306,0.17341559
351714753239890,0.30772212,-0.2079193,0.15903452
351714763168208,0.19427148,-0.20365824,0.13400081
351714773096401,0.13248613,-0.23135512,0.10949973
351714783024722,0.13408403,-0.2654436,0.07168284
351714792953637,0.16231354,-0.31657627,0.02001751
351714802881958,0.17509672,-0.31923944,-0.04443099
351714812810279,0.14100826,-0.31284785,-0.09769421
351714822738469,0.07442922,-0.44387537,-0.14030479
351714832666790,0.022763897,-0.73842096,-0.20848171
351714842595111,0.04726498,-1.1405584,-0.29210496
351714852523429,0.1633788,-1.5347062,-0.38744614
351714862451622,0.29760212,-1.6774516,-0.46201465
351714872379943,0.36737692,-1.5916978,-0.37839139
351714882300099,0.28002524,-1.2726512,-0.16640377
351714892228292,0.10372399,-0.8806338,-0.11953213
351714902156485,0.07123342,-0.5365534,-0.3437703
351714912084675,0.21557677,-0.19673403,-0.5232673
351714922012868,0.34074533,-0.1882119,-0.72034127
351714931941061,0.40359592,-0.47956175,-1.0234091
351714941869251,0.49520868,-0.81085896,-1.3499126
351714951797444,0.6038656,-1.0702509,-1.6098372
351714961725509,0.6933479,-1.2225838,-1.7515173
351714971653699,0.7865585,-1.2667922,-1.7520499
351714981581892,0.84355015,-1.2247143,-1.6247509
351714991510085,0.8083964,-1.1522763,-1.4212854
351715001425938,0.56391823,-0.9669202,-1.1778724
351715011354003,0.029688114,-0.28994468,-0.7618866
351715021282068,-0.6110685,0.5153953,-0.28038704
351715031210130,-1.0877743,1.2754614,-0.2031554
351715041138195,-1.1735281,0.9233916,-0.2713323
351715051066260,-0.9237236,0.60221434,-0.22179753
351715060994322,-0.5455547,0.3263108,-0.1999596
351715070922387,-0.14128682,0.016851503,-0.2015575
351715080850452,0.2922758,-0.18182032,-0.07159523
351715090781598,0.6177141,-0.4422775,0.2463862
351715100709663,0.75619847,-0.7778357,0.4855381
351715110637728,0.7982764,-1.0569351,0.48394018
351715120565918,0.7599269,-1.1943542,0.29432312
351715130493983,0.599072,-1.1884953,-0.020462537
351715140422176,0.34287587,-1.0137919,-0.28198496
351715150350238,0.23688206,-0.7932821,-0.2777239
351715160278431,-0.005998245,-0.62124187,-0.30169234
351715170206496,-0.095480464,-0.34480578,-0.26334283
351715180134686,-0.06512043,-0.074228615,-0.17066483
351715190062751,-0.052337248,0.19155487,-0.18611117
351715199990944,-0.039021444,0.54628795,-0.033245713
351715209918116,-0.11518785,0.62245435,0.0051038084
351715219846181,-0.10986153,0.42697832,-0.20901436
351715229774374,-0.16632055,0.16811906,-0.3885114
351715239702436,-0.345285,-0.16264556,-0.46254727
351715249630501,-0.44914827,-0.41564587,-0.44017673
351715259558694,-0.47205144,-0.43695116,-0.2974313
351715269486756,-0.41079876,-0.3288268,-0.18238275
351715279414949,-0.30959862,-0.14453606,-0.11207528
351715289343014,-0.31812075,0.061059978,-0.1387069
351715299268783,-0.39535242,0.22724123,-0.28890917
351715309196848,-0.4858999,0.30500552,-0.4396441
351715319124913,-0.5657947,0.3273761,-0.5126147
351715329052975,-0.58923054,0.31192976,-0.5024947
351715338981168,-0.49122623,0.19901173,-0.42313248
351715348909233,-0.2957502,-0.12376341,-0.34590083
351715358837295,-0.13169944,-0.470507,-0.3336503
351715368765360,-0.1572658,-0.4193743,-0.3767935
351715378693425,-0.15992895,-0.33308786,-0.39064193
351715388618445,-0.19881111,-0.30432573,-0.34643346
351715398546382,-0.23130168,-0.39380795,-0.30329025
351715408474447,-0.2068006,-0.5919471,-0.29157233
351715418402509,-0.12104681,-0.8806338,-0.3075513
351715428330446,0.0014586062,-1.032434,-0.32512817
351715438258511,0.116507165,-1.0649246,-0.36028188
351715448186573,0.24700207,-1.2145942,-0.4316546
351715458114510,0.36631167,-1.4260492,-0.5056905
351715468042575,0.361518,-1.6135358,-0.5887811
351715477970637,0.29014528,-1.6662663,-0.63405484
