UPTIMENANO,Ax,Ay,Az
351796676957340,-0.15278392,-0.070010185,-1.1777799
351796696957340,-0.4704163,-0.09424622,-0.377969
351796716957341,-0.58766043,-0.212838,0.2183027
351796736957340,-0.7788655,-0.24169576,0.05701192
351796756957340,-0.64115256,-0.4577444,0.02597188
351796776957341,-0.3156539,-0.37257007,0.25915605
351796796957340,-0.0012899396,-0.33637732,0.27826613
351796816957340,-0.15807262,-1.0009242,-0.11489108
351796836957341,0.057484664,-2.5076027,-0.15014447
351796856957340,-0.21516107,-1.0969934,-0.5304001
351796876957340,0.077528924,0.69303805,-0.9031595
351796896957341,-0.2121386,0.4814869,-0.1730754
351796916957340,-0.6861717,-0.86845833,1.0544616
351796936957340,-0.72905636,-1.3632181,1.0747267
351796956957341,-0.13170166,-0.44040734,-0.13390951
351796976957340,0.7963441,0.31234196,-0.37000898
351796996957340,1.2357125,0.02643789,-0.011517628
351797016957341,-1.4140649,-0.09071332,0.064855754
351797036957340,-0.9482028,-0.95104855,0.017220171
351797056957340,-0.49212888,-1.2523615,-0.10973518
351797076957340,-0.30330828,-0.23385666,-0.4924124
351797096957340,0.65548486,0.84482086,-1.2426108
351797116957340,0.17092238,0.1786404,-0.7297751
351797136957340,-0.512784,-0.7810871,0.046004027
351797156957340,-0.6663542,-1.1183914,0.2641765
351797176957340,0.6460144,0.31773034,0.20788547
351797196957340,0.10959364,0.71402156,0.100438535
351797216957340,-1.0047772,0.17425692,0.46032575
351797236957340,-0.048728872,-0.39590442,0.9611973
351797256957340,-0.14962551,-0.74198467,1.1426356
351797276957340,-0.72085536,-0.33313265,0.3293543
351797296957340,-0.6279476,-0.4357708,0.7397375
351797316957340,-1.0044596,-2.366614,1.3892738
351797336957340,-1.8139236,-2.703697,1.2536019
351797356957340,-1.217281,-1.5187653,0.09997931
351797376957340,1.1198509,0.023495514,-0.7076749
351797396957340,2.5473838,-1.341401,1.3036596
351797416957340,0.8016755,1.1194835,0.9150836
351797436957340,0.10265787,1.3234031,-2.9562118
351797456957340,1.6540474,1.9536102,-4.0450363
351797476957340,1.2682128,2.492174,-4.6182675
351797496957340,4.1862636,0.67457664,-4.316855
351797516957340,4.3770356,-1.1161187,-2.9828517
351797536957340,0.8737915,-2.1433866,-0.7248967
351797556957340,-1.212869,-0.5840988,-1.0855557
351797576957340,1.2896765,1.1412982,-4.7719865
351797596957340,3.4973075,0.42190638,-7.3775444
351797616957340,4.1345534,-2.9694126,-8.357149
351797636957340,4.1209164,-5.973521,-6.7009344
351797656957340,3.131254,-5.864012,-2.1395872
351797676957340,1.0802721,-3.768446,4.816474
351797696957340,-0.57343876,-1.9962614,10.041463
351797716957340,0.87548876,-2.6673012,8.944872
351797736957340,4.076404,-4.541617,4.9586797
351797756957340,6.036535,-3.832344,4.368957
351797776957340,1.5105182,-3.4445229,2.9568434
351797796959333,-9.497707,-3.8122158,-7.985922
351797816959333,-5.911279,-0.11879041,-9.457852
351797836959333,5.8720417,2.4136813,6.5748982
351797856959333,5.5891314,-1.3095891,4.8939085
351797876959333,-0.11576551,0.4642292,2.2802174
351797896959333,0.40088314,1.1454347,-0.9470837
351797916959333,2.1353765,-1.6845543,-3.6694808
351797936959333,-0.5517904,-0.20082982,-4.826489
351797956959333,-1.5102347,1.5153656,-5.252332
351797976959333,0.89701,0.85532707,-4.7625256
351797996959333,5.249615,-1.5738232,-2.4041457
351798016959333,4.6412325,-2.8083684,0.5009634
351798036959333,0.6512679,-2.5244184,1.6312257
351798056959333,-0.5854066,-1.2159133,3.0070508
351798076959333,0.5907842,-0.805122,4.0023694
351798096959333,0.0032326397,-1.726539,3.817091
351798116959334,1.2753694,-4.41304,4.774978
351798136959333,3.459122,-7.2010326,6.1657934
351798156959333,2.9110425,-8.519008,5.704373
351798176959334,2.857462,-9.383292,4.681989
351798196959333,0.56218153,-8.950638,3.9705057
351798216959333,-5.617675,-5.9877024,0.5337322
351798236959334,-7.328225,-2.3875568,-3.039254
351798256959333,-6.0909643,-1.204277,-3.3085186
351798276959333,-4.2741337,-1.1802573,-2.4549074
351798296959334,-1.5833153,-2.9105895,-2.2173662
351798316959333,-0.4006267,-3.628734,-0.7665172
351798336959333,-2.5058687,-3.4622629,0.5952971
351798356959334,-1.9417697,-4.499592,2.2401822
351798376959333,4.626895,-4.6766405,2.9891255
351798396959333,6.5416045,-2.372248,2.387896
351798416959334,2.162039,1.1086742,1.0144104
351798436959333,-0.76017183,2.0983508,-2.4271364
351798456959333,1.9703414,1.0965831,-1.5596293
351798476959334,5.406538,2.0680115,2.688205
351798496959333,4.6254826,3.511851,4.1446896
351798516959333,3.4543355,2.117912,2.0936239
351798536959334,1.7494426,1.229284,-0.1171463
351798556959333,1.2098839,0.97761524,1.7698276
351798576959333,0.772769,-1.585282,3.7537937
351798596959334,0.17900077,-1.2785735,1.9459977
351798616959333,0.55221695,2.0698082,0.34812155
351798636959333,1.4497575,3.1161294,-3.1986847
351798656959334,2.5777674,1.0186511,-7.25283
351798676959333,1.2516246,-0.44432443,-6.926331
351798696959333,-1.3861599,-0.25712514,-4.7164607
351798716959334,-2.5559928,0.68012774,-3.4611464
351798736959333,-0.7824836,-0.058668442,-2.494444
351798756959333,0.91547483,-1.4452455,-0.092556514
351798776959334,-0.80348253,-3.1103008,2.2870367
351798796959333,-1.3541625,-2.932298,1.4539486
351798816959333,1.2634568,-2.213162,1.1821343
351798836959334,1.3073249,-0.8134393,-0.050593212
351798856959333,0.29456326,0.44978663,-1.1472138
351798876959333,0.2523426,0.8776887,-0.87856895
351798896959334,0.7813185,1.4544299,-2.1666167
351798916959333,1.9347432,2.0760374,-0.7287415
351798936959333,0.7067247,2.5850272,0.018834904
351798956959334,0.053296722,2.703373,1.28632
351798976959333,0.85658056,1.163026,3.8840818
351798996959333,0.09029616,-1.2173475,-0.6278073
351799016959334,1.4252807,1.8999072,-0.67507744
351799036959333,0.59344256,0.18072543,-0.276139
351799056959333,-0.05009844,-0.42832357,0.569768
351799076959334,1.0240388,0.60443294,0.6277208
351799096959333,1.2319213,0.37241408,-0.11728777
351799116959333,0.94863856,0.119333245,4.419053
