p,time
1016.3743,68657926321817
1016.3556051984481,68658026321817
1016.3442931211453,68658126321817
1016.3274242409321,68658226321817
1016.3088216959342,68658326321817
1016.288339438034,68658426321817
1016.2658289456908,68658526321817
1016.2309881918177,68658626321817
1016.2093348811271,68658726321817
1016.1850171778276,68658826321817
1016.1637110196864,68658926321817
1016.1469370922683,68659026321817
1016.1363710247493,68659126321817
1016.1159397180851,68659226321817
1016.0957291773091,68659326321817
1016.0790649359892,68659426321817
1016.0577826319217,68659526321817
1016.046044261505,68659626321817
1016.0356105505105,68659726321817
1016.0159481709754,68659826321817
1015.9988546629758,68659926321817
1015.9871611635416,68660026321817
1015.9729352128891,68660126321817
1015.952779973921,68660226321817
1015.9363696339007,68660326321817
1015.9233361786196,68660426321817
1015.9023309649946,68660526321817
1015.8901997630568,68660626321817
1015.8719953409999,68660726321817
1015.858195895151,68660826321817
1015.8430701835753,68660926321817
1015.8262271673159,68661026321817
1015.8115506987664,68661126321817
1015.8017486992541,68661226321817
1015.7921219483084,68661326321817
1015.7744482689571,68661426321817
1015.7514620978578,68661526321817
1015.7343344031976,68661626321817
1015.7173595759051,68661726321817
1015.6982007489961,68661826321817
1015.676134393304,68661926321817
1015.6556698301806,68662026321817
1015.635893374006,68662126321817
1015.6198526047773,68662226321817
1015.6053356821707,68662326321817
1015.583690434658,68662426321817
1015.5528267358576,68662526321817
1015.5371695166915,68662626321817
1015.5256272230071,68662726321817
1015.5084000652532,68662826321817
1015.4968647113906,68662926321817
1015.4872128663824,68663026321817
1015.476706715686,68663126321817
1015.4568178880926,68663226321817
1015.438099267017,68663326321817
1015.4204280974079,68663426321817
1015.3998424088187,68663526321817
1015.3806545158587,68663626321817
1015.3671257104842,68663726321817
1015.3492388770595,68663826321817
1015.3268198205565,68663926321817
1015.3122559118616,68664026321817
1015.2925567366568,68664126321817
1015.268664842453,68664226321817
1015.2478661089322,68664326321817
1015.2318593453379,68664426321817
1015.2164222778628,68664526321817
1015.1959477337342,68664626321817
1015.1751432061518,68664726321817
1015.1529108825586,68664826321817
1015.131188134327,68664926321817
1015.1118277513024,68665026321817
1015.0949979373091,68665126321817
1015.0776523180672,68665226321817
1015.0606380563999,68665326321817
1015.0450926626368,68665426321817
1015.0326375273638,68665526321817
1015.0192211759829,68665626321817
1015.0054946274139,68665726321817
1014.9893701823434,68665826321817
1014.9688474522768,68665926321817
