UPTIMENANO,Ax,Ay,Az
81751254348657,-0.3659232,0.33510786,9.534972
81751274203506,-0.24815609,0.053803854,9.420516
81751294058353,0.22975251,-0.42227972,10.093211
81751313908399,0.75639915,-1.0069572,10.93705
81751333763120,0.8174395,-1.3583134,11.038344
81751353617839,0.7263247,-0.7278803,10.57312
81751373472559,0.40841883,-0.12986866,9.330763
81751393327280,-0.03701639,-0.027532991,8.979402
81751413182042,-0.03974315,-0.30465305,9.082338
81751433036634,0.29800063,-0.5041619,9.32652
81751452891355,0.62299734,-0.10125227,9.938149
81751472747684,1.4316331,0.5091802,9.2810755
81751492602404,1.3915676,-0.0035995264,9.949149
81751512457125,1.6739447,0.19047344,10.491006
81751532316664,2.0384698,0.84777176,9.501095
81751552171512,1.1686798,0.50314105,9.101768
81751572026233,0.81359345,-0.24409245,9.398471
81751591881080,0.501509,-1.4418297,10.410506
81751611741677,0.58080345,-1.5953268,11.111638
81751631596654,1.204466,-0.32374582,10.495762
81751651451501,0.91680366,0.07053357,9.980762
81751671306477,-0.16030525,-0.14005834,10.105612
81751691161454,-0.022700714,0.14738077,10.012566
81751711016301,0.1864355,0.35263124,9.700134
81751730872941,0.08641553,0.8361558,9.1169405
81751750727918,-0.015193814,1.3047843,8.760194
81751770582893,-0.08603277,1.0278633,8.751973
81751790437869,-0.002754425,0.8466156,8.579629
81751810292974,-0.038455073,0.54418933,8.96757
81751830146296,-0.26534915,-0.55396533,10.390996
81751850001272,-0.31907395,-0.7910618,10.485139
81751869856121,0.1252061,-0.072471,10.133031
81751889711096,0.6103126,0.1544177,10.190774
81751909570454,0.32596514,-0.02696117,9.888834
81751929425431,-0.2997956,-0.1738146,9.684536
81751949280534,-0.43089712,-0.0921539,9.875542
81751969135510,0.08870449,-0.08998601,10.006257
81751988990487,0.5114232,-0.22064173,10.098333
81752008845462,0.51501137,-0.043271467,9.707797
81752028712062,-0.027800957,0.015938586,9.565153
81752048567295,-1.3042449,-0.14678243,10.027573
81752068422654,-0.6537164,-0.062487062,9.894971
81752088277886,-0.44729844,0.11338712,9.548553
81752108133119,-0.5697588,0.011834501,9.602358
81752127987929,-0.31378722,-0.43035117,9.9157095
81752147843289,-0.24087511,-0.6872721,10.262649
81752167698650,-0.7611604,-0.556275,10.008758
81752187553881,-1.120676,-0.41542992,9.789041
81752207410612,-1.1610031,-0.1408034,9.81505
81752227265973,-0.8437117,-0.09460451,9.76898
81752247121332,-0.84678054,-0.48698333,9.968051
81752266976692,-0.25424272,-0.33288682,9.644201
81752286832053,-0.45290563,0.043504074,9.758227
81752306687540,-1.0059093,-0.18777908,10.459581
81752326536573,-0.8602856,-0.25127152,10.335477
81752346391806,-0.57545066,-0.41815546,10.230865
81752366247037,-0.67664015,0.047058903,9.828219
81752386102269,-0.42977202,0.6169738,9.301969
81752405957502,-1.0000575,-0.91346073,10.044622
81752425813674,-1.9355206,-2.480224,10.867788
81752445669034,-1.4503325,-1.8025755,10.608157
81752465524267,-0.819162,-0.66785234,9.978455
81752485379498,-0.6685256,-0.3411227,9.809777
81752505234779,0.26646757,0.27873462,9.938636
81752525090140,0.12046669,0.019985208,10.217754
81752544945371,-0.5896608,-0.2087075,10.098927
81752564800603,-0.6562524,0.45497665,10.104493
81752584655964,-0.13678928,0.9712495,9.83263
81752604511195,0.23849498,1.2042931,9.370702
81752624361618,0.06964619,0.92621714,9.19241
81752644216723,-0.3062485,0.32954088,9.507439
81752664071954,-0.46954954,0.10580036,9.2495575
81752683927186,0.17691061,0.27267876,9.210179
81752703782291,0.16250107,-0.17300086,9.588924
81752723632737,0.067814335,0.043558322,10.567905
81752743487841,1.0514331,0.38831067,10.027262
81752763342946,2.2889986,-0.3726765,10.057598
81752783198177,2.7491796,-0.8963555,11.396608
81752803053281,2.479569,-0.30349383,10.099752
81752822908386,-0.2318102,-0.28303277,9.075146
81752842763026,-1.346637,0.2606057,8.201385
81752862618130,-0.9860408,0.53973174,7.671732
81752882473235,-1.1058495,0.23036686,7.3778014
81752902328210,-1.0111191,0.19388345,7.925382
81752922174081,-0.6634058,-0.17900822,8.972299
81752942028930,0.04032353,-0.99109775,10.074723
81752961883777,0.513729,-0.6163219,10.467913
81752981738625,0.80059123,-0.411526,10.282896
81753001593474,0.9726184,-0.4076464,10.244333
