UPTIMENANO,Mx,My,Mz
81751234493809,22.438911,15.84678,-27.616161
81751254348657,22.438911,15.84678,-27.916157
81751274203506,22.438911,15.84678,-27.916157
81751294058353,22.438911,15.84678,-27.916157
81751313908399,22.588911,15.84678,-27.616161
81751333763120,23.338913,15.84678,-27.616161
81751353617839,24.088913,15.84678,-27.616161
81751373472559,25.288912,15.84678,-27.616161
81751393327280,25.438911,15.84678,-27.616161
81751413182042,25.738913,15.84678,-27.616161
81751433038244,25.588913,15.84678,-27.616161
81751452892965,25.888912,15.84678,-27.316158
81751472747684,25.588913,15.84678,-27.616161
81751492602404,25.588913,15.84678,-27.616161
81751512457125,25.438911,15.84678,-27.616161
81751532316664,25.138912,15.84678,-27.616161
81751552171512,24.538912,15.696778,-27.766163
81751572026233,23.488913,15.546779,-28.366161
81751591881080,21.388912,14.646779,-28.516163
81751611741677,18.988913,14.196778,-30.616161
81751631596654,19.438911,14.196778,-30.166157
81751651451501,17.788912,13.59678,-30.166157
81751671306477,17.788912,12.696778,-30.166157
81751691161454,17.48891,11.646779,-30.166157
81751711016301,17.188911,11.496779,-30.166157
81751730872941,16.888912,10.59678,-30.166157
81751750727918,16.138912,10.896779,-30.166157
81751770582893,15.238912,11.046779,-30.016163
81751790437869,14.488912,11.046779,-30.016163
81751810292974,13.738912,11.046779,-30.016163
81751830146296,12.538912,11.046779,-30.016163
81751850001272,12.988912,11.34678,-30.166157
81751869856121,13.438911,11.946778,-30.46616
81751889711096,13.588911,13.446778,-30.616161
81751909570454,13.588911,12.84678,-30.766163
81751929425431,13.588911,12.84678,-32.266163
81751949280534,13.588911,13.146779,-31.066158
81751969135510,13.888912,13.146779,-31.066158
81751988990487,13.888912,13.146779,-31.066158
81752008845462,13.888912,13.446778,-31.066158
81752028712062,13.888912,13.59678,-31.066158
81752048567295,13.738912,13.59678,-31.066158
81752068422654,13.738912,13.59678,-31.066158
81752088277886,13.888912,13.146779,-31.066158
81752108133119,14.038912,13.746779,-31.066158
81752127987929,14.188911,14.196778,-31.066158
81752147843289,14.188911,14.646779,-31.066158
81752167698650,14.188911,15.396779,-31.21616
81752187553881,14.188911,14.946778,-31.21616
81752207410612,14.638912,15.246779,-31.21616
81752227265973,14.788912,15.396779,-31.21616
81752247121332,14.488912,15.396779,-31.21616
81752266976692,14.488912,15.396779,-31.21616
81752286832053,14.638912,15.396779,-31.21616
81752306687540,14.638912,15.396779,-31.516163
81752326536573,14.788912,15.396779,-31.516163
81752346391806,14.788912,15.546779,-31.666157
81752366247037,14.788912,15.696778,-32.266163
81752386102269,14.788912,16.29678,-32.266163
81752405957502,14.788912,16.596779,-32.266163
81752425813674,14.788912,16.896778,-32.266163
81752445669034,14.788912,17.196777,-32.266163
81752465524267,14.788912,17.04678,-32.266163
81752485379498,14.638912,17.79678,-32.266163
81752505234779,14.638912,17.646778,-32.266163
81752525090140,14.488912,17.49678,-32.266163
81752544945371,13.888912,17.49678,-32.416157
81752564800603,13.588911,17.196777,-32.416157
81752584655964,10.738912,17.04678,-32.71616
81752604511195,10.588911,16.446777,-32.71616
81752624361618,11.188911,14.946778,-32.416157
81752644216723,11.338911,14.946778,-32.266163
81752664071954,11.188911,14.946778,-32.266163
81752683927186,11.188911,14.946778,-32.266163
81752703782291,10.738912,14.796779,-32.266163
81752723632737,10.138911,14.946778,-32.266163
81752743487841,10.138911,14.946778,-32.266163
81752763342946,9.388911,15.396779,-32.416157
81752783198177,8.338911,15.546779,-32.71616
81752803053281,6.9889116,15.84678,-32.71616
81752822908386,6.9889116,16.29678,-32.416157
81752842763026,7.588911,17.04678,-32.416157
81752862618130,7.588911,15.84678,-32.416157
81752882473235,7.588911,16.74678,-32.416157
81752902328210,8.038911,17.49678,-32.416157
81752922174081,8.338911,18.096779,-32.266163
81752942028930,9.538912,18.24678,-32.416157
81752961883777,11.638911,18.99678,-32.11616
81752981738625,12.988912,20.04678,-31.816158
81753001593474,13.888912,21.24678,-32.11616
81753021450826,14.938911,22.29678,-32.11616
81753041305674,14.188911,22.446781,-32.11616
81753061160523,14.188911,21.99678,-32.11616
81753081015498,14.188911,22.146782,-32.266163
81753100870346,14.188911,22.29678,-32.416157
81753120725195,14.188911,22.896782,-32.416157
81753140580737,14.188911,22.596779,-32.266163
81753160435585,13.888912,22.896782,-32.266163
81753180290434,14.038912,23.196781,-32.266163
81753200145281,13.888912,23.346779,-32.416157
81753220003679,13.588911,23.346779,-32.86616
81753239858656,13.138912,24.396782,-32.86616
81753259713631,12.088911,25.446781,-32.86616
81753279568479,11.488912,26.346779,-32.86616
81753299423456,11.488912,28.596779,-32.86616
81753319279160,11.338911,29.79678,-32.86616
81753339134136,10.588911,32.19678,-32.71616
81753358988985,8.638911,36.24678,-32.11616
