UPTIMENANO,Gx,Gy,Gz
81751224566385,-0.15485494,0.68598217,0.41360295
81751234493810,-0.21610765,0.7903781,0.3763187
81751244421235,-0.3210362,0.85269606,0.34542602
81751254348657,-0.45898792,0.88625187,0.3235881
81751264276082,-0.5932113,0.8899803,0.3155986
81751274203507,-0.7146514,0.86814237,0.30920702
81751284130929,-0.81105787,0.8090202,0.30973965
81751294058354,-0.82597154,0.6849169,0.33264285
81751303985779,-0.7551315,0.5709336,0.3438281
81751313908399,-0.6129187,0.466005,0.3480892
81751323835696,-0.43448684,0.34509748,0.36939445
81751333763121,-0.2683056,0.17998151,0.40721136
81751343690415,-0.13141912,-0.029875588,0.45195246
81751353617840,-0.030751627,-0.16995786,0.49083462
81751363545137,0.0028042037,-0.19872,0.5073462
81751373472559,-0.039806373,-0.1971221,0.51267254
81751383399856,-0.11597279,-0.22215581,0.53291255
81751393327281,-0.18521498,-0.33187807,0.577121
81751403254618,-0.2187708,-0.46503612,0.6176011
81751413182043,-0.22676028,-0.52948457,0.6676685
81751423109340,-0.23634768,-0.5198972,0.73584545
81751433038244,-0.23954347,-0.5417351,0.7976308
81751442965669,-0.2102487,-0.6977964,0.8327845
81751452892966,-0.14047387,-0.90126187,0.850894
81751462820388,-0.06270956,-1.0365505,0.84823084
81751472747685,-0.0062505445,-1.1718391,0.82799083
81751482674982,0.058197957,-1.302334,0.8295887
81751492602404,0.15673491,-1.5473448,0.94730043
81751502529701,0.2787077,-1.4445468,1.0623491
81751512457126,0.39375627,-1.122837,1.0144122
81751522389240,0.46033528,-1.0892811,0.8040224
81751532316665,0.46619424,-1.1057926,0.546761
81751542244090,0.42145315,-1.0946074,0.33424073
81751552171512,0.34848252,-1.122837,0.19202793
81751562098937,0.25740242,-1.1766328,0.11532889
81751572026234,0.18389916,-1.2549297,0.10094782
81751581953656,0.14608227,-1.3342919,0.14409104
81751591881081,0.1434191,-1.2006012,0.23517114
81751601808506,0.17857283,-0.93535036,0.3470239
81751611741677,0.25953296,-0.817106,0.43331033
81751621669102,0.33250356,-0.7180364,0.4476914
81751631596655,0.3761794,-0.6818174,0.39016712
81751641524077,0.39535418,-0.7420049,0.2825754
81751651451502,0.39375627,-0.8650429,0.16220053
81751661379055,0.40813735,-0.9454704,0.080707796
81751671306477,0.45287845,-0.95985144,0.05833725
81751681233902,0.49122795,-1.0051252,0.054608822
81751691161455,0.51679426,-1.1201737,0.039162487
81751701088877,0.56100273,-1.2133844,0.02371615
81751711016302,0.58869964,-1.2884855,0.013063507
81751720943855,0.56632906,-1.3172476,-0.00291546
81751730872941,0.49442378,-1.2251023,-0.025818646
81751740800494,0.36499414,-1.0173757,-0.057776578
81751750727919,0.20413919,-0.7691691,-0.0828103
81751760655469,0.057665322,-0.52042985,-0.092397675
81751770582894,-0.09253697,-0.27115798,-0.097724
81751780510447,-0.2635119,-0.043191392,-0.10677875
81751790437869,-0.43661737,0.14536043,-0.11956192
81751800365422,-0.6043966,0.24869108,-0.1408672
81751810292975,-0.7348915,0.2641374,-0.18667358
81751820218744,-0.73808724,0.24496265,-0.23354521
81751830146297,-0.602266,0.21140681,-0.2511221
81751840073722,-0.41691,0.12725092,-0.23887154
81751850001272,-0.27789298,0.04149713,-0.2101094
81751859928697,-0.19746552,0.007941301,-0.19306517
81751869856122,-0.15378967,0.04788872,-0.19679359
81751879783672,-0.1292886,0.11286985,-0.22875153
81751889711097,-0.09839592,0.18956889,-0.27722105
81751899638650,-0.07922116,0.24389738,-0.31184214
81751909570454,-0.10318961,0.25508264,-0.3246253
81751919498007,-0.15325704,0.24922371,-0.31983164
81751929425432,-0.18255182,0.17518783,-0.27082947
81751939352982,-0.2203687,0.11979407,-0.21437046
81751949280535,-0.22516239,0.09582562,-0.1919999
81751959207960,-0.21184659,0.065465584,-0.19413044
81751969135510,-0.18841077,-0.0037766078,-0.23461048
81751979063063,-0.118635945,-0.05384404,-0.29586318
81751988990488,-0.04886112,-0.055974565,-0.34806114
81751998918038,-0.015305293,-0.049050346,-0.39919385
81752008845463,-0.0067831767,-0.03040822,-0.438076
81752018773016,-0.020631613,0.009006566,-0.48334974
81752028712062,-0.046197962,0.07292243,-0.5142424
81752038639743,-0.053654812,0.12565303,-0.46044654
81752048567296,-0.049393754,0.14163199,-0.35764852
81752058494974,-0.05152428,0.16027412,-0.309179
81752068422655,-0.06963378,0.20128681,-0.3224948
81752078350208,-0.119701214,0.25241947,-0.3358106
81752088277886,-0.20279184,0.3221943,-0.33421272
81752098205439,-0.27736035,0.36267436,-0.3406043
81752108133120,-0.3263625,0.30621535,-0.3603117
81752118060377,-0.34340674,0.18157941,-0.3933349
81752127987930,-0.3146446,0.03404028,-0.43274966
81752137915611,-0.23954347,-0.10124831,-0.48068658
81752147843289,-0.15059388,-0.19179578,-0.5179708
81752157770970,-0.10212435,-0.2168295,-0.5179708
81752167698651,-0.088808544,-0.22322108,-0.50625294
81752177626329,-0.08561275,-0.23706952,-0.47269708
81752187553882,-0.09946119,-0.245059,-0.41517282
81752197481563,-0.12236437,-0.22215581,-0.3539201
81752207410612,-0.14580019,-0.19126314,-0.30864635
81752217338293,-0.17189917,-0.14119571,-0.26763368
81752227265974,-0.22249924,-0.029875588,-0.23940417
81752237193652,-0.27469718,0.14855622,-0.21490309
81752247121333,-0.28055614,0.3898386,-0.17548831
81752257049014,-0.28375193,0.5469651,-0.15524828
81752266976692,-0.3380804,0.50062615,-0.19413044
81752276904373,-0.3711036,0.35575014,-0.2660358
81752286832054,-0.34660253,0.11979407,-0.32036427
81752296759732,-0.27096874,-0.18007787,-0.3459306
81752306687541,-0.15645283,-0.41124028,-0.33953902
81752316615222,-0.07868853,-0.4714277,-0.29905897
81752326536573,-0.09253697,-0.36330336,-0.24100207
81752336464126,-0.13195175,-0.117759906,-0.20105465
81752346391807,-0.14739808,0.1235225,-0.18241252
81752356319357,-0.13834333,0.19436258,-0.1786841
81752366247038,-0.15858336,0.19755839,-0.23461048
81752376174719,-0.23261924,0.075585596,-0.38960645
81752386102269,-0.2784256,-0.14066309,-0.5547224
81752396029950,-0.27789298,-0.31802964,-0.6362152
