UPTIMENANO,Ax,Ay,Az
82084300120284,0.124735564,0.13203517,-0.3355355
82084320120285,0.20432442,-0.08026352,-0.056618817
82084340120284,0.33028102,-0.051061045,-0.049034536
82084360120284,0.44063476,0.23972024,0.39530033
82084380120285,0.37427372,0.2986557,0.76792234
82084400120284,0.43149555,0.46733034,0.32647374
82084420120284,0.3393913,0.42735204,0.39744347
82084440120285,0.14798722,0.041725263,1.1544616
82084460120284,0.11630687,-0.39593133,1.6311159
82084480120284,-0.042615708,-0.7232832,0.5406878
82084500120284,0.17876282,-0.24041003,-0.8320016
82084520120285,0.48237103,-0.0721876,-0.3952477
82084540120284,0.48301807,-0.25364786,0.07345219
82084560120284,0.08100339,-0.016526101,-1.0078052
82084580120285,-0.44024882,0.20719782,-0.81776565
82084600120284,0.2422643,0.27085713,0.011033661
82084620120284,0.5379734,0.22614753,-0.06402207
82084640120285,-0.132195,-0.11798621,-0.008266085
82084660120284,-0.15981819,-0.33850947,0.38254848
82084680120284,0.38152665,-0.74285406,0.53694797
82084700120285,0.7381342,-0.78080636,0.12756613
82084720120284,0.78305507,0.0077298875,-0.078042075
82084740120284,0.43779606,0.68527067,-0.21573384
82084760120285,0.18853684,0.5165236,-0.29170367
82084780120284,-0.24240616,0.5049289,-0.5728713
82084800120284,-0.3692627,0.5692712,-0.72524226
82084820120284,-0.15756659,0.50245166,-0.375976
82084840120284,0.7153619,0.60107195,0.68322605
82084860120284,0.7899355,0.685112,0.5548537
82084880120284,-0.8137435,-0.31008708,-0.078834265
82084900120284,-0.3712994,-0.30862212,-0.08407593
82084920120284,0.6745526,0.26329374,-0.10167719
82084940120284,0.47975668,-0.23349383,0.25759596
82084960120284,-0.19831088,-0.8954846,0.06755246
82084980120284,0.52625823,-0.39619353,-0.2978728
82085000120284,2.0201168,1.2894006,-1.7149296
82085020120284,-2.4159832,-0.7000395,-1.5957305
82085040120284,-2.6881926,-2.3420417,1.3469615
82085060120284,-0.08284225,-1.877414,1.6871793
82085080120284,0.49370098,-0.4969832,0.89811695
82085100120284,-0.15431874,-0.29113525,-0.4705981
82085120120284,-0.41183862,-1.5788934,0.19234437
82085140120284,0.44064388,-0.8657286,2.125991
82085160120284,0.88396096,0.84786206,0.5120195
82085180120284,-0.33122817,1.0803624,-1.9363459
