UPTIMENANO,Ax,Ay,Az
82084343177174,-2.315984,2.3854396,9.172925
82084363034454,-2.198628,2.6417067,9.702225
82084382891735,-2.3566992,2.7159522,10.0063925
82084402748886,-1.9878663,2.5985963,9.534574
82084422593372,-2.066902,2.6009912,9.673484
82084442450141,-2.5099807,2.6057813,10.451866
82084462307036,-2.565066,2.4764502,10.92608
82084482163804,-2.1483326,2.179468,9.77647
82084502020573,-0.9053174,2.2249732,8.528665
82084521877468,-0.2921924,2.4956105,9.14179
82084541732878,-0.21794678,2.680027,9.560919
82084561589647,-0.20597169,2.8740237,8.2197075
82084581446414,-0.34009278,3.523074,8.301138
82084601303182,0.4382886,3.4631984,9.239985
82084621159951,0.7951465,3.271597,9.144185
82084641011304,0.17004639,3.4488282,9.175321
82084660867944,0.2778223,3.4847536,9.594449
82084680724585,0.7376661,3.0177248,9.920172
82084700581224,1.1136842,2.7566676,9.529783
82084720437864,1.6142433,3.410508,8.998089
82084740294633,1.6501685,4.1625443,8.519085
82084760147371,1.3076807,4.2056546,8.452024
82084780003883,0.86939216,4.3493557,8.119117
82084799860524,0.7232959,4.4188113,7.92512
82084819717035,0.79035646,4.380491,8.305928
82084839564187,1.5328126,4.387676,9.453142
82084859420444,1.5974782,4.311035,9.378897
82084879276827,-0.5221143,4.184099,8.811277
82084899133211,-0.35685793,3.8799317,8.926238
82084918989596,0.8382569,3.6452198,8.962164
82084938842071,0.3161426,3.4703834,9.472302
82084958698199,-0.90771246,3.2093263,9.362132
82084978554456,-0.28261232,2.9506643,9.187295
82084998410711,2.684817,2.6704469,7.704778
82085018266967,-2.2369483,3.7625759,7.0245924
82085038123224,-3.9709425,3.6811452,10.41594
82085057986153,-1.6836988,2.3830445,11.376344
82085077842409,-0.2562671,2.823728,10.542876
82085097698794,-0.55324954,3.032095,8.763377
82085117555177,-1.8705103,2.1674929,9.414823
82085137409330,-0.6490503,2.8907888,11.824212
82085157265715,1.5016773,3.547024,10.106983
82085177121970,0.68018556,3.7577858,6.9790874
82085196978226,0.3065625,3.4943337,7.1203933
82085216834483,0.79035646,2.047742,9.2184305
82085236694206,-0.033530276,2.2752686,10.219549
82085256550590,0.977168,3.6691701,11.431429
82085276406975,1.7220191,3.9901028,10.9644
82085296263230,1.1256592,4.687053,7.0988383
82085316119614,1.3507911,4.5649076,7.27128
82085335975999,2.459685,4.533772,9.235196
82085355835125,3.9709425,3.784131,9.735755
82085375691637,6.6749196,2.4668703,8.583751
82085395548022,3.5566041,2.4572902,7.180269
82085415404405,2.3854396,2.3686745,5.0822315
82085435262008,1.6765138,4.1170387,4.8379397
82085455118393,-0.7424561,6.325247,5.031936
82085474974776,-0.22513184,6.734795,5.47741
82085494831160,3.1183155,4.2799,4.8211746
82085514687545,1.8585353,2.7231374,5.2019825
82085534543928,-0.30416748,3.8056862,5.5947657
82085554398575,1.2094849,4.9552956,6.8904715
82085574254960,1.9208057,6.3970976,9.4435625
82085594111343,0.7759864,5.503755,9.970467
82085613967599,0.5843848,3.3147073,10.782378
82085633823984,-0.28979737,2.4261549,11.663746
82085653684871,-0.613125,1.3675562,11.093731
82085673541255,-1.2382251,0.51971924,11.407478
82085693397768,-2.1171973,0.364043,12.092454
82085713254279,-1.3891114,-0.7424561,11.218272
82085733114587,-0.21555176,0.27542725,10.197993
82085752971100,1.8489552,4.543352,7.446116
82085772827739,3.3554225,7.8556643,5.7863674
82085792684251,2.1435425,5.3169436,6.119275
82085812540892,0.1939966,3.1255007,7.822134
82085832397403,0.41912845,2.7710378,9.105865
82085852249136,1.5399976,2.3902297,9.599238
82085872105649,0.9148975,1.1591895,14.221626
82085891962160,-1.6453785,0.3065625,17.224981
82085911818672,-2.9746144,-0.3424878,14.09469
82085931675057,0.488584,0.76880133,8.602911
82085951540150,2.5818312,3.5733693,6.564749
82085971396790,3.1566358,2.5099807,5.6594315
82085991253431,1.341211,-0.85023195,7.5467067
82086011110070,-1.5256275,-1.9399658,11.845767
82086030975859,-2.7303224,-2.7542725,15.462247
82086050832756,-0.71371585,-4.0835085,8.339458
82086070689523,1.1687696,-4.3254056,8.703502
82086090546419,2.1459377,-4.26074,11.333233
82086110403316,5.223538,-5.237908,10.775193
82086130260211,1.9974464,-5.2882032,11.759546
82086150116607,2.1531227,-6.928792,12.26729
82086169973503,2.315984,-7.3934255,9.422008
82086189830399,-2.339934,-8.313113,6.6653395
82086209687423,-1.6477735,-8.210127,6.926397
82086229544319,-4.5792775,-4.888235,6.5096636
82086249403963,-13.709092,-2.090852,12.547508
82086269262245,-10.665023,-4.519402,18.099163
82086289119269,-2.8141482,-3.767366,13.3618145
82086308976165,3.65959,-3.0871804,9.862691
82086328833189,5.9204884,-2.806963,8.150251
82086348687832,3.0153298,-2.9219239,7.6113725
82086368544856,4.0044727,-3.6931202,4.7972245
82086388401752,4.2224197,-2.8261232,12.609778
82086408258776,7.1491337,-0.11496094,21.739594
82086428115800,6.9168167,0.8143067,14.5713
82086447965223,0.9532178,0.7544312,12.727135
82086467821991,-6.715635,1.6238233,5.5947657
82086487678759,-3.3123121,1.1567944,-38.044888
82086507535527,2.8285182,2.687212,12.216995
82086527392295,0.9508228,3.767366,7.534732
82086547246558,2.0573218,5.3313136,1.4753321
82086567103326,3.544629,5.4342995,1.0011182
82086586959966,3.3769777,5.247488,1.4705421
82086606816734,4.1960745,6.461763,1.6597486
82086626673374,8.739427,6.4928985,0.39517823
82086646529868,25.102201,5.49657,-1.3292359
82086666386636,28.953392,0.45505372,-3.8583767
82086686243276,18.50871,0.847837,-0.9388477
