UPTIMENANO,Ax,Ay,Az
82515919553814,-1.5112573999999999,9.639954,-0.77359134
82515939411222,-1.5280225,9.608819,-0.80233157
82515959268630,-1.4729371,9.592053,-0.9148975
82515979126463,-1.4609618999999998,9.565708,-0.9627979
82515998985121,-1.4226416000000002,9.568104,-0.9364527
82516018842657,-1.4370118,9.618399,-0.8669971
82516038700065,-1.463357,9.6615095,-0.8143066999999999
82516058557601,-1.465752,9.678274,-0.8669971
82516078409675,-1.4801221000000002,9.565708,-0.98435307
82516098267083,-1.453777,9.568104,-0.9963281999999999
82516118124363,-1.4226416000000002,9.553733,-0.88376224
82516137981771,-1.4418018,9.5489435,-0.88376224
82516157839051,-1.4178516,9.625584,-0.92208254
82516177704602,-1.4681469999999999,9.6615095,-0.9651929
82516197562138,-1.4585668999999999,9.651928999999999,-0.9196875
82516217419674,-1.5040723,9.639954,-0.79993653
82516237277210,-1.4753321000000001,9.5489435,-0.9364527
82516257134746,-1.4106666,9.544153,-1.0011181999999998
82516276991966,-1.4968873,9.572892999999999,-0.87897223
82516296849502,-1.5064673000000002,9.608819,-0.80712163
82516316707038,-1.4920973,9.627979,-0.8262818000000001
82516336564446,-1.4992822000000001,9.666299,-0.9196875
82516356421982,-1.3771361999999998,9.651928999999999,-0.91010743
82516376280805,-1.3675561999999999,9.606423,-0.8885523000000001
82516396138341,-1.3651612,9.589659,-0.9651929
82516415995877,-1.4441968,9.582474000000001,-0.92208254
82516435853285,-1.5208374,9.601633999999999,-0.9148975
82516455710821,-1.5016773,9.596844,-0.91010743
82516475566685,-1.4992822000000001,9.608819,-0.9196875
82516495424221,-1.463357,9.630374,-0.9053174
82516515281757,-1.4753321000000001,9.68067,-0.88376224
82516535139165,-1.4346168,9.613608000000001,-0.91250247
82516554996701,-1.4801221000000002,9.613608000000001,-0.9484278
82516574845356,-1.4825171,9.524992999999998,-0.9388476999999998
82516594702636,-1.5016773,9.618399,-0.8813671999999999
82516614559916,-1.4753321000000001,9.620794,-0.8262818000000001
82516634417196,-1.4825171,9.625584,-0.9268726
82516654274476,-1.4825171,9.592053,-0.974773
82516674128848,-1.4825171,9.594449000000001,-0.91729254
82516693986128,-1.4465919,9.663903999999999,-0.8861573
82516713843280,-1.4322218,9.64714,-0.8813671999999999
82516733700560,-1.5136524,9.656719,-0.9412427
82516753557712,-1.5447876,9.623189,-0.9627979
82516773417217,-1.5016773,9.572892999999999,-0.94603276
82516793274497,-1.4322218,9.575289,-0.9388476999999998
82516813131777,-1.3699511999999998,9.656719,-0.98195803
82516832989057,-1.456172,9.678274,-1.0106983
82516852846337,-1.5160475,9.599238,-0.93405765
82516872702172,-1.6070582,9.582474000000001,-0.93405765
82516892559452,-1.4920973,9.649534,-1.0226734
82516912416732,-1.3364209999999999,9.620794,-0.9532178
82516932274012,-1.4513819,9.608819,-0.87178713
82516952131292,-1.453777,9.546548,-1.0083033000000001
82516971982020,-1.4226416000000002,9.599238,-1.0274634
82516991839044,-1.4202466,9.625584,-0.9053174
82517011696068,-1.4250367,9.659114,-0.9436377
82517031553220,-1.4729371,9.697434,-1.0059083
82517051410244,-1.4250367,9.553733,-1.0298585
82517071267372,-1.4992822000000001,9.522598,-1.1304493
82517091124396,-1.5280225,9.541758999999999,-1.1615845
82517110981548,-1.4681469999999999,9.639954,-0.8598120000000001
82517130838572,-1.4920973,9.589659,-0.8167017
82517150695724,-1.4130616000000003,9.616004,-1.094524
82517170555229,-1.3651612,9.580078,-1.1735597
82517190412253,-1.4465919,9.659114,-1.0106983
82517210269405,-1.4274316999999999,9.6686945,-0.8813671999999999
82517230126557,-1.4465919,9.663903999999999,-0.9029224
82517249983709,-1.4370118,9.572892999999999,-0.99393314
82517269837789,-1.4202466,9.522598,-1.1376343
82517289694941,-1.4394068000000002,9.620794,-1.0849438999999999
82517309551965,-1.3771361999999998,9.623189,-0.8382569
82517329409117,-1.4202466,9.659114,-0.8885523000000001
82517349266269,-1.3986914,9.616004,-1.0418334999999999
82517369118148,-1.4202466,9.601633999999999,-1.0753639
82517388975044,-1.4226416000000002,9.608819,-1.0202783000000002
82517408832068,-1.4178516,9.6686945,-0.8382569
82517428688964,-1.3843212999999999,9.683064,-0.91250247
82517448545988,-1.3555812,9.64714,-1.0585986
82517468402884,-1.3531861,9.524992999999998,-1.1208692
82517488260670,-1.3603711,9.589659,-1.0394385
82517508117694,-1.3244458000000001,9.560919,-0.8909473
82517527974590,-1.3747413,9.580078,-0.9053174
82517547831614,-1.3172607,9.632769,-1.0106983
82517567688510,-1.2549903,9.673484,-0.9508228000000001
82517587535440,-1.2741505,9.635164,-0.8646021
82517607392208,-1.2166698999999999,9.616004,-0.8334668
82517627248976,-1.2669654,9.663903999999999,-0.9987232
82517647105616,-1.22146,9.702225,-1.0154883
82517666962384,-1.2358301999999999,9.649534,-0.85023195
82517686818012,-1.2813355,9.618399,-0.91729254
82517706674652,-1.2454101999999998,9.620794,-1.1543995
82517726531292,-1.22625,9.513017999999999,-1.0011181999999998
82517746387932,-1.2909156000000002,9.5633135,-0.8167017
82517766244444,-1.2621753,9.635164,-0.95561284
82517786114681,-1.2454101999999998,9.735755000000001,-1.0394385
82517805971578,-1.2406201000000001,9.742939999999999,-0.85023195
82517825828473,-1.3124708,9.683064,-0.79754156
82517845685497,-1.2813355,9.72378,-0.87178713
82517865542394,-1.1472143999999997,9.6615095,-0.96758795
82517885405792,-1.1855347,9.572892999999999,-1.1424243
82517905262816,-1.2430152,9.546548,-1.0154883
82517925119969,-1.2789403999999998,9.584868,-0.7759864000000001
82517944976992,-1.2669654,9.695039999999999,-0.8167017
82517964838831,-1.22625,9.656719,-1.0011181999999998
82517984696112,-1.2478052,9.580078,-1.0849438999999999
82518004553263,-1.2286451,9.651928999999999,-0.9244776
82518024405558,-1.2070899,9.6686945,-0.87418216
82518044262711,-1.1615845,9.716595,-0.9484278
82518064119990,-1.2406201000000001,9.635164,-0.9316626
82518083980165,-1.2741505,9.589659,-0.8933423
82518103837446,-1.2885206,9.642349000000001,-0.8765772
82518123694725,-1.1927198,9.604028999999999,-0.9364527
82518143552133,-1.1208692,9.692644,-0.9699829
82518163409414,-1.1472143999999997,9.663903999999999,-0.8933423
82518183268447,-1.2382251,9.642349000000001,-0.92926764
82518203125855,-1.2046948999999998,9.639954,-0.85023195
82518222983136,-1.1807446000000001,9.6686945,-0.8262818000000001
82518242840415,-1.1160791,9.6686945,-0.8933423
82518262707069,-1.1663746000000002,9.611214,-0.8813671999999999
82518282564478,-1.1400293,9.551338000000001,-0.89573735
82518302422013,-1.1999048,9.589659,-0.9915381
82518322279549,-1.2981006000000002,9.750125,-0.8813671999999999
82518342137086,-1.2382251,9.843531,-0.60833496
82518361994493,-1.1352394,9.843531,-0.5891748
