UPTIMENANO,P
86447432049347,1002.526
86447531347271,1002.5243
86447630706246,1002.52985
86447729515770,1002.53143
86447828783169,1002.5383
86447928081093,1002.5434
86448027134817,1002.543
86448126402216,1002.5503
86448225455940,1002.55365
86448324850705,1002.5572
86448423904429,1002.55536
86448523263403,1002.5514
86448622256077,1002.5478
86448721340326,1002.5547
86448820516151,1002.55286
86448919661450,1002.55286
86449019081474,1002.55457
86449121431901,1002.5667
86449217036297,1002.56836
86449316242646,1002.5734
86449415326895,1002.5821
86449514380619,1002.5855
86449619264624,1002.58026
86449712610168,1002.5821
86449811663892,1002.5838
86449910534466,1002.58044
86450009374514,1002.5855
86450108428238,1002.58374
86450207146187,1002.58026
86450306327326,1002.58203
86450405411575,1002.58374
86450504434774,1002.57855
86450603457973,1002.57196
86450702542223,1002.57196
86450801595947,1002.5701
86450900313895,1002.58044
86450998970794,1002.5855
86451097688743,1002.59235
86451196254066,1002.6009
86451295124640,1002.5941
86451393873114,1002.5905
86451492011087,1002.5974
86451591461636,1002.6025
86451689935385,1002.6077
86451789141734,1002.6115
86451888500708,1002.6153
86451987340757,1002.6167
86452086302906,1002.6236
86452185295580,1002.62006
86452284808750,1002.6273
86452383709849,1002.62555
86452483038298,1002.6273
86452582122547,1002.6286
86452681573097,1002.63586
86452781267846,1002.64777
86452880260520,1002.64777
86452979405819,1002.6549
86453079680545,1002.6532
86453179222669,1002.6623
86453278306918,1002.6657
86453377726943,1002.6657
86453477146968,1002.6725
86453576536469,1002.6828
86453675803868,1002.68805
86453775437567,1002.6917
86453874094464,1002.6862
86453973056613,1002.70233
86454072140862,1002.7071
86454170889336,1002.71436
86454270004110,1002.7177
86454369269440,1002.716
86454468292639,1002.7211
86454567437938,1002.72284
86454667224263,1002.72284
86454766827438,1002.72833
86454865423286,1002.7319
86454964660161,1002.7246
86455063591785,1002.72797
86455162737084,1002.72797
86455261455032,1002.7267
86455360936107,1002.7233
86455460325606,1002.72504
86455559837207,1002.7287
86455659165656,1002.7356
86455758829881,1002.7322
86455857456253,1002.72833
86455955930002,1002.72504
86456054983726,1002.7336
86456158677255,1002.7356
86456253335374,1002.73895
86456352543194,1002.7424
86456452054793,1002.74036
86456551444292,1002.7422
86456650894843,1002.74585
86456750681168,1002.751
86456850681167,1002.751
86456949246490,1002.754
86457048452839,1002.7575
86457153153694,1002.7612
86457248025489,1002.7595
86457347537089,1002.76495
86457446835013,1002.77185
86457545949787,1002.77356
86457645186661,1002.77704
86457744728786,1002.77704
