UPTIMENANO,Ax,Ay,Az
86447333238608,0.9579933,0.73412937,0.13015164
86447353238608,0.04680068,0.5058885,1.1366607
86447373238609,-0.6047889,0.5229837,1.092196
86447393238608,-0.28790155,0.75934494,0.71460736
86447413238608,-0.26590845,0.6310257,1.4358369
86447433238609,-0.42108193,0.09976951,1.8432348
86447453238608,-0.5331388,-0.32046694,2.373542
86447473238608,-0.88591224,-1.0152715,3.4559755
86447493238609,-0.7963732,-1.3566113,3.7015147
86447513238608,-0.17383528,-1.2023534,1.6571784
86447533238608,-0.30165422,-0.5661527,-1.0291411
86447553238609,-0.68201435,-0.87258726,-2.7512164
86447573238608,-0.26861298,-0.71210366,-0.49841282
86447593238608,0.46143273,0.51282656,1.5717471
86447613238609,0.3719416,-0.27829805,1.4434526
86447633238608,-0.62639654,-0.9650694,0.3388417
86447653238608,-1.7348061,-1.3318381,-0.41953117
86447673238609,-1.6208553,-1.3943208,-0.50007445
86447693238608,0.35802457,-0.77604336,-1.0481468
86447713238608,1.4200817,-0.35433444,-2.0916882
86447733238609,-0.18383148,-0.47206604,-2.0703738
86447753238608,-1.4106253,-0.7812884,-0.7849327
86447773238608,-0.24706294,-0.96158457,0.1284171
86447793238609,0.9938566,-0.8177951,0.15457483
86447813238608,1.4710622,-0.40468556,-1.0091825
86447833238608,-0.44617108,-0.09363664,-1.873247
86447853238609,-1.5439847,-0.019096058,-1.1091017
86447873238608,-0.39574334,-0.19751441,-0.08713019
86447893238608,0.8220119,0.20013575,-0.5859619
86447913238609,0.23375686,0.34787306,-0.73759085
86447933238608,-0.040863737,-0.018356835,-0.61174095
86447953238608,0.120185584,0.13882472,-0.34803692
86447973238609,-0.5683327,0.58401334,1.2408823
86447993238608,-0.47278684,1.0279315,2.851261
86448013238608,0.99292994,0.9161269,2.3516994
86448033238609,1.0957797,0.09172514,1.5251698
86448053238608,0.7185506,-0.6616751,2.464209
86448073238608,2.1328995,-0.14048481,2.2159235
86448093238609,2.0449111,0.29303333,1.3156003
86448113238608,1.0579387,-0.30545485,0.4596116
86448133238608,0.85723656,-0.81497484,0.26721475
86448153238609,1.7443656,-0.8597111,0.48995414
86448173238608,1.7765658,-1.0452179,0.5004447
86448193238608,0.45237195,-1.2138271,0.18809806
86448213238609,-0.19679269,-1.0169673,-0.6707375
86448233243873,-0.5484421,-0.83259076,-1.5335398
86448253243873,-1.067521,-0.7685977,-1.4814888
86448273243874,-1.314064,-0.99466467,-0.3973748
86448293243873,-0.77426857,-1.4386879,0.07149644
86448313243873,-0.30194238,-1.8132242,-0.47118694
86448333243874,0.48079723,-1.0798775,-0.6791896
86448353243873,2.501194,1.6532713,-0.9827775
86448373243873,2.1380398,0.9391722,-2.152848
86448393243874,-2.2510293,-4.045741,-0.0011652869
86448413243873,-0.7433825,-0.79228365,1.2639267
86448433243873,3.609756,3.1263793,-3.9098244
86448453243874,1.1748049,-0.99103814,-4.1433077
86448473243873,-0.94747204,-1.5072596,-1.4482052
86448493243873,0.09461097,0.05767094,-0.11350979
86448513243874,2.0561826,-0.67710423,-1.9951656
86448533243873,2.8157218,-1.4459205,-2.6678631
86448553243873,2.401373,-0.918916,-1.0654688
86448573243874,2.3769753,-0.32892406,-0.08901797
86448593243873,2.2661607,0.04777707,0.22695239
86448613243873,2.1770053,0.4508323,-0.40865022
86448633243874,2.4448185,0.28680846,-1.7035718
86448653243873,-2.4171674,-1.3071847,-0.68649024
86448673243873,-12.8623905,2.3403194,2.0269248
86448693243874,-4.26981,1.5334741,-0.3934716
86448713243873,8.059066,-4.198658,0.25891885
86448733243873,6.3388925,-3.7984583,0.6131431
86448753243873,6.139153,-2.9061208,-1.4209602
86448773243874,5.234638,-3.0526044,-3.0967572
86448793243873,2.4881437,-2.4614289,-1.2187071
86448813243873,1.9432151,-1.8770461,5.1132393
86448833243874,1.5704174,-1.323652,5.9772325
86448853243873,1.3423212,-1.4612235,0.8136862
86448873243873,0.052825056,-1.5930905,-0.87073517
86448893243874,-5.2215247,-0.36235693,-4.851038
86448913243873,-3.1426091,1.682729,-8.126078
86448933243873,4.380191,7.1022553,-9.642573
86448953243874,6.970812,6.5055842,-10.592469
86448973243873,1.6418072,2.3776813,-2.4879572
86448993243873,-3.1052015,3.371552,5.6736264
86449013243874,-2.852328,6.516742,3.1677186
86449033243873,-0.44678614,7.6484337,-3.7027318
86449053243873,1.6743019,6.9503546,-7.5202413
86449073243874,4.791787,4.2530394,-8.98316
86449093243873,6.9785366,0.44198313,-9.31495
86449113243873,5.6356096,-1.5221183,-7.438995
86449133243873,4.444782,-2.298842,-6.8738275
86449153243873,8.084551,-3.3043807,-8.084436
86449173243873,11.202704,-4.6439867,-7.425427
86449193243873,11.152778,-5.411422,-4.830065
86449213243873,9.904714,-5.339714,-2.164389
86449233243873,9.257715,-5.3387175,-0.60212356
86449253243873,9.551947,-6.0624275,-1.4047266
86449273243873,10.172972,-6.523965,-2.4853609
86449293243873,12.307416,-8.1129675,-3.0563776
86449313243873,12.206681,-9.852935,2.5237758
86449333243873,3.9575024,-1.0663645,17.63513
86449353243873,5.8239923,4.5359693,7.405202
86449373243873,6.669361,3.7805717,-0.345134
86449393243873,5.060752,0.7973542,2.8152044
86449413243873,3.056642,-0.44405058,3.8869984
86449433243873,-2.694056,1.3161808,2.65383
86449453243873,-2.8690827,-1.0785165,-0.7240311
86449473243873,-3.9663603,-2.1413581,0.33531585
86449493243873,-0.8183116,-2.818408,1.3564163
86449513243873,-2.1622427,-2.682459,1.2466315
86449533243873,-3.0999463,-3.369602,3.708755
86449553243873,-3.8805816,-3.7231412,4.910409
86449573243873,-4.382616,-4.688231,2.8444169
86449593243873,-4.7075353,-6.035441,1.8926234
86449613243873,-6.6591988,-6.399674,0.55332696
86449633243873,-3.5166945,-5.260879,1.2232466
86449653243873,-3.473507,-3.646039,2.2302728
86449673243873,-3.9364557,-3.044448,3.963506
86449693243873,-0.20831908,-2.2381852,0.7766739
86449713243873,1.0136125,1.1350622,-0.3384746
86449733243873,1.1248763,2.42254,-0.15581521
86449753243873,2.3307347,1.6870302,-1.6418628
86449773243873,5.1961474,-2.853416,-4.149368
86449793243873,8.638388,-2.8407128,-5.1994762
86449813243873,11.147382,-0.68699163,-6.737831
86449833243873,9.614173,-0.43843225,-10.010291
86449853243873,8.265405,0.68568647,-7.742485
86449873243873,8.0641365,1.5729456,-3.3732746
86449893243873,1.0939653,1.73118,9.589403
86449913243873,-12.583275,7.9807973,26.813663
86449933243873,-3.9033928,0.6128465,-2.69545
86449953243873,0.31131524,-2.0708504,-7.864868
86449973243873,-6.7805624,-0.78106457,-1.0158467
86449993243873,-12.273085,-5.223676,-0.0869211
86450013243873,-6.460275,-8.422931,-4.146761
86450033243873,-3.558934,-5.213064,-3.114699
86450053243873,-1.9339477,-1.4613127,-2.295002
86450073243873,-0.4381382,-0.923003,-0.9288749
86450093243873,-0.6221348,-0.046465788,0.1770532
86450113243873,3.886399,2.456317,0.07185688
86450133243873,6.9605045,4.1668024,0.9402828
86450153243873,3.5459576,5.9295764,1.4108549
86450173243873,1.285577,5.1370697,1.2765056
86450193243873,2.6538558,3.5161426,0.9182326
86450213243873,2.2729757,1.3245677,0.91911775
86450233243873,0.4972581,0.24913074,0.099663705
86450253249188,1.2913128,0.28940162,-0.10484757
86450273249188,0.86468184,0.049790837,0.55411935
86450293249188,-5.063115,-0.2885528,2.3428133
86450313249188,-1.9201324,-7.4007654,0.050897922
86450333249188,-2.7259865,-3.1363597,-2.1674984
86450353249188,-2.433148,-3.092231,0.1232661
86450373249188,-0.9172157,-5.1493225,1.0685424
86450393249188,-1.9213434,-4.487963,-0.30104393
86450413249188,-3.4238024,-3.3429384,-1.1169604
86450433249188,-3.3123817,-0.80415803,-2.021282
86450453249188,-1.2668235,0.5276915,-3.274866
86450473249188,0.40239143,2.1646898,-1.9219692
86450493249188,-0.6111193,3.069577,1.4329897
86450513249188,-2.2214763,2.8405993,3.1198366
86450533249188,-3.6958897,2.018186,2.866797
86450553249188,-3.3454926,3.978118,0.7507502
86450573249188,-0.11977256,8.880223,-1.1255558
86450593249188,5.257485,6.070479,-1.8154863
86450613249188,7.805253,2.33557,-0.15796028
86450633249188,4.6885304,1.408991,0.61005557
86450653249188,-0.6678566,1.3449079,1.6267813
86450673249188,-2.010669,0.31387547,0.9441889
86450693249188,-1.066573,-0.3355175,-0.7563468
86450713249188,-0.43889454,0.8907418,-1.464972
86450733249188,0.4060778,-0.6471342,0.8205399
86450753249188,0.33791107,-2.2659013,0.7737849
86450773249188,-0.04390009,-2.0707743,0.7929271
86450793249188,1.4776363,-2.0499623,1.6808721
86450813249188,2.2245336,-0.10491631,-1.1953607
86450833249188,2.3516684,-1.7739401,-2.2225034
86450853249188,3.3714256,-5.1956787,0.6737634
86450873249188,2.5776951,-3.5420055,1.5062398
86450893249188,1.7052194,1.4116089,1.0239123
86450913249188,2.1980152,1.8567752,0.20178318
86450933249188,1.4387919,-2.5499978,-0.5386699
86450953249188,-0.18512903,-3.8917267,-0.84875864
86450973249188,-2.8539462,-1.4614116,-2.884118
86450993249188,-6.22992,2.377099,-5.121833
86451013249188,-1.9016191,2.395578,-1.3926854
86451033249188,3.2773895,-0.34237042,1.4655542
86451053249188,1.1279894,0.9598273,1.2843814
86451073249188,0.63533044,1.6943986,0.87416923
86451093249188,-0.6666486,1.3736968,0.011798227
86451113249188,-2.7569785,0.605903,-0.08729314
86451133249188,-2.6321547,-0.46823806,-0.14275827
86451153249188,-1.9500012,-1.1874073,1.1521683
86451173249188,-0.9382311,-1.1289473,2.8884525
86451193249188,0.048755612,-0.7035687,2.1149592
86451213249188,0.3944163,-0.5185286,-0.09726009
86451233249188,-0.03602994,-1.3332201,-1.1886551
86451253249188,-0.13229603,-1.9517044,-1.274898
86451273249188,0.86794907,-0.6062777,-1.1901011
86451293249188,1.591768,0.7357293,-0.9000416
86451313249188,1.4622085,0.92844605,-0.40463117
86451333249188,1.0162023,0.66060615,-0.030130967
86451353249188,0.76631343,0.71471053,0.6321147
86451373249188,1.0313798,1.1660602,2.7605085
86451393249188,1.2346419,1.1536759,2.9646058
86451413249188,1.0010252,0.34840736,0.20919889
86451433249188,0.23229332,-0.11954127,-1.1303275
86451453249188,-0.51387733,-0.07702494,-0.8182201
86451473249188,-0.5045371,-0.06522628,-0.19745329
86451493249188,-0.34681666,-0.1042938,0.08302048
86451513249188,-0.24072753,-0.22822665,-0.29039034
86451533249188,0.088693514,-0.20342861,-0.4012775
86451553249188,0.42385763,0.02553005,0.15364815
86451573249188,0.59632665,0.17047533,0.4867205
86451593249188,0.57518035,0.12251791,0.26632795
86451613249188,0.48570696,0.017507507,-0.004826406
86451633249188,0.443024,0.029653823,0.013204117
86451653249188,0.49144146,0.079362124,0.21405642
86451673249188,0.55394226,0.12147272,0.28445598
86451693249188,0.60200137,0.103093415,0.20707744
86451713249188,0.5950877,0.06976295,0.20862563
86451733249188,0.5773466,0.092816666,0.253041
86451753249188,0.55559754,0.11148127,0.26885137
86451773249188,0.56978893,0.101686694,0.18686324
86451793249189,0.67688346,0.027718231,0.15804537
86451813249190,0.69949377,-0.07667474,0.19379358
86451833249191,0.71600324,-0.095247045,0.10165709
86451853249192,0.7789717,-0.09355684,0.031724155
86451873249188,0.7254063,0.013341162,-0.04222525
86451893249188,0.53904676,0.30211186,-0.013613605
86451913249188,0.2731766,0.46495152,0.18164444
86451933249188,0.084565654,0.15941656,0.30744022
86451953249188,0.099821456,-0.18863305,0.14298862
86451973249188,0.20617415,-0.2852975,-0.09967233
86451993249188,0.27131143,-0.14207524,-0.041928038
86452013249188,0.18871512,0.09561273,0.2519001
86452033249188,0.15231112,0.23758091,0.27336082
86452053249188,0.21151459,0.09605668,-0.023621095
86452073249188,0.31558937,-0.12161774,-0.20786142
86452093249188,0.40167493,-0.25336882,-0.05232274
86452113249188,0.4666737,-0.14662555,0.016403541
86452133249188,0.48749727,0.034318052,0.12558937
86452153249188,0.37475848,0.09658956,0.42194363
86452173249188,0.37280402,0.0210494,0.45818388
86452193250758,0.45233947,0.004957532,0.19301504
86452213250759,0.48263755,0.07827412,0.17085937
86452233250760,0.43959165,0.060585395,0.21215773
86452253250758,0.32700473,-0.058999777,0.0513014
86452273250758,0.26719445,-0.05335727,0.084676966
86452293250758,0.29076773,0.12250866,0.043153323
86452313250758,0.37549683,0.16518115,-0.114778236
86452333250758,0.36492077,0.028174344,-0.052593432
86452353250758,0.38993993,-0.12493784,0.07064439
86452373250758,0.38098034,-0.09291111,0.24994732
86452393250758,0.38172784,0.024748318,0.48738903
86452413250758,0.3760901,0.061046872,0.53483045
86452433250758,0.4581102,-0.03023728,0.2708153
86452453250758,0.57814354,-0.13991465,-0.12769686
86452473250758,0.54014194,-0.06772798,-0.15330389
86452493250758,0.47168133,0.1480338,0.010138762
86452513250758,0.4883056,0.17809425,0.29564506
86452533250758,0.3985165,0.13685082,0.39027888
86452553250758,0.43206343,0.033456806,0.2831721
86452573250758,0.3838682,-0.0086563025,0.33153892
86452593250758,0.28164095,0.1768375,0.35076573
86452613250758,0.31825724,0.22266749,0.27854064
86452633250758,0.3275981,0.14559662,0.17575508
86452653250758,0.3385267,0.10638427,0.24971634
86452673250759,0.3876981,0.05637986,0.17225793
86452693250760,0.39221275,0.0141004445,0.07703452
86452713250758,0.31899142,0.014423115,0.29882658
86452733250758,0.26735637,-0.055422846,0.25037986
86452753250758,0.18321197,-0.030701602,0.2702699
86452773250758,0.21911682,0.096004345,0.2811938
86452793250758,0.26320538,0.15966356,0.21059664
86452813250758,0.33860224,0.1285361,0.2002431
86452833250758,0.38584724,0.04715115,0.2541028
86452853250758,0.37472165,-0.029056095,0.23836324
86452873250758,0.34795448,-0.07951435,0.21626109
86452893250758,0.35602975,0.109917775,0.2705308
86452913250758,0.40373114,0.18394457,0.25935832
86452933250758,0.41745314,0.12201338,0.22815439
86452953250758,0.38934815,0.03405577,0.24009433
86452973250758,0.34317002,-0.015110032,0.2043063
86452993250759,0.36814985,0.0022143216,0.047180187
86453013250760,0.41412327,-3.7690156E-4,0.0047118547
86453033250761,0.45100528,0.038971268,0.20132548
86453053250758,0.44491473,-0.039652262,0.25667158
86453073250758,0.45365044,-0.08351292,-0.0071714516
86453093250758,0.44247615,0.08064158,-0.06448098
86453113250758,0.36801964,0.15408574,0.19202477
86453133250759,0.37335616,0.08751318,0.1025253
86453153250760,0.4656472,0.008834351,-0.07183563
86453173250761,0.5901545,0.014340699,-0.033547282
86453193250762,0.56226116,0.06467712,0.102799885
86453213250763,0.4379026,0.13446718,0.1900475
86453233250764,0.39929754,0.111187704,0.11536706
86453253250765,0.38525474,0.006796802,0.15668306
86453273250766,0.37758914,-0.033471305,0.13127372
86453293250767,0.42249385,-0.053699035,-0.002638718
86453313250768,0.41719976,-0.0018238219,-0.048770525
86453333250769,0.36864692,0.057776682,0.07000771
86453353250770,0.37418506,0.06210869,0.110834934
86453373250771,0.38689232,0.08769592,0.037696984
86453393250772,0.3490487,0.08422672,0.054762978
86453413250758,0.31780505,-0.03195965,0.013290537
86453433250759,0.31247845,-0.06472662,0.06660357
86453453250760,0.31042567,-0.08725318,0.05588305
86453473250761,0.31623748,-0.016377257,0.12159083
86453493250762,0.3430266,0.1112506,0.23475449
86453513250763,0.3388899,0.16231312,0.2280691
86453533250764,0.3598447,0.09994477,0.09565104
86453553250765,0.35436442,-0.029375538,-0.09067346
86453573250766,0.33055303,-0.026331568,0.021529047
86453593250767,0.37088877,0.023464968,0.20265982
86453613250768,0.36708412,0.041830137,0.24931747
86453633250769,0.3040471,0.056696862,0.227501
86453653250770,0.31333783,0.05095386,0.11412686
86453673250771,0.39388883,0.057177972,0.06653215
86453693250772,0.45206413,0.07474,0.14161727
86453713250758,0.45951682,0.06425791,0.24165747
86453733250759,0.48410997,0.05413354,0.26194608
86453753250760,0.47131723,0.01222485,0.22645642
86453773250761,0.43612555,-0.0020220224,0.24262528
86453793250762,0.40608883,-0.031430036,0.24342415
86453813250763,0.353897,-0.061511066,0.1736249
86453833250758,0.36819994,-0.056890123,0.0256157
86453853250758,0.4229788,-0.040756267,0.028526787
86453873250758,0.42648783,-0.025709718,0.14475544
86453893250758,0.36693954,0.05443473,0.20759717
86453913250758,0.3505752,0.08809466,0.1308399
86453933250758,0.32013535,0.058570504,0.119181715
86453953250758,0.29277417,0.026451215,0.12611747
86453973250758,0.3631658,0.03256892,0.11784546
86453993250758,0.4186529,0.046237845,0.17675479
86454013250758,0.37296435,0.017544823,0.22032206
86454033250758,0.3176176,-0.013439203,0.15161726
86454053250758,0.3304499,-0.0028423187,0.048886057
86454073250758,0.34319884,0.05389869,0.08902853
86454093250758,0.35479546,0.10281304,0.17632723
86454113250758,0.37568876,0.10791637,0.15341282
86454133250758,0.36708105,0.04296859,0.10886192
86454153250758,0.33196107,-0.047992688,0.030239755
86454173250758,0.32894522,-0.0878301,-0.023772743
86454193250758,0.35545373,-0.07086404,0.08573412
86454213250758,0.389064,-0.040221736,0.16533242
86454233250758,0.39758226,-0.031551283,0.14695081
86454253250758,0.38272437,-0.027700791,0.075329326
86454273250758,0.37300852,0.04173466,0.0970468
86454293248689,0.39709824,0.10295898,0.2259151
86454313248689,0.43974835,0.12263909,0.28420427
86454333248690,0.45679575,0.07575965,0.25343758
86454353248689,0.42345956,-0.008714324,0.19337693
86454373248689,0.35938781,-0.018181937,0.20113727
86454393248689,0.32060844,0.051195234,0.26802716
86454413248689,0.3141636,0.10326448,0.29759476
86454433248689,0.32308,0.083989196,0.30185753
86454453248690,0.31857875,0.06267817,0.21989262
