UPTIMENANO,Ax,Ay,Az
86759162312721,0.6399052,0.9305938,7.3366055
86759182171154,0.62866896,0.33875024,7.854154
86759202030847,-0.3612564,-1.6553681,11.006422
86759221889279,0.6466791,-1.1126627,11.744627
86759241747584,2.2726362,0.91450423,9.073649
86759261606015,2.1568506,1.4343827,8.117474
86759281464319,1.8112196,0.6080315,8.015231
86759301322624,1.4320525,1.5165107,8.88934
86759321193410,2.398875,0.3273558,9.001368
86759341051970,2.4969218,0.6922772,9.274879
86759360910531,0.8652324,1.2603157,9.617801
86759380769090,-0.7206343,0.68416107,10.415279
86759400630350,-0.73794556,-0.48120266,12.035492
86759420488911,-0.7375058,-1.1140438,12.736121
86759440347598,-0.15131472,-0.21784317,11.957773
86759460206286,0.52162063,0.61061394,11.371393
86759480064847,1.4509716,0.73842084,10.741457
86759499923534,1.9235386,-0.03128997,11.390945
86759519782740,1.7698079,-1.6367157,12.618683
86759539641429,1.0649297,-2.284249,12.319255
86759559500116,0.6280993,-0.8480157,10.149012
86759579358804,0.5341441,0.662235,8.957071
86759599217493,-0.2764658,-0.12379302,9.675041
86759619079307,-0.66586643,-1.4701836,10.254138
86759638938123,-0.23475178,-1.3856679,9.822932
86759658796940,0.6048997,-1.0736102,9.26134
86759678655755,0.30892226,0.39284238,8.116098
86759698512145,0.6193994,-0.20938946,9.259709
86759718370834,1.2942997,-1.6946399,10.184737
86759738229521,0.041829642,-1.4885739,9.100428
86759758088337,0.4170435,-0.09202723,8.656208
86759777947026,1.573227,0.8193693,9.410244
86759797805713,0.027467215,0.91497153,8.183471
86759817669893,-1.507631,0.3883086,7.530296
86759837528710,-0.08767485,-0.60877043,8.410663
86759857387525,1.713176,0.012977063,9.718593
86759877246469,2.0539374,0.89972275,9.200106
86759897105286,1.2347857,1.2898725,8.229939
86759916974475,-0.046706356,0.44369036,9.303838
86759936833547,0.05682659,0.023402775,10.248297
86759956692748,-0.4102881,0.14300677,9.826963
86759976551819,-0.07077449,-0.17531437,10.687396
86759996422022,-0.07262689,-0.54216325,11.417084
86760016281479,0.8850894,-0.5943249,10.467565
86760036140934,4.1575923,-0.22001441,9.187631
86760056000390,0.09351809,-0.401653,9.780136
86760075859847,-0.034875125,-0.6485144,8.936181
86760095719302,-1.908653,-0.32804054,10.939942
86760115577600,-4.26026,0.18424597,12.942533
86760135437057,0.04093459,-0.117347844,10.640393
86760155296640,1.2192829,0.07067924,9.190871
86760175156096,1.0503678,0.18240048,10.331522
86760195015553,1.5476649,0.08261279,11.262949
86760214877714,1.4412023,3.1240733,10.428574
86760234737298,1.2728261,0.58591956,9.903759
86760254596883,-0.30272958,-0.5202967,9.496909
86760274456466,-0.107576355,-1.2795342,9.353667
86760294306339,1.2457895,0.03863506,8.790074
86760314165668,2.7229955,3.3076313,5.1596584
86760334024867,1.04128,2.2901404,4.928255
86760353884195,0.24648274,0.16883859,4.6898637
86760373743396,2.5992105,-1.4700294,6.7510943
86760393602723,-1.2167677,-4.4003882,14.362749
86760413460972,-1.8415604,-0.17295352,10.846291
86760433320301,-0.6233663,0.10661184,10.429545
86760453179761,-0.5606016,-0.011659764,11.484249
86760473038961,-0.2955343,0.61800236,9.5017805
86760492898162,0.2789257,0.87763804,7.8536897
86760512744829,2.2700095,0.55253303,7.71174
86760532603901,4.5242224,0.047385562,7.6669526
86760552462846,5.861576,-0.7023908,8.112208
86760572321789,5.589,-0.8746831,9.588891
86760592180733,2.8927398,-0.63829446,10.813713
86760612039678,0.44838265,-0.46298417,10.306224
86760631893830,-0.3358345,-0.2712785,9.8312645
