UPTIMENANO,Ax,Ay,Az
86759133244188,0.039872374,0.6918646,-2.3715851
86759153244188,0.3258451,0.9671259,-2.5711794
86759173244188,0.38648036,0.73087275,-2.1802924
86759193244189,-0.34357953,-0.5434155,-0.1847432
86759213244188,-0.3575489,-1.2200043,1.619598
86759233244188,0.82759464,-0.062667,0.5284709
86759253244189,1.4097805,1.0083622,-1.095054
86759273244188,1.4559101,0.5602501,-1.6046633
86759293244188,0.93560547,0.9106327,-1.1134596
86759313244189,1.183546,0.75827485,-0.6961854
86759333244188,2.2544901,0.5702742,-0.5956146
86759353244188,1.8231862,0.9422259,-0.4603788
86759373244189,0.60112756,1.063465,0.2699437
86759393244188,0.037311826,0.15564768,1.6381963
86759413244188,0.26053733,-0.70270914,2.6998928
86759433244189,0.4028336,-0.47953692,2.435588
86759453244188,0.43531066,0.33803323,1.7696549
86759473244188,0.993881,0.78090274,1.1552967
86759493244189,1.7544063,0.23628297,1.3619881
86759513244188,2.1669781,-0.7344211,2.3808768
86759533244188,1.8947079,-1.9122379,2.5300853
86759553244189,1.1237588,-1.3786266,0.9847166
86759573244188,0.7244496,0.10962069,-0.4974626
86759593244188,0.1582132,0.107349806,-0.34928396
86759613244189,-0.44746423,-0.98977315,0.29121402
86759633244188,-0.3765704,-1.3601491,0.14665022
86759653244188,0.23409018,-1.114821,-0.37446174
86759673244189,0.19449186,0.017952656,-1.3692516
86759693244188,0.43647,0.04703061,-0.84642774
86759713244188,1.1099553,-1.0726573,0.16747329
86759733244189,0.41197434,-1.4017987,-0.41391957
86759753244188,0.39759925,-0.40400696,-1.040656
86759773244188,1.23979,0.6798485,-0.5602176
86759793244189,0.31688294,0.7871665,-1.326161
86759813244188,-1.2096118,0.40550563,-2.1287737
86759833244188,-0.42994606,-0.5155117,-1.6008667
86759853244189,1.2471955,-0.18128283,-0.35184062
86759873244188,1.8976377,0.7670559,-0.4887918
86759893244188,1.4776174,1.1553301,-1.4366924
86759913244189,0.4831768,0.7296335,-0.722502
86759933244188,0.26073086,0.22195551,0.26427254
86759953244188,0.05786601,0.3006413,0.092812665
86759973244189,0.28169367,0.022301912,0.7352486
86759993244188,0.0033508379,-0.5527636,1.489216
86760013244188,0.6448953,-0.8624769,0.78525764
86760033244189,3.4699147,-0.5018368,-0.36138526
86760053244188,0.63472503,-0.5593176,-0.104934715
86760073244188,-0.04573882,-0.85117096,-0.784766
86760093244189,-1.7054894,-0.5668897,0.8692542
86760113244188,-3.9579985,0.3789822,2.9031038
86760133244188,-0.52924705,-0.20282094,1.0799193
86760153244189,0.9905621,-0.15647297,-0.45549068
