UPTIMENANO,Mx,My,Mz
86759142454289,-0.3055315,5.6415024,-29.716354
86759162312721,-0.3055315,5.6415024,-29.716354
86759182171154,-0.45553112,5.6415024,-29.716354
86759202030847,-0.45553112,5.6415024,-29.866348
86759221889279,-0.7555313,5.6415024,-30.166351
86759241747584,-1.5055313,5.6415024,-30.166351
86759261606015,-3.155531,5.4915047,-30.76635
86759281464319,-6.155531,5.1915016,-31.816353
86759301322624,-7.8055315,5.1915016,-32.41635
86759321193410,-7.8055315,5.041504,-31.966354
86759341051970,-7.655532,4.291504,-31.51635
86759360910531,-7.655532,3.8415031,-31.816353
86759380769090,-7.5055323,3.0915031,-31.966354
86759400630350,-7.3555307,2.9415016,-31.966354
86759420488911,-6.6055317,3.6915016,-31.966354
86759440347598,-5.1055317,3.6915016,-31.966354
86759460206286,-2.5555315,3.3915024,-31.966354
86759480064847,-1.0555315,3.3915024,-31.966354
86759499923534,-0.9055309,3.3915024,-32.41635
86759519782740,2.094469,3.2415047,-32.716354
86759539641429,2.9944692,3.2415047,-32.41635
86759559500116,2.5444689,2.9415016,-32.41635
86759579358804,2.5444689,2.3415031,-33.16635
86759599217493,2.5444689,1.1415024,-33.16635
86759619079307,2.5444689,0.6915035,-33.16635
86759638938123,2.844469,0.39150238,-33.16635
86759658796940,2.9944692,-1.5584965,-33.16635
86759678655755,2.9944692,-0.65849686,-33.01635
86759698512145,2.9944692,-1.2584972,-33.01635
86759718370834,2.9944692,-0.958498,-32.716354
86759738229521,3.2944689,-0.958498,-30.466354
86759758088337,4.794469,-0.958498,-30.166351
86759777947026,4.794469,-0.958498,-30.76635
86759797805713,5.094469,-1.1084976,-30.916351
86759817669893,4.794469,-1.1084976,-31.066353
86759837528710,4.794469,-1.708498,-31.066353
86759857387525,4.794469,-2.6084976,-31.066353
86759877246469,5.244469,-4.5584965,-31.066353
86759897105286,5.3944693,-3.958498,-32.41635
86759916974475,5.544469,-3.8084965,-34.216354
86759936833547,5.544469,-3.8084965,-33.76635
86759956692748,5.844469,-3.8084965,-33.61635
86759976551819,6.4444695,-3.8084965,-33.61635
86759996422022,8.544469,-3.8084965,-33.76635
86760016281479,6.744469,-3.8084965,-33.76635
86760036140934,6.744469,-3.5084972,-33.76635
86760056000390,6.4444695,-3.6584969,-33.76635
86760075859847,6.4444695,-3.8084965,-33.76635
86760095719302,6.294469,-3.8084965,-34.066353
86760115577600,5.844469,-3.8084965,-34.216354
86760135437057,4.6444693,-3.8084965,-34.216354
86760155296640,2.9944692,-3.8084965,-35.566353
86760175156096,2.094469,-4.258497,-36.01635
86760195015553,1.4944692,-4.5584965,-36.01635
86760214877714,-0.15553093,-4.408497,-36.316353
86760234737298,-0.9055309,-3.958498,-36.61635
86760254596883,-0.45553112,-3.8084965,-36.61635
86760274456466,-0.45553112,-3.8084965,-37.51635
86760294306339,-0.3055315,-3.6584969,-37.51635
86760314165668,-0.3055315,-3.208498,-37.51635
86760334024867,-0.005531311,-3.208498,-37.51635
86760353884195,0.4444685,1.1415024,-37.66635
86760373743396,0.89446926,3.6915016,-37.66635
86760393602723,0.89446926,5.6415024,-38.11635
86760413461233,2.094469,8.641502,-38.11635
86760433320562,1.944469,11.491505,-38.11635
86760453179761,3.2944689,11.941502,-38.26635
86760473038961,3.444469,12.691502,-38.566353
86760492898162,4.344469,12.691502,-38.566353
86760512744829,4.194469,13.441502,-38.566353
86760532603901,4.494469,13.591503,-38.566353
86760552462846,4.494469,13.141502,-38.26635
86760572321789,4.344469,13.141502,-38.26635
86760592180733,4.344469,13.891502,-38.11635
86760612039678,4.344469,14.641502,-37.966354
86760631893830,4.344469,14.941502,-37.216354
86760651752646,4.194469,15.991505,-37.066353
86760671611591,4.194469,17.041504,-36.91635
86760691470534,3.1444693,18.541504,-36.466354
86760711316916,1.0444689,22.141502,-35.566353
86760731175477,-0.9055309,23.341503,-34.966354
86760751034164,-3.6055317,23.941505,-33.316353
86760770892724,-7.955531,27.841503,-31.816353
86760790751284,-12.005532,31.441505,-28.666351
86760810604248,-16.505531,34.291508,-25.816349
86760830462680,-22.05553,34.291508,-20.116352
86760850321112,-27.155533,34.4415,-17.866352
86760870179544,-29.55553,33.691505,-15.76635
86760890038104,-33.60553,32.791504,-11.866352
86760909895920,-38.405533,32.341503,-9.01635
86760929754352,-42.30553,31.141502,-9.616348
86760949612912,-45.455532,25.891502,-9.616348
86760969471344,-46.655533,20.641502,-7.9663506
86760989329904,-49.80553,15.091503,-6.1663513
86761009183259,-51.155533,3.3915024,-3.6163483
86761029041563,-50.405533,1.1415024,-0.16635132
86761048899995,-50.405533,-4.708498,3.5836487
86761068758299,-50.25553,-8.758497,6.5836506
86761088616731,-50.105534,-12.208498,13.333651
86761108472127,-49.655533,-13.258497,16.633652
86761128330303,-47.105534,-15.508498,23.083652
86761148188479,-43.355534,-19.108498,22.633652
86761168046783,-39.00553,-18.808498,22.633652
86761187904959,-37.655533,-18.808498,22.633652
86761207765957,-38.85553,-18.808498,22.633652
86761227624261,-38.85553,-18.808498,22.633652
86761247482437,-39.00553,-18.808498,22.783651
86761267340613,-38.85553,-18.5085,23.083652
86761287198917,-38.405533,-17.608498,23.383652
86761307049901,-38.405533,-18.5085,23.683651
86761326907949,-38.25553,-17.908497,23.833652
86761346765997,-38.25553,-17.458498,24.283651
86761366623917,-37.655533,-17.458498,24.433651
86761386481965,-37.655533,-17.458498,27.583652
86761406346608,-37.80553,-16.708498,26.98365
86761426204784,-37.80553,-16.2585,26.683651
86761446062832,-37.655533,-15.658498,26.683651
86761465920880,-37.955532,-15.508498,26.683651
86761485779056,-37.955532,-14.158498,26.683651
86761505641346,-37.955532,-14.758498,26.533651
86761525499394,-38.405533,-14.608498,25.333652
86761545357570,-40.05553,-13.708498,22.333652
86761565215746,-41.405533,-13.258497,18.883652
86761585073922,-44.105534,-11.758497,16.48365
86761604936285,-46.955532,-10.708498,16.183651
86761624794589,-46.955532,-9.958498,16.183651
86761644652893,-46.955532,-8.608498,15.433651
86761664511197,-46.955532,-8.908497,14.533651
86761684369501,-46.955532,-8.908497,14.533651
86761704236515,-46.955532,-9.358498,12.583651
86761724094947,-46.955532,-10.108498,9.283651
86761743953507,-45.905533,-12.958498,4.933651
86761763811939,-43.655533,-16.708498,2.5336494
86761783670371,-41.55553,-21.208498,0.43365097
86761803535811,-41.25553,-25.108498,1.3336487
86761823394499,-41.25553,-24.358498,1.3336487
86761843253187,-41.55553,-24.058498,1.4836502
86761863111875,-41.705532,-23.908499,1.4836502
86761882970563,-41.705532,-23.908499,2.0836487
86761902833682,-42.155533,-23.7585,3.2836494
86761922692498,-42.00553,-23.7585,4.933651
86761942551314,-41.705532,-23.7585,9.283651
86761962410130,-41.55553,-24.058498,10.63365
86761982268946,-41.55553,-24.058498,9.88365
86762002127762,-41.405533,-24.208498,9.73365
86762021994715,-41.105534,-24.208498,9.433651
86762041853787,-40.50553,-24.208498,9.433651
86762061712859,-40.50553,-25.108498,9.283651
86762081571931,-40.50553,-23.908499,8.833651
86762101431003,-40.655533,-23.0085,7.7836514
86762121293369,-40.655533,-23.0085,7.183651
86762141152569,-40.655533,-23.0085,8.23365
86762161011641,-40.955532,-22.858498,8.38365
86762180870841,-41.55553,-22.2585,8.23365
86762200730041,-42.30553,-21.958498,8.23365
86762220596478,-41.405533,-22.108498,8.23365
86762240455806,-41.405533,-22.108498,8.083651
86762260315134,-41.25553,-22.2585,7.7836514
86762280174462,-40.655533,-22.408499,7.48365
86762300033790,-40.50553,-23.0085,6.88365
86762319890905,-39.905533,-24.358498,6.13365
86762339750105,-37.955532,-27.808498,5.8336506
86762359609433,-33.30553,-33.358498,4.7836494
86762379468761,-28.35553,-35.3085,4.3336487
86762399328089,-19.955532,-36.6585,4.48365
86762419169088,-18.155533,-38.1585,4.48365
86762439030209,-17.405533,-39.2085,4.48365
86762458889153,-17.405533,-38.3085,4.3336487
86762478748097,-17.255531,-38.3085,4.7836494
86762498607169,-17.255531,-38.3085,4.7836494
86762518464167,-17.105534,-38.3085,4.7836494
86762538322983,-16.955532,-38.3085,5.23365
86762558181927,-16.955532,-38.1585,5.38365
86762578040871,-16.955532,-38.1585,6.13365
86762597899687,-16.655533,-38.3085,7.7836514
86762617753590,-15.605533,-38.0085,10.033651
86762637612406,-14.255532,-38.0085,12.73365
86762657471222,-13.205531,-37.858498,13.933651
86762677329910,-11.105531,-37.2585,14.23365
86762697188726,-9.905532,-37.108498,16.633652
86762717048468,-6.905532,-36.9585,17.533651
86762736907156,-6.6055317,-36.2085,17.533651
86762756765972,-4.5055313,-35.0085,16.933651
86762776624788,-4.8055315,-34.858498,17.23365
