UPTIMENANO,Ax,Ay,Az
86759162312721,-0.2945874,4.5768824,5.836663
86759182171154,-0.2802173,4.3325906,6.583909
86759202030847,-1.1807446,4.014053,10.32014
86759221889279,0.14370118,4.785249,10.801538
86759241747584,1.7268091,5.4127445,7.486831
86759261606015,1.8681153,5.3863993,6.332432
86759281464319,2.203418,4.7157936,6.3875175
86759301322624,1.7962648,5.9252787,6.710845
86759321193410,3.1087356,5.364844,6.959927
86759341051970,3.899092,5.6809864,6.72761
86759360910531,2.2800586,6.2701616,7.094048
86759380769090,0.87178713,6.1312504,8.432864
86759400630350,0.68737066,5.6905665,10.619517
86759420488911,0.91250247,5.518125,11.520044
86759440347598,0.6993457,5.760022,10.459051
86759460206286,0.6179151,6.1959157,9.5489435
86759480064847,1.477727,6.1743608,8.816068
86759499923534,2.1411476,5.654641,9.843531
86759519782740,2.0046315,4.9361353,11.690091
86759539641429,1.3124708,4.2152348,11.773916
86759559500116,0.50774413,4.267925,9.254355
86759579358804,0.4263135,5.1061816,7.3958206
86759599217493,-0.4766089,4.8666797,8.353828
86759619079307,-1.1088941,4.0763235,9.481883
86759638938123,-0.732876,3.8176613,9.129815
86759658796940,0.15088624,3.7577858,8.552615
86759678655755,0.1341211,4.394861,6.840176
86759698512145,0.5125342,4.378096,8.169412
86759718370834,0.9148975,3.4775686,9.764495
86759738229521,-0.26345217,3.2021413,8.643626
86759758088337,0.3281177,4.033213,7.664063
86759777947026,1.6501685,4.960086,8.023315
86759797805713,0.24189699,4.742139,6.72761
86759817669893,-1.2885206,4.517007,6.08814
86759837528710,-0.2802173,3.7338357,7.556287
86759857387525,1.695674,4.4355764,8.650811
86759877246469,2.42376,4.758904,7.8197393
86759897105286,1.7842896,4.8379397,6.6581545
86759916974475,0.37601808,5.1564775,7.7478886
86759936833547,-0.014370117,5.249883,8.801697
86759956692748,-0.40715334,5.269043,8.296348
86759976551819,-0.40715334,5.3169436,9.263936
86759996422022,-0.97237796,5.367239,10.044712
86760016281479,-0.016765138,4.6199927,9.453142
86760036140934,3.283572,3.532654,8.859178
86760056000390,-0.3161426,4.9361353,8.447234
86760075859847,-0.5029541,4.3230104,7.831714
86760095719302,-2.1459377,6.318062,8.883128
86760115577600,-4.1146436,8.638836,9.702225
86760135437057,-0.1460962,5.9180937,8.842413
86760155296640,1.089734,5.0702567,7.685618
86760175156096,1.0801538,5.989944,8.416099
86760195015553,1.5543678,6.3803325,9.280701
86760214877714,1.839375,8.368198,6.8689165
86760234737298,1.5088624,5.8677983,7.95865
86760254596883,-0.11256592,4.785249,8.224498
86760274456466,0.038320314,3.8895118,8.602911
86760294306339,1.223855,4.5529323,7.5227566
86760314165668,2.5985963,5.5564456,2.7111623
86760334024867,0.89573735,4.5553274,3.0105398
86760353884195,0.023950197,2.411785,4.033213
86760373743396,2.435735,2.2201831,6.605464
86760393602723,-1.7244141,1.9687061,14.841937
86760413460972,-2.3495142,2.7111623,10.40157
86760433320301,-1.1280543,2.938689,9.963282
86760453179761,-1.4513819,2.6704469,11.088941
86760473038961,-1.3819263,2.565066,9.06994
86760492898162,-0.6346802,2.5075855,7.472461
86760512744829,0.9867481,2.2106032,7.685618
86760532603901,3.182981,1.9351759,8.085587
86760552462846,4.485872,1.4322218,8.859178
86760572321789,3.899092,1.223855,10.356065
86760592180733,1.1424243,1.0083033,11.108101
86760612039678,-1.1927198,0.85023195,10.221944
86760631893830,-2.1243825,0.4263135,9.599238
86760651752646,-2.8812087,0.09101075,8.8951025
86760671611591,-4.4403663,-0.6849756,2.8285182
86760691470534,-6.109695,-0.059875492,8.178992
86760711316916,-5.750442,-3.0368848,8.784932
86760731175477,2.083667,-0.9364527,10.765614
86760751034164,2.9650342,6.574329,3.3937428
86760770892724,5.4247193,3.887117,1.0130934
86760790751284,10.420731,-2.1579127,6.8521514
86760810604248,6.0114994,0.026345216,8.854387
86760830462680,4.1960745,1.4873072,6.351592
86760850321112,6.952742,0.90052736,3.8392165
86760870179544,9.623189,0.71371585,2.1124072
86760890038104,13.783338,-1.1615845,1.5615528
86760909895920,16.37954,-4.624783,3.8511915
86760929754352,14.9161825,-7.3838453,3.6691701
86760949612912,12.576248,-7.697593,-0.87178713
86760969471344,14.159356,-7.27128,-3.2308815
86760989329904,17.224981,-6.4928985,0.10777588
86761009183259,16.03226,-4.6942387,2.4812403
86761029041563,16.231049,-3.8679566,5.4127445
86761048899995,15.629898,-3.1255007,6.466553
86761068758299,14.844332,-1.465752,6.452183
86761088616731,16.190332,-2.2920337,-0.047900394
86761108472127,19.332598,-6.262976,-4.629573
86761128330303,17.974623,-3.6380348,5.376819
86761148188479,11.383529,4.4379716,10.7871685
86761168046783,12.351116,8.677156,5.3289185
86761187904959,12.482842,5.688172,3.4560134
86761207765957,8.883128,3.3578174,0.059875492
86761227624261,8.274793,3.8847218,-2.201023
86761247482437,9.608819,5.113367,-3.7529957
86761267340613,10.164463,5.233118,-4.495452
86761287198917,9.592053,3.7482057,-3.0728102
86761307049901,8.566985,3.0129347,-2.42855
86761326907949,7.4820414,1.5950831,-0.58677983
86761346765997,11.294912,-2.907554,-2.6009912
86761366623917,9.472302,-0.5939649,-5.7312818
86761386481965,10.269844,-2.684817,0.023950197
86761406346608,13.51749,-4.5696974,-4.1002736
86761426204784,10.226734,-2.4093897,0.09101075
86761446062832,8.210127,-2.8500733,2.6153615
86761465920880,9.053174,-1.949546,1.3076807
86761485779056,5.745652,-0.33530274,3.06323
86761505641346,5.7145166,-2.929109,1.6405884
86761525499394,8.284373,-3.66438,-0.33769777
86761545357570,12.312796,-3.4943337,0.39278322
86761565215746,14.295872,-2.4668703,0.09340577
86761585073922,13.261224,2.076482,0.9699829
86761604936285,10.226734,1.1136842,1.4346168
86761624794589,4.493057,3.5949244,1.1759547
86761644652893,6.0498195,4.4547367,1.8824854
86761664511197,9.908196,5.6714063,-0.9316626
86761684369501,10.109378,2.8428884,-2.3830445
86761704236515,12.1235895,-0.21315674,-3.4823585
86761724094947,14.511424,-0.613125,0.3161426
86761743953507,15.251485,4.1218286,9.544153
86761763811939,9.72378,6.6030693,14.039605
86761783670371,4.4188113,12.078084,9.029224
86761803535811,9.951306,14.988033,3.7146754
86761823394499,11.57034,10.921289,2.090852
86761843253187,10.262659,7.676038,-0.16525635
86761863111875,12.636124,4.773274,4.567302
86761882970563,6.3851223,4.174519,1.954336
86761902833682,3.6068995,-0.14130616,1.710044
86761922692498,4.3349857,-1.465752,7.182664
86761942551314,-0.55324954,7.9826,-5.108577
86761962410130,-3.5949244,8.281978,-2.3303542
86761982268946,5.010381,1.4873072,-0.5987549
86762002127762,4.976851,-0.2921924,-0.9627979
86762021994715,4.9002104,2.1171973,0.68737066
86762041853787,6.559959,2.3830445,2.0549269
86762061712859,6.809041,1.1208692,1.3891114
86762081571931,8.468789,3.647615,1.8848804
