UPTIMENANO,P
86767158094479,1002.56165
86767257697654,1002.5685
86767356842953,1002.5682
86767456049302,1002.57324
86767555499851,1002.57324
86767653240999,1002.58185
86767752630499,1002.5779
86767854095700,1002.5830000000001
86767951287397,1002.5830000000001
86768050554797,1002.58606
86768151592648,1002.58777
86768250005346,1002.59155
86768349120120,1002.58954
86768450341121,1002.59973
86768547560315,1002.59973
86768646797189,1002.59973
86768748018190,1002.605
86768845118312,1002.60834
86768944385711,1002.61
86769045179362,1002.61005
86769142889985,1002.6151
86769242310009,1002.6203
86769343012085,1002.6186
86769440631133,1002.62
86769539715382,1002.6217
86769640753233,1002.6251
86769738250180,1002.6251
86769837395479,1002.62683
86769938738581,1002.63
86770035441877,1002.6278
86770135014527,1002.6381
86770236632354,1002.6415
86770334037726,1002.6466
86770433488275,1002.65344
86770535979072,1002.6556
86770632529744,1002.65515
86770731858193,1002.6621
86770833872845,1002.6549
86770930576142,1002.6567
86771029782491,1002.6638
86771131308742,1002.6705
86771228164664,1002.6737
86771327279438,1002.6794
86771428958315,1002.6809
86771525478461,1002.6893
86771624593236,1002.6978
86771725875287,1002.696
86771822883834,1002.6994
86771922029133,1002.70074
86772021357582,1002.7093
86772120502882,1002.71454
86772219648181,1002.7213
86772319068205,1002.7281
86772418121929,1002.73334
86772517389328,1002.73834
86772616925155,1002.74365
86772715887304,1002.74146
86772815215753,1002.7412
86772914422102,1002.7395
86773014269477,1002.74475
86773113079001,1002.74774
86773212804276,1002.7493
86773311858000,1002.7565300000001
86773411216974,1002.75995
86773510606474,1002.7528699999999
86773609904398,1002.7565300000001
86773709415997,1002.7562
86773808561297,1002.7579300000001
86773907584496,1002.7665
86774006821370,1002.76776
86774105875094,1002.76404
86774205111968,1002.7653
86774304379367,1002.7726
86774403463616,1002.7777
86774502578391,1002.7849
86774601661987,1002.77905
86774700837811,1002.7858
86774799922060,1002.7961
86774899067359,1002.7961
86774998182133,1002.7992
86775097724258,1002.8044
86775197357957,1002.8042
86775296961132,1002.8042
86775396381157,1002.8023
86775495923282,1002.80566
86775595556983,1002.80566
86775695007532,1002.80206
86775794335981,1002.8037
86775892840253,1002.8106
86775992107652,1002.8156
86776091558202,1002.8204
86776191466626,1002.8204
86776291100326,1002.8238
86776391003966,1002.8217
86776491736567,1002.8217
86776589996640,1002.82
86776689477715,1002.82
86776790301890,1002.82855
86776887127287,1002.8388
86776986272586,1002.8385
86777088043038,1002.8419
86777184807385,1002.8453
86777283983209,1002.847
86777385173685,1002.8522
86777482823258,1002.8573
86777582518009,1002.8625
86777683189560,1002.8625
86777781724359,1002.8642
86777880045480,1002.86035
86777981327531,1002.8639
86778078366603,1002.8673
86778177603478,1002.8739999999999
86778277420327,1002.8702400000001
86778376107751,1002.87366
86778475771976,1002.8717
86778576931927,1002.8751
86778673665749,1002.8802
86778772505890,1002.8871
86778871315413,1002.8943
86778970460712,1002.8923
86779069239711,1002.8923
86779168354485,1002.8937
86779268232386,1002.8885
86779367682937,1002.8799
86779467164012,1002.8834
86779566614563,1002.8937
86779666004062,1002.90045
86779765454611,1002.8954
86779863806256,1002.8971
86779962676830,1002.8816
86780061638979,1002.8782
86780161181103,1002.87646
86780261394778,1002.8777
86780360535378,1002.8742699999999
86780459924877,1002.8689999999999
86780560046978,1002.86224
86780659314377,1002.8708
86780758917552,1002.8828
86780857116574,1002.8902
86780955834523,1002.8919
86781054644047,1002.8777
86781153361995,1002.8879400000001
86781252263094,1002.88586
86781350950518,1002.8807400000001
86781450278967,1002.8757
86781549302166,1002.8481
86781648477990,1002.8531
86781747226464,1002.8634
86781849668467,1002.86975
86781945547588,1002.87146
86782045059187,1002.87823
86782144662362,1002.87665
86782243746611,1002.8835
86782342952960,1002.8818
86782442037209,1002.8795
86782540846733,1002.8817
86782640053082,1002.8800699999999
86782738862606,1002.8869
86782838280923,1002.8817
86782937334647,1002.88684
86783036632572,1002.883
86783136174696,1002.8742699999999
86783234495820,1002.8777
86783333793744,1002.8795
86783433274818,1002.8810000000001
86783532389592,1002.8828
86783631656992,1002.8882
86783731168591,1002.8999
86783830222315,1002.9016
86783928940264,1002.8965
86784028116088,1002.88745
86784127475062,1002.8931
86784226711937,1002.9033
86784325918286,1002.9049699999999
86784423415233,1002.908
86784522072132,1002.9183
86784621003756,1002.9200400000001
86784719904855,1002.9234
86784818799858,1002.9251
86784918006207,1002.9269
86785017182031,1002.9265
86785116205230,1002.9194
86785215258954,1002.9211
86785314160053,1002.9314
86785413122202,1002.94354
86785512389601,1002.9432400000001
86785611260175,1002.9502
