UPTIMENANO,Gx,Gy,Gz
86759132525073,-0.010511602,-0.48740667,0.28683648
86759142454290,-0.16018125,-0.55664885,0.2772491
86759152383507,-0.2523266,-0.7643754,0.24156272
86759162312721,-0.32689515,-1.0253652,0.21865955
86759172241938,-0.41691,-1.1638496,0.22505113
86759182171155,-0.48721743,-1.1057926,0.27778172
86759192101759,-0.4483353,-1.1057926,0.45248508
86759202030848,-0.20758553,-1.3369551,0.7385086
86759211960065,0.1929539,-1.5398879,0.93611515
86759221889279,0.6238534,-1.636827,0.8727319
86759231818496,0.8896369,-1.7449514,0.5701968
86759241747585,0.90242004,-1.952678,0.2522154
86759251676799,0.78737146,-2.187036,0.062065672
86759261606016,0.6771166,-2.3185964,-0.05351552
86759271535105,0.59402597,-2.497028,-0.18986937
86759281464319,0.54768693,-2.7212663,-0.20105465
86759291393536,0.47897744,-2.8000958,-0.08387556
86759301322625,0.38949522,-2.4922345,0.07591411
86759311264194,0.289893,-1.050399,0.3086744
86759321193411,0.18656231,0.7882475,0.6016221
86759331122756,-0.01477266,1.4503094,0.70282227
86759341051970,-0.3609836,1.5461832,0.5297168
86759350981315,-0.6715082,1.8066404,0.3118702
86759360910532,-0.8589948,2.1714935,0.18350582
86759370839874,-0.97723913,2.434081,0.12385101
86759380769091,-1.0022728,2.5086496,0.09349097
86759390698436,-0.92344326,2.4090474,0.09721939
86759400630350,-0.7455441,2.151786,0.15367842
86759410559567,-0.4451395,1.7320719,0.23570378
86759420488912,-0.11757068,1.2399197,0.2905649
86759430418254,0.11732013,0.8329886,0.31985965
86759440347599,0.2835014,0.5288556,0.35075232
86759450276944,0.3676573,0.30568272,0.3619376
86759460206286,0.36233097,0.19329733,0.36673132
86759470135503,0.26645717,0.14536043,0.3321102
86759480064848,0.114124335,0.19010153,0.2591396
86759489994190,-0.01477266,0.41593757,0.18350582
86759499923535,-0.077090636,0.70568955,0.10414361
86759509852880,-0.04886112,0.8574897,0.035966694
86759519782740,0.059263222,0.7653443,-0.0316776
86759529712085,0.2408908,0.6353821,-0.04552604
86759539641430,0.4203879,0.6327189,0.0791099
86759549570772,0.47737953,0.69663477,0.27884698
86759559500117,0.39162573,0.82286865,0.4210598
86759569429462,0.19348654,0.904894,0.44502825
86759579358804,-0.037675846,0.88784975,0.39283028
86759589288149,-0.21983607,0.739778,0.33477336
86759599217494,-0.29919827,0.49157137,0.3470239
86759609149963,-0.27789298,0.2327121,0.46633354
86759619079308,-0.2171729,-0.115629375,0.59416527
86759629008781,-0.11757068,-0.43361083,0.6943001
86759638938123,-0.020631613,-0.4746235,0.8423719
86759648867468,0.04062109,-0.24718954,0.9616815
86759658796941,0.026240023,0.0707919,0.99896574
86759668726283,-0.16870338,0.21939631,1.0335869
86759678655756,-0.4701732,0.21673314,1.0303911
86759688585101,-0.5996029,0.32325956,0.9281257
86759698512145,-0.52024066,0.44310182,0.7640749
86759708441490,-0.31411195,0.48784292,0.54143465
86759718370835,-0.05045902,0.46653765,0.3965587
86759728300177,0.11305907,0.41487232,0.4359735
86759738229522,0.19881286,0.43298182,0.57552314
86759748158995,0.18602969,0.4777229,0.7688686
86759758088337,0.14501701,0.45002604,0.70601803
86759768017682,0.22810763,0.17838362,0.42052716
86759777947027,0.4044089,-0.18061051,0.12811206
86759787876369,0.5109353,-0.44373083,-0.09506084
86759797805714,0.48643428,-0.5822152,-0.1770862
86759807735059,0.36818993,-0.5060488,-0.13127983
86759817669893,0.21479183,-0.30045277,0.008802449
86759827599238,0.14874543,-0.18753472,0.1254489
86759837528711,0.14714754,-0.12521675,0.2575417
