UPTIMENANO,Ax,Ay,Az
86759133244188,0.20125294,-0.5950787,-2.3895736
86759153244188,0.4381506,-0.40434024,-2.7012966
86759173244188,0.4334688,-0.3829813,-2.258904
86759193244189,-0.28704524,-0.59551847,0.10217667
86759213244188,-0.26504466,-0.308282,2.018431
86759233244188,0.85859066,0.25566632,0.40691298
86759253244189,1.2513157,0.36813623,-1.5818036
86759273244188,1.115368,-0.14328165,-1.9349219
86759293244188,0.5728409,0.21037714,-1.6037445
86759313244189,0.9096154,0.31755275,-1.2378191
86759333244188,1.9990531,0.2874004,-1.2976456
86759353244188,1.4883064,0.8304539,-1.232492
86759373244189,0.35753232,1.1263456,-0.41072848
86759393244188,0.106333815,0.9567789,1.3351302
86759413244188,0.47696096,0.7768325,2.6495545
86759433244189,0.5574753,0.86428154,2.294898
86759453244188,0.45888883,1.178374,1.3550997
86759473244188,0.9906094,1.2696595,0.5822166
86759493244189,1.7682126,0.9135145,1.0137545
86759513244188,2.0284915,0.26460513,2.5920937
86759533244188,1.6324983,-0.4942982,3.2769685
86759553244189,0.95248735,-0.7662403,1.6244248
86759573244188,0.7461663,-0.21004486,-0.4282872
86759593244188,0.18005656,-0.09340122,-0.34265217
86759613244189,-0.53798836,-0.6799465,0.7161855
86759633244188,-0.5669392,-1.051535,0.76561797
86759653244188,0.040708967,-1.1725315,0.24770589
86759673244189,0.20375262,-0.7002464,-1.1752187
86759693244188,0.43995547,-0.44717044,-0.7180777
86759713244188,0.8479765,-1.0440654,0.7755676
86759733244189,0.098958075,-1.4757621,0.34413004
86759753244188,0.26242703,-0.9486057,-0.6599629
86759773244188,1.3949518,-0.08213805,-0.60039955
86759793244189,0.5597526,-0.11159516,-1.4673011
86759813244188,-1.0232829,-0.3983588,-2.2256405
86759833244188,-0.6202692,-1.090432,-1.1998351
86759853244189,1.0877451,-0.7272961,-0.0017537818
86759873244188,2.0316138,-0.3617846,-0.41228324
86759893244188,1.798685,-0.24241896,-1.5126768
86759913244189,0.71293443,0.0749638,-0.879738
86759933244188,0.31382677,0.24165252,0.17378604
86759953244188,0.14055988,0.28320056,-0.048869222
86759973244189,0.22694172,0.3268605,0.6797785
86759993244188,-0.26721102,0.31145117,1.5345745
86760013244188,0.2677016,-0.4451137,1.2274344
86760033244189,3.060642,-1.6035984,0.6954755
86760053244188,0.40162173,-0.67470986,0.3319487
86760073244188,-0.32385507,-1.093016,-0.20706482
86760093244189,-1.8081232,0.5205994,0.66732943
86760113244188,-3.7682214,2.7554662,1.5637457
86760133244188,-0.55464077,0.5374387,0.94392675
86760153244189,0.9486604,-0.52830994,-0.18466398
86760173244188,1.0036074,0.3099177,0.2897409
86760193244188,1.3127128,0.8678438,1.0718052
86760213244189,1.6012363,2.8274348,-1.130853
86760233244188,1.3739223,0.8432097,-0.42833215
86760253244188,-0.053420544,-0.22774498,-0.17769831
86760273244189,0.05134389,-1.0564506,0.14396627
86760293244188,1.2661883,-0.5742833,-0.7999956
86760313244188,2.8287241,0.47438946,-5.4755607
86760333244189,1.3899074,-0.08485281,-5.6087728
86760353244188,0.4864799,-1.6256241,-4.8945975
86760373244188,2.811393,-1.1526207,-2.6554844
86760393244189,-1.1783302,-0.7294559,5.278145
86760413244449,-1.5799128,0.38742512,0.9512858
86760433244449,-0.030337537,0.896249,0.43673447
86760453244449,-0.08493246,0.76364535,1.5603247
86760473244449,0.17059952,0.7108554,-0.4517514
86760493244449,1.0057038,0.73284847,-2.0338254
86760513244449,2.6966739,0.5708479,-1.8314558
86760533244449,4.9250956,0.4753526,-1.4391266
86760553244449,6.0563765,0.2274149,-0.68393713
86760573244449,5.4413342,0.27426103,0.7734367
86760593244450,2.8497503,0.25462255,1.4555671
86760613244449,0.6791652,0.25266206,0.58600265
86760633244449,-0.25006366,0.0018727314,-0.055960435
86760653244450,-1.118047,-0.19592644,-1.1826062
86760673244449,-3.014373,-0.5270915,-6.412217
86760693244449,-4.719417,0.24066907,-1.4624491
86760713244450,-3.8945239,-1.8244289,-0.7157522
86760733244449,2.7526922,1.3643242,0.3263778
86760753244449,3.2511668,8.405347,-6.4437327
86760773244449,5.3742676,6.1863656,-7.6049414
86760793244449,8.280511,2.0381844,-1.7436037
86760813244449,3.0947993,4.778116,0.2607758
86760833244449,0.90517473,6.3672304,-1.6178899
86760853244449,2.8134918,6.0132947,-3.4296641
86760873244449,4.8879113,5.4850554,-4.425766
86760893244449,7.9711595,2.9236748,-4.049512
86760913244449,9.095245,-1.347062,-1.8920907
86760933244449,6.833171,-4.9126596,-2.6905427
86760953244449,4.707437,-6.1875997,-6.553107
86760973244449,6.1489506,-6.4715133,-7.2771416
86760993244449,7.994185,-6.214805,-3.3285048
86761013244449,6.7904706,-5.3853354,0.036599476
86761033244449,6.702771,-5.3637366,3.38665
86761053244449,6.0884895,-5.1593637,4.8396783
86761073244449,5.8571286,-4.6354094,4.0119677
86761093244449,7.675952,-6.483677,-1.0954155
86761113244449,9.827382,-8.9695425,-1.341313
86761133244449,7.23032,-4.97491,8.127845
86761153244449,2.5423696,2.3258142,11.24197
86761173244449,3.2757971,4.876046,6.8558836
86761193244449,2.4002964,2.0401356,4.5333047
86761213244449,-0.3979613,0.45409682,1.3911233
86761233244449,-0.47300988,1.2193571,-0.6858726
86761253244449,0.61241883,2.2171354,-2.0402982
86761273244449,0.85014755,1.7965832,-2.1791794
86761293244449,0.21020898,0.30712256,-0.989408
86761313244449,-0.776991,-0.8700923,-0.056252513
86761333244449,-0.30978203,-3.3976831,0.3108228
86761353244449,1.7865199,-5.8865805,-1.9568262
86761373244449,0.8622124,-5.0917115,-2.0972512
86761393244449,2.4487984,-6.9820566,0.38697562
86761413244449,3.4156382,-7.357893,-0.80352175
86761433244449,0.3889159,-5.6818795,2.7834973
86761453244449,-0.6895617,-5.394173,3.934262
86761473244449,-1.4486179,-4.053992,3.6062293
86761493244449,-3.6563094,-3.8144016,3.84093
86761513244449,-2.816507,-5.43003,1.7259696
86761533244449,0.22262694,-5.4267373,0.1301271
86761553244449,3.4050417,-4.4852247,-0.18811496
86761573244449,4.13461,-1.6008394,-0.10238865
86761593244449,2.2339714,0.9987099,0.8836946
86761613244449,-1.9627458,1.5929809,1.3581861
86761633244449,-4.639749,3.4891295,1.4364299
86761653244449,-2.0751724,4.530342,0.4673067
86761673244449,0.2276016,3.7048192,-2.0319247
86761693244449,1.3418741,0.10120046,-3.7792299
86761713244449,3.9545515,-2.8805466,-3.8539963
86761733244449,6.3517714,-2.1331203,1.3727472
86761753244449,4.595565,0.71835184,8.451058
86761773244449,-0.7380313,4.2797832,8.684759
86761793244449,-0.89319754,8.571458,3.5666916
86761813244449,2.6859174,8.213861,0.031039644
86761833244449,2.6866598,4.702641,-1.6948682
86761853244449,2.9964676,1.8680862,-0.17009285
86761873244449,0.9467561,0.016826605,1.2064388
86761893244449,-3.3855002,-2.8749115,-0.047172297
86761913244449,-4.0951023,-6.0662327,2.7175176
86761933244449,-5.997966,-2.2120638,-1.1022282
86761953244449,-9.744232,2.122317,-5.30429
86761973244449,-6.4694858,-1.3787549,-3.237154
86761993244449,-2.6531816,-5.3160777,-2.7627785
86762013244449,-2.826786,-4.596964,-2.035717
86762033244449,-2.0698495,-3.189541,-0.4912732
86762053244449,-1.3548481,-3.5787227,-0.27877787
86762073244449,-0.43703428,-2.370414,-0.36806083
86762093244449,1.2104864,-0.74180967,-0.18286636
86762113244449,1.6467016,-1.144977,-0.36816505
86762133244449,0.579461,-1.493417,0.2851553
86762153244449,-1.2848767,-1.1392423,0.80799663
86762173244449,-1.3853979,-0.45270452,-0.34338328
86762193244449,0.5555154,1.1302762,-1.5059286
86762213244449,0.98803633,2.2712953,-1.4411676
86762233244449,-0.64027154,1.6870221,-0.60154253
86762253244449,-1.6029605,0.49653518,0.05473201
86762273244449,-2.2240403,-0.113783166,-0.43899792
86762293244449,-2.565594,-0.12648359,-1.436613
86762313244449,-3.052275,-0.3373963,-1.5083008
86762333244449,-4.4506054,-0.33836243,-0.4045596
86762353244449,-5.240627,0.28052762,0.10053378
86762373244449,-4.181341,2.1095564,0.0146809835
86762393244449,-1.5317672,13.782265,-0.9631857
86762413244449,4.4929614,8.668792,-0.5646663
86762433246626,7.4520884,3.2083943,0.9492438
86762453246626,5.34488,3.784032,1.2057397
86762473246626,1.3215126,2.6093888,0.973621
86762493246626,-1.8059627,1.1960423,0.5234836
86762513246626,-1.6001468,0.71122473,-0.21525763
86762533246626,-0.5151579,0.36086363,0.47444937
86762553246626,0.61558735,0.62798536,0.7115662
86762573246626,0.13647577,1.2453771,-0.16828431
86762593246626,-0.22938111,-1.9083663,2.0508015
86762613246626,0.9322017,-4.5230994,1.1365556
86762633246626,2.4381618,-4.861401,1.9364635
86762653246626,2.5451355,-4.3673525,1.3763009
86762673246626,1.6667373,-3.5739863,0.5464842
86762693246626,-0.32416677,-1.5735848,0.3963363
86762713246626,-2.2782338,1.5728678,-3.562688
86762733246626,-2.8188558,1.8016883,-6.4199457
86762753246626,0.34097624,-0.08557258,-1.9838797
86762773246626,2.2777827,-0.95037025,-1.7822958
86762793246626,-0.42508003,-0.25329387,-2.7546916
86762813246626,-2.936634,0.7493001,-1.9478499
86762833246626,-1.4351839,-0.3529427,-0.13177644
86762853246626,-0.43237472,-0.5875987,0.19252943
86762873246626,3.2220964,-0.20884147,0.016683668
86762893246626,-1.4241861,0.7826124,3.45052
86762913246626,-1.7408711,1.1057601,3.1037304
86762933246626,0.22957294,0.89061576,1.8637388
86762953246626,-0.5137198,0.47067034,1.861675
86762973246626,-1.1249698,-0.12068948,-0.49597737
86762993246626,-2.58655,0.08499726,-2.4595447
86763013246626,-2.7527928,-0.4826212,-1.0543098
86763033246626,-1.4774421,-1.5864364,-0.37440622
86763053246626,0.022794642,-2.267856,0.13504787
86763073246626,0.46398732,-0.85289943,-0.4510326
86763093246626,0.22504596,-0.35800448,-1.4100139
86763113246626,0.99553907,-0.07919575,-0.99071246
86763133246626,2.1122866,1.533229,1.4174068
86763153246626,1.7528653,1.3471781,3.4027734
86763173246626,1.8383102,-0.077063404,3.3073707
86763193246626,0.437405,-0.5183354,-0.49913755
86763213246626,0.23260245,-0.5456645,-3.0767984
86763233246626,1.1689839,0.034210272,-1.4249387
86763253246626,-1.3372904,0.29837495,0.070322834
86763273246626,-1.1026354,-0.08030836,0.25805542
86763293246626,-1.4629654,0.004312576,0.6540053
86763313246626,-1.3938829,-0.1288376,0.36509076
86763333246626,-0.87907904,-0.30109352,-0.6817107
86763353246626,-1.5058993,-0.029524688,-0.14093296
86763373246626,0.15264389,-0.22626545,0.803477
86763393246626,0.44777495,0.20705844,-0.2124591
86763413246626,0.23723598,0.029096369,-0.6352072
86763433246626,0.15722713,0.024375688,-0.121508546
86763453246626,-0.027751952,-0.030386645,0.36334237
86763473246626,0.13146111,-0.067915455,0.19901747
86763493246626,0.35042113,-0.1404078,-0.14139067
86763513246626,0.54715735,-0.111155346,-0.07711085
86763533246626,0.6358791,-0.05648706,0.16941063
86763553246626,0.6166944,-0.002941377,0.25451547
86763573246626,0.46123475,-0.042216912,0.30919835
86763593246626,0.31908756,-0.026402961,0.23233396
86763613246626,0.24071975,-0.07911285,0.19074371
86763633246626,0.23137291,0.047884315,0.24333327
86763653246626,0.27367753,0.11477068,0.21625364
86763673246626,0.32045436,-0.024047492,0.19255887
86763693246626,0.29062584,-0.10931778,0.1990283
86763713246626,0.24867304,-0.119720764,0.24511687
86763733246626,0.11226024,-0.022121932,0.1887644
86763753246626,-0.07110943,0.12310916,0.14357665
86763773246626,-0.22886512,0.14343208,0.16116484
86763793246626,-0.32643262,0.0015537293,0.18130903
86763813246626,-0.33257434,-0.17037971,0.025211591
86763833246626,-0.25805432,-0.15423636,-0.08767715
86763853246626,-0.15789536,0.054394774,-0.013497393
86763873246626,-0.013156681,0.072935745,0.17874749
86763893246626,0.06455477,-0.14193475,0.05078435
86763913246626,0.05528157,-0.26701483,-0.1809314
86763933246626,0.013218301,-0.24912521,-0.1895482
86763953246626,-0.037387002,-0.07454138,-0.099749394
86763973246626,-0.058610093,0.04702475,0.06168235
86763993246626,-0.01509461,0.16905849,0.027242957
86764013246626,-0.016708117,0.13964988,-0.14567429
86764033246626,-0.14390743,-0.042402897,-0.18811339
86764053246626,-0.20297913,-0.1338053,-0.0066528455
86764073246626,-0.16007139,-0.15227266,0.113553524
86764093246626,-0.12955378,-0.12455057,0.11247885
86764113246626,-0.097253755,-0.07580767,0.06543323
86764133246626,0.017712204,0.014943803,-0.017333452
86764153246626,0.20293094,0.14672457,-0.0926568
86764173246626,0.24121441,0.082426414,0.04183366
86764193246626,0.08959234,-0.13614537,0.07279179
86764213246626,-0.080882095,-0.2216145,0.039071053
86764233246626,-0.12889422,-0.12948965,0.15997355
86764253246626,-0.07332263,0.02727512,0.23204371
86764273246626,-0.0208354,0.016489718,0.16165042
86764293246626,0.01208046,-0.04009621,0.057171177
86764313246626,0.013214793,-0.1369562,0.059129868
86764333246626,-0.0054300395,-0.09350739,0.072074175
86764353246626,0.009662235,0.097455315,0.063009106
86764373246626,-0.0037905425,0.117639124,0.17420451
86764393246626,-0.11190721,0.029551063,0.27072814
86764413246626,-0.12889497,-0.06892213,0.18792383
86764433246626,-0.033619534,-0.1144422,0.20439863
86764453246048,0.010270255,0.027383436,0.2523667
86764473246048,0.09424626,0.05462436,0.1287538
86764493246048,0.104334325,-0.08753134,0.009256561
86764513246048,-0.06546301,-0.20818232,0.07235178
86764533246048,-0.14415483,-0.13630536,0.17067134
86764553246048,-0.08417247,0.007346384,0.23266132
86764573246048,0.007549088,0.06754486,0.23136424
86764593246048,0.07103338,0.041429967,0.12918341
86764613246048,0.07644258,-0.026191304,0.058633145
86764633246048,0.06594007,-0.049718335,0.10036363
86764653246048,0.086040005,-0.036703736,0.1716892
86764673246048,0.1006458,-0.06357219,0.17070414
86764693246048,0.09220534,-0.10578305,0.1254802
86764713246048,0.09937952,-0.1245229,0.0995171
86764733246048,0.12581263,-0.08779611,0.10827373
86764753246048,0.12669478,-0.04850866,0.11009814
86764773246048,0.094000496,0.0066774935,0.12779756
86764793246048,0.056674898,0.100870095,0.16698505
86764813246048,0.048877776,0.09509236,0.14272594
86764833246048,0.016800763,-0.02416535,0.0804681
86764853246049,-0.00889172,-0.14405002,0.032107346
86764873246050,0.060865164,-0.17011017,0.055351257
86764893246048,0.1363072,-0.12518413,0.122475974
86764913246048,0.13148382,-0.10628889,0.14374186
86764933246048,0.10494059,-0.05615152,0.12794319
86764953246048,0.1070584,0.035788525,0.03978162
86764973246048,0.08088864,0.05895136,-0.017140495
86764993246048,-0.0049388874,0.0027835653,-0.03890004
86765013246048,-0.04572035,-0.042870484,-0.046821065
86765033246048,-0.029202802,-0.035702817,0.11660096
86765053246048,0.009212481,-0.011846432,0.19535388
86765073246048,0.05406962,0.014632799,0.041845556
86765093246048,0.050140608,-0.036945667,-0.041251786
86765113246048,0.016904067,-0.091700055,-0.020440076
86765133246048,-0.00332418,-0.10320996,0.06474419
86765153246048,4.81444E-4,-0.072448514,0.106323846
86765173246048,-0.004960805,-0.031636305,0.07850633
86765193246048,-0.04013009,-0.038067304,0.025225813
86765213246048,-0.053649202,-0.03470801,0.0069086705
86765233246049,-0.056849115,-0.0010707476,0.038992915
86765253246050,-0.04493403,0.019399194,0.07371767
86765273246048,-0.026334189,-0.06511373,0.052998524
86765293246048,-0.04779624,-0.11669305,0.0052064075
86765313246048,-0.055751566,-0.1285408,-0.0022055607
86765333246048,-0.10306913,-0.08064933,0.088107556
86765353246048,-0.12705536,-0.018201778,0.09019525
86765373246049,-0.09023248,0.04070494,0.024971439
86765393246050,-0.08465021,0.029655434,0.062024716
86765413246051,-0.058812935,-0.062531084,0.019114032
86765433246052,-0.06278964,-0.046400562,0.06303028
86765453246053,-0.070258126,-0.0285522,0.124251656
86765473246054,-0.073727354,-0.07958613,0.076513514
86765493246055,-0.06280062,-0.091212675,0.1020658
86765513246056,-0.024640309,-0.07284656,0.09869136
86765533246057,-0.012005545,-0.04086785,0.124659926
86765553246058,-0.015667114,-0.006613088,0.15980102
86765573246059,-0.009424873,-0.0080539575,0.09320746
86765593246060,0.0075800302,-0.0013406673,0.091418296
86765613246061,0.033772882,-0.029603353,0.08219961
86765633246062,-0.005306025,-0.028872738,0.059479572
86765653246048,-0.044823166,-0.08471842,0.1567633
86765673246049,-0.014174925,-0.112533,0.14277755
86765693246050,0.026298318,-0.10462805,0.08642109
86765713246051,0.068713576,-0.071220085,0.044567656
86765733246052,0.033551987,-0.021838052,0.097642586
86765753246053,0.01823882,0.048477136,0.16265348
86765773246054,0.030597655,0.035341725,0.08748651
86765793246048,0.021696206,0.031050505,0.12009554
86765813246048,0.03365091,-0.060688563,0.06528716
86765833246048,0.035799764,-0.120062724,0.074973844
86765853246048,0.013725805,-0.0733499,0.19833907
86765873246048,0.029875059,-0.05779556,0.12874398
86765893246048,0.03357719,-0.104069375,0.070923194
86765913246048,0.03402023,-0.1113978,0.0016896869
86765933246048,0.037079368,-0.0200721,0.09728417
86765953246048,0.039415635,-0.013228377,0.20031781
86765973246048,0.03610005,-0.024641274,0.11653491
86765993246048,-0.016350225,0.021647094,0.10055297
86766013246048,-0.018861046,-0.0030389512,0.064312115
86766033246048,-0.054620285,-0.012982513,0.075925045
86766053246048,-0.0011181902,-0.05595397,0.16423412
86766073246048,0.041267496,-0.053681295,0.06796513
86766093246048,0.039270055,-0.10889676,0.04553876
86766113246048,-0.04587537,-0.13226455,0.08234914
86766133246048,-0.061357677,-0.10248045,0.09136038
86766153246048,-0.057442762,-0.032984205,0.14725131
86766173246049,-0.028956931,0.022389079,0.08926095
86766193246050,-0.027784295,0.013535193,0.03331118
86766213246051,-0.06838192,-0.021915285,0.07269627
86766233246048,-0.042865623,0.0030452015,0.11165759
86766253246048,-0.0101846075,-1.5810199E-4,0.08150808
