UPTIMENANO,Ax,Ay,Az
841585192999,1.2112962,0.1800546,8.870254
841605050664,1.1297449,0.2294393,8.879023
841624908455,0.6164441,0.27805406,8.843688
841644776810,0.14044374,0.11265522,9.152156
841664634731,-0.19053961,-0.2835426,9.844918
841684496061,-0.20452794,-0.49715748,10.392006
841704353981,0.16732666,-0.30705324,10.298965
841724211902,0.48792726,-0.038761806,10.13799
841744069949,0.36993903,0.4262538,9.72362
841763942309,1.0242447,0.36875206,9.608891
841783800614,0.61889803,0.4021451,9.910202
841803658917,0.6351711,0.3348127,10.050385
841823517221,1.0703557,0.4824311,9.796272
841843375526,0.75239867,0.53446645,9.652304
841863240218,0.83547425,0.38583356,9.72802
841883098650,0.111715905,0.18804505,10.174707
841902957211,1.0428423,0.49132678,9.480037
841922815770,0.33605242,0.56329876,9.374365
841942681454,-0.28319052,0.62770206,9.374022
841962540143,0.304067,0.42643863,9.295843
841982398830,0.24277501,0.085283816,9.4678545
842002257518,-0.29062292,-0.42644736,10.046529
842022116207,0.48846537,-0.3837271,10.615163
842041974894,0.3392023,-0.29791144,10.720703
842061823508,0.1274009,-0.033967353,10.409303
842081682069,0.13193491,0.1455262,10.441678
842101540628,-0.052878972,0.38036352,10.329011
842121399188,-0.09700682,0.7691384,9.387442
842141257749,0.02958368,0.98160297,9.1235695
842161123909,-0.058890432,0.97770035,9.434278
842180982597,-0.60043865,1.0215081,9.732487
842200841414,-0.8206106,0.8797243,10.023631
842220700101,-0.115602806,0.8541155,9.824398
842240562044,0.73157734,0.63799477,9.92674
842260420861,0.49286142,0.4396123,10.134796
842280279804,0.7223271,0.465654,9.871843
842300138748,2.1159225,-0.008917665,9.866795
842319997693,1.6973422,0.11349256,9.65639
842339856636,-0.11571879,0.62296134,9.313765
842359713398,-3.3153095,1.8675041,9.064643
842379572471,-4.9638276,2.6603396,9.201352
842399431542,-3.067397,1.6108923,10.620756
842419290614,0.18012716,0.22782272,11.074396
842439149687,0.026796898,0.68574816,10.009148
842459005905,-0.16099899,0.8573063,9.048276
842478864977,0.31793773,1.1185867,8.44855
842498724050,-0.12794511,1.8767248,8.977301
842518583249,-1.1178296,0.6698385,11.072946
842538414114,-0.70202714,-0.064648,10.785922
842558272291,-1.6313058,0.8002674,11.05193
842578130466,-0.8090791,0.6797663,12.317852
842597988514,-0.13231063,0.8192056,10.959358
842617846691,-0.17998411,1.3898839,9.850472
842637704866,0.09402091,1.2006822,10.257425
842657555484,-0.098614454,0.022290137,11.399108
842677413405,-0.079135366,-0.43055198,11.697967
842697271324,1.0960869,-0.11874587,11.055712
842717129372,1.3333105,0.060327057,10.0610075
842736987293,1.7339252,0.78981596,8.596732
842756851892,3.123791,1.0927576,7.8228116
842776709940,3.7498634,1.4532773,5.533576
842796567989,-1.0829018,0.21531698,5.955286
842816426036,-2.001643,-1.2263128,8.552241
842836284212,1.020362,-1.5323256,9.929394
842856142261,2.3673687,-1.6442465,10.341289
842875988215,3.0848198,-0.63091403,9.636078
842895846007,3.483167,0.6925605,7.847533
842915703800,2.573413,1.8372921,6.4675813
842935561591,0.840783,2.0050354,6.0439615
842955418303,-0.5902606,1.7921579,6.480943
842975275968,-0.81567436,1.2499719,7.484316
842995133631,0.49283436,0.63890314,8.414365
843014991295,0.8002351,0.07283351,9.180542
843034849088,0.61832416,-0.8039435,10.011416
843054706056,0.8159141,-0.631961,11.105371
843074563720,1.6175448,-0.68532336,11.753198
843094421513,1.8776616,-0.7056595,11.598772
843114279176,0.6172889,0.23417827,11.154012
843134136968,-0.9886003,0.413141,10.74064
843153994633,-1.6557009,0.42335182,9.743571
843173852174,-9.513076,1.1403832,3.387925
843193709838,-1.3873767,4.1010914,2.868214
843213567503,7.4108114,-2.904043,9.324537
843233425166,1.9578608,-2.167707,9.231158
843253288556,-0.7758924,-0.09945204,9.1997795
843273146349,-0.4774161,-0.55922276,8.808903
843293004140,2.207248,0.21053922,9.503238
843312861932,4.5664124,1.5525414,6.303408
843332719597,5.1850653,1.9935005,4.0213733
843352577425,2.8104227,0.9836994,7.501454
843372435217,2.2984009,2.6366794,8.827447
843392293010,3.104748,1.3856151,8.903633
843412150801,3.4616296,0.9928739,7.9852486
843432008593,4.219853,-0.22293445,6.2100954
843451866386,5.4965625,-1.5743687,4.821868
843471731668,5.7688403,-1.8622004,9.049554
843491589588,4.533997,-1.9400368,13.98159
843511447509,4.4707103,-2.0813944,14.614675
843531305428,3.625672,-5.615713,14.503202
843551163348,0.91892105,-9.09508,16.774021
843571025058,-1.3095021,-6.164421,19.89065
843590883106,-2.1707683,-2.4902039,19.546637
843610741282,-2.6546698,-2.130973,17.739004
843630599330,-3.59561,-2.152002,17.646736
843650457378,-5.2303767,-1.408079,17.576298
843670315305,-5.367918,-1.3329778,13.655967
843690173225,-3.6756716,0.73334754,11.254391
843710031145,-2.670191,1.5552417,11.184999
843729889065,-0.06796583,3.7268734,12.869876
843749746985,4.0005155,5.0227957,11.744268
843769614523,2.5676346,5.8939133,8.724394
843789472699,-2.4054291,3.882317,11.583942
843809330875,-3.9306974,-1.3081431,12.925201
843829189051,-5.735432,2.0463393,12.678697
843849047227,-7.197183,2.5576673,12.222021
843868902983,-5.186822,0.2792491,8.60187
843888761159,-3.133516,0.1941438,5.503668
843908619335,2.9000309,4.378112,4.3098164
843928477511,2.2944899,6.254224,7.3494062
843948335687,-4.1076994,2.4011753,10.302151
