UPTIMENANO,Ax,Ay,Az
1198329971129,-1.1304493,4.636758,8.274793
1198349831994,-1.1088941,4.615203,8.52627
1198369692686,-1.1711646,4.6607084,8.602911
1198389553678,-1.0825489,4.5936475,8.696317
1198409414543,-1.0466236,4.5457473,8.734636
1198429275406,-1.1448194,4.6846585,8.710687
1198449134946,-1.1855347,4.749324,8.4304695
1198468995811,-1.2406201,4.87147,8.044871
1198488856674,-1.1663746,5.0606766,7.9969707
1198508717538,-0.90771246,5.0271463,8.202942
1198528578275,-0.6993457,4.8044095,8.710687
1198548439138,-0.44547364,4.974456,9.378897
1198568293364,0.7592212,4.160149,8.796907
1198588154101,0.5676197,4.0882983,9.125025
1198608014836,-0.12454102,4.528982,11.460169
1198627875444,-1.4178516,3.7601807,9.651929
1198647736181,0.34009278,3.779341,8.519085
1198667589592,2.1746778,4.0882983,8.162227
1198687450072,2.8620484,4.8259645,8.353828
1198707310553,2.565066,5.2858086,8.126302
1198727171032,2.8404932,5.1061816,5.8893533
1198747032891,3.182981,6.3060865,4.30385
1198766893372,4.1721244,5.877378,5.5660257
1198786753723,3.7170706,5.728887,6.5455885
1198806614075,3.300337,5.7552323,7.606582
1198826474428,3.7601807,5.3863993,8.0305
1198846334907,3.7194655,5.5588408,7.776629
1198866201604,3.9326222,5.6809864,7.6401124
1198886062213,4.0739284,5.750442,7.302415
1198905922692,3.767366,5.9635987,7.3814507
1198925783300,4.471502,5.5061502,7.462881
1198945643781,4.8571,5.4414845,7.5395217
1198965507806,4.368516,5.9468336,7.096443
1198985368414,3.2620168,6.2797413,6.8042507
1199005229023,2.8141482,6.480923,6.5407987
1199025089630,3.2380664,6.1240654,6.70366
1199044948691,4.272715,5.5420756,6.9096317
1199064809300,4.3565407,5.822293,7.158714
1199084669907,2.926714,6.4258375,7.711963
1199104530515,0.6993457,6.864126,7.3311553
1199124390996,0.78556645,6.0114994,6.2845316
1199144251603,1.587898,6.0306597,5.961204
1199164114337,2.7255323,6.557564,7.9155397
1199183975074,2.6153615,6.5384035,8.389753
1199203835681,3.420088,6.485713,7.668853
1199223696289,3.0225148,7.6329274,8.253238
1199243556898,3.1278956,7.3886356,6.1504107
1199263420272,3.887117,6.813831,5.47741
1199283281008,3.1901662,6.569539,5.760022
1199303141617,4.0978785,6.9551373,6.2869267
1199323002352,5.230723,6.9240017,7.709568
1199342863088,4.488267,6.9551373,8.0999565
