UPTIMENANO,Gx,Gy,Gz
1198300179769,0.012639541,-0.0041850577,-0.054350857
1198310110266,-0.020916289,6.086322E-4,-0.040502418
1198320040635,-0.048613165,-0.040404048,-0.03144767
1198329971129,-0.06672266,-0.10005885,-0.030382404
1198339901498,-0.06938582,-0.13681048,-0.027719242
1198349831995,-0.06459213,-0.15651788,-0.015468703
1198359762318,-0.05660265,-0.16504,-0.0021528967
1198369692687,-0.04488474,-0.1682358,0.014358702
1198379623184,-0.0310363,-0.16397473,0.028739773
1198389553678,-0.024644714,-0.15971367,0.03353346
1198399484047,-0.014524702,-0.14586523,0.03353346
1198409414544,0.003052161,-0.12562521,0.043120842
1198419345038,0.028085876,-0.106450446,0.062828235
1198429275407,0.036075357,-0.15385471,0.0788072
1198439205904,0.036075357,-0.23268428,0.082003
1198449134946,0.035542727,-0.27156645,0.082003
1198459065443,0.016900599,-0.29926333,0.09265564
1198468995812,-0.025177347,-0.35199392,0.09265564
1198478926306,-0.09335427,-0.4787604,0.10490618
1198488856675,-0.17431438,-0.6428111,0.106504075
1198498787044,-0.24621972,-0.8308303,0.06921982
1198508717538,-0.3053419,-1.0497421,0.011162909
1198518647907,-0.32611454,-1.2835677,-0.051687695
1198528578276,-0.3122661,-1.5440248,-0.11027724
1198538508770,-0.26645973,-1.8364398,-0.16833414
1198548439139,-0.18070596,-2.031916,-0.2040205
1198558369636,-0.09015848,-2.2545562,-0.24077213
1198568293364,-0.08429952,-2.4755986,-0.40109444
1198578223733,-0.100811124,-2.6071587,-0.6487684
1198588154102,-0.025177347,-2.6694767,-0.73665273
1198598084468,0.23741034,-2.646041,-0.6860527
1198608014837,0.5804255,-2.8207443,-0.56993884
1198617945078,0.77962995,-3.1589656,-0.36381018
1198627875444,0.8169142,-3.2697532,-0.028251875
1198637805813,0.8073268,-3.2638943,0.23966214
1198647736182,0.8914827,-3.2244794,0.41702867
1198657659352,1.1034703,-2.9262054,0.5283488
1198667589593,1.3271759,-2.3211353,0.58374256
1198677519834,1.5146624,-1.7038144,0.6071784
1198687450072,1.6696584,-1.267056,0.6364732
1198697380313,1.799088,-1.0081967,0.7014543
1198707310554,1.8949618,-0.8292324,0.76377225
1198717240792,1.8640691,-0.65026796,0.80158913
1198727171033,1.4763129,-0.8787672,0.7184985
1198737101274,0.628895,-1.6894333,0.5459257
1198747032891,-0.12318168,-2.1522908,0.4143655
1198756963132,-0.36925775,-1.8508209,0.30251274
1198766893373,-0.3548767,-1.1573337,0.1448536
1198776823483,-0.360203,-0.58688474,-0.0037507934
1198786753724,-0.42891258,-0.37596235,-0.053818226
1198796683965,-0.47045788,-0.30831808,-0.017066598
1198806614075,-0.42518413,-0.18314949,0.03033767
1198816544316,-0.31173348,0.028838139,0.052708223
1198826474429,-0.19561966,0.1769099,0.07401351
1198836404667,-0.14874803,0.21632469,0.10810197
1198846334908,-0.14288907,0.20300888,0.16562626
1198856265021,-0.09868059,0.19714992,0.23646635
1198866201604,-0.04009105,0.21472679,0.28919694
1198876131973,-0.020383656,0.24668472,0.3073064
1198886062214,-0.02570998,0.24029313,0.30943695
1198895992452,-0.029971037,0.2051394,0.32008958
1198905922693,-0.0310363,0.15773514,0.32381803
1198915853062,-0.033699464,0.09701507,0.30091482
1198925783300,-0.028905772,0.07304662,0.20823684
1198935713541,0.007313219,0.071981356,0.036729254
1198945643782,0.07389225,0.07357925,-0.083113
1198955577438,0.1457976,0.11832036,-0.13637622
1198965507807,0.20438714,0.19928046,-0.17152993
1198975438048,0.23421454,0.28982794,-0.19762892
1198985368414,0.25445458,0.33084062,-0.16673625
1198995298655,0.2693683,0.37345117,-0.11613619
1199005229024,0.29599988,0.46240076,-0.056481384
1199015159262,0.33541468,0.5002177,-0.0016202645
1199025089631,0.3391431,0.43257338,0.014358702
1199035019872,0.32529467,0.3553417,-0.0042834254
1199044948691,0.3327515,0.32338375,-0.09216774
1199054879060,0.3588505,0.35907012,-0.18591101
1199064809301,0.39613476,0.4464218,-0.21360789
1199074739539,0.41424426,0.46932498,-0.21733631
1199084669908,0.44247377,0.3718533,-0.1528878
1199094600149,0.45525694,0.24082576,-0.008544483
1199104530515,0.42329898,0.11033087,0.104373544
1199114460756,0.35618734,-0.026555613,0.15923467
1199124390997,0.27842304,-0.17729053,0.13739675
1199134321363,0.16816814,-0.18208423,0.15124519
1199144251604,0.028618509,-0.071296714,0.1991821
1199154181973,-0.050743695,-0.065437764,0.24339056
1199164114337,-0.075777404,-0.25398958,0.25457582
1199174044706,-0.028373139,-0.5005983,0.24871689
1199183975075,0.09200174,-0.7035312,0.27801165
1199193905313,0.24646509,-0.87503874,0.30996957
1199203835682,0.3934716,-1.05134,0.32488328
1199213765923,0.42383164,-1.3847678,0.267359
1199223696289,0.41744006,-1.5493511,0.28333798
1199233626658,0.45259377,-1.1402895,0.51396775
1199243556899,0.41211373,-0.829765,0.52568567
1199253489904,0.32635993,-0.57356894,0.48307505
1199263420273,0.3093157,-0.31684017,0.5496541
1199273350642,0.30026096,-0.20765057,0.62422264
1199283281008,0.23581244,-0.20552005,0.6620395
1199293211249,0.14153653,-0.23055376,0.6668332
1199303141618,0.051521692,-0.23534745,0.6460605
1199313071984,0.025955347,-0.25984854,0.5821447
1199323002353,0.035010092,-0.3189707,0.49159718
1199332932722,0.005715322,-0.46917298,0.42821392
1199342863088,-0.028905772,-0.6108532,0.44312763
1199352793457,0.020629024,-0.66837746,0.44419292
1199362723826,0.12129652,-0.6758343,0.36056966
1199372656051,0.21770294,-0.61191845,0.24498846
1199382586420,0.28055355,-0.5485352,0.12301568
1199392516789,0.31677255,-0.4606509,0.03300083
1199402447155,0.33168626,-0.36424446,-0.017066598
1199412377524,0.32476205,-0.29287174,-0.049024533
1199422308021,0.30185884,-0.23801062,-0.07246035
1199432238387,0.28481463,-0.18741055,-0.11027724
1199442168756,0.27362934,-0.13254943,-0.1907047
1199452099125,0.24699771,-0.082481995,-0.30255747
1199462032380,0.21610504,-0.043599844,-0.41920394
1199471962877,0.16603762,0.058665544,-0.52253455
1199481893246,0.09040385,0.24615209,-0.6098862
1199491823740,-0.011328909,0.44429126,-0.71694535
1199501754109,-0.12531221,0.64349574,-0.810156
1199511684606,-0.2456871,0.7505548,-0.8783329
1199521615100,-0.3649967,0.73617375,-0.91242135
1199531545469,-0.50720954,0.5790472,-0.8783329
1199541475966,-0.69203293,0.21632469,-0.85170126
1199551406307,-0.6915003,-0.12562521,-0.87407184
1199561336804,-0.74369824,-0.39460447,-0.8532992
1199571267173,-0.8587468,-0.5139141,-0.9347919
1199581197667,-0.9572838,-0.5107183,-1.0434489
1199591128164,-1.0121449,-0.551731,-1.0098931
1199601058533,-1.093105,-0.44520456,-0.94224876
1199610989027,-1.1932398,-0.24493483,-0.86927813
1199620919524,-1.298701,-0.09047148,-0.7441096
1199630849893,-1.449436,-0.053187225,-0.5662104
1199640780387,-1.6044319,-0.1272231,-0.3574186
