UPTIMENANO,P
1525925486184,995.0879
1526024692533,995.0882
1526124020982,995.09186
1526223166281,995.0906
1526322738931,995.09436
1526422067380,995.09973
1526521215288,995.0984
1526620543738,995.08295
1526719841662,995.07983
1526818986961,995.0924
1526918315410,995.09937
1527022680490,995.0959
1527117827010,995.10016
1527215964983,995.1035
1527315995508,995.10516
1527414713457,995.10693
1527514225056,995.10693
1527613522981,995.1158
1527712759855,995.1282
1527816483909,995.1335
1527911019928,995.1335
1528009982077,995.13727
1528109005276,995.1394
1528208028475,995.1394
1528307204299,995.1469
1528406227498,995.14014
1528505375436,995.1418
1528604307060,995.1435
1528703452360,995.1455
1528802628184,995.151
1528901956633,995.151
1529001285082,995.15643
1529100430382,995.15485
1529199514631,995.15485
1529298659930,995.1567
1529397866279,995.13605
1529496981053,995.14636
1529596309502,995.1571
1529695485327,995.1417
1529794233800,995.1262
1529893409625,995.13684
1529992127573,995.1541
1530092341248,995.1558
1530191181297,995.17
1530289899246,995.17035
1530389197170,995.20123
1530493349694,995.203
1530586481563,995.2013
1530686115262,995.1982
1530785382662,995.19305
1530884650061,995.19305
1530983947985,995.1948
1531083062759,995.2016
1531182513309,995.2122
1531281658608,995.2122
1531380956532,995.22644
1531478575580,995.2214
1531577263003,995.216
1531676255677,995.2163
1531775339926,995.21796
1531874393651,995.21765
1531973569475,995.2214
1532072714774,995.21967
1532171707448,995.2266
1532270608547,995.22833
1532369601221,995.23193
1532468685470,995.2355
1532567763711,995.24396
1532666817435,995.2545
1532765840634,995.25116
1532864863833,995.25116
1532963917557,995.25977
1533062666031,995.2632
1533161719755,995.2683
1533260651379,995.2768
1533359583003,995.2872
1533458300951,995.2923
1533557079950,995.2944
1533656011574,995.2961
1533755095823,995.2961
1533853874822,995.2977
1533952959071,995.29944
1534052012795,995.29944
1534151097044,995.30505
1534250089718,995.30975
1534349173967,995.30975
1534453630622,995.31866
1534547456337,995.32043
1534646540586,995.32
1534745411160,995.31836
1534844373309,995.3132
1534943243882,995.31866
1535042144981,995.32043
1535140985030,995.3171
1535239764029,995.3221
1535338604078,995.3274
1535437535702,995.3341
1535536436801,995.3393
1535635246324,995.33887
1535738207252,995.34265
1535833811648,995.33856
1535933109572,995.33856
1536032163296,995.3403
1536131094920,995.3402
1536230301269,995.3385
1536329477094,995.34326
1536428744493,995.3468
1536527635377,995.35175
1536626780676,995.357
1536726811201,995.3573
1536825376525,995.3553
1536924552349,995.357
1537024491299,995.357
1537122842947,995.35333
1537222018771,995.3585
1537322446122,995.37054
1537420370420,995.37555
1537519546244,995.3842
1537620095694,995.3892
1537718203142,995.39606
1537821591421,995.40125
1537917256866,995.408
1538016096915,995.4095
1538114998014,995.4146
1538215974815,995.41266
1538313868588,995.41266
1538413227562,995.4092
1538512983362,995.41437
1538611877841,995.42114
1538711023140,995.42114
1538811206290,995.4174
1538909588464,995.4138
1539008886388,995.4102
1539108672713,995.408
1539206963311,995.42004
1539306078085,995.4303
1539406505436,995.42474
1539504704459,995.43164
1539603819233,995.4299
1539704277108,995.435
1539802201406,995.4367
1539901377231,995.4471
1540002323506,995.44867
1540099820454,995.4451
1540198935228,995.4431
1540299973079,995.4517
1540397103726,995.46027
1540496218500,995.4705
1540597683492,995.46857
1540694936239,995.465
1540794081538,995.4716
1540895272014,995.4733
1540992524762,995.4786
1541091792161,995.4836
1541193684713,995.48883
1541290082759,995.48846
1541389502784,995.4934
1541491212185,995.49664
1541588190207,995.5034
1541687488132,995.5089
1541788831233,995.5103
1541886053455,995.52094
1541985259804,995.52234
1542085656630,995.524
1542183580928,995.52374
1542282756752,995.5322
1542384832454,995.5375
1542481199975,995.54425
