UPTIMENANO,Ax,Ay,Az
1525822102760,1.243519,0.36832562,0.4769182
1525842102760,0.9410016,0.38294715,0.69845617
1525862102760,0.76737624,0.21698833,1.3996172
1525882102760,0.6116703,0.26955405,1.897603
1525902102760,0.34792864,0.63756084,1.9835091
1525922102760,0.09983871,0.821506,1.9081136
1525942102760,0.38886893,0.37290585,1.1967167
1525962102760,0.6073955,-0.16599894,0.27497873
1525982102760,0.28963822,-0.8786169,-0.6297463
1526002102760,-0.3356665,-1.3317041,-0.7577898
1526022102760,-1.5162351,-0.8971359,0.18525428
1526042102760,-1.9385362,-1.0006372,0.36647877
1526062102760,-1.4666897,-0.9083162,-0.21764348
1526082102760,-1.3420205,-0.33036426,-1.0819151
1526102102760,-1.1304035,0.030249892,-1.0788515
1526122102760,-1.3605046,0.10406534,0.025554761
1526142102760,-1.1902704,-0.20498475,0.9246302
1526162102760,-0.035818,-0.4653348,0.34956288
1526182102760,1.0152487,-0.23165222,-0.6975845
1526202102760,1.1815945,0.045726433,-1.0429757
1526222102760,1.1132189,0.13000642,-1.1975296
1526242102760,1.2131909,0.053301893,-1.1938465
1526262102760,0.90587085,0.22803994,-1.1144135
1526282102760,0.07174918,0.6123806,-0.5240659
1526302102760,0.49542037,0.45166054,-0.002618261
1526322102760,1.4722244,0.13277945,0.052421547
1526342102760,0.9550779,0.42143524,0.025609031
1526362102760,0.10500605,1.0638994,-0.27029532
1526382102761,0.68473816,1.2328281,-0.4999378
1526402102760,1.1016644,1.2425327,-0.35159397
1526422105369,0.77831453,1.2656425,0.029882116
1526442105370,0.28569227,1.0027843,0.6235166
1526462105369,0.45223454,0.47599474,1.0896498
1526482105369,0.7751091,0.45780855,1.3545982
1526502105370,0.41185355,0.83903795,1.8408108
1526522105369,0.2920931,0.62955534,2.3084562
1526542105369,0.47060028,-0.09786605,2.3969514
1526562105370,-0.12920381,-0.3252239,2.20531
1526582105369,-0.5305425,-0.06266303,1.3779666
1526602105369,-0.61355186,0.174138,0.603741
1526622105370,-0.77663845,0.0098148305,0.43344042
1526642105369,0.014151644,-0.5711834,0.16777346
1526662105369,1.5167493,-0.8974308,-0.31722948
1526682105370,2.1624227,-0.46860474,-1.395936
1526702105369,1.9135108,0.11777002,-2.5376494
1526722105369,1.496885,0.07836062,-2.9742482
1526742105370,0.7984822,-0.388893,-2.806619
1526762105369,0.09637615,-1.0513133,-1.6907214
1526782105369,-0.3505271,-1.6628246,0.21963687
1526802105370,-0.62169456,-1.3897418,0.6795582
1526822105369,-0.18043303,-0.36424103,0.035047304
1526842105369,0.85788786,0.39880437,-0.22255544
1526862105370,0.8763584,0.69561356,-0.14617759
1526882105369,0.066931374,0.64106625,-0.054824453
1526902105369,-0.49665454,0.37277576,-0.12752092
1526922105370,0.4601402,0.26486552,-0.1862838
1526942105369,1.5604988,0.63015103,-0.33871666
1526962105369,1.0491035,0.994039,-0.6364538
1526982105370,-0.314313,1.0434583,-0.7017819
1527002105369,-0.31717137,1.433084,-0.7875273
1527022105369,-0.7568569,2.084831,-1.7678894
1527042105370,-0.5766138,2.5702114,-2.92448
1527062105369,0.70828015,2.182876,-2.0708058
1527082105369,1.4171681,1.3091134,-1.0694419
1527102105370,2.1709654,0.48620874,0.89642304
1527122105369,0.9649901,-0.7192422,5.4483757
1527142105369,-0.85675937,0.14369592,1.7965095
1527162105370,0.3620088,1.9591037,-3.6852274
1527182105369,1.7340692,1.2379321,-3.9771502
1527202105369,2.6280932,-0.40042868,-2.7442646
1527222105370,2.524352,-1.4813617,-1.5608817
1527242105369,1.5234468,-2.3531923,0.36651036
1527262105369,1.4252872,-1.9832051,2.93222
1527282105370,1.4657736,-1.2792926,4.182614
1527302105369,1.0210627,-0.9042905,3.1751773
1527322105369,0.22968069,-0.81800026,1.1136049
1527342105370,-0.4059074,-0.6590774,-0.19584106
1527362105369,-0.04992103,-0.65881395,-0.29945776
1527382105369,0.9872551,-0.56922346,0.3455034
1527402105370,1.2868452,-0.12433017,0.9353325
1527422105369,1.509038,-0.5850232,-1.2645893
1527442105369,1.6334245,-1.0555726,-3.9045556
1527462105370,1.2132276,-1.348062,-4.5207143
1527482105369,2.9954367,1.2117622,0.52895707
1527502105369,1.5726075,2.2756717,2.5479193
1527522105370,-1.629379,1.4563429,-0.48273692
1527542105369,-2.0266125,4.36394,-5.3812146
1527562105369,2.515985,2.9739726,-10.799164
1527582105370,1.6669421,1.2552706,-7.533286
1527602105369,1.0758773,3.2052124,-5.1346045
1527622105369,0.64515465,3.7998166,-5.70906
1527642105370,1.2759595,2.4384801,-6.513472
1527662105369,3.6260526,0.9519143,-6.654446
1527682105369,6.6738505,-1.0055879,-4.484732
1527702105370,8.714788,-4.310687,-0.18117319
1527722105369,7.0985394,-6.6896844,3.1495104
1527742105369,-0.55361557,-6.0702567,4.8655334
1527762105369,-1.6026689,-5.106436,11.724463
1527782105370,-3.0243163,-5.8648124,15.619903
1527802105369,-9.857964,-4.0978785,13.931455
1527822105369,-11.103794,-2.9851298,11.461505
1527842105369,-7.726712,1.6188964,8.468603
1527862105369,-4.280783,3.5478685,6.4743767
1527882105369,-1.5717627,4.4036746,6.005096
1527902105369,-0.10192571,3.7733862,5.213194
1527922105369,0.17435513,3.5413835,3.3341098
1527942105369,1.438325,3.5210607,1.0983856
1527962105369,-2.9693542,6.992053,-1.2856735
1527982105369,-4.128197,9.202215,0.98532057
1528002105369,12.143291,1.8538506,4.2372494
1528022105369,11.939772,1.0480988,1.2210339
1528042105369,2.99691,2.9565797,0.42683747
1528062105369,-3.3921976,1.6158624,3.8078866
1528082105369,-3.2865663,-0.34813708,4.394208
1528102105369,0.112544656,0.21420185,2.2018192
1528122105369,2.7980337,3.0731006,-0.93527615
1528142105369,5.8775597,4.398185,-5.231806
1528162105369,0.30431274,2.3494046,-1.2538421
1528182105369,-2.4672282,1.9498355,1.7885369
1528202105369,-1.2991832,2.3899105,1.2736067
1528222105369,0.28758374,1.5140167,-0.5847643
1528242105369,0.38901922,1.0200711,-2.1049132
1528262105369,1.5892856,1.3935937,-2.1742845
1528282105369,-1.9935989,1.6433903,-1.4277631
1528302105369,-2.0964653,-2.1365693,-1.1228213
1528322105369,-3.0622137,0.12666619,-0.9439829
1528342105369,-3.628942,0.57794535,-3.0384266
1528362105369,-1.6745545,2.1459873,-5.5512223
1528382105369,-2.454221,2.1276755,-5.6734376
1528402105369,-1.5470443,1.5662887,-3.919725
1528422105369,0.4860361,1.5217005,-1.7913349
1528442105369,1.4813124,0.17180945,-1.3724954
1528462108008,1.2264445,0.16645083,-1.7323127
1528482108008,-0.40706348,0.34572163,-1.4491963
1528502108008,-3.6365535,-2.7078774,1.0343211
1528522108008,-1.0303546,-7.231199,3.2653418
1528542108008,0.6056822,-6.4344964,0.036584616
1528562108008,1.4088624,-1.9699264,-0.18890703
1528582108008,2.7424488,0.5715547,-1.4333798
1528602108008,2.8550196,2.7110903,-0.9326035
1528622108008,4.4745865,4.60163,-1.9207902
1528642108008,2.0527513,2.3819118,0.64716846
1528662108008,0.062960036,-0.9636277,0.55613905
1528682108008,0.39083904,0.9071669,2.1344314
1528702108008,-0.46547744,-1.1715094,4.78109
1528722108008,-0.20497271,-10.347694,2.47683
1528742108008,2.3309906,-9.16915,2.5375445
1528762108008,3.5315804,-4.4535875,1.6913402
1528782108008,1.0859296,-1.3217604,4.3040223
1528802108008,-0.7591398,1.1805154,4.712869
1528822108008,-0.7489804,-1.1236416,5.58847
1528842108008,-1.3244326,-4.1055098,3.994078
1528862108008,-3.3892152,-3.2905502,1.3965839
1528882108008,-5.057915,0.0057931575,-0.3993785
1528902108008,-3.004657,4.787686,-1.2154511
1528922108008,-0.010447256,5.6532383,0.8723286
1528942108008,2.3777092,-1.1799064,-2.7918627
1528962108008,2.95119,0.6853434,-6.6779847
1528982108008,1.1068542,3.5620983,-4.0647187
1529002108008,-1.6765914,0.5078776,-3.3775406
1529022108008,-4.1479735,0.7547927,-3.4119177
1529042108008,-3.3795533,2.139492,-1.9490689
1529062108008,-0.19586213,3.1173022,-1.3957156
1529082108008,-0.79991734,0.5771198,-2.4955475
1529102108008,-3.3644676,-2.5252254,-1.3114249
1529122108008,-4.71421,-4.1855726,-0.2055476
1529142108008,-2.2393844,-0.698839,1.0047607
1529162108008,-2.9909432,0.013862218,-0.6071892
1529182108008,-5.3234878,1.1929723,0.5120724
1529202108008,-5.262595,1.1215162,4.7104287
1529222108008,-5.1352983,1.1070482,8.346865
1529242108008,-4.999971,2.6353335,8.340938
1529262108008,-3.5245423,0.06501535,5.156702
1529282108008,-3.4720962,-1.6414266,3.1310802
1529302108008,-2.265403,-0.01501655,-0.6256242
1529322108008,0.7063535,0.027067747,-3.4481566
1529342108008,1.7741936,-2.0683281,-3.0548055
1529362108008,3.004871,-3.308762,-4.9199553
1529382108008,1.6551049,-1.8842465,-5.1126757
1529402108008,1.091911,-0.64867264,-4.2353926
1529422108008,3.1219716,0.21221323,-2.6154191
1529442108008,7.2747083,3.0272157,0.89629936
1529462108008,8.950467,2.5252721,5.1487155
1529482108008,4.261115,1.9459882,3.8866112
1529502108008,0.5022113,1.0841498,-0.016878642
1529522108008,0.14388788,1.2659708,0.95771
1529542108008,-0.07184012,0.89480406,2.196167
1529562108008,-0.90179974,-0.7880377,-0.001959683
1529582108008,-0.85334176,-1.7515773,-1.4547702
1529602108008,-1.0393908,-1.5342342,-1.0378597
1529622108008,-0.9114343,-1.5047734,-0.28612724
1529642108008,-0.41990834,-0.6847888,-1.3125768
1529662108008,-0.6915266,1.1813769,-2.153528
1529682108008,0.018623961,1.6063776,-0.95890355
1529702108008,0.84988356,-0.13126062,0.48773012
1529722108008,-0.2394092,-1.6419927,2.0981023
1529742108008,-3.313925,-2.044429,1.1648699
1529762108008,-4.2148957,-3.6291986,-0.43980452
1529782108008,-1.1033149,-3.1785285,5.0343776
1529802108008,-1.1087924,0.27446842,6.6229134
1529822108008,-2.828288,0.19794786,1.094195
1529842108008,-1.9135298,-0.57530314,-3.6011786
1529862108008,-1.2065508,0.26810008,-5.5221806
1529882108008,-1.0536462,0.87650716,-5.276638
1529902108008,7.9899697,4.9899015,0.48997486
1529922108008,8.86307,3.6865184,5.276286
1529942108008,1.680654,-0.35179052,3.2271879
1529962108008,-0.6089016,-0.36742833,-0.076110646
1529982108008,-3.701429,-0.74751264,-0.46767104
1530002108008,-6.5460005,-1.0012608,-0.3722738
1530022108008,-5.579051,0.11168008,-1.1553209
1530042108008,-2.656055,1.5183359,-1.3467746
1530062108008,0.73538876,2.521265,-0.41719598
1530082108008,3.653386,2.2041311,1.816557
1530102108008,2.6835442,-0.021112036,2.0187268
1530122108008,0.38754335,-1.4905304,-0.53585505
1530142108008,0.5445546,-1.7726014,-1.5489244
1530162108008,0.8480991,-1.9540955,-1.0896509
