UPTIMENANO,Mx,My,Mz
1525837561134,-12.30777,11.303864,-28.54879
1525857420079,-12.007771,11.603863,-29.74879
1525877279022,-12.157768,12.953861,-31.24879
1525897140849,-12.157768,12.653862,-30.79879
1525916999794,-12.007771,12.803864,-30.79879
1525936858737,-10.657768,12.803864,-30.79879
1525956717681,-9.907768,12.653862,-31.09879
1525976576626,-9.007771,12.653862,-31.398788
1525996437934,-8.857769,12.653862,-31.398788
1526016296878,-8.857769,12.653862,-31.398788
1526036155823,-9.007771,12.653862,-31.398788
1526056014766,-9.007771,12.653862,-31.398788
1526075873710,-9.007771,12.653862,-31.24879
1526095732655,-9.007771,12.653862,-31.09879
1526115598455,-9.007771,12.653862,-31.09879
1526135457655,-9.007771,12.803864,-29.74879
1526155316728,-9.007771,12.953861,-27.79879
1526175175927,-9.007771,13.103863,-26.59879
1526195026368,-9.457771,13.853863,-27.34879
1526214885313,-9.907768,14.153862,-27.34879
1526234744256,-11.55777,14.903862,-27.34879
1526254603200,-13.05777,14.903862,-27.34879
1526274462273,-13.05777,14.603863,-27.34879
1526294321216,-12.907768,14.753864,-27.34879
1526314167378,-13.05777,14.903862,-27.34879
1526334026195,-13.05777,15.053864,-27.34879
1526353884882,-13.207771,15.503864,-27.34879
1526373743698,-13.357769,15.503864,-27.34879
1526393602515,-13.357769,15.503864,-27.34879
1526413459989,-13.357769,15.503864,-27.34879
1526433321286,-13.507771,15.203861,-27.34879
1526453179975,-13.957771,14.903862,-27.34879
1526473038790,-13.957771,14.453861,-27.34879
1526492905193,-13.957771,13.853863,-27.34879
1526512764010,-14.107769,12.803864,-27.34879
1526532622953,-14.257771,12.053864,-27.79879
1526552481897,-14.857769,12.503864,-27.79879
1526572340714,-15.30777,12.653862,-28.09879
1526592199657,-15.907768,12.653862,-27.79879
1526612054383,-15.607769,12.653862,-27.79879
1526631913200,-15.607769,12.653862,-27.79879
1526651772143,-15.607769,12.653862,-27.79879
1526671630959,-15.607769,12.803864,-27.79879
1526691489776,-15.457771,13.403862,-27.79879
1526711351864,-15.457771,12.953861,-27.79879
1526731210808,-15.007771,12.953861,-27.79879
1526751069625,-14.55777,13.103863,-27.79879
1526770928568,-13.957771,13.103863,-27.79879
1526790778857,-12.30777,13.403862,-27.79879
1526810637418,-12.907768,13.553864,-27.79879
1526830496105,-12.907768,14.003864,-27.79879
1526850354793,-12.907768,14.453861,-27.79879
1526870213482,-13.207771,15.053864,-27.948792
1526890072041,-13.207771,15.053864,-28.09879
1526909922415,-13.207771,15.503864,-28.09879
1526929780848,-13.207771,15.503864,-28.09879
1526949639279,-13.207771,15.503864,-28.09879
1526969497711,-13.357769,15.503864,-28.84879
1526989356144,-13.957771,15.503864,-29.74879
1527009218123,-15.007771,15.203861,-30.198792
1527029076683,-15.30777,14.753864,-29.59879
1527048935116,-15.157768,14.153862,-29.59879
1527068793675,-15.157768,13.703861,-29.59879
1527088652107,-15.007771,15.053864,-30.04879
1527108510668,-15.007771,15.203861,-30.04879
1527128367639,-14.55777,15.203861,-30.198792
1527148226071,-13.507771,15.203861,-30.648788
1527168084504,-11.707771,15.203861,-30.79879
1527187942935,-8.857769,15.203861,-31.09879
1527207797594,-9.157768,15.653862,-35.59879
1527227656027,-8.407768,16.703861,-34.24879
1527247514330,-8.407768,17.453861,-34.09879
1527267372634,-8.107769,19.253864,-34.09879
1527287231067,-7.80777,23.153862,-33.948788
1527307095136,-7.6577682,23.903862,-33.648792
1527326953696,-7.9577713,24.203865,-33.048794
1527346812129,-7.9577713,23.603863,-32.448788
1527366670560,-7.5077705,23.753864,-31.09879
1527386528992,-7.5077705,24.203865,-29.74879
1527406387425,-7.5077705,25.553864,-30.34879
1527426248971,-7.357769,25.553864,-30.648788
1527446107531,-7.357769,25.703865,-30.198792
1527465965964,-7.357769,26.153862,-29.74879
1527485824523,-7.5077705,26.753864,-29.448792
1527505694164,-7.6577682,27.953865,-28.54879
1527525552981,-8.55777,29.453865,-27.34879
1527545411668,-10.957771,29.753864,-26.148788
1527565270484,-14.857769,30.803864,-23.59879
1527585129173,-21.30777,30.803864,-16.09879
1527604987988,-24.907772,31.253864,-16.09879
1527624851808,-25.957771,31.253864,-14.448788
1527644710753,-27.457771,31.103863,-13.848789
1527664569696,-31.50777,30.953865,-12.348789
1527684428512,-34.35777,30.203865,-10.998791
