UPTIMENANO,Ax,Ay,Az
1525822102760,0.85739154,1.0835263,0.017451538
1525842102760,0.55922806,1.0687551,0.25495133
1525862102760,0.4251266,1.206492,0.979042
1525882102760,0.20563735,1.4214654,1.408846
1525902102760,-0.21296036,1.616628,1.3427614
1525922102760,-0.48488766,1.6174,1.2143466
1525942102760,0.0692345,1.0460052,0.7896125
1525962102760,0.5859006,0.2517943,0.25577
1525982102760,0.68073505,-0.88203657,-0.1051165
1526002102760,0.309257,-1.5359213,0.07522806
1526022102760,-1.0493574,-1.2092288,0.75812644
1526042102760,-1.4110668,-1.3830404,0.994783
1526062102760,-0.9422614,-1.4140079,0.36920288
1526082102760,-0.9895718,-1.2828004,-0.67518157
1526102102760,-0.97216994,-0.87858576,-0.8518333
1526122102760,-1.2945257,-0.4040913,0.15286732
1526142102760,-1.0416598,-0.18470445,1.0929465
1526162102760,0.13741498,-0.26548412,0.5006485
1526182102760,0.9766674,-0.21616486,-0.75525504
1526202102760,0.97525454,-0.12111052,-1.2329903
1526222102760,0.79742926,-0.11138803,-1.4289626
1526242102760,0.85229546,-0.13140747,-1.4684235
1526262102760,0.5054638,-0.033802602,-1.3630426
1526282102760,-0.24293026,0.36838374,-0.6782928
1526302102760,0.3281884,0.49407443,-0.31245515
1526322102760,1.3355198,0.36693457,-0.51919997
1526342102760,0.77140164,0.5363629,-0.45573193
1526362102760,-0.27298245,0.8629904,-0.6298383
1526382102761,0.14844953,1.0050226,-1.0984361
1526402102760,0.5735699,1.1180024,-1.1411654
1526422105369,0.3586982,1.2528882,-0.71423
1526442105370,0.1629764,1.2015615,0.075220264
1526462105369,0.6127357,0.94827396,0.5863065
1526482105369,1.0272373,1.0651976,0.6748747
1526502105370,0.7576839,1.5683848,1.108276
1526522105369,0.8950214,1.5461879,1.6182919
1526542105369,1.3192897,0.9281805,1.8369466
1526562105370,0.7746279,0.5805734,2.0121486
1526582105369,0.06303466,0.4269873,1.4134719
1526602105369,-0.3527359,0.3267986,0.734883
1526622105370,-0.52208096,0.09554723,0.7137481
