UPTIMENANO,Ax,Ay,Az
81577896285149,0.20219791,-0.09572309,1.3869082
81577916285149,-0.7478933,-0.47272548,2.012095
81577936285150,-0.24119483,-0.37235686,2.6799293
81577956285149,1.0769761,-0.1781373,2.5423818
81577976285149,1.6713688,-0.14524876,1.6954347
81577996285150,1.6473643,-0.18604882,0.69337225
81578016285149,1.5876424,-0.28429422,-0.4241905
81578036285149,1.2783449,-0.16160053,-1.106943
81578056285149,0.6968737,-0.18382779,-0.5384895
81578076285150,0.21549605,-0.49223846,0.5879821
81578096285149,0.18025889,-0.53624827,0.42039448
81578116285149,0.27785006,-0.47279802,-0.24537012
81578136285150,-0.05940499,-0.56140226,0.019403756
81578156285149,-0.1453552,-0.38724667,0.25621533
81578176285149,0.7104501,-0.76258564,0.21479756
81578196285150,1.2459347,-1.9101566,-1.5362227
81578216285149,0.29827815,-1.177704,-2.8027778
81578236285149,-0.42452514,0.43252197,-1.2108469
81578256285150,0.4431342,0.31860423,0.04830383
81578276285149,-0.048375648,0.37451622,0.33272344
81578296285149,-0.07990221,-7.767965E-4,-0.05751725
81578316285150,0.6396829,-0.048793085,-0.29699454
81578336285149,0.40146893,0.25979814,0.11068129
81578356285149,-0.14018746,0.26399812,0.9637688
81578376285150,0.40303206,-0.10253096,1.8230964
81578396285149,1.4014711,-0.02531878,0.65303105
81578416285149,1.6516504,0.40866932,-0.45414287
81578436285150,0.9106417,0.39063773,-0.35089946
81578456285149,-0.10040848,0.3076309,-0.19814289
81578476285149,0.08300231,0.48254776,-0.45930943
81578496285150,0.9019086,0.059617452,0.49165604
81578516285149,1.6746421,-0.7547332,2.354463
81578536285149,2.0475953,-1.1662744,2.1976368
81578556285150,1.6589407,-0.038330976,0.28735185
81578576285149,0.8648623,0.2843997,-0.93950456
81578596285149,1.4718207,-0.3816003,-1.242381
81578616285150,0.9971524,-0.34402075,-1.3817278
81578636285149,0.46455657,-0.55972844,-1.7724959
81578656285149,0.5766971,-1.091822,-1.9482533
81578676285150,-0.0016584853,-0.41302037,-2.1942024
81578696285149,-0.12893495,0.66316074,-1.0130861
81578716285149,-0.8481422,0.20369284,1.6786547
81578736285149,-0.89854014,-1.192385,2.7831776
81578756285149,0.17501888,-1.2979875,0.5057301
81578776285149,0.62945396,-0.966322,-1.6658434
81578796285149,0.9752838,-1.8729812,-0.6186938
81578816285149,1.0421547,-1.8092738,0.9175917
81578836285149,-3.028771,0.8629371,0.20338906
81578856285149,-3.8984566,1.9418557,-2.7718008
