UPTIMENANO,Ax,Ay,Az
81921963113966,-0.48982763,0.24515411,9.365526
81921982969967,-0.83316946,-0.031175463,8.988518
81922002829300,-0.7238346,0.13011245,9.468139
81922022685428,-0.35364112,0.51202303,10.486211
81922042541557,-1.0159365,0.32032725,10.247096
81922062397684,-2.1715333,0.39753857,9.842848
81922082250874,-2.2533965,1.0970515,11.526414
81922102106875,-1.3088613,1.6855457,12.3761015
81922121962874,-0.78434926,0.43788567,10.557829
81922141818874,-1.5343952,-0.73879844,8.218878
81922161674875,-0.9399807,-0.8746047,9.163239
81922181530874,0.9275464,-0.17362306,11.110648
81922201382449,0.83620703,0.6143444,11.198131
81922221238322,-0.15336508,0.8100095,11.040521
81922241094193,0.026299948,0.7918588,11.029039
81922260950065,0.68878794,0.5801665,10.365693
81922280805938,0.4216192,0.5385206,9.779451
81922300662125,0.74629575,0.660312,9.649581
81922320517997,0.5313519,0.98775,10.064046
81922340373742,-0.5319725,1.3839775,9.946444
81922360229613,-0.48525262,1.2411373,9.408214
81922380083762,0.39862075,0.18147027,7.994627
81922399939635,0.7311481,-0.6826161,7.078804
81922419795506,1.1318663,-0.86884576,8.030425
81922439651378,0.6875403,-0.8051524,8.626425
81922459507123,-0.41621405,-0.6174352,7.8620133
81922479362994,-0.7016043,-0.980987,7.810052
81922499210485,0.3953285,-1.1407048,8.8997345
81922519066102,0.82410747,-0.7124921,9.54175
81922538921845,-0.28109455,0.053162254,8.621529
81922558777461,-0.57506114,0.3051237,8.496562
81922578633206,1.9216365,1.1115258,11.630465
81922598484554,1.1506631,-0.19089814,12.187257
81922618340042,0.2695714,-1.1582265,9.977804
81922638195659,0.96856385,-0.9564001,9.850735
81922658051274,0.53030497,-0.68383265,10.017706
81922677905586,2.0878236,-0.12627394,14.014741
81922697761075,2.273097,0.41355845,14.313998
81922717616562,0.5080106,-0.23345454,11.77944
81922737472050,-0.14947619,-0.5004743,11.461797
81922757327667,-0.6961928,-0.40626213,11.585374
81922777183154,-0.42551214,-0.36526558,10.94938
81922797041269,-0.7417812,0.42560413,9.956311
81922816896758,-0.8095383,1.9393008,9.916927
81922836752373,0.6518655,1.7854784,9.868082
81922856607861,1.5678991,1.3984635,9.606461
81922876463350,0.9011701,2.398725,9.43135
81922896318307,-0.5818514,1.425871,9.266029
81922916173795,-0.19241332,0.22989054,9.457998
