UPTIMENANO,Ax,Ay,Az
81921934044256,-0.06825363,0.524146,-0.054102436
81921954045377,-0.40668172,0.39194313,-0.25951618
81921974045378,-0.609287,0.1252643,-0.6441743
81921994045377,-0.6925788,-0.056825273,-0.54400975
81922014045377,-0.4075681,0.3366752,0.24473439
81922034045378,-0.5453182,0.45284656,0.55222917
81922054045377,-1.4671487,0.22223632,0.23929642
81922074045377,-1.8550544,0.69283444,1.1544613
81922094045378,-0.990324,1.3006357,2.3190422
81922114045377,-0.23506004,0.8836281,1.5251542
81922134045377,-0.7245623,-0.1250482,-0.6034028
81922154045378,-0.6213623,-0.66753995,-0.93780595
81922174045377,0.62969244,-0.44804445,0.57703626
81922194045377,1.1325895,0.25850424,1.3192154
81922214045378,0.5469068,0.6115176,1.2871511
81922234045377,0.17529176,0.73518836,1.2294365
81922254045377,0.52736163,0.6694292,0.78588897
81922274045378,0.5514321,0.58563584,0.16845499
81922294045377,0.6585903,0.60738856,-0.11402893
81922314045377,0.5713087,0.85718274,0.1266326
81922334045378,-0.20296137,1.1750743,0.18714052
81922354045377,-0.4148173,1.205923,-0.21634583
81922374045377,0.19980083,0.5217376,-1.385205
81922394045378,0.67879844,-0.36140254,-2.4566514
81922414045377,1.031947,-0.8033763,-2.0526328
81922434045377,0.82699287,-0.8663989,-1.3613234
81922454045378,-0.07110812,-0.7397201,-1.7400639
81922474045377,-0.5961657,-0.9531826,-1.9883453
81922494045377,0.12052406,-1.2003032,-1.2253095
81922514045378,0.6427104,-1.0900394,-0.44941062
81922534045377,-0.18831465,-0.35698828,-0.97046214
81922554045377,-0.65092474,0.11874214,-1.2987098
81922574045378,1.0249746,0.36866483,1.1672442
81922594045377,1.0552801,-0.3187129,2.2912033
81922614045377,0.26604587,-1.1503701,0.6394737
81922634045378,0.53092474,-1.2032702,0.06780384
81922654045377,0.4044882,-0.91834337,0.17353787
81922674045377,1.576128,-0.7106044,3.4317183
81922694045378,2.0875182,-0.31931412,4.4740686
81922714045377,0.8704563,-0.2529294,2.4281158
81922734045377,0.11305471,-0.3850444,1.7105851
81922754045378,-0.2585698,-0.24781677,1.7762954
81922774045377,-0.21161644,-0.2863749,1.2537923
81922794045377,-0.3969127,0.37089097,0.3273482
81922814045378,-0.14847293,1.6620548,0.15717901
81922834045377,0.754107,1.6457021,0.0868268
81922854045377,1.1330131,1.6076758,-0.12625897
81922874045378,0.5564593,2.083036,-0.2749271
81922894045377,-0.54099,1.4223596,-0.5019018
81922914045377,-0.17033921,0.39684376,-0.3703767
81922934045378,1.0890161,0.37826103,0.5075064
81922954045377,1.1636354,0.66098106,0.37148198
81922974045377,0.35373935,0.10019433,-0.49933177
81922994045377,-0.88723755,-0.39422932,-1.3896573
