UPTIMENANO,Ax,Ay,Az
81930064273496,-1.2549903,9.364527,-1.1879296999999998
81930084129623,-1.3028906999999998,9.534574000000001,-1.1999048
81930103983564,-1.2981006000000002,9.627979,-1.0873389
81930123839821,-1.2334352,9.7142,-1.0609937
81930143696076,-1.1711646,9.70941,-1.2430152
81930163552333,-1.1903248,9.6686945,-1.3436059999999999
81930183408590,-1.22146,9.697434,-1.0801538
81930203259237,-1.2166698999999999,9.575289,-1.0753639
81930223115237,-1.2837305,9.601633999999999,-1.0729688
81930242971238,-1.2406201000000001,9.702225,-1.1160791
81930262827365,-1.1735597,9.6758795,-1.1975098
81930282683571,-1.2166698999999999,9.75731,-1.1184741000000002
81930302539700,-1.1687696,9.73815,-1.1041040000000002
81930322395701,-1.1520045,9.580078,-1.096919
81930342251702,-1.1999048,9.532178,-1.0777588
81930362107831,-1.2334352,9.702225,-1.0466236
81930381963832,-1.1783496,9.72378,-0.974773
81930401815899,-1.1496094,9.678274,-1.0226734
81930421671772,-1.1903248,9.630374,-1.2454101999999998
81930441527773,-1.2046948999999998,9.630374,-1.1136841999999998
81930461383774,-1.2621753,9.546548,-1.0418334999999999
81930481239647,-1.2669654,9.618399,-0.97956306
81930501082598,-1.2597803,9.685459,-1.0538087
81930520938343,-1.22625,9.857901,-1.0274634
81930540793960,-1.2022998,9.77647,-1.0202783000000002
81930560649705,-1.223855,9.654325,-1.0825489
81930580495722,-1.1759547,9.592053,-0.9388476999999998
81930600351211,-1.1591895,9.491463000000001,-1.096919
81930620206700,-1.22146,9.5489435,-1.0370435
81930640062061,-1.3004956,9.704619000000001,-0.91729254
81930659917550,-1.22625,9.848321,-0.9915381
81930679773039,-1.1352394,9.877061,-1.0490186000000001
81930699618244,-1.0921290000000001,9.683064,-1.2166698999999999
81930719473349,-1.214275,9.580078,-1.1735597
81930739328561,-1.2118799999999998,9.541758999999999,-1.0298585
81930759183793,-1.2573853000000002,9.472302,-1.0250684
81930779039026,-1.2981006000000002,9.649534,-1.0633887
81930798893732,-1.223855,9.692644,-1.0921290000000001
81930818748836,-1.1807446000000001,9.68067,-1.0633887
81930838603813,-1.1807446000000001,9.735755000000001,-1.0825489
81930858458916,-1.1567944,9.707015,-1.1160791
81930878314020,-1.2022998,9.623189,-1.0035132
81930898169125,-1.2549903,9.575289,-1.0394385
81930918025813,-1.2382251,9.572892999999999,-1.0514137
81930937881045,-1.1687696,9.802814999999999,-0.9148975
81930957736150,-1.1232642,9.68067,-1.0657837
81930977591253,-1.2310401000000002,9.616004,-1.0657837
81930997447363,-1.1735597,9.642349000000001,-1.0562036
81931017302596,-1.1520045,9.611214,-1.0059083
81931037157699,-1.214275,9.644744000000001,-0.9388476999999998
81931057012803,-1.2022998,9.711803999999999,-0.98914313
81931076867908,-1.1999048,9.807606,-1.0322535
81931096723139,-1.1639795,9.745335,-1.0106983
81931116585917,-1.1855347,9.580078,-1.0657837
81931136441150,-1.2621753,9.611214,-0.9244776
81931156296509,-1.2525953,9.551338000000001,-0.95561284
81931176151741,-1.2957056999999998,9.639954,-0.9148975
81931196007102,-1.214275,9.6686945,-0.9915381
81931215847406,-1.1783496,9.745335,-1.0298585
