UPTIMENANO,Gx,Gy,Gz
82351468022132,-0.5442091,0.23857106,0.8967004
82351477950069,-0.5079901,0.39090386,0.94730043
82351487878006,-0.44460687,0.61034834,1.1177428
82351497815258,-0.41637734,0.7791928,1.3734063
82351507743323,-0.42916054,0.84523916,1.6072319
82351517671260,-0.4653795,0.8255318,1.7201499
82351527599322,-0.5005333,0.72806007,1.6855288
82351537527387,-0.5239691,0.57253146,1.543316
82351547455452,-0.5319586,0.39250177,1.3552967
82351557386684,-0.52183855,0.25188684,1.1715387
82351567314621,-0.51704484,0.187971,1.0351849
82351577242686,-0.52663225,0.20767839,0.97446465
82351587170748,-0.54474175,0.30781323,0.97712785
82351597098813,-0.5756344,0.43724287,1.0181406
82351607026878,-0.61931026,0.5693357,1.0756649
82351616952624,-0.65712714,0.67799264,1.1427765
82351626880689,-0.6672472,0.75522435,1.2162797
82351636808626,-0.6336913,0.7989002,1.289783
82351646736688,-0.56924284,0.7903781,1.3494378
82351656664625,-0.4797606,0.72592956,1.3867221
82351666592690,-0.37003833,0.63325155,1.3973747
82351676520752,-0.26138136,0.51394194,1.3792652
82351686448689,-0.16763811,0.39356703,1.3398504
82351696376754,-0.098928556,0.31100902,1.285522
82351706310338,-0.06484009,0.27798584,1.2290629
82351716238403,-0.058981135,0.26360476,1.1720713
82351726166468,-0.06270956,0.26360476,1.1124165
82351736094530,-0.065905355,0.2588111,1.0554248
82351746022595,-0.06963378,0.24443002,0.9963026
82351755950660,-0.07336221,0.23697317,0.91587514
82351765878850,-0.062176928,0.18424258,0.8221319
82351775806915,-0.0025221186,0.044692926,0.7401065
82351785734980,0.16365914,-0.25997272,0.7001591
82351795662372,0.48110795,-0.6786216,0.695898
82351805590437,0.8603421,-0.89433765,0.6943001
82351815518502,1.1154729,-0.843205,0.721997
82351825446692,1.1085486,-0.79526806,0.7933697
82351835374757,0.85181993,-0.76650596,0.78058654
82351845302822,0.50560904,-0.7739628,0.70282227
82351855230884,0.2787077,-0.85385764,0.63198215
82351865159077,0.25900033,-1.0413442,0.5723273
82351875087142,0.4092026,-1.2527992,0.53451043
82351885015204,0.60201544,-1.3960773,0.500422
82351894943397,0.68350816,-1.4860921,0.44023454
82351904871462,0.6179944,-1.8429557,0.41307032
82351914801145,0.45447636,-2.1268487,0.3699271
82351924729338,0.33889514,-2.0389643,0.26766172
82351934657403,0.3740489,-1.9867663,0.20481111
82351944585593,0.46459636,-2.017659,0.2197248
82351954513658,0.5311754,-1.6442839,0.16113526
82351964441723,0.59349334,-0.99979883,0.09775203
82351974369913,0.37511414,-0.6301521,0.08443622
82351984297978,-0.14366966,-0.6024552,0.07325095
82351994226171,-0.62570184,-0.46397087,0.101480454
82352004159585,-0.87870216,-0.08207355,0.19948478
82352014087778,-0.87550634,0.26520267,0.33317548
82352024015971,-0.61078817,0.47985345,0.4673988
82352033944161,-0.22835818,0.62952316,0.556881
82352043872354,0.0374253,0.69929796,0.58404523
82352053800547,0.09494957,0.72592956,0.6000242
82352063728609,0.009728422,0.68971056,0.62985164
82352073656802,-0.094667494,0.44842815,0.69749594
82352083584995,-0.20119394,0.17092676,0.74916124
82352093513185,-0.22995608,-0.016559782,0.7731297
82352103441378,-0.20598763,-0.1342715,0.7678034
82352113369571,-0.1575181,-0.23706952,0.70175695
82352123299876,-0.04886112,-0.2583748,0.5968284
82352133228069,0.09601484,-0.10497673,0.5121399
82352143156390,0.2440866,0.11233722,0.5179989
82352153084580,0.34422147,0.23217948,0.5861758
82352163012773,0.34368885,0.25135422,0.6085463
82352172941094,0.27977297,0.24016896,0.61706847
82352182869284,0.19614969,0.3680007,0.6889738
82352192797477,0.111993805,0.7445717,0.8050876
82352202725798,0.026240023,1.2223428,0.9036246
82352212654908,-0.07176431,1.6100991,0.933452
82352222583101,-0.17669286,1.8236846,0.9238646
82352232511422,-0.27895823,1.8316741,0.89297193
82352242439612,-0.32156882,1.6809392,0.86687297
82352252367805,-0.2736319,1.4987789,0.8594161
82352262296126,-0.20012867,1.424743,0.8823193
82352272224316,-0.11916858,1.4471136,0.95742047
82352282152637,-0.03448005,1.3890567,1.0634143
82352292080830,-0.008381073,1.1371217,1.1321238
82352302009599,-0.0025221186,0.80209595,1.1438417
82352311937920,0.051806368,0.58158624,1.1433091
82352321866113,0.14022331,0.52086616,1.1582229
82352331794303,0.21053077,0.5858473,1.1864524
82352341722624,0.24941292,0.6929064,1.2184103
82352351650817,0.27444667,0.73551697,1.2365198
82352361579135,0.2952193,0.6423063,1.2572924
