UPTIMENANO,Mx,My,Mz
86090261545406,1.3444691,-30.058498,-17.416351
86090281403839,1.3444691,-30.058498,-17.416351
86090301262142,1.3444691,-30.058498,-17.416351
86090321120446,1.194469,-30.658499,-17.416351
86090340978751,0.89446926,-30.358498,-17.416351
86090360837773,0.14446926,-30.358498,-17.416351
86090380696077,-0.7555313,-30.358498,-17.416351
86090400554510,-0.45553112,-30.358498,-17.416351
86090420412813,-0.45553112,-30.358498,-17.416351
86090440264051,-1.0555315,-30.358498,-17.416351
86090460122100,-1.3555307,-30.358498,-17.566349
86090479980275,-1.5055313,-30.058498,-17.866352
86090499838451,-1.8055315,-29.908499,-18.01635
86090519696628,-2.1055307,-29.908499,-18.46635
86090539554675,-2.8555307,-29.7585,-18.46635
86090559413284,-4.655531,-29.7585,-18.46635
86090579271333,-6.155531,-29.7585,-19.21635
86090599129508,-6.6055317,-29.308498,-19.816349
86090618987684,-6.155531,-29.158499,-19.666351
86090638845861,-6.155531,-29.458498,-19.666351
86090658702902,-6.3055315,-29.458498,-19.666351
86090678561078,-6.6055317,-29.7585,-19.666351
86090698419255,-6.905532,-29.7585,-19.366352
86090718277430,-6.905532,-29.7585,-19.21635
86090738129992,-6.905532,-29.7585,-18.01635
86090757988041,-6.905532,-29.7585,-18.166351
86090777846088,-6.905532,-29.7585,-17.416351
86090797704136,-6.905532,-29.7585,-17.866352
86090817562313,-6.905532,-29.7585,-17.566349
86090837420360,-6.7555313,-29.7585,-17.566349
86090857276421,-6.7555313,-29.7585,-17.566349
86090877134470,-6.7555313,-29.608498,-17.566349
86090896992517,-6.905532,-29.308498,-17.566349
86090916850693,-6.905532,-28.858498,-17.566349
86090936708742,-7.205531,-29.158499,-17.566349
86090956562208,-7.205531,-29.308498,-17.566349
86090976420128,-7.5055323,-29.308498,-17.566349
86090996278049,-8.405532,-29.308498,-17.416351
86091016136096,-8.705531,-29.308498,-17.416351
86091035994016,-9.005532,-29.308498,-17.116352
86091055852065,-9.005532,-29.308498,-16.96635
86091075697844,-8.5555315,-29.308498,-16.96635
86091095555636,-8.705531,-29.308498,-16.96635
86091115413301,-9.455531,-29.308498,-17.116352
86091135270964,-9.605531,-28.708498,-17.416351
86091155130759,-9.755532,-28.408499,-17.416351
86091174988552,-10.0555315,-27.808498,-17.416351
86091194846215,-10.505532,-28.108498,-17.416351
86091214703879,-12.005532,-28.108498,-17.416351
86091234561672,-14.405532,-27.658499,-17.116352
86091254418610,-13.8055315,-27.658499,-17.116352
86091274276274,-13.8055315,-27.658499,-16.96635
86091294133939,-13.8055315,-27.658499,-16.816349
86091313991474,-13.955531,-27.658499,-16.21635
86091333849138,-14.255532,-27.658499,-15.616352
86091353706803,-14.405532,-27.658499,-13.966351
86091373567745,-14.855531,-27.808498,-12.466351
86091393425409,-14.855531,-28.558498,-9.616348
86091413283074,-14.855531,-29.458498,-7.51635
86091433140737,-14.5555315,-30.058498,-5.7163506
86091452998022,-14.405532,-30.808498,-4.066349
86091472855687,-14.105531,-32.7585,-4.6663513
86091492713222,-13.505532,-32.608498,-5.1163483
86091512570886,-11.5555315,-32.3085,-5.1163483
86091532428423,-7.5055323,-32.3085,-5.1163483
86091552279182,-8.405532,-32.3085,-5.26635
86091572136462,-8.255532,-32.3085,-5.26635
86091591993871,-8.255532,-32.3085,-5.26635
86091611851278,-7.955531,-32.3085,-6.9163513
86091631708686,-7.5055323,-32.0085,-8.566349
86091651565967,-6.7555313,-31.858498,-10.666351
86091671426519,-6.155531,-31.708498,-13.966351
86091691283927,-5.1055317,-30.658499,-16.366352
86091711141336,-1.2055311,-29.908499,-18.01635
86091730998743,0.14446926,-29.308498,-19.816349
86091750863458,1.7944689,-27.058498,-23.116352
86091770721123,0.89446926,-20.908497,-25.51635
86091790578786,1.944469,-17.458498,-29.26635
86091810436322,2.5444689,-17.308498,-28.816353
86091830293987,3.8944693,-15.658498,-30.166351
86091850151522,4.6444693,-11.908497,-29.866348
86091870010906,5.3944693,-12.358498,-29.866348
86091889868571,7.1944695,-12.358498,-29.866348
86091909726362,7.7944694,-12.508497,-29.866348
86091929584026,8.544469,-12.658497,-29.716354
86091949441691,8.99447,-12.658497,-29.416351
86091969299293,7.9444695,-12.658497,-29.416351
86091989156957,7.9444695,-12.508497,-29.866348
86092009014750,7.9444695,-12.358498,-29.866348
86092028872541,7.9444695,-11.908497,-29.866348
86092048727950,7.7944694,-11.308498,-30.166351
86092068585615,6.8944693,-9.958498,-30.166351
86092088443278,4.794469,-6.508497,-30.916351
86092108300942,1.4944692,-2.3084965,-33.01635
86092128158735,-0.005531311,-0.35849762,-35.41635
86092148016398,-0.45553112,1.8915024,-34.966354
86092167884180,-2.1055307,2.3415031,-34.66635
86092187742100,-3.155531,5.9415016,-34.66635
86092207600020,-6.7555313,6.091503,-34.66635
86092227457940,-10.0555315,8.041504,-34.216354
86092247315988,-14.5555315,9.391502,-33.61635
86092267182283,-16.505531,10.891502,-31.51635
86092287040459,-19.955532,10.741505,-27.466354
86092306898507,-25.205532,10.741505,-27.01635
86092326756683,-28.505531,10.741505,-24.01635
86092346614731,-31.505531,10.591503,-20.866352
86092366466105,-33.905533,10.441502,-20.116352
86092386324153,-36.905533,10.291504,-18.616352
86092406182073,-37.35553,9.241505,-15.166351
86092426040121,-36.155533,6.3915024,-15.316349
86092445898041,-35.705532,3.8415031,-15.166351
86092465752310,-34.955532,-2.1584969,-13.666351
86092485610230,-34.35553,-11.158497,-11.26635
86092505468150,-33.905533,-11.458498,-8.416351
86092525326070,-33.30553,-10.258497,-4.2163506
86092545183990,-30.30553,-9.808498,-0.16635132
86092565034772,-27.60553,-9.058498,2.2336502
86092584892564,-28.05553,-8.908497,2.0836487
86092604750356,-28.505531,-8.608498,1.0336494
86092624608148,-28.655533,-7.5584984,0.7336502
86092644465940,-28.655533,-6.8084984,0.43365097
86092664320049,-29.10553,-7.1084976,-0.31634903
86092684177713,-30.005531,-6.658497,-2.2663498
86092704035377,-31.505531,-6.658497,-4.816349
86092723892913,-33.00553,-6.3584976,-8.416351
86092743750577,-33.30553,-6.3584976,-9.76635
86092763610612,-33.75553,-6.3584976,-8.716351
86092783468276,-33.60553,-6.0584984,-9.316349
86092803325940,-33.60553,-5.6084976,-9.616348
86092823183604,-33.60553,-4.258497,-9.316349
86092843041268,-33.60553,-3.3584976,-9.316349
86092862896908,-33.60553,-0.50849724,-9.316349
86092882754444,-33.60553,0.84150314,-10.366348
86092902612108,-33.60553,2.9415016,-11.716351
86092922469772,-33.60553,3.0915031,-13.216351
86092942327436,-33.60553,4.7415047,-14.26635
86092962184277,-33.60553,4.4415016,-15.316349
86092982041941,-33.60553,5.1915016,-16.96635
86093001899605,-33.30553,5.341503,-16.366352
86093021757269,-32.85553,5.341503,-16.51635
86093041614933,-32.85553,6.091503,-16.366352
86093061476181,-33.00553,6.3915024,-16.366352
86093081333845,-33.00553,7.1415024,-16.366352
86093101191509,-32.85553,7.7415047,-16.366352
86093121049301,-32.85553,9.091503,-16.366352
86093140906965,-32.85553,10.291504,-16.366352
86093160762366,-32.705532,10.291504,-16.51635
86093180620030,-32.55553,10.291504,-16.96635
86093200479221,-32.405533,9.991505,-16.96635
86093220336885,-32.25553,9.991505,-17.416351
86093240194549,-31.655533,9.991505,-19.066349
86093260061801,-31.35553,9.991505,-20.26635
86093279919721,-31.35553,9.991505,-20.416351
86093299777513,-31.505531,9.991505,-19.066349
86093319635305,-31.505531,10.441502,-18.46635
86093339493097,-31.505531,10.591503,-18.166351
86093359353833,-31.505531,10.891502,-18.166351
86093379211753,-31.505531,11.491505,-18.01635
86093399069673,-31.505531,12.541504,-17.116352
86093418927593,-31.505531,14.041504,-16.366352
86093438785513,-31.505531,14.191502,-15.76635
86093458644974,-31.205532,13.591503,-15.616352
86093478502894,-30.455532,13.141502,-15.616352
86093498360942,-30.455532,12.841503,-15.76635
86093518218862,-30.455532,12.841503,-15.76635
86093538076782,-30.455532,12.391502,-15.916351
86093557931240,-30.455532,10.741505,-15.916351
86093577789160,-30.455532,7.591503,-15.916351
86093597646952,-30.30553,-1.1084976,-16.366352
86093617504872,-30.155533,-2.0084972,-17.866352
86093637362664,-29.705532,-4.258497,-19.366352
86093657215860,-28.655533,-5.758497,-19.666351
86093677073524,-27.60553,-8.308498,-20.26635
86093696931188,-25.655533,-10.708498,-19.816349
86093716788980,-23.85553,-11.008497,-19.666351
86093736646644,-19.80553,-13.558498,-19.666351
86093756514474,-19.955532,-15.208498,-19.666351
86093776372394,-18.455532,-16.558498,-19.666351
86093796230442,-17.855534,-17.308498,-19.21635
86093816088362,-17.405533,-17.0085,-19.066349
86093835946282,-17.405533,-17.608498,-18.01635
86093855807675,-17.405533,-17.458498,-18.46635
86093875665851,-16.955532,-17.458498,-18.46635
86093895524027,-16.955532,-17.608498,-18.46635
86093915382203,-16.505531,-17.608498,-18.01635
86093935240379,-16.355534,-17.608498,-16.816349
86093955093959,-16.205532,-17.7585,-16.96635
86093974952007,-15.605533,-18.358498,-17.116352
86093994810055,-14.105531,-18.5085,-17.116352
86094014668103,-12.605531,-19.708498,-17.116352
86094034526151,-11.255532,-20.908497,-17.116352
86094054391178,-7.5055323,-21.658497,-17.116352
86094074249354,-2.5555315,-23.458498,-16.96635
86094094107530,-2.405531,-24.358498,-16.96635
86094113965706,-3.3055315,-24.058498,-16.51635
86094133823882,-3.3055315,-24.058498,-16.21635
86094153678571,-3.155531,-23.908499,-14.866352
86094173536619,-3.0055313,-23.908499,-13.51635
86094193394667,-3.0055313,-23.908499,-13.666351
86094213252843,-3.0055313,-23.908499,-13.216351
86094233110891,-3.0055313,-23.908499,-13.216351
86094252971491,-3.0055313,-22.858498,-13.066349
86094272829667,-3.0055313,-22.708498,-13.216351
86094292687843,-2.405531,-22.708498,-13.216351
86094312545891,-2.405531,-22.2585,-13.216351
86094332404067,-2.1055307,-22.858498,-13.216351
86094352261736,-1.2055311,-22.858498,-13.216351
86094372119912,-0.7555313,-22.708498,-13.216351
86094391978088,-0.3055315,-22.858498,-13.216351
86094411836264,-0.7555313,-22.858498,-13.216351
86094431694440,-0.9055309,-22.858498,-13.216351
86094451543374,-1.2055311,-22.858498,-13.216351
86094471401294,-1.2055311,-22.858498,-13.216351
86094491259342,-1.2055311,-22.858498,-13.066349
86094511117262,-1.2055311,-22.858498,-13.066349
86094530975182,-1.2055311,-22.858498,-13.066349
86094550825671,-1.2055311,-22.858498,-13.066349
86094570683463,-1.2055311,-22.858498,-13.066349
86094590541255,-1.2055311,-22.858498,-13.066349
86094610399047,-1.2055311,-22.858498,-13.066349
