UPTIMENANO,Ax,Ay,Az
86090301262142,-2.095642,5.0582814,7.7071733
86090321120446,-1.954336,5.1636624,7.335945
86090340978751,-1.9926564,5.391189,8.368198
86090360837773,-1.8250049,5.5468655,9.584868
86090380696077,-0.47900394,5.860613,8.435259
86090400554510,-0.90052736,4.5816727,6.2438164
86090420412813,-3.288362,4.7062135,7.91075
86090440264051,-1.0418335,5.977969,11.393108
86090460122100,0.86939216,6.2653713,9.704619
86090479980275,0.48139894,6.0019193,7.9921803
86090499838451,-1.1376343,5.8031325,8.301138
86090519696628,-2.2537134,5.2187476,9.086704
86090539554675,-0.69216067,4.24637,8.55501
86090559413284,1.9423609,4.5792775,9.316627
86090579271333,2.7973828,4.670288,12.087664
86090599129508,1.2645704,3.908672,11.838582
86090618987684,0.16525635,3.796106,9.299861
86090638845861,1.8369801,4.7229786,7.9347
86090658702902,2.9171338,5.113367,6.967112
86090678561078,2.6153615,4.761299,7.573052
86090698419255,2.8620484,4.533772,7.4006104
86090718277430,2.703977,4.2200246,7.7862086
86090738129992,2.3375392,3.786526,8.729847
86090757988041,1.7627344,3.7290456,8.2125225
86090777846088,0.45744875,5.0510964,6.241421
86090797704136,0.37601808,5.7552323,6.456973
86090817562313,0.99393314,4.3469605,8.049661
86090837420360,1.1232642,4.1170387,8.442444
86090857276421,0.42870852,4.7133985,9.091495
86090877134470,1.1448194,4.414021,8.5502205
86090896992517,1.0298585,4.9073954,7.422166
86090916850693,1.4130616,5.3408937,7.326365
86090936708742,0.9508228,4.5768824,8.921448
86090956562208,0.46942386,3.7649708,9.79563
86090976420128,1.583108,4.28948,9.3381815
86090996278049,4.6774735,4.152964,8.435259
86091016136096,1.9830762,5.2905984,7.180269
86091035994016,0.7376661,6.0258694,6.2821364
86091055852065,-0.20357667,4.3541455,6.991062
86091075697844,-2.802173,4.996011,7.647298
86091095555636,-0.6514453,6.840176,8.054451
86091115413301,0.6227051,5.985154,10.724898
86091135270964,-1.0801538,5.4055595,10.116563
86091155128215,-0.083825685,5.213958,9.718989
86091174986008,-0.34727785,5.199588,9.414823
86091194846215,-1.6214283,4.8163843,7.1371584
86091214703879,-0.85741705,5.216353,7.2688847
86091234561672,0.28979737,4.9648757,8.308323
86091254418610,1.7148341,4.5074267,9.072334
86091274276274,2.1267774,4.1242237,11.673326
86091294133939,2.3998096,3.5613942,11.050621
86091313991474,3.5733693,3.5110989,8.5598
86091333849138,5.6833816,1.8609302,9.1130495
86091353706803,2.936294,2.335144,9.072334
86091373567745,3.3578174,2.9841945,5.621111
86091393425409,3.290757,3.3554225,5.3313136
86091413283074,5.5157304,4.2918754,5.606741
86091433140737,0.23950197,11.371553,5.3217335
86091452998022,0.31374758,13.46959,7.321575
86091472855687,5.46304,4.3541455,8.1071415
86091492713222,3.422483,5.7839723,8.140672
86091512570886,2.1363575,7.9394903,8.732242
86091532428423,2.42376,6.8018556,6.9958525
86091552279182,2.1722827,7.2976246,4.991221
86091572136462,1.2358302,5.6690116,4.26074
86091591993871,2.792593,5.968389,0.2921924
86091611851278,3.3602126,5.4989653,-2.1171973
86091631708686,2.3471193,3.9805226,-0.9532178
86091651565967,2.555486,2.327959,0.48139894
86091671426519,4.806804,2.7063723,14.63836
86091691283927,-3.2500417,3.4416432,23.224504
86091711141336,-2.323169,4.528982,8.456815
86091730998743,1.4034815,3.6979103,0.5245093
86091750863458,1.2861255,-0.32572266,4.3254056
86091770721123,3.3434474,-0.7568262,8.799302
86091790578786,4.6894484,-0.3544629,14.116245
86091810436322,3.8272414,0.23231691,17.270487
86091830293987,1.0490186,-0.7185059,17.17708
86091850151522,-1.0801538,-0.89573735,16.774717
86091870010906,-2.2968237,-0.18681154,15.617923
86091889868571,-3.7434156,0.21555176,11.879297
86091909726362,-4.1146436,0.8861573,9.177715
86091929584026,-4.24637,0.16525635,2.5147705
86091949441691,-0.91250247,-1.3771362,-13.40732
86091969299293,3.4608033,-0.5125342,16.978294
86091989156957,5.3073635,-1.6741188,22.091661
86092009014750,5.0343313,-1.4944923,12.25292
86092028872541,3.7314405,1.2621753,9.70941
86092048727950,1.6789087,4.5792775,2.6057813
86092068585615,4.5481424,5.740862,4.0882983
86092088443278,3.1278956,2.699187,9.501043
86092108300942,3.5254688,1.477727,6.552774
86092128158735,3.3841627,0.9532178,2.6536818
86092148016398,6.0402393,3.3673975,7.6209526
86092167884180,6.1504107,2.687212,0.12693603
86092187742100,7.434141,3.0177248,-1.4873072
86092207600020,8.504715,1.8010547,0.9651929
86092227457940,7.9969707,0.6777906,1.7459693
86092247315988,6.586304,0.8646021,1.5136524
86092267182283,8.032896,1.3962965,0.13651612
86092287040459,11.268567,1.4729371,-0.62510014
86092306898507,12.940291,0.9867481,0.031135255
86092326756683,15.222745,1.4370118,1.4992822
86092346614731,15.570023,2.7782228,0.5340894
86092366466105,12.458892,4.5002418,0.16765137
86092386324153,12.700789,6.1767554,1.0154883
86092406182073,15.368841,7.1563187,1.2166699
86092426040121,18.173409,7.592212,-0.21555176
86092445898041,19.813997,7.9873905,-0.5628296
86092465752310,20.783981,9.0148535,-0.53169435
86092485610230,18.391356,9.335787,3.6380348
86092505468150,17.68243,6.847361,3.0895753
86092525326070,18.88473,4.167334,-1.463357
86092545183990,9.414823,8.231683,6.133645
86092565034772,6.095325,7.817344,9.19927
86092584892564,6.8593364,6.809041,1.4513819
86092604750356,9.230406,7.103628,-1.3148658
86092624608148,6.615044,4.2296047,2.5890162
86092644465940,5.127737,3.9829175,2.3375392
86092664320049,7.893985,3.4895437,-2.1363575
86092684177713,5.8055277,0.48139894,1.3915064
86092704035377,5.221143,1.0753639,-1.0346485
86092723892913,7.702383,2.5147705,-1.0657837
86092743750577,10.193204,1.9160157,-0.5125342
86092763610612,9.1849,-0.8262818,-2.3974147
86092783468276,7.7646537,1.477727,1.219065
86092803325940,5.836663,3.5015187,-0.8214917
86092823183604,6.4905033,1.1184741,-1.0322535
86092843041268,9.017249,1.7579445,0.6179151
86092862896908,10.197993,4.591253,1.4346168
86092882754444,7.692803,5.910908,2.3734643
86092902612108,7.1060233,5.879773,1.0825489
86092922469772,6.991062,5.5803957,1.0753639
86092942327436,12.183465,1.5160475,-0.5604346
86092962184277,15.75923,1.8250049,-3.8847218
86092982041941,10.274634,4.373306,-3.1278956
86093001899605,9.572893,3.9517825,-1.4729371
86093021757269,10.595567,5.0487013,0.31374758
86093041614933,7.6592727,5.2283278,0.5987549
86093061476181,8.131092,2.5578809,2.7973828
86093081333845,10.530901,1.3531861,0.3784131
86093101191509,11.412269,1.1903248,2.2129982
86093121049301,9.259146,1.1328443,3.3290772
86093140906965,11.345208,0.2203418,2.6441016
86093160762366,12.327166,0.25866213,-2.9219239
86093180620030,14.607224,1.0322535,1.5639478
86093200479221,11.721226,2.0237916,3.7434156
86093220336885,12.947476,1.8992506,1.6836988
86093240194549,15.514937,1.8585353,0.86220706
86093260061801,11.086546,2.794988,0.081430666
86093279919721,9.211246,1.7435743,2.9482691
86093299777513,6.9886675,-2.5842261,0.019160157
86093319635305,4.751719,1.1472144,-0.21315674
86093339493097,1.4489869,2.0022364,0.9436377
86093359353833,5.1828227,0.26105714,1.0011182
86093379211753,7.3742657,-1.7459693,1.6741188
86093399069673,8.646021,-3.5110989,0.51971924
86093418927593,9.620794,-2.5051906,-0.28500733
86093438785513,10.717712,-2.4213648,-0.9508228
86093458644974,11.409874,-0.8861573,-0.42870852
86093478502894,11.043435,3.319497,1.3986914
86093498360942,13.198954,5.158872,-0.68737066
86093518218862,11.139236,5.8749833,-0.22752686
86093538076782,8.614885,3.896697,0.9915381
86093557931240,7.33355,2.567461,0.74724615
86093577789160,6.6198344,4.1218286,-0.3520679
86093597646952,5.975574,7.8484793,0.023950197
86093617504872,5.8270826,8.200547,0.90771246
86093637362664,3.0847852,7.563472,1.8154249
86093657215860,4.488267,10.253079,2.5890162
86093677073524,7.4054008,10.0063925,2.1555176
86093696931188,6.3947024,9.091495,1.81782
86093716788980,5.951624,9.273516,1.101709
86093736646644,6.05461,10.451866,0.55324954
86093756514474,5.0989966,13.848003,0.9508228
86093776372394,1.4585669,17.0717,1.8058448
86093796230442,4.512217,11.163186,1.1136842
86093816088362,4.9145803,9.134604,0.62749517
86093835946282,3.0009596,10.255474,0.07185059
86093855807675,2.7901978,10.138118,-0.1101709
86093875665851,3.7410207,9.618399,0.54366946
86093895524027,6.3132715,7.702383,0.7232959
86093915382203,3.7218604,9.448353,-0.49097902
86093935240379,3.8631666,8.758587,1.21188
86093955093959,4.912185,7.0006423,0.33290774
86093974952007,7.3862405,6.7874856,0.4023633
86093994810055,10.526112,5.9061184,0.55803955
86094014668103,6.3851223,4.157754,0.4981641
86094034526151,1.2166699,3.300337,0.54366946
86094054391178,-4.7133985,4.112249,-0.18920656
86094074249354,-26.419462,8.408914,1.2022998
86094094107530,-15.047909,9.196876,-4.0930886
86094113965706,0.63707525,10.303374,-3.4847536
86094133823882,1.5974782,12.339141,4.517007
86094153678571,2.4932153,6.215076,10.28661
86094173536619,-9.735755,14.57609,-4.505032
86094193394667,-1.8633252,10.803933,-8.653206
86094213252843,-0.17962648,7.673643,-4.512217
86094233110891,-3.8368216,12.013418,-2.703977
86094252971491,-2.4572902,13.254039,0.086220704
86094272829667,-3.2332766,10.265054,0.41194338
86094292687843,-2.9530592,9.649534,0.5891748
86094312545891,-1.3843213,10.691368,-0.94603276
86094332404067,1.3220508,10.420731,-1.2525953
86094352261736,3.9541774,7.4772515,3.0201197
86094372119912,2.1076174,7.1084185,-1.2286451
86094391978088,-2.4022048,8.032896,-3.2572267
86094411836264,-1.7579445,7.893985,1.2693604
86094431694440,-2.9506643,8.56459,2.3064039
