UPTIMENANO,P
86604304945403,1005.0932
86604403383084,1005.0945
86604502864159,1005.08905
86604602497858,1005.0942
86604700880032,1005.09045
86604799933756,1005.0917
86604899628506,1005.08606
86604998346454,1005.08746
86605097674904,1005.0871
86605197613854,1005.0939
86605296301277,1005.09344
86605395416051,1005.09155
86605495721302,1005.0928
86605593889800,1005.0855
86605693035099,1005.08514
86605793706650,1005.08484
86605891630948,1005.0879
86605990959397,1005.0877
86606090989922,1005.09644
86606190409946,1005.0838
86606289738396,1005.0855
86606389345149,1005.08887
86606488154673,1005.09576
86606587452597,1005.10254
86606685743196,1005.1042
86606785010595,1005.1059
86606884461144,1005.10333
86606982171767,1005.105
86607081378116,1005.1047
86607180645516,1005.1063
86607280279215,1005.0975
86607378875064,1005.0954
86607477959313,1005.095
86607579882390,1005.095
86607676066761,1005.0928
86607775089960,1005.09106
86607874265784,1005.086
86607973227933,1005.0843
86608072159557,1005.0872
86608170999606,1005.08014
86608269961755,1005.08704
86608368958510,1005.0664
86608468012234,1005.07324
86608567218583,1005.0613
86608666272307,1005.061
86608765936532,1005.06415
86608865112356,1005.0812
86608964349230,1005.0829
86609063402954,1005.07935
86609162304053,1005.0776
86609262578779,1005.069
86609361693553,1005.0759
86609460869377,1005.07184
86609560045201,1005.07184
86609659587326,1005.0701
86609758274749,1005.0682
86609857542149,1005.0661
86609956565348,1005.06415
86610055954847,1005.06415
86610155313821,1005.0572
86610254062295,1005.0539
86610353024444,1005.0417
86610452079484,1005.03107
86610550797433,1005.0277
86610649484856,1005.0205
86610748752256,1005.01495
86610847683880,1005.01495
86610946829179,1005.01495
86611051255308,1005.0132
86611145425027,1005.01843
86611244906102,1005.0196
86611344204026,1005.02136
86611443318800,1005.02136
86611542830400,1005.016
86611641700974,1005.01245
86611740754698,1005.01245
86611840266297,1005.0018
86611939564222,1005.0018
86612038892671,1004.99286
86612138190595,1004.9945
86612237152744,1004.99426
86612336542244,1004.99426
86612435504640,1004.9922
86612534375214,1004.98706
86612633978389,1004.9853
86612732971063,1004.9831
86612832391087,1004.98145
86612932848963,1004.97974
86613031872162,1004.97925
86613130803786,1004.97217
86613230071185,1004.967
86613329247009,1004.96826
86613428697559,1004.96826
86613527812333,1004.96277
86613627507082,1004.96277
86613727049207,1004.961
86613826743957,1004.961
86613925461905,1004.95386
86614024668255,1004.94653
86614124088279,1004.9449
86614223783029,1004.93286
86614322500977,1004.92773
86614420912157,1004.92053
86614520637432,1004.924
86614619477480,1004.91833
86614719233280,1004.9167
86614818348054,1004.9167
86614919172230,1004.91504
86615016882853,1004.91296
86615115906052,1004.90735
86615215234501,1004.9071
86615314501900,1004.9052
86615414074550,1004.9052
86615513555625,1004.90497
86615612365148,1004.90125
86615710960997,1004.8942
86615811632548,1004.89594
86615910716797,1004.887
86616009801046,1004.8831
86616108824245,1004.8781
86616208366369,1004.8708
86616306749266,1004.86914
86616406016665,1004.8653
86616505772466,1004.8653
86616605497741,1004.86694
86616705192492,1004.8631
86616804765139,1004.8648
86616903544138,1004.8648
86617003086262,1004.8611
86617101712636,1004.8556
86617201926311,1004.847
86617300308484,1004.8431
86617399759035,1004.8431
86617499362210,1004.8431
86617598873811,1004.8466
86617698415936,1004.8466
86617798019111,1004.8445
86617897317031,1004.8497
86617996279180,1004.84106
86618095271854,1004.83044
86618194966604,1004.83215
86618293562453,1004.8267
86618392524602,1004.8248
86618491820088,1004.8176
86618591423263,1004.81934
86618691118014,1004.8123
86618790690665,1004.8106
86618890629612,1004.80524
86618988950735,1004.7946
86619088096034,1004.79803
86619188248659,1004.79974
86619286600308,1004.79974
86619385989807,1004.79297
86619485074056,1004.7852
86619584585656,1004.7869
86619684188830,1004.7819
86619783883581,1004.7751
86619882784679,1004.76996
86619981777353,1004.7644
86620082754154,1004.7648
86620180647927,1004.7525
86620280647927,1004.7417
86620380251101,1004.73663
86620479304825,1004.73834
86620578633275,1004.73785
86620678694325,1004.73444
86620777503848,1004.7324
86620877501755,1004.73224
86620976738630,1004.7394
86621075944979,1004.73224
86621175242903,1004.72723
86621274662928,1004.7269
86621373991377,1004.72516
86621473625077,1004.72516
86621573258776,1004.7248
86621673014577,1004.7161
86621772709328,1004.7196
86621870969399,1004.70905
86621970236798,1004.70905
86622069687348,1004.71075
86622169107372,1004.7087
86622268435821,1004.71045
86622367642171,1004.70526
86622466573795,1004.70013
86622566115919,1004.69824
86622665383318,1004.7034
86622764772818,1004.70514
86622864164434,1004.70514
86622963340258,1004.6942
86623062790808,1004.6887
86623162149782,1004.6853
86623261234031,1004.68317
86623360654056,1004.67804
86623460287755,1004.673
86623559982505,1004.673
86623658853079,1004.67114
86623757845753,1004.6779
86623856899477,1004.66907
86623955892151,1004.6669
86624055037450,1004.67084
86624153694349,1004.6772
86624252625973,1004.6772
86624351801797,1004.672
86624450824996,1004.6652
86624550214495,1004.6652
86624649665046,1004.67847
86624749115594,1004.69366
86624847772493,1004.6902
86624947218738,1004.6714
86625046699813,1004.6799
86625145875637,1004.68964
86625245265136,1004.68964
86625344379910,1004.686
86625443433634,1004.6843
86625542853659,1004.64667
86625641907383,1004.64996
86625741296882,1004.6586
86625840594807,1004.667
86625939648531,1004.67053
86626038732780,1004.679
86626138000179,1004.6684
86626237847554,1004.6701
86626337511779,1004.66473
86626436931804,1004.6698
86626536596029,1004.673
86626636107628,1004.67114
86626735680279,1004.67114
86626834886628,1004.6677
86626933540797,1004.64685
86627032625046,1004.64984
86627137112225,1004.64813
86627231251419,1004.66406
86627330946169,1004.65497
86627430183043,1004.66187
86627529725168,1004.67035
86627629267293,1004.66644
86627728748368,1004.67334
86627827893667,1004.6713
86627926611615,1004.6661
86628025848489,1004.6678
86628124688538,1004.6764
86628223253861,1004.6747
86628323131761,1004.6781
86628422246535,1004.6764
86628521697085,1004.673
86628621208684,1004.6708
86628720750809,1004.66693
86628819651908,1004.66693
86628918492785,1004.66693
86629017546510,1004.66296
86629117119159,1004.6662
86629216050783,1004.668
86629315104507,1004.6625
86629414646632,1004.6568
86629514188757,1004.65857
86629613761408,1004.6533
86629713303533,1004.6533
86629812204632,1004.6465
86629911258353,1004.64294
86630010159452,1004.64264
86630109762627,1004.64294
86630208968976,1004.6499
86630307961650,1004.64124
86630407106949,1004.6391
86630506252248,1004.64264
86630605916473,1004.64264
86630705275448,1004.6352
86630804573373,1004.6301
86630910309006,1004.625
86631005669202,1004.6284
86631102250398,1004.6284
86631201823048,1004.62146
86631300937822,1004.6232
86631400510472,1004.625
86631500174696,1004.625
86631599686297,1004.6179
86631699289472,1004.61475
86631798892647,1004.6076
86631897274818,1004.6076
86631996359067,1004.59863
86632095595942,1004.6025
86632195321216,1004.5969
86632295321216,1004.59686
86632394100215,1004.58777
86632493672865,1004.5894
86632592512914,1004.58575
86632692055038,1004.5874
86632791658213,1004.58405
86632890467736,1004.57715
86632990556359,1004.58093
86633089030107,1004.5806
86633188328031,1004.57715
86633288297506,1004.5737
86633387076505,1004.56854
86633486740730,1004.56683
86633586282855,1004.56006
86633685977606,1004.56177
86633785672357,1004.5579
86633884390302,1004.55975
86633983382976,1004.55286
86634082864051,1004.55286
86634182284075,1004.5459
86634282131450,1004.5477
86634384176627,1004.54083
86634481215699,1004.54083
86634581093600,1004.53876
86634680879925,1004.53546
86634780238900,1004.53876
86634879231572,1004.54224
86634978618501,1004.54224
86635077824850,1004.5456
86635176970149,1004.5456
86635276298598,1004.5367
86635375688098,1004.5367
86635475382847,1004.5385
86635575016548,1004.5299
86635674711299,1004.53503
86635774375524,1004.5316
86635872727170,1004.5297
86635971933519,1004.5263
86636071841944,1004.52124
86636170773568,1004.5159
86636270285167,1004.51245
86636370315692,1004.51434
86636470132542,1004.5073
86636569644143,1004.5034
86636669338892,1004.4965
86636770315693,1004.4982
86636867568440,1004.4949
86636966745110,1004.4863
86637068607137,1004.47943
86637165279908,1004.4761
86637264760983,1004.4778
86637365981984,1004.47266
86637464028383,1004.4761
86637563662084,1004.47437
86637664058909,1004.47266
86637763173684,1004.46747
86637861861105,1004.46405
86637962563181,1004.46576
86638060487478,1004.467
86638159968553,1004.4615
86638262257930,1004.4581
86638358839127,1004.4581
86638458564402,1004.4565
86638558320201,1004.45465
86638657953902,1004.4406
86638757618127,1004.43726
86638856824475,1004.4338
86638955504164,1004.42865
86639054741038,1004.4308
86639155015763,1004.4219
86639253520037,1004.42004
86639352573761,1004.4163
86639452176935,1004.41296
86639551322234,1004.41156
86639650711734,1004.40607
86639751535910,1004.3958
86639849521258,1004.389
86639948849707,1004.3856
86640048910757,1004.3944
86640148422356,1004.3856
86640248208681,1004.38214
86640347323455,1004.3736
86640446835055,1004.3718
86640546224554,1004.36456
86640645491954,1004.35944
86640744973028,1004.35944
86640844118327,1004.3576
86640943385726,1004.3508
86641042775349,1004.3561
86641142134323,1004.3561
86641241249097,1004.3561
86641340241771,1004.3491
86641439448120,1004.3508
86641538684995,1004.34576
86641638349219,1004.3475
86641741462772,1004.3496
86641836975593,1004.34235
86641936426142,1004.3422
86642035846167,1004.33545
86642135205141,1004.33203
86642234716741,1004.3217
86642333953615,1004.3217
86642433312589,1004.3132
86642532854714,1004.3149
86642632061063,1004.3076
86642731450562,1004.30945
86642830840062,1004.3098
86642930076936,1004.3064
86643029588683,1004.29913
86643128795032,1004.2902
86643227970856,1004.2867
86643327421405,1004.2782
86643426688805,1004.2816
86643526017254,1004.291
86643625193078,1004.28754
86643724429952,1004.28754
86643823697352,1004.2769
86643923239476,1004.27185
86644022262675,1004.27185
86644121530075,1004.2683
86644220736424,1004.26105
86644320125923,1004.2576
86644419484897,1004.25476
86644518691247,1004.2564
86644618050221,1004.2495
86644717622871,1004.2495
86644816859745,1004.2495
86644916066094,1004.2423
86645015241918,1004.2389
86645114597621,1004.23193
86645214628146,1004.2303
86645313865020,1004.22687
86645413437669,1004.22687
86645513162944,1004.23193
86645612857695,1004.2303
86645712399820,1004.23755
86645811697745,1004.24097
86645910385166,1004.23706
86646009316790,1004.2286
86646108462089,1004.2081
86646207515814,1004.2012
86646306874788,1004.2081
86646406355862,1004.2132
86646505867462,1004.22125
86646605470637,1004.2298
86646704982238,1004.24524
86646804188587,1004.2433
86646903211784,1004.23315
86647002234983,1004.2298
86647101410741,1004.2401
86647200372890,1004.2623
86647300494991,1004.25714
86647398755064,1004.25037
86647498083513,1004.24915
86647597167762,1004.23706
86647696435161,1004.235
86647795519411,1004.24866
86647894664710,1004.2607
86647994176309,1004.2517
86648093382658,1004.2363
86648192711108,1004.23456
86648291825882,1004.23804
86648391062756,1004.2448
86648490147005,1004.2479
86648589505980,1004.2462
86648688468128,1004.2431
86648787705003,1004.2465
86648890574356,1004.25006
86648985995601,1004.2425
86649085048053,1004.2425
86649184223877,1004.2442
86649286116429,1004.2442
86649382453425,1004.2448
86649481354524,1004.23975
86649580194573,1004.2342
86649678881997,1004.2394
86649777813621,1004.244
86649877019970,1004.2474
86649976226319,1004.244
86650075829494,1004.2437
86650175493719,1004.2352
86650274974793,1004.2228
86650374547444,1004.2245
86650474059043,1004.2263
86650573662218,1004.2352
86650673265393,1004.2365
86650772746468,1004.2311
86650871281264,1004.22754
86650970273938,1004.2311
86651069206686,1004.24
86651168382510,1004.24
86651267741485,1004.2328
86651366734159,1004.2386
86651466245758,1004.2454
86651565757359,1004.2454
86651665299484,1004.2488
86651764872135,1004.24506
86651863406930,1004.2417
86651962308029,1004.2365
86652061148078,1004.2311
86652160201802,1004.2417
86652259408151,1004.23785
86652358339775,1004.2311
86652457851375,1004.2365
86652557362974,1004.2294
86652661300703,1004.22754
86652756386174,1004.2327
86652855348322,1004.24304
86652954371521,1004.23956
86653053392510,1004.2447
86653152354659,1004.23584
86653251713634,1004.2273
86653351591534,1004.2204
86653450797883,1004.21326
86653550431582,1004.2115
86653649973707,1004.20984
86653749485308,1004.20984
86653848172730,1004.20984
86653947348554,1004.20984
86654046280178,1004.20984
86654145608628,1004.2118
86654245059177,1004.2081
86654345272852,1004.20465
86654444357101,1004.20123
86654543960276,1004.19617
86654643471875,1004.19617
86654742952950,1004.1979
86654841670899,1004.1927
86654940694098,1004.1927
86655040297272,1004.19446
86655139719859,1004.19446
86655239078833,1004.18756
86655338193607,1004.18585
86655437735732,1004.1823
86655537308381,1004.1756
86655636850506,1004.1683
86655736301055,1004.16656
86655834896904,1004.1683
86655933889578,1004.1649
86656032760152,1004.1631
86656131447575,1004.16144
86656230409724,1004.158
86656328944523,1004.158
86656428028772,1004.158
86656530012899,1004.1563
86656626990922,1004.1602
86656726502523,1004.155
86656824945744,1004.15326
86656923846843,1004.15326
86657023694218,1004.1567
86657122111798,1004.14996
86657221714973,1004.1517
86657321623398,1004.1517
86657420646597,1004.1584
86657520341346,1004.155
86657621043423,1004.1465
86657719547698,1004.13745
86657819120345,1004.132
86657919913996,1004.13745
86658017624619,1004.1391
86658116892018,1004.13574
86658217044643,1004.1345
86658316464667,1004.12256
86658416067842,1004.12085
86658515518393,1004.1119
86658615518394,1004.1153
86658715762595,1004.11316
86658814602641,1004.105
86658913747940,1004.0978
86659013167964,1004.09265
86659112493471,1004.0893
86659212096645,1004.09644
86659312035595,1004.09265
86659411486145,1004.0824
86659511150370,1004.0824
86659610875645,1004.08575
86659710478820,1004.0806
86659810326193,1004.0738
86659912401895,1004.06866
86660008738892,1004.0652
