UPTIMENANO,Ax,Ay,Az
88533648627124,1.0730062,-1.0557414,11.313093
88533668484404,1.3114467,-1.1080021,11.300676
88533688341557,-0.2863315,0.41201836,10.833244
88533708207534,-1.0055505,0.88772947,10.845855
88533728064942,-1.2567198,0.8082679,11.068717
88533747922223,-0.8354532,0.8830643,10.216425
88533767779630,0.23405345,0.13436735,10.061674
88533787646650,1.3418486,-0.21241952,10.977803
88533807504187,1.2109216,-0.17159335,11.252741
88533827361850,0.6021513,-0.5357647,10.3269415
88533847219386,0.037007753,-0.5650102,10.14196
88533867077051,-0.2919317,-0.23012222,10.355457
88533886934586,-0.19816238,-1.9114171,9.2436695
88533906803666,-0.44437507,-2.8084009,7.7607656
88533926661587,-1.0641203,-2.1803184,7.450571
88533946519506,-1.3588823,-0.7944506,8.080224
88533966377426,-0.7544005,-0.14692445,8.654754
88533986235347,0.26258418,-0.43787605,8.687401
88534006099158,0.9892848,-1.0634447,8.7936125
88534025957206,1.2234317,-1.8456589,8.682937
88534045815255,0.86799806,-1.7113461,8.908754
88534065673430,0.45372915,-1.066284,9.779013
88534085531478,0.122917145,-0.7300678,10.093648
88534105389655,-0.31082565,-0.91209143,9.739129
88534125247049,-0.8428258,-1.0573432,9.534627
88534145105225,-1.4639121,-0.840498,9.412012
88534164963402,-1.4199998,-1.0107539,10.162779
88534184821577,0.083044104,-0.86239463,11.709351
88534204681713,1.322796,-0.970948,12.770272
88534224539890,2.0368843,-1.8758718,12.538962
88534244398065,1.5184944,-2.3611834,11.226976
88534264256241,0.82925063,-2.831317,10.282788
88534284114418,1.2323612,-2.4169934,10.36607
88534303967185,2.68433,-1.5043852,11.565144
88534323825233,3.1447642,-0.96798337,11.2006645
88534343683410,1.983532,-1.8916408,10.129483
88534363541457,1.3176172,-1.0513371,11.034366
88534383399505,3.026608,0.7804789,12.732237
88534403257554,3.605391,0.57511675,12.368441
88534423114437,2.7552185,-0.11859323,11.59952
88534442972613,3.0240493,-0.16580175,11.123744
88534462830662,2.7798095,-0.9494765,9.599759
88534482688837,1.3765473,-0.6447855,8.27804
88534502542486,0.2785385,-0.16506588,7.245606
88534522400535,-0.67510456,-0.20237198,6.650883
88534542258582,-0.3420355,-0.54466486,5.972652
88534562116630,0.35769185,-0.09492662,6.2897673
88534581974679,-0.3548864,0.12651296,8.642143
88534601831436,-1.5176597,0.19637428,8.387647
88534621689356,-2.0146277,-1.2815626,7.254268
88534641547277,-2.3034875,-1.3148937,7.8743143
88534661405196,-1.4768643,-0.78582996,9.606989
88534681263116,-1.0647836,-0.28765646,10.339631
88534701121037,-1.6707894,-0.22977142,10.790753
88534720968405,-0.36479715,0.07619491,11.859008
88534740825941,-0.046070367,-0.14697352,12.658952
88534760683478,0.3041498,-0.075905286,12.985787
88534780541013,-1.3164899,2.393063,12.344711
88534800395721,-0.035207,1.6346891,13.484914
88534820253258,1.7043866,1.0656381,14.179142
88534840110793,1.4544387,1.2666852,12.926902
88534859968201,-0.64024615,1.1947376,11.637117
