UPTIMENANO,P
88533700395897,1004.3525
88533799663296,1004.3555
88533901189547,1004.3552
88533998167569,1004.3495
88534097648644,1004.34875
88534198747545,1004.35516
88534296275017,1004.3585
88534395450842,1004.3545
88534497373919,1004.35944
88534593810240,1004.35913
88534693199739,1004.3622
88534794878616,1004.3601
88534891551388,1004.3561
88534990605112,1004.3575
88535091795588,1004.3556
88535189017810,1004.3571
88535288468360,1004.3566
88535389414636,1004.3561
88535486881058,1004.3489
88535586148457,1004.35046
88535684988506,1004.3566
88535783920130,1004.36694
88535885812682,1004.36646
88535984866406,1004.3699
88536082241253,1004.37646
88536180531852,1004.37933
88536279738201,1004.38214
88536379066650,1004.389
88536477967749,1004.3906
88536576899373,1004.38983
88536675837513,1004.38983
88536774708087,1004.3942
88536873548136,1004.3942
88536972754485,1004.39386
88537071838734,1004.3949
88537170922983,1004.3929
88537269854607,1004.4289
88537368938856,1004.4044
88537467687330,1004.39044
88537566435804,1004.4109
88537665550578,1004.4109
88537764360102,1004.4247
88537863322250,1004.42084
88537962284399,1004.42413
88538060941298,1004.43414
88538159903447,1004.4238
88538258743496,1004.42474
88538358102470,1004.42615
88538457003569,1004.4175
88538556087818,1004.4172
88538655147239,1004.4166
88538754323063,1004.4201
88538853437838,1004.42114
88538952674712,1004.41547
88539051728436,1004.41
88539150782160,1004.4064
88539249713784,1004.4045
88539348889608,1004.4058
88539448309633,1004.40405
88539547638084,1004.3968
88539647271783,1004.391
88539747088634,1004.3876
88539846020255,1004.3841
88539945012929,1004.38586
88540044158228,1004.37683
88540146264455,1004.37146
88540244951879,1004.3679
88540344097178,1004.3697
88540443120377,1004.36444
88540542570927,1004.3623
88540641234359,1004.3517
88540740593334,1004.3427
88540839921783,1004.33246
88540939158657,1004.3406
88541036228254,1004.33563
88541135190403,1004.33344
88541234152552,1004.3347
88541333389427,1004.3326
88541432504201,1004.3274
88541531435825,1004.32367
88541630214823,1004.3215
88541729146447,1004.3267
88541828078071,1004.3181
88541926948645,1004.3198
88542025788694,1004.32117
88542124811893,1004.3229
88542223835092,1004.3101
