UPTIMENANO,Ax,Ay,Az
88533592929242,-0.8763626,-0.29184142,-0.90955347
88533612929242,-1.1427926,-0.45653284,-0.8170768
88533632929242,-0.08090408,-0.9332168,0.5876824
88533652929242,1.0848045,-1.3471519,1.4775566
88533672929242,0.9968242,-1.2555943,1.3414656
88533692929242,-0.33194017,-0.090615384,1.0400234
88533712929242,-0.88450646,0.3645203,1.1362709
88533732929242,-0.8603005,0.18222876,1.1102536
88533752929242,-0.13986968,-0.14377247,0.41764984
88533772929242,0.92616624,-0.66763556,0.44735667
88533792929242,1.7988352,-1.2028098,1.1107535
88533812929242,1.6387392,-1.5022457,1.0114849
88533832929242,0.8551155,-1.1593765,0.38648835
88533852929242,0.32646412,-0.99082637,0.35420683
88533872929242,0.13814232,-1.2054086,0.19278054
88533892929242,-0.08562039,-2.3143027,-1.0387003
88533912929242,-0.47954792,-2.7058206,-2.1618898
88533932929242,-0.9976194,-1.8115534,-2.1555226
88533952929242,-1.1506721,-0.59712434,-1.5394301
88533972929242,-0.5249001,-0.17890178,-1.1453424
88533992929242,0.326824,-0.47281447,-1.066821
88534012929242,0.9042533,-1.0331198,-0.9960324
88534032929242,0.9033134,-1.3886225,-0.9481024
88534052929242,0.4869846,-1.0874197,-0.5087474
88534072929242,0.2156169,-0.807254,0.10432865
88534092929242,-0.06461327,-0.7389687,0.1593378
88534112929242,-0.47500128,-0.90409964,-0.13706815
88534132929242,-0.9615311,-0.90230376,-0.3001195
88534152929242,-1.295407,-0.69021857,-0.05967722
88534172929242,-0.8336271,-0.70836765,1.000571
88534192929242,0.3840117,-0.694223,2.3619897
88534212929243,1.3961455,-1.0673058,2.920615
88534232929242,1.6368217,-1.6676308,2.2641602
88534252929242,1.1203896,-2.1572535,1.1637359
88534272929243,0.7688366,-2.227632,0.63206303
88534292929242,1.5953182,-1.6107767,1.2037565
88534312929242,2.6930592,-0.9693243,1.6855296
88534332929243,2.4631164,-1.2305706,0.9578554
88534352929242,1.5777066,-1.5100434,0.7623495
