UPTIMENANO,Mx,My,Mz
88533608912692,25.794472,-17.0085,-19.816349
88533628769973,25.794472,-17.0085,-19.816349
88533648627124,25.494469,-17.0085,-20.116352
88533668484404,25.19447,-17.0085,-20.26635
88533688341557,24.89447,-17.0085,-20.26635
88533708207534,24.594471,-17.0085,-20.26635
88533728064942,23.69447,-17.308498,-20.26635
88533747922223,23.094471,-17.608498,-20.416351
88533767779630,21.29447,-17.908497,-21.316349
88533787646650,17.244469,-18.5085,-23.26635
88533807504187,14.694469,-19.558498,-24.76635
88533827361850,14.99447,-20.0085,-25.366352
88533847219386,14.24447,-21.808498,-25.816349
88533867077051,13.644469,-22.2585,-26.866352
88533886934586,12.894469,-22.708498,-27.166351
88533906803666,12.444469,-21.808498,-26.866352
88533926661587,11.844469,-21.958498,-26.566349
88533946519506,11.844469,-22.108498,-26.566349
88533966377426,11.844469,-22.108498,-26.566349
88533986235347,11.844469,-22.108498,-26.566349
88534006099158,11.844469,-22.108498,-26.566349
88534025957206,11.844469,-22.108498,-26.416351
88534045815255,11.99447,-22.108498,-25.366352
88534065673430,12.594469,-22.108498,-24.916351
88534085531478,14.24447,-22.108498,-24.76635
88534105389655,14.24447,-22.108498,-24.316349
88534125247049,14.24447,-22.108498,-23.71635
88534145105225,14.094469,-22.108498,-23.26635
88534164963402,14.094469,-22.708498,-22.51635
88534184821577,14.094469,-23.0085,-22.366352
88534204681713,14.094469,-23.308498,-20.866352
88534224539890,14.094469,-23.308498,-21.01635
88534244398065,14.094469,-24.208498,-21.01635
88534264256241,14.094469,-24.358498,-21.01635
88534284114418,14.094469,-24.5085,-20.866352
88534303967185,14.24447,-24.808498,-20.416351
88534323825233,14.24447,-25.108498,-20.26635
88534343683410,14.24447,-25.408499,-19.816349
88534363541457,14.094469,-25.708498,-19.816349
88534383399505,14.094469,-27.5085,-19.666351
88534403257554,14.094469,-26.7585,-19.21635
88534423114437,13.49447,-27.058498,-19.366352
88534442972613,11.694469,-26.7585,-19.366352
88534462830662,11.394469,-27.208498,-19.21635
88534482688837,11.394469,-27.358498,-19.066349
88534502542486,10.644469,-27.808498,-18.46635
88534522400535,9.894469,-28.408499,-17.116352
88534542258582,8.694469,-28.708498,-16.366352
88534562124380,8.544469,-29.7585,-15.616352
88534581982429,7.6444693,-30.5085,-14.116352
88534601831436,6.744469,-30.658499,-12.616352
88534621689356,6.594469,-31.558498,-10.366348
88534641547277,4.044469,-32.0085,-11.26635
88534661405196,3.8944693,-32.608498,-11.716351
88534681263116,2.3944688,-33.358498,-11.716351
88534701121037,3.444469,-32.7585,-11.716351
88534720968405,3.2944689,-32.7585,-11.716351
88534740825941,2.844469,-32.608498,-11.716351
88534760683478,2.3944688,-32.608498,-11.716351
88534780541013,2.3944688,-32.608498,-11.716351
88534800395721,2.3944688,-32.3085,-11.866352
88534820253258,2.5444689,-31.858498,-12.01635
88534840110793,2.5444689,-31.408499,-12.316349
88534859968201,2.5444689,-31.408499,-13.216351
88534879825738,2.5444689,-30.958498,-13.066349
88534899683273,2.9944692,-31.2585,-13.066349
88534919536183,4.044469,-31.408499,-13.066349
88534939393464,4.194469,-31.408499,-13.066349
88534959250871,3.8944693,-31.408499,-13.216351
88534979108279,4.794469,-31.558498,-13.51635
88534998965688,5.244469,-31.408499,-13.966351
88535018826307,6.294469,-31.408499,-14.116352
88535038683587,6.8944693,-31.408499,-14.716351
88535058540996,6.8944693,-31.408499,-14.716351
88535078398403,7.344469,-31.408499,-16.21635
88535098250429,7.9444695,-31.408499,-16.21635
88535118107582,10.044469,-31.408499,-16.366352
88535137964861,11.694469,-30.958498,-16.96635
88535157822141,12.894469,-30.658499,-16.96635
88535177679294,14.24447,-29.908499,-17.566349
88535197536573,15.29447,-27.808498,-18.166351
88535217394932,15.29447,-26.158499,-19.21635
88535237252085,16.34447,-23.458498,-21.01635
88535257109236,17.09447,-22.858498,-22.066349
88535276966516,16.79447,-23.0085,-23.116352
88535296823669,17.09447,-23.0085,-22.51635
88535316680570,16.494469,-23.0085,-23.116352
88535336537850,16.494469,-23.0085,-23.26635
88535356395003,16.494469,-22.858498,-23.566349
88535376252282,16.494469,-22.858498,-23.71635
88535396111543,16.79447,-22.858498,-23.71635
88535415968824,16.94447,-22.708498,-23.566349
88535435826103,17.244469,-22.2585,-23.566349
88535455683255,17.994469,-21.358498,-23.566349
88535475540536,18.744469,-20.0085,-23.566349
88535495397815,21.29447,-17.7585,-23.566349
88535515262464,22.64447,-16.558498,-23.26635
88535535119873,22.494469,-15.808497,-23.71635
88535554977280,22.64447,-14.008497,-24.01635
88535574834688,23.094471,-13.558498,-23.71635
88535594692097,23.094471,-11.158497,-23.71635
88535614549097,23.39447,-8.158497,-23.71635
88535634406505,23.844471,-4.8584976,-24.166351
88535654263913,23.39447,-2.6084976,-25.366352
88535674121449,22.94447,-0.65849686,-27.616348
88535693978857,22.344471,2.3415031,-29.116348
88535713835404,21.744469,5.341503,-31.066353
88535733692812,20.844471,9.541504,-34.066353
88535753550092,18.594471,11.341503,-33.76635
88535773407500,13.194469,12.691502,-34.066353
88535793264908,5.244469,13.891502,-34.816353
88535813122133,2.844469,15.691502,-35.41635
88535832979669,0.89446926,15.841503,-35.566353
88535852837077,-3.3055315,17.191502,-34.966354
88535872694613,-5.8555317,22.291504,-34.66635
88535892552021,-10.505532,24.391502,-34.216354
88535912408300,-15.605533,24.391502,-33.61635
88535932265836,-20.405533,26.191505,-31.366348
88535952123244,-22.80553,25.591503,-29.116348
88535971980780,-22.505531,24.841503,-25.21635
88535991838188,-24.005531,24.391502,-25.366352
88536011700198,-25.05553,23.941505,-24.316349
88536031557862,-26.85553,22.441505,-24.01635
88536051415398,-27.455532,20.041504,-23.566349
88536071272934,-28.955532,15.241505,-22.066349
88536091130470,-30.905533,9.991505,-20.116352
88536110992053,-32.55553,8.491505,-16.816349
88536130849717,-33.905533,6.6915016,-13.216351
88536150707381,-34.05553,6.541504,-6.76635
88536170565045,-34.05553,4.7415047,-5.26635
88536190422581,-35.405533,3.6915016,-5.7163506
88536210285895,-35.405533,2.9415016,-3.9163513
88536230143687,-35.55553,0.84150314,-2.4163513
88536250001351,-35.705532,0.84150314,-2.4163513
88536269859015,-35.705532,1.291502,-2.8663483
88536289716807,-35.705532,1.7415028,-3.0163498
88536309570942,-35.705532,1.7415028,-3.0163498
88536329428606,-35.705532,2.041504,-3.1663513
88536349286142,-35.705532,2.791504,-3.1663513
