UPTIMENANO,Ax,Ay,Az
88533648627124,-0.87178713,4.29427,10.538086
88533668484404,-0.91010743,4.0356083,10.655442
88533688341557,0.9268726,4.8666797,9.64714
88533708207534,2.0261867,5.2905984,9.3453665
88533728064942,2.2896388,5.6282964,9.371712
88533747922223,2.1698878,4.878655,8.794512
88533767779630,1.8082398,4.152964,8.988508
88533787646650,1.84177,3.7985013,10.224339
88533807504187,1.9687061,4.018843,10.39678
88533827361850,2.567461,4.3493557,9.043594
88533847219386,3.04886,4.7972245,8.418494
88533867077051,3.4919386,5.0510964,8.346643
88533886934586,2.074087,5.2043777,7.599397
88533906803666,0.81191164,5.101392,6.452183
88533926661587,1.3507911,5.2091675,5.695357
88533946519506,2.9841945,5.364844,5.484595
88533966377426,3.7577858,4.974456,6.0522146
88533986235347,3.3865578,4.2918754,6.7707205
88534006099158,2.6896071,3.9374123,7.5299416
88534025957206,1.7555494,3.9374123,7.8556643
88534045815255,2.0261867,4.2799,7.7862086
88534065673430,2.5866213,4.720584,8.246053
88534085531478,2.924319,4.9529004,8.327483
88534105389655,2.7422974,5.199588,7.824529
88534125247049,2.6129665,5.5803957,7.4006104
88534145105225,2.914739,5.965994,6.8808913
88534164963402,3.0129347,6.358777,7.537127
88534184821577,3.051255,6.1240654,9.541759
88534204681713,2.7399025,5.721702,11.203902
88534224539890,1.6334034,5.46304,11.505674
88534244398065,0.6562354,5.4175344,10.205178
88534264256241,0.050295413,5.7480474,9.022039
88534284114418,0.26584718,5.2905984,9.314231
88534303967185,0.13172609,4.3421707,11.151212
88534323825233,0.011975098,3.523074,11.129656
88534343683410,-0.41194338,4.3373804,9.546548
88534363541457,0.6442603,4.6990285,10.104588
88534383399505,1.5423926,3.1350808,12.636124
88534403257554,0.977168,2.703977,12.571458
88534423114437,0.7041358,3.0368848,11.508069
88534442972613,0.2682422,2.5818312,11.232642
88534462830662,-0.46942386,2.6608667,9.6686945
88534482688837,0.09580079,2.811753,7.932305
88534502542486,0.9268726,2.7518775,6.6461797
88534522400535,1.4968873,3.0919704,5.738467
88534542258582,0.9627979,3.0704153,5.0726514
88534562116630,0.7544312,2.6441016,5.6690116
88534581974679,1.8609302,3.8248463,7.5323367
88534601831436,2.907554,4.27032,6.782696
88534621689356,2.5530908,5.127737,5.0510964
88534641547277,2.907554,5.5444703,5.46304
88534661405196,3.2524366,5.7648125,7.1611085
88534681263116,3.4009278,5.7001467,8.004155
88534701121037,4.0667434,6.0330544,8.145462
88534720968405,3.4847536,6.11209,9.553733
88534740825941,3.2189064,6.569539,10.332115
88534760683478,3.0249097,6.593489,10.775193
88534780541013,4.864285,4.2008643,10.887759
88534800395721,3.5781593,5.007986,12.10922
88534820253258,1.949546,5.49178,13.081597
88534840110793,1.7747096,4.687053,12.070899
88534859968201,3.3554225,4.648733,10.217154
88534879825738,2.9099488,5.3145485,8.861572
88534899683273,1.9806812,5.597161,7.28565
88534919536183,2.3423293,4.26074,6.6916847
88534939393464,1.1232642,4.2128396,5.4438796
88534959250871,0.1820215,3.8128712,5.101392
88534979108279,0.4382886,4.3421707,4.3637257
88534998965688,0.5604346,6.342012,5.6857767
88535018826307,1.6118482,5.2355127,5.465435
88535038683587,1.4609619,4.5481424,4.392466
88535058540996,1.223855,4.87626,4.3421707
88535078398403,1.5352076,5.134922,5.343289
88535098250429,0.60594,5.0558863,6.334827
88535118107582,0.3879932,4.6654983,5.49657
88535137964861,-1.5687379,3.427273,5.0726514
88535157822141,-2.1052222,2.543511,7.038963
88535177679294,-1.5256275,2.2920337,10.293795
88535197536573,-1.9136207,1.9734962,13.129498
88535217394932,-2.184258,2.1411476,15.033538
88535237252085,-1.5064673,2.703977,15.191609
88535257109236,-0.7711963,2.8093581,14.204862
88535276966516,-0.61552006,1.5807129,11.673326
88535296823669,0.050295413,0.24189699,10.3512745
88535316680570,1.6262183,-1.2645704,11.369158
88535336537850,3.2356715,-2.4740553,12.149935
88535356395003,3.5805542,-2.9937747,11.711646
88535376252282,2.323169,-2.5962012,10.617122
88535396111543,-0.6466553,-1.9830762,9.881851
88535415968824,-3.410508,-1.096919,9.479487
88535435826103,-5.1397123,-0.4382886,9.09868
88535455683255,-5.5875807,-0.17483643,8.820857
88535475540536,-6.744375,0.7161109,9.362132
88535495397815,-6.6773148,1.710044,8.399334
88535515262464,-4.790039,1.5040723,5.9133034
88535535119873,0.77359134,-0.6466553,1.7723145
88535554977280,2.8764186,-0.5460645,5.094207
88535574834688,3.5901344,-1.5016773,8.073611
88535594692097,2.327959,-1.7603394,9.438772
88535614549097,-1.8848804,-1.9351759,10.885365
88535634406505,-5.345684,-1.0825489,10.106983
88535654263913,-10.370435,5.1157618,1.5112574
88535674121449,0.5029541,0.91010743,1.1927198
88535693978857,4.4116263,-1.707649,10.863809
88535713835404,2.2608986,-0.3281177,10.650652
