UPTIMENANO,Gx,Gy,Gz
88533608912692,-0.15272442,0.37119648,0.87805825
88533618841397,-0.28534982,0.10754353,0.81680554
88533628769974,-0.3146446,-0.24718954,0.81733817
88533638698548,-0.26564243,-0.63601106,0.8471656
88533648627125,-0.15858336,-0.8250955,0.9148099
88533658555702,-0.042469535,-0.8756955,1.100166
88533668484404,0.111993805,-0.74839646,1.3180125
88533678412981,0.22597711,-0.6248258,1.4058968
88533688341558,0.25101084,-0.7494617,1.402701
88533698278958,0.2781751,-0.9678409,1.3206757
88533708207535,0.36073306,-1.1595886,1.1848545
88533718136240,0.46246582,-1.3412161,1.0287932
88533728064942,0.51626164,-1.6783723,0.82159925
88533737993519,0.5380996,-2.037899,0.57552314
88533747922224,0.5018806,-2.3052804,0.38217765
88533757850926,0.38470152,-2.533247,0.26659644
88533767779631,0.26326138,-2.7180705,0.18670161
88533777708208,0.21479183,-2.8411086,0.13663419
88533787646650,0.22864026,-2.8506958,0.12757944
88533797575483,0.3495478,-2.6637418,0.13556892
88533807504188,0.5104027,-2.2371035,0.15900473
88533817433018,0.51679426,-1.9857011,0.18723424
88533827361851,0.45820478,-1.7460166,0.20268057
88533837290556,0.42944264,-1.3369551,0.20853953
88533847219386,0.39695206,-0.93694824,0.16699421
88533857148219,0.37830994,-0.764908,0.04502144
88533867077052,0.41878998,-0.7776912,-0.14353037
88533877005754,0.5002827,-0.8261607,-0.30545056
88533886934587,0.56579643,-0.8687713,-0.32622322
88533896863420,0.5993523,-0.73721117,-0.20105465
88533906803666,0.57591647,-0.42775187,0.0013455979
88533916732627,0.4965543,-0.0730188,0.23676904
88533926661588,0.37351623,0.14749095,0.43863666
88533936590546,0.2323687,0.3434996,0.5542179
88533946519507,0.09281905,0.57998836,0.57126206
88533956448468,-0.027555833,0.78878015,0.50841147
88533966377426,-0.11916858,0.9645488,0.41733137
88533976306387,-0.17456234,1.1168816,0.34862182
88533986235348,-0.21291186,1.271345,0.30920702
88533996170070,-0.22676028,1.4348631,0.30281544
88534006099159,-0.19107392,1.5909243,0.3400997
88534016028120,-0.119701214,1.704375,0.464203
88534025957206,-0.0435348,1.6761454,0.6218621
88534035886295,0.01398948,1.5073011,0.74756336
88534045815256,0.08163377,1.2207448,0.8157403
88534055744342,0.19029075,0.91714454,0.8423719
88534065673431,0.33090568,0.68544954,0.85036135
88534075602520,0.4555416,0.52992094,0.8343824
88534085531478,0.5562091,0.45695025,0.80189186
88534095460567,0.61586386,0.48784292,0.7752602
88534105389656,0.63184285,0.59969574,0.77579284
88534115317961,0.6275818,0.76640964,0.8029571
88534125247050,0.5807102,0.9570919,0.8359803
88534135176139,0.4635311,1.1349912,0.8519593
88534145105225,0.29149088,1.2814649,0.83491504
88534155034314,0.116254866,1.3677514,0.8050876
88534164963403,-0.023294775,1.3331304,0.77419496
88534174892489,-0.09733066,1.1855912,0.75129175
88534184821578,-0.10904857,1.0215404,0.73797596
88534194750667,-0.068035886,0.9826583,0.732117
88534204681713,0.009195791,1.1174142,0.74436754
88534214610802,0.12477698,1.3592293,0.7896413
88534224539891,0.2323687,1.6505791,0.86420983
88534234468977,0.25793505,1.8753499,0.9600836
88534244398066,0.22384657,2.0148995,1.0660775
88534254327155,0.134897,2.1176975,1.1694081
88534264256241,0.005999997,2.0473902,1.2381177
88534274185330,-0.1292886,1.8098361,1.2540966
88534284114419,-0.21184659,1.5264758,1.231726
88534294038097,-0.18095392,1.3262061,1.2216061
88534303967186,-0.06484009,1.1935806,1.2530314
88534313896275,0.04275162,1.0364542,1.376602
88534323825233,0.028903183,0.86547923,1.5427834
88534333754322,-0.07762326,0.6849169,1.6349287
88534343683411,-0.24327189,0.5102135,1.7105625
88534353612369,-0.4584553,0.43191653,1.7371941
88534363541458,-0.5985376,0.44789553,1.6929857
88534373470419,-0.62144077,0.5331167,1.6391897
88534383399505,-0.5735039,0.7429738,1.6620929
88534393328594,-0.48561954,0.9459067,1.7393246
88534403257555,-0.41797525,1.0726732,1.8037732
88534413185349,-0.35565728,1.2543007,1.8266762
88534423114438,-0.21184659,1.4796041,1.7707499
88534433043527,0.029968448,1.6042401,1.6993772
88534442972613,0.29042563,1.6015769,1.6839309
88534452901702,0.5450238,1.5259432,1.712693
88534462830663,0.78044724,1.3373914,1.7584994
88534472759749,0.9583464,1.085989,1.7819352
88534482688838,1.1101466,0.8665445,1.7670215
88534492617927,1.2502289,0.6385779,1.7345309
88534502542486,1.3461027,0.4628092,1.6610277
88534512471447,1.3594185,0.50755036,1.5369244
88534522400536,1.3498311,0.6343168,1.4453117
88534532329494,1.2832521,0.7387127,1.4543663
88534542258583,1.1202666,0.796237,1.5587623
88534552187544,0.9205295,0.6524263,1.727074
88534562124380,0.77618617,0.4031544,1.835731
88534572053469,0.76446825,0.20927629,1.8698195
88534581982430,0.9322474,-0.069823004,1.7403898
88534591902476,1.1245277,-0.34838966,1.5353265
88534601831437,1.1708666,-0.47089508,1.2967073
88534611760398,1.0947002,-0.49326563,1.0431743
88534621689356,0.9636727,-0.47355825,0.8546224
88534631618317,0.80707884,-0.5236256,0.7140075
88534641547278,0.6419629,-0.55398566,0.54622835
88534651476236,0.5237185,-0.492733,0.37259024
88534661405197,0.4736511,-0.4069792,0.24635643
88534671334158,0.46140057,-0.34519386,0.16859211
88534681263116,0.3245141,-0.1326736,0.16486369
88534691192077,0.012924216,0.30621535,0.16752686
88534701121038,-0.27469718,0.7243317,0.14888473
88534711039573,-0.5122512,0.9331235,0.20534374
88534720968406,-0.64860505,0.95815724,0.29482594
88534730897111,-0.68908507,0.9448414,0.31346807
88534740825941,-0.6741714,0.9080898,0.27884698
88534750754646,-0.6017334,0.78238857,0.23197535
88534760683479,-0.5026638,0.5336493,0.20268057
88534770612309,-0.40838787,0.27319214,0.09189308
88534780541014,-0.33701515,0.22046156,-0.27242738
88534790469847,-0.2800235,0.2609416,-0.49080658
88534800395721,-0.17935602,0.18956889,-0.49506766
88534810324426,0.016652642,0.1368383,-0.484415
88534820253259,0.29362142,0.110206686,-0.44233704
88534830181961,0.59349334,-0.043191392,-0.33634323
88534840110794,0.85288525,-0.26423377,-0.26710105
88534850039499,1.027056,-0.46237296,-0.30385268
88534859968201,1.0920371,-0.59180254,-0.45245707
88534869897034,1.0547528,-0.60991204,-0.597333
88534879825739,0.92905164,-0.4714277,-0.62982357
88534889754569,0.5748512,-0.09432409,-0.3507243
88534899683274,0.22810763,0.18104678,-0.14459564
88534909611979,0.090155885,0.22312473,-0.38641065
88534919536183,-0.049393754,0.24656054,-0.5920067
88534929464888,-0.22782555,0.3434996,-0.5994636
88534939393465,-0.39187625,0.43351445,-0.5717667
88534949322167,-0.6379524,0.5490957,-0.45352232
88534959250872,-0.74660933,0.56347674,-0.47962132
88534969179577,-0.84248316,0.7408433,-0.4695013
88534979108279,-0.96818435,1.0385847,-0.39972648
88534989036984,-0.9309001,1.1802648,-0.1621725
88534998965689,-0.49094585,0.98478884,0.2942933
88535008897603,-0.1394086,0.7930412,0.42904928
88535018826308,-0.12769069,0.74563694,0.16486369
88535028755013,-0.24700032,0.7408433,-0.025818646
88535038683587,-0.3609836,0.58851045,-0.10464822
88535048612292,-0.5165122,0.4244597,-0.23780628
88535058540997,-0.75193566,0.45695025,-0.464175
88535068469699,-1.0305023,0.5490957,-0.73315424
88535078398404,-1.230772,0.5666725,-1.0090576
88535088327109,-1.3159932,0.48464713,-1.2402201
88535098250429,-1.3905617,0.29023638,-1.3712476
