UPTIMENANO,Ax,Ay,Az
88533592929242,-0.10879241,0.4264724,-1.2193259
88533612929242,-0.20119604,0.7364953,-1.264558
88533632929242,-0.8610052,0.5439656,0.43079174
88533652929242,-1.4775918,0.022451263,1.7294536
88533672929242,-1.3376373,0.025014665,1.6061772
88533692929242,0.10420136,0.7569513,0.7849911
88533712929242,0.72934973,1.1418188,0.60879976
88533732929242,0.5691713,1.1647165,0.57049674
88533752929242,-0.016084498,0.34640744,0.3072598
88533772929242,-0.7335277,-0.33705756,0.92302656
88533792929242,-1.1565024,-0.5708453,2.0622733
88533812929242,-1.3236531,-0.37290636,2.018463
88533832929242,-1.0678942,-0.06996961,1.0389686
88533852929242,-0.8029777,0.2748692,0.70246136
88533872929242,-1.018669,0.43732524,0.52945024
88533892929242,-2.4944913,0.41038775,-0.22653762
88533912929242,-3.2900174,0.27343526,-1.1516172
88533932929242,-2.4333904,0.35580033,-1.6956608
88533952929242,-1.0576146,0.35627738,-1.6748035
88533972929242,-0.577563,-0.08451273,-1.1307579
88533992929242,-0.9183378,-0.6054444,-0.508495
88534012929242,-1.5043677,-0.78290427,-0.03208279
88534032929242,-1.8088367,-0.6089483,0.020905366
88534052929242,-1.2822057,-0.18034485,0.043403313
88534072929242,-0.7451437,0.20635176,0.3334877
88534092929242,-0.59409547,0.42313266,0.20891944
88534112929242,-0.74008423,0.6733573,-0.24632369
88534132929242,-0.62596506,0.97681016,-0.6948203
88534152929242,-0.27213848,1.2435311,-0.7332211
88534172929242,-0.06047581,1.4295194,0.38817242
88534192929242,-0.059714846,1.1863366,2.190307
88534212929243,-0.6039741,0.88874733,3.2347636
88534232929242,-1.4962274,0.73549366,2.7940924
88534252929242,-2.0967183,0.86506903,1.4555835
88534272929243,-2.1159773,0.9002417,0.81557524
88534292929242,-1.8917692,0.30433327,1.7079992
88534312929242,-1.9220029,-0.5225478,2.6581976
88534332929243,-2.1548295,-0.5454337,1.8862514
88534352929242,-1.9399377,0.16189013,1.2493991
88534372929242,-1.0200453,-0.22142914,2.6801486
88534392929243,-0.8379751,-1.0813504,3.9076471
88534412929242,-1.2242379,-0.9918474,3.2780898
88534432929242,-1.4693202,-0.9295314,2.521083
88534452929243,-1.9017009,-1.0927517,1.5527235
88534472929242,-1.8595424,-1.0387715,-0.10787152
88534492929242,-1.1240461,-1.125754,-1.5736445
88534512929243,-0.46279454,-1.1516752,-2.584371
88534532929242,-0.49349076,-1.1848807,-3.278381
88534552936992,-0.8598675,-1.5708305,-3.1962311
88534572936993,-0.43397483,-1.204041,-1.8483305
88534592936992,0.48693484,-0.5075365,-1.3313155
88534612936992,0.56073123,0.034769516,-2.511695
88534632936993,0.43880737,0.5259732,-2.925727
88534652936992,0.6453056,0.7470793,-1.6793557
88534672936992,0.78144306,0.73726624,-0.394876
88534692936993,1.1986008,0.86418563,0.079402365
88534712936992,1.2112803,1.0935256,0.92102253
88534732936992,0.94268835,1.5141704,1.853123
88534752936993,0.8388121,1.8327317,2.3271546
88534772936992,1.9723073,0.45918345,2.4966736
88534792936992,1.9344325,0.09545477,3.2598343
88534812936993,0.5012042,0.71124023,4.309454
88534832936992,-0.15694329,0.3099071,4.045429
88534852936992,0.7866699,-0.15507779,2.5713096
88534872936993,1.006973,0.07222203,1.1572762
88534892936992,0.22807477,0.32527706,-0.24758889
88534912936992,0.20069693,-0.5261169,-1.1557509
88534932936993,-0.4016859,-1.013894,-2.2124836
88534952936992,-1.3110819,-1.2543573,-2.9122677
88534972936992,-1.2855792,-0.9104709,-3.627587
88534992936993,-0.9178317,0.7900417,-3.0607836
88535012936992,-0.0019149547,0.705513,-2.8878942
88535032936992,0.31424037,-0.07895141,-3.7505977
88535052936993,0.20906514,0.020336986,-4.147226
88535072936992,0.4975298,0.42624637,-3.520255
88535092936992,0.08932584,0.6332657,-2.6390338
88535112936993,-0.15328805,0.55484235,-3.1208348
88535132936992,-1.4798384,-0.1887862,-3.7957306
88535152936992,-2.014794,-0.84122247,-2.5658045
88535172936993,-1.2007946,-0.8085674,0.2446865
88535192936992,-0.9300898,-0.6952092,3.0997975
88535212936992,-0.92378306,-0.23573115,5.1584077
88535232936993,-0.33499166,0.56571996,5.651093
88535252936992,0.42817315,0.956641,4.873509
88535272936992,0.75873363,0.035974644,2.6489363
88535292936993,1.3086301,-1.2387922,1.0599165
88535312936992,2.6254666,-2.566545,1.5869247
88535332936992,4.235764,-3.6780894,2.3919425
88535352936993,4.9346137,-4.214541,2.172816
88535372936992,4.1275306,-3.888236,1.2016336
88535392936992,1.5572157,-3.1477,0.4054917
88535412936993,-1.1314769,-2.0776954,-0.0511042
88535432936992,-2.952728,-1.2004807,-0.43656605
88535452936992,-3.5251217,-0.73212135,-0.727013
88535472936993,-4.5727506,0.17398168,-0.29576865
88535492936992,-4.784903,1.2140008,-1.0948107
88535512936992,-3.2540522,1.1463615,-3.4360938
88535532936993,1.8317814,-0.79625684,-7.428209
88535552936992,4.344865,-0.74146056,-4.9062266
88535572936992,5.214434,-1.2555149,-1.8693715
88535592936992,3.632105,-1.0576537,-0.39198354
88535612936992,-0.6500309,-0.8961169,1.0559235
88535632936992,-4.7680435,0.14324819,0.44832346
88535652936992,-10.486815,6.2103496,-7.5936923
88535672936992,-1.2929367,3.1795974,-8.316091
88535692936992,2.5014372,1.1667758,1.0951086
88535712936992,0.09607871,2.8118632,1.6715362
88535732936992,-1.004201,4.476797,-1.1359233
88535752936992,0.908238,4.820907,0.7075962
88535772936992,1.8916051,4.0850816,0.45133656
88535792936992,2.35285,2.8561184,-2.078497
88535812936992,1.9068955,1.9787703,-3.444553
88535832936992,0.9579963,1.6900301,-4.593735
88535852936992,2.1427903,0.93321705,-4.8185997
88535872936992,5.1818047,-0.06963871,-4.2109723
88535892936992,4.320351,0.28192678,-3.6499372
88535912936992,0.30210525,1.5090208,-3.485204
88535932936992,-0.28518814,2.2670286,-2.455027
88535952936992,3.9899049,-0.64260364,-1.6500311
88535972936992,6.3215566,-2.9946492,-3.5785427
88535992936992,5.506171,-3.6529193,-4.091363
88536012936992,4.0658526,-4.567735,-2.187668
88536032936992,2.9728944,-5.052068,-0.5335027
88536052936992,4.3081656,-6.2961802,0.72979397
88536072936992,5.255175,-6.4335084,0.058863614
88536092936992,2.2619555,-4.2710967,2.407205
88536112936992,1.6305807,-3.0367503,3.613741
88536132936992,2.953958,-1.7974904,2.8615475
88536152936992,4.5064526,-2.1838064,2.216502
88536172936992,6.715108,-2.83078,1.0215726
88536192936992,10.946543,-3.7285855,-0.9271319
88536212936992,11.32205,-3.1266592,5.898249
88536232936992,6.001214,2.6351013,4.894794
88536252936992,3.110138,3.7526069,1.3015119
88536272936992,3.9677012,3.2195709,4.274109
88536292936992,4.4390755,6.092966,1.2554039
88536312936992,2.9154363,6.537603,1.330478
88536332936992,2.1160085,5.604463,2.1619728
88536352936992,2.302049,4.5529604,0.8572626
88536372936992,3.0253901,3.3169692,0.029843409
88536392936992,3.1629202,0.8931881,-4.3389897
88536412936992,1.0518742,-0.55386055,-4.630022
88536432936992,2.040285,-4.5249066,-2.8750842
88536452936992,-1.2022958,-5.3917146,-0.7769086
88536472936992,-2.7152307,-6.5193796,0.9646695
88536492936992,-4.346707,-6.5808287,2.272493
88536512936992,-8.796043,-3.7975717,3.6775188
88536532936992,-10.045485,-1.4065406,2.548022
88536552936992,-6.9706545,-2.022736,0.4794562
88536572943508,-4.2571507,-2.5305893,-0.24608862
88536592943508,-3.7921927,-3.4668403,-0.19041182
88536612943508,-1.4826608,-7.7896614,-0.5429918
88536632943508,0.103315584,-9.000937,-0.185005
88536652943508,0.25597,-3.6537244,-0.11016426
88536672943508,2.397944,-4.8951826,-2.8334093
88536692943508,0.4351192,-4.524684,-3.629275
88536712943508,1.9885231,-3.2019312,-1.7724168
88536732943508,5.3386803,-0.5206575,0.5796374
88536752943508,3.6274946,2.462987,2.007253
88536772943508,3.5142455,3.3040361,-0.5317725
88536792943508,8.053405,1.7777015,-3.584607
88536812943508,14.124598,0.016344795,-3.872139
88536832943508,14.58934,-0.99477965,0.58461785
88536852943508,4.0026436,2.7554052,8.513851
88536872943508,-6.913806,6.3397274,9.663454
88536892943508,-10.628605,8.384373,0.52826416
88536912943508,-7.5622344,7.3078747,-4.4216433
88536932943508,-1.9695723,-0.59615564,-1.0299134
88536952943508,-3.0581543,-6.445754,-2.3093867
88536972943508,-1.6477476,-8.544588,-2.4970152
88536992943508,-0.9333726,-7.6333857,-2.7909184
88537012943508,-3.3795896,-5.781853,-4.164802
88537032943508,-4.082129,-5.808634,-4.055481
88537052943508,-2.8001852,-4.57245,-3.767106
88537072943508,-3.3760087,-1.3285588,-3.3677592
88537092943508,-4.9248495,0.799725,-2.3462884
88537112943508,-5.5015483,1.325804,-2.5870929
88537132943508,-4.9732003,2.4072013,-1.8358139
88537152943508,-4.384163,0.31426072,1.2626188
88537172943508,-3.4052906,-3.3272667,1.5872335
88537192943508,-0.53008294,-0.6813017,1.7576056
88537212943508,3.3183944,3.1626196,6.7950225
88537232943508,3.996061,4.310321,8.957547
88537252943508,1.7307937,4.748867,4.893754
88537272943508,0.23726285,3.7723618,-0.2464962
88537292943508,0.619836,2.6900322,-4.3377643
88537312943508,1.3046523,7.785731,-7.4628234
88537332943508,-1.7511126,10.792056,-5.7516046
88537352943508,-4.7216325,3.7647357,-1.4881321
88537372943508,-3.9740791,-3.1752205,1.3106364
88537392943508,-3.1772513,-3.6303024,-0.07722644
88537412943508,-2.5282352,1.455056,-6.384483
88537432943508,0.6174946,6.2039576,-8.03262
88537452943508,2.95952,6.1932445,-0.87333786
88537472943508,2.6192377,3.6998184,4.819471
88537492943508,2.2238429,0.48672238,4.9277883
88537512943508,0.19923429,-3.1514564,3.3056872
88537532943508,-3.2419782,-5.8742223,0.023246152
88537552943508,-2.8358812,-4.6320972,-2.2333508
88537572943508,-0.38271195,-2.168707,-3.7181773
88537592943508,0.6159955,-1.6920326,-3.7966821
88537612943508,2.5326738,-0.7148394,-1.9799608
88537632943508,6.917826,0.81563705,-0.8137703
88537652943508,8.75011,0.5931426,0.6582092
88537672943508,-0.16104056,0.3451557,6.9626565
88537692943508,-5.8074207,-1.036598,7.729868
88537712943508,-0.6794565,-1.2045937,-0.09970989
88537732943508,1.1196095,-1.140504,-2.7675595
88537752943508,1.9800594,-1.2350105,1.3015934
88537772943508,3.0628016,0.32151094,3.0442772
88537792943508,2.5676746,1.8524839,3.0579917
88537812943508,1.3147919,1.6930866,2.367328
88537832943508,1.0685873,0.50311214,1.0039897
88537852943508,0.99947554,1.8893445,-0.65329844
88537872943508,-0.3273115,5.4884253,-2.190708
88537892943508,-1.5133824,6.423431,-2.1079514
88537912943508,-2.2618737,3.2183971,-1.803131
88537932943508,-2.7366204,1.2867155,-1.9610254
88537952943508,-3.1191137,1.106424,-2.029353
88537972943508,-3.771041,0.9727758,-2.573997
88537992943508,-3.2332149,-0.2606766,-1.3137925
88538012943508,-0.08611221,-1.264294,3.2313266
88538032943508,1.3385073,-0.56714016,2.4856882
88538052943508,0.9333945,-0.8504912,-1.2302754
88538072943508,0.07050898,-0.43200594,-3.0820613
88538092943508,0.6724881,0.61621124,-3.8417137
88538112943508,1.8357527,0.29518214,-3.2492363
88538132943508,1.3000091,-1.1433288,-1.924308
88538152943508,0.17207064,-1.3815031,-1.164904
88538172943508,-0.5681412,-0.54205245,-0.60881245
88538192943508,-0.8255121,-0.91723716,-0.43759632
88538212943508,-0.6063748,-1.1082946,-0.27611834
88538232943508,-0.9792829,0.011937912,0.66502994
88538252943508,0.14648196,1.8396289,2.3235185
88538272943509,2.0621133,2.7681367,5.49677
88538292943510,0.85656875,1.53227,4.399874
88538312943508,-0.935969,-0.7453002,-1.5728923
88538332943509,-0.19451521,-2.836903,-4.681528
88538352943508,0.013450965,-2.7095675,-3.8378618
88538372943508,-0.55181533,-0.8990949,-2.1897197
88538392943508,-1.3237267,0.5190578,-1.4408597
88538412943508,-1.5313156,2.5367448,1.4062961
88538432943508,-1.6749763,3.4013243,1.8725917
88538452943508,-0.08076094,1.2325375,-1.2935318
88538472943508,0.10450834,-0.75445026,-0.95065314
88538492943508,-1.2221286,-1.0812337,0.65832806
88538512943508,-1.5412649,-1.1331776,0.32002282
88538532943508,-0.943014,-0.5950306,-1.2325677
88538552943508,0.14814904,0.35188982,-1.0512024
88538572943508,1.1298239,0.9146663,0.05341384
88538592949205,1.697211,0.87867415,-0.22973666
88538612949205,1.5833206,0.4390367,-0.6549836
88538632949205,0.91882306,0.5889718,-0.6641113
88538652949205,0.08174862,0.39619198,-1.0177737
88538672949205,-0.47602022,-0.51746935,-1.4613662
88538692949205,-0.6178954,-0.5910662,-1.8768737
88538712949206,-0.74280506,-0.15141681,-0.9246276
88538732949207,-0.18587367,0.016904945,-0.6322337
88538752949208,0.46534976,0.25572583,-1.3075247
88538772949205,0.81591904,0.3315159,-0.6965315
88538792949205,0.80403394,0.42047375,0.3533181
88538812949205,0.4619384,0.6439051,0.750028
88538832949205,-0.012977823,0.42438784,0.8446458
88538852949205,-0.7282245,0.053258646,0.6734316
88538872949205,-0.90688837,-0.5070668,0.8366806
88538892949205,-0.93902093,-0.61609566,0.9834262
88538912949205,-0.10551453,-0.42049354,0.39400214
88538932949205,0.61881673,0.49442852,0.025551062
88538952949205,0.7997621,1.1395822,0.4254688
88538972949205,0.7535365,1.170201,0.49475688
88538992949205,0.62003547,0.38864776,0.112998165
88539012949205,0.5918462,-0.32075652,-0.03815443
88539032949205,0.63507223,-0.2190563,-0.4368301
88539052949205,0.66333556,-0.31295562,-0.70182586
88539072949205,0.36053738,-0.506556,-0.7575934
88539092949205,0.12155968,-0.36807024,-0.34425774
88539112949205,0.5221904,-0.062745064,0.2815075
88539132949205,0.93609947,0.2912103,0.6881429
88539152949205,0.86926603,0.585611,0.8107519
88539172949205,0.6096739,0.57156014,0.30649054
88539192949205,0.43295607,0.4342613,-0.30256262
88539212949205,0.35330173,0.10822758,-0.4368795
88539232949205,0.22622262,-0.22243905,-0.40783304
88539252949205,-0.028378453,-0.27356008,-0.43070304
88539272949205,-0.28999728,-0.31363449,-0.14066218
88539292949205,-0.3396682,-0.33032504,0.14285746
88539312949206,-0.07931925,-0.13388668,0.13014518
88539332949207,0.26497203,-0.03788149,0.06514032
88539352949208,0.4682071,0.0144994045,-0.16103075
88539372949209,0.4654499,-0.047829553,-0.3632871
88539392949210,0.3541859,-0.108594604,-0.26594532
88539412949211,0.24147499,-0.11299324,-0.013238854
