UPTIMENANO,Mx,My,Mz
88541710829648,-2.1055307,-19.858498,-9.01635
88541730687184,-2.1055307,-18.808498,-9.316349
88541750544592,-2.1055307,-18.5085,-9.01635
88541770402128,-2.1055307,-18.958498000000002,-8.416350999999999
88541790259536,-1.8055314999999998,-18.958498000000002,-8.416350999999999
88541810130597,-1.8055314999999998,-18.958498000000002,-8.116348
88541829988389,-1.8055314999999998,-18.958498000000002,-8.116348
88541849846053,-1.9555311000000002,-18.958498000000002,-8.116348
88541869703845,-1.9555311000000002,-18.958498000000002,-8.116348
88541889561637,-1.9555311000000002,-18.958498000000002,-8.116348
88541909426547,-1.9555311000000002,-18.958498000000002,-8.116348
88541929284467,-1.9555311000000002,-18.958498000000002,-8.116348
88541949142387,-1.9555311000000002,-18.958498000000002,-8.116348
88541969000435,-1.9555311000000002,-18.658497,-8.116348
88541988858355,-1.5055313,-18.658497,-8.116348
88542008727112,-1.5055313,-18.358498,-8.116348
88542028585288,-1.0555315,-17.908497,-8.116348
88542048443592,-1.0555315,-18.358498,-8.116348
88542068301896,-1.0555315,-18.658497,-8.116348
88542088160200,-1.0555315,-18.5085,-8.116348
88542108015334,-1.0555315,-18.5085,-8.116348
88542127873510,-1.0555315,-18.058498,-8.116348
88542147731814,-1.0555315,-18.058498,-8.116348
88542167589990,-0.7555313,-17.908497,-8.116348
88542187448294,-0.3055315,-18.058498,-8.116348
88542207306945,-0.3055315,-18.058498,-8.116348
88542227165121,-0.3055315,-18.358498,-8.116348
88542247023297,-0.3055315,-18.358498,-8.116348
88542266881473,-0.3055315,-18.058498,-8.116348
88542286739649,-0.3055315,-18.058498,-8.116348
88542306597953,-0.3055315,-17.7585,-8.116348
88542326467099,-0.3055315,-17.608498,-8.116348
88542346325659,-0.3055315,-17.608498,-8.116348
88542366184091,-0.3055315,-17.308498,-8.416350999999999
88542386042651,-0.15553093,-17.608498,-8.416350999999999
88542405901083,0.7444687,-17.608498,-8.416350999999999
88542425755486,0.89446926,-17.308498,-8.416350999999999
88542445613918,1.4944692,-17.308498,-8.416350999999999
88542465472350,1.4944692,-17.458498000000002,-8.416350999999999
88542485330783,1.4944692,-17.458498000000002,-8.416350999999999
88542505189216,1.4944692,-17.458498000000002,-8.416350999999999
88542525035769,1.4944692,-17.458498000000002,-8.416350999999999
88542544894070,1.4944692,-17.458498000000002,-8.566349
88542564752246,1.4944692,-17.458498000000002,-8.716351
88542584610550,1.4944692,-17.308498,-9.166350999999999
88542604468854,1.9444689999999998,-17.308498,-9.316349
88542624310883,1.9444689999999998,-17.308498,-9.316349
88542644169060,1.9444689999999998,-17.308498,-9.166350999999999
88542664027109,1.9444689999999998,-17.0085,-9.166350999999999
88542683885286,1.9444689999999998,-17.0085,-9.316349
88542703743335,1.9444689999999998,-17.0085,-9.616348
88542723595964,1.9444689999999998,-17.0085,-9.616348
88542743453885,2.2444692,-17.0085,-9.616348
88542763311934,2.2444692,-17.0085,-9.616348
88542783169983,2.3944688,-17.0085,-9.616348
88542803028024,2.2444692,-17.0085,-9.76635
88542822883779,2.3944688,-17.0085,-10.366348
88542842741699,2.3944688,-17.0085,-10.366348
88542862599747,2.5444689,-17.308498,-10.816349
88542882457667,2.5444689,-17.308498,-10.666350999999999
88542902315715,2.8444689999999997,-17.308498,-10.966351
88542922153339,2.8444689999999997,-17.308498,-10.966351
88542942010619,2.8444689999999997,-17.308498,-11.26635
88542961868027,2.9944692,-17.308498,-11.26635
88542981725307,2.9944692,-17.458498000000002,-11.26635
88543001582587,3.1444693,-17.458498000000002,-11.26635
88543021431259,3.2944689,-17.458498000000002,-11.26635
88543041288283,3.1444693,-17.458498000000002,-11.26635
88543061145435,3.1444693,-17.458498000000002,-11.26635
88543081002459,3.1444693,-17.608498,-11.26635
88543100859483,3.1444693,-17.7585,-11.26635
88543120718414,3.2944689,-18.058498,-11.26635
88543140575438,3.2944689,-18.358498,-12.316349
88543160432590,3.2944689,-18.358498,-12.466351
88543180289614,3.2944689,-18.358498,-12.616352000000001
88543200146638,3.2944689,-18.358498,-12.916350999999999
88543220002935,3.2944689,-18.5085,-13.066349
88543239859960,3.2944689,-18.5085,-12.466351
88543259716985,3.2944689,-18.5085,-12.466351
88543279573882,3.1444693,-18.5085,-12.616352000000001
88543299430903,2.9944692,-18.5085,-12.616352000000001
88543319296929,2.5444689,-18.658497,-12.916350999999999
88543339154081,2.2444692,-18.5085,-12.916350999999999
88543359011233,2.5444689,-18.5085,-12.916350999999999
