UPTIMENANO,Ax,Ay,Az
662293177781,0.44717205,0.049207564,9.332433
662313034678,-0.1821706,-0.85955787,8.735569
662332891573,-0.48324943,-0.86444956,8.433672
662352748469,-0.7652768,-0.18261433,7.7748413
662372605366,-1.3056731,0.59965754,6.6432657
662392455845,-1.6841596,0.86497927,5.8117714
662412312485,-1.3613194,0.19325958,5.8377805
662432169126,-0.8583047,-0.87383986,6.848414
662452025893,-0.50851905,-0.9876436,7.8382373
662471885855,-0.9682014,-0.107887335,7.728643
662491742624,-1.6694694,0.5574904,7.969915
662511599391,-1.3006212,0.7296399,9.172175
662531456159,-0.3546904,0.5542157,10.37366
662551312800,0.029337797,0.13487893,10.2253
662571169567,-1.779124,0.23706503,11.06302
662591023933,-0.8787574,1.207112,9.962295
662610880574,0.18854108,0.1789537,11.809101
662630737341,0.35293943,-0.906156,13.552929
662650593981,-0.8542462,-0.40044507,13.105928
662670450750,-1.3701897,0.021288326,11.716289
662690309626,0.06784578,-0.96423405,11.901739
662710166394,1.4334512,-1.4882488,12.750018
662730023035,0.9083101,-2.0497735,12.162426
662749879802,1.3410091,-1.4687788,11.295437
662769736570,2.4477057,-0.50334173,10.993825
662789593211,2.5213065,0.6335553,10.336284
662809441243,1.6188116,0.263165,9.221258
662829297755,0.5041389,0.103703715,8.186129
662849154268,-0.28014705,0.5046834,7.3476286
662869010907,-0.5782885,0.38517243,6.8236346
662888865536,-0.41537318,0.13581854,6.770698
662908722049,0.10595455,-0.3258194,7.50326
662928578432,0.52832437,-0.4218317,7.9401674
662948434944,-0.44863504,0.032438487,7.1690907
662968291329,-1.5523895,0.19638677,7.160597
662988156927,-1.224273,-0.42179802,8.152483
663008013567,-1.1223133,-1.2484694,8.639685
663027870208,-1.2420636,-1.4613558,8.998627
663047726847,-1.4442945,-1.2455999,9.223892
663067583487,0.15482272,-1.148784,9.77733
663087440128,0.46315682,-1.6621675,11.06197
663107304319,-1.1470604,-1.283214,11.84111
663127161215,-1.5223162,-1.3106167,12.146566
663147018112,-0.51139045,-1.1393718,11.956413
663166875007,1.4019033,-1.2643698,13.082938
663186731635,2.8358638,-1.9665357,14.24295
663206588532,3.3478112,-1.3796748,13.894953
663226445299,2.1508644,-0.72586155,12.323151
663246302067,1.2380897,-0.8287276,10.793913
663266158964,0.6212285,-0.30239287,9.423048
663286010635,0.62853014,-0.059232622,10.327893
663305867275,0.37079972,-0.37777668,10.361677
663325724044,-0.24244039,-1.1906021,9.40313
663345580811,-0.08996181,-1.9035641,9.573706
663365437451,-0.45449495,-2.8153512,9.363602
