UPTIMENANO,P
662288002154,997.5645
662384888601,997.56793
662483945046,997.5661
662585959698,997.5589
662682632470,997.5657
662782083019,997.5635
662883304020,997.56866
662980526243,997.57
663079671542,997.57336
663181167268,997.57635
663278053715,997.57434
663377137964,997.574
663478175815,997.57904
663575520138,997.5735
663674726487,997.57654
663775947488,997.58716
663873017085,997.59015
663972131859,997.58966
664078023190,997.59125
664171094008,997.59796
664270361407,997.589
664369506707,997.5954
664468747762,997.5988
664568045686,997.60223
664666916260,997.6019
664765725784,997.5994
664864535308,997.5942
664963405881,997.59906
665062306980,997.5902
665160872304,997.5885
665259712353,997.5832
665358399776,997.5861
665457270350,997.5861
665556293549,997.5892
665655347273,997.5757
665754217847,997.5685
665853454722,997.5907
665952538971,997.58496
666051379019,997.5646
666150799044,997.5561
666249242267,997.58325
666348692817,997.5935
666447658394,997.60547
666547322618,997.6633
666646101617,997.6156
666745948992,997.6293
666845216391,997.6446
666943415414,997.62573
667042774389,997.6139
667142041788,997.6033
667241583913,997.6017
667341248137,997.6033
667440332386,997.61523
667539386110,997.5897
667640301861,997.59485
667738043009,997.6017
667837279883,997.6098
667936455708,997.5941
668035875732,997.59784
668134257905,997.61523
668233097954,997.6169
668332548504,997.62006
668431901833,997.6373
668528666180,997.6426
668627658854,997.6391
668726712578,997.6527
668825857877,997.6507
668925033701,997.64905
669024209525,997.6456
669123354824,997.6476
669222439073,997.6423
669321248597,997.6405
669420485472,997.6303
669519478146,997.62177
669618653970,997.6167
669717707694,997.61163
669816791943,997.6064
669915876192,997.6081
670014594141,997.61163
670113281564,997.60474
670212030038,997.603
670310595362,997.603
670409710136,997.601
670508973540,997.59076
670607783064,997.584
670706684163,997.5838
670805768412,997.5941
670904761086,997.58734
671003723235,997.577
671107538864,997.5732
671201739108,997.5702
671300609682,997.56854
671399968656,997.56305
671498778180,997.5626
671597648754,997.5609
671696519328,997.55585
671795237276,997.55914
671894474151,997.55914
671993405774,997.56256
672091940573,997.5517
672190963772,997.55005
672289681721,997.538
672388643870,997.5324
672487597874,997.53766
672586590548,997.53766
672685461122,997.5406
672784362220,997.5406
672883385419,997.5373
672982347568,997.5407
673081279192,997.53894
673185827422,997.5373
673279905566,997.52795
673378989815,997.5229
673478226689,997.5246
673577585664,997.5208
673676334137,997.517
673775601537,997.5258
673876059412,997.52386
673973861610,997.5188
674073220584,997.5098
674173556360,997.508
674271663808,997.499
674370839632,997.499
674471018827,997.4988
674569065225,997.4988
674668241049,997.4987
674768454725,997.49664
674866470598,997.49664
674965768522,997.48944
675066531648,997.48254
675164028595,997.4822
675263906495,997.475
675363906495,997.4711
675462349718,997.47626
675561433968,997.4672
675661525543,997.467
675760029816,997.467
675859266690,997.4667
675959388790,997.45605
676057832014,997.4506
676157068888,997.4455
676257252038,997.4488
676355420536,997.44366
676454687936,997.44507
676555718049,997.4413
676653031846,997.4363
676752238195,997.42896
676853184471,997.42773
676950467744,997.42596
677049704618,997.41534
677150895094,997.4047
677248025741,997.39795
677347567866,997.3946
677448758342,997.3924
677545766889,997.3853
677644912188,997.3802
677746743690,997.36957
677843385936,997.3626
677942500711,997.3522
678044026962,997.34326
678141096559,997.34326
678240272383,997.3432
678341829160,997.3358
678438471407,997.3343
678538130133,997.3254
678644479340,997.3148
678737031232,997.31647
678836146006,997.3111
678938099608,997.3093
679034802905,997.3093
679134039779,997.30194
679235779706,997.3087
679332421953,997.3051
679431536727,997.3085
679533673479,997.3029
679629735750,997.2995
679728850524,997.30115
679831048326,997.2902
679927141122,997.2886
680026286421,997.29364
680128728424,997.297
680224577020,997.29834
680323997044,997.2997
680426439047,997.298
680522195310,997.2924
680621493235,997.2903
680721340609,997.287
680819875408,997.28015
680919112282,997.2765
681018410207,997.27966
681117463931,997.2793
681216639755,997.2755
681316181879,997.279
681415510329,997.2735
681514777728,997.268
681614991403,997.25946
681713495677,997.25214
681812763076,997.2485
681916487130,997.2502
682011694700,997.24677
682110962099,997.24304
682215113503,997.24304
682312763076,997.24084
682408855872,997.2424
682511390116,997.2424
682607452388,997.23914
682706719787,997.2355
682809192314,997.2367
682905163010,997.2419
683004399884,997.23975
683106994512,997.2414
683202904158,997.23615
683302263132,997.23456
683404888285,997.2202
683500614781,997.2183
683600095855,997.218
683702507333,997.2141
683798478029,997.2074
683897837003,997.21246
684000370580,997.2067
684096524427,997.20154
684195852876,997.1964
684298050678,997.19293
684394509775,997.1964
684493655074,997.1892
684596035158,997.191
684692250054,997.1892
684791395353,997.1817
684893745781,997.17474
684989808052,997.171
685089167026,997.16547
685188800726,997.16547
685287549200,997.16724
685386969224,997.16547
685489777527,997.1671
685587640775,997.16864
685687579725,997.18756
685783886196,997.189
685883031495,997.18695
685981871544,997.1698
686080803168,997.15405
686179795842,997.15576
686279185341,997.14703
686378330640,997.15546
686477262264,997.17065
686576189163,997.1823
686675273412,997.1342
686774174511,997.127
686872984035,997.1355
686971824084,997.1388
687070877808,997.15765
687169717857,997.1349
687268618956,997.1331
687367611630,997.16376
687466604304,997.1569
687565719078,997.1315
687664284401,997.1416
687762971825,997.1638
687861903449,997.1602
687960560348,997.1501
688058820421,997.1429
688158362545,997.1306
688257172069,997.1374
688355981593,997.1442
688454791117,997.15094
688553325296,997.1442
688652073770,997.1318
688750883294,997.1492
688851432745,997.1522
688948990742,997.1522
689048197091,997.14374
689152256920,997.1519
689246304539,997.1466
689345205638,997.148
689444289887,997.14935
689543190986,997.15796
689642366810,997.163
689741359484,997.17456
689840474259,997.1848
689939497458,997.19366
690038703807,997.18646
690137421756,997.18134
690237024930,997.17786
690336109179,997.1728
690435193428,997.16724
690533850327,997.1584
690632962698,997.1516
690732504823,997.1432
690831161721,997.14453
690930673321,997.15295
691029757570,997.15765
691128689194,997.14886
691227865018,997.1457
691327132417,997.1457
691426644017,997.14386
691524873565,997.1457
691623866239,997.1457
691723225213,997.1507
691820142185,997.1471
691919348534,997.14374
692018493834,997.1365
692117425458,997.1312
692216326556,997.124
692315441331,997.1206
692415013980,997.11523
692514708730,997.1169
692613579254,997.1169
692718737984,997.11346
692812175102,997.1084
692911381451,997.10156
693010465701,997.0978
693109733100,997.0943
693208573149,997.09094
693307718448,997.089
693406619547,997.0851
693505337495,997.0833
693604238594,997.0766
693703200743,997.0731
693802162892,997.06964
693900697691,997.0714
694000331390,997.0626
694099140914,997.0642
694198011488,997.0609
694296576812,997.0606
694395569486,997.05536
694494287434,997.05206
694593158980,997.04694
694691968504,997.0383
694792701105,997.0366
694890259102,997.0278
694989587552,997.0294
695090594878,997.0294
695188091825,997.02234
695287481325,997.0205
695388336025,997.01715
695486107698,997.007
695585405623,996.9979
695686138223,996.9947
695783604646,996.9925
695882810995,996.9925
695983513071,996.9924
696081498419,996.9937
696180643718,996.9937
696280887918,996.98846
696378842741,996.98846
696477896465,996.98846
696579056416,996.9906
696676366482,996.99585
696775542307,996.99194
696876030707,996.985
696973191879,996.9845
697072734004,996.9861
697174168680,996.9792
697271574053,996.9758
697370963552,996.96185
697472337178,996.9585
697569498351,996.95514
697668735225,996.94794
697770200426,996.9463
697867514224,996.94794
697966537423,996.9565
698065896397,996.94794
698164919596,996.94794
698263576495,996.95135
698362324968,996.94965
698461226067,996.94965
698560401892,996.95135
698659420019,996.94794
698758168492,996.95135
698857161166,996.9425
698955879115,996.93945
699054749689,996.93054
699153406588,996.9343
699252735037,996.9237
699351788761,996.92194
699450934060,996.91693
699549865684,996.9063
699649133083,996.90796
699748308907,996.9063
699852094011,996.9114
699946446881,996.9045
700045317454,996.8991
700144768004,996.8956
700243669103,996.894
700342875452,996.8923
700442203901,996.88715
700541043950,996.896
700640340638,996.90106
700739791188,996.8905
700838875437,996.8888
700938203886,996.88544
701037440761,996.88
701136341859,996.88
701235883984,996.88367
701334571408,996.88544
701433869332,996.88684
701533289356,996.8821
701632770431,996.8698
701731732580,996.86804
701831030504,996.8595
701930267378,996.8527
702029656878,996.851
702128832702,996.8544
702228100101,996.8507
702326665425,996.8507
702423857122,996.8466
702522819271,996.8396
702626024399,996.843
702721904028,996.8414
702821110377,996.8414
702923155554,996.8466
703019614651,996.84503
703118943100,996.84503
703221171427,996.8416
703317661049,996.83453
703417050548,996.826
703518851525,996.8243
703615585347,996.8192
703714852746,996.81067
703826604883,996.80896
703913509645,996.8056
704012654944,996.80383
704113814895,996.7984
704211342367,996.7984
704310457142,996.79297
704412563369,996.79114
704508778265,996.79297
704608045664,996.78436
704710342394,996.786
704806404666,996.78436
704905824690,996.7754
705008053017,996.77716
705104267913,996.7808
705203504788,996.7775
705306007840,996.77405
705402131161,996.7775
705501429086,996.77405
705603382687,996.7617
705699994409,996.7634
705799292333,996.7634
705901276460,996.7605
705997613457,996.7571
706096880856,996.7481
706199261808,996.7499
706295598805,996.7515
706394774629,996.74475
706497002956,996.74646
706592698927,996.7499
706692393676,996.74475
706794868911,996.74115
706890839607,996.74115
706990076481,996.73956
707090045956,996.7363
707188519705,996.736
707287787104,996.738
707387146078,996.7309
707486138752,996.7275
707585253526,996.7258
707684643026,996.7225
707783849375,996.7241
707883177824,996.71893
707982262073,996.7225
708081376847,996.72437
708180705297,996.72437
708279972696,996.72076
708379117995,996.72943
708478354869,996.73114
708577561219,996.73114
708676645468,996.7299
708775885672,996.735
708874847821,996.73315
