UPTIMENANO,Ax,Ay,Az
662250573427,2.2893226,1.4482533,2.1281278
662270573428,1.4991091,1.2963928,0.8295214
662290573427,0.55226266,0.2168107,-0.32745057
662310573427,-0.13892329,-0.725306,-0.9919892
662330573428,-0.4804384,-0.8034166,-1.3335084
662350573427,-0.7151192,-0.19649886,-1.9555589
662370576148,-1.2064847,0.6034132,-3.0401807
662390576149,-1.5551242,0.95023894,-3.907507
662410576148,-1.3443272,0.29747906,-3.96339
662430576148,-0.83361065,-0.7018479,-3.0121636
662450576149,-0.42337367,-0.9353298,-2.0282485
662470576148,-0.85129166,-0.2179343,-2.062235
662490576148,-1.4934855,0.4246046,-1.8033186
662510576149,-1.1780945,0.5728655,-0.66638494
662530576148,-0.33036554,0.46150538,0.521777
662550576148,0.15030731,-0.07615826,0.42201155
662570576149,-1.5619553,-0.02175974,1.2577313
662590576148,-0.8683066,1.073903,0.19538416
662610576148,0.1611296,0.0645195,1.9757578
662630576149,0.29152763,-0.89311683,3.7339036
662650576148,-0.78090066,-0.42635107,3.3033879
662670576148,-1.2643906,-0.10292878,1.9212627
662690576148,0.11296226,-1.153592,2.0900793
662710576148,1.3920454,-1.7781293,2.89877
662730576148,0.8766803,-2.5963342,2.2267153
662750576148,1.3250962,-2.1085048,1.3776085
662770576148,2.4127,-1.2604547,1.1046989
662790576148,2.4476929,-0.48718017,0.4881137
662810576148,1.545407,-0.33821383,-0.65659744
662830576149,0.47232053,-0.2706677,-1.6790426
662850576148,-0.26579618,0.08653852,-2.479178
662870576148,-0.5464315,0.27511522,-2.9862037
662890576149,-0.4156738,0.10399391,-2.9755604
662910576148,0.06639408,-0.3245354,-2.2613473
662930576148,0.42338243,-0.3714372,-1.9512031
662950576149,-0.47477844,-0.023943732,-2.6315897
662970576148,-1.372344,0.03214127,-2.5015242
662990576148,-1.1124774,-0.54869515,-1.5730908
663010576149,-1.0244663,-1.2850922,-1.107898
663030576148,-1.1006081,-1.4355965,-0.75612766
663050576148,-1.099252,-1.2182386,-0.4862806
663070576149,0.25152925,-1.2139646,0.16464446
663090576148,0.20796226,-1.5919424,1.3788013
663110576148,-1.3703564,-1.2116052,2.070839
663130576149,-1.6015635,-1.1101514,2.2932682
663150576148,-0.59393406,-0.9477868,2.3502057
663170576148,1.1319267,-1.3767445,3.5624497
663190576149,2.3806062,-1.8855703,4.468211
663210576148,2.5106604,-1.2617431,3.897723
663230576148,1.7577543,-0.8162156,2.225125
663250576149,0.997753,-0.8561621,0.692431
663270576148,0.4908977,-0.45077372,-0.18270528
663290576148,0.43800974,-0.3051373,0.5310672
663310576149,0.10179665,-0.76175606,0.31713507
663330576148,-0.33916253,-1.5996462,-0.40105355
