UPTIMENANO,Mx,My,Mz
662273325097,37.39977,-6.805752,-29.234581
662293177781,37.54977,-6.9557514,-29.234581
662313034678,37.24977,-6.9557514,-29.234581
662332891573,37.24977,-6.9557514,-29.234581
662352748469,37.54977,-6.9557514,-29.234581
662372605366,37.69977,-6.9557514,-29.234581
662392455845,37.69977,-6.9557514,-28.784584
662412312485,37.84977,-6.9557514,-28.634583
662432169126,38.29977,-6.9557514,-28.184586
662452025893,38.59977,-6.9557514,-27.884583
662471885855,38.74977,-6.805752,-27.434586
662491742624,39.04977,-7.105751,-27.134583
662511599391,38.89977,-7.105751,-27.434586
662531456159,38.74977,-7.105751,-27.434586
662551312800,39.04977,-7.105751,-27.434586
662571169567,39.04977,-7.105751,-27.434586
662591023933,39.04977,-7.105751,-27.434586
662610880574,39.04977,-7.555752,-27.434586
662630737341,39.04977,-7.855751,-27.434586
662650593981,38.89977,-9.205751,-27.58458
662670450750,38.74977,-9.205751,-27.58458
662690309626,38.74977,-9.505751,-27.58458
662710166394,37.84977,-9.655752,-27.58458
662730023035,38.44977,-9.805752,-27.58458
662749879802,37.39977,-9.805752,-27.884583
662769736570,36.199768,-9.805752,-28.184586
662789593211,35.29977,-9.805752,-28.184586
662809441243,34.09977,-9.805752,-28.484581
662829297755,32.89977,-9.805752,-28.784584
662849154268,32.59977,-9.805752,-29.684586
662869010907,32.59977,-9.805752,-31.034584
662888865536,32.59977,-9.805752,-32.08458
662908722049,32.59977,-9.805752,-33.58458
662928578432,32.59977,-9.805752,-33.134583
662948434944,32.59977,-9.805752,-32.534584
662968291329,32.59977,-9.805752,-32.534584
662988156927,32.59977,-9.955751,-32.534584
663008013567,32.59977,-9.955751,-32.534584
663027870208,32.89977,-9.955751,-32.684586
663047726847,32.89977,-10.255751,-32.98458
663067583487,33.04977,-10.255751,-32.98458
663087440128,33.04977,-10.405752,-33.134583
663107304319,33.04977,-10.405752,-33.58458
663127161215,33.04977,-10.255751,-34.034584
663147018112,33.04977,-10.255751,-33.284584
663166875007,33.04977,-10.105751,-34.184586
663186731635,33.04977,-9.955751,-34.33458
663206588532,33.04977,-9.205751,-34.784584
663226445299,33.04977,-8.455751,-34.634583
663246302067,33.04977,-7.405752,-34.784584
663266158964,33.04977,-7.405752,-34.934586
663286010635,33.04977,-7.405752,-35.83458
663305867275,33.04977,-7.555752,-35.98458
663325724044,33.04977,-7.105751,-35.98458
663345580811,32.89977,-6.9557514,-36.884583
663365437451,31.69977,-6.9557514,-37.034584
663385294220,30.649769,-6.9557514,-38.684586
663405149975,26.749771,-7.105751,-38.684586
663425006615,25.24977,-7.555752,-38.534584
663444863256,22.69977,-7.7057514,-39.134583
663464719895,23.149769,-7.7057514,-39.134583
663484581838,23.149769,-8.005751,-39.134583
