UPTIMENANO,Ax,Ay,Az
662293177781,0.79754156,4.600833,8.092772
662313034678,-0.27542725,4.6511283,7.441326
662332891573,-0.37601808,4.727769,7.0437527
662352748469,0.12693603,4.6942387,6.246211
662372605366,0.68737066,4.6822634,4.878655
662392455845,0.76161623,4.6128078,3.9374123
662412312485,0.06466553,4.287085,4.1936793
662432169126,-0.8143067,4.2176294,5.47262
662452025893,-0.8765772,4.471502,6.473738
662471885855,-0.19878663,5.024751,5.949229
662491742624,0.28500733,5.853428,5.6809864
662511599391,0.60594,6.320457,6.7850904
662531456159,0.8143067,6.344407,8.193362
662551312800,0.49576905,5.877378,8.353828
662571169567,0.26345217,7.8820095,7.9634404
662591023933,1.5615528,6.835386,7.2329593
662610880574,0.95561284,6.926397,9.520203
662630737341,0.17483643,7.7239385,11.177557
662650593981,0.3520679,8.435259,10.068663
662670450750,0.5364844,8.076006,8.581355
662690309626,-0.06945557,6.967112,9.697434
662710166394,-0.1460962,6.3875175,11.225457
662730023035,-0.852627,6.373147,10.564431
662749879802,-0.011975098,5.609136,10.003997
662769736570,1.4154567,4.6990285,10.150093
662789593211,2.4501052,4.358936,9.412427
662809441243,2.3998096,4.385281,7.92033
662829297755,2.0549269,4.631968,6.449788
662849154268,2.0525317,4.758904,5.240303
662869010907,2.0261867,4.6918435,4.5744877
662888865536,1.8968556,4.528982,4.6822634
662908722049,1.829795,4.5481424,5.6905665
662928578432,2.0237916,4.4283915,6.3084817
662948434944,1.9088306,4.7397437,5.0487013
662968291329,1.7172291,5.616321,4.385281
662988156927,1.575923,5.999524,5.4462748
663008013567,1.0035132,6.219866,6.1456203
663027870208,0.8765772,6.5240335,6.4282327
663047726847,1.0370435,6.919212,6.3060865
663067583487,1.7723145,6.1144853,7.510782
663087440128,1.7723145,6.672525,8.813672
663107304319,1.7723145,8.466394,8.267608
663127161215,1.7220191,8.911868,8.3179035
663147018112,2.1579127,8.035291,8.677156
663166875007,2.8692336,7.0437527,10.811119
663186731635,3.0081446,6.3635674,12.854071
663206588532,3.6068995,5.7983427,12.631333
663226445299,3.544629,5.400769,10.736873
663246302067,2.7518775,5.120552,9.216036
663266158964,2.6417067,4.8834453,7.6449027
663286010635,3.271597,5.3552637,8.226892
663305867275,3.03928,5.51094,8.248447
663325724044,1.8130299,5.388794,7.5874224
663345580811,1.4920973,5.2283278,8.1071415
663365437451,0.61552006,5.3049684,8.202942
663385294220,-0.23471193,4.2128396,5.479805
663405149975,0.6466553,3.8559816,3.7003052
663425006615,3.3147073,2.2608986,4.8523097
663444863256,0.20118165,3.3386574,6.0354495
663464719895,-0.20357667,2.672842,6.595884
663484581838,0.06706055,3.0536501,8.064031
663504438607,0.488584,5.1636624,8.655601
663524295374,1.2454102,5.3145485,8.423284
663544152142,2.1315675,5.0678616,7.814949
663564008911,3.6116896,5.4223247,8.315508
663583865678,3.9493873,5.9180937,9.513018
663603718757,2.088457,6.349197,8.425679
663623575398,2.9817994,4.2296047,11.692486
663643432165,5.333709,7.4509063,13.093573
663663288933,7.2760696,8.490345,10.135723
663683145702,5.7480474,5.3408937,9.783655
663703008040,2.459685,6.7324004,9.968072
663722864808,3.7458107,5.8989334,9.74294
663742721705,5.604346,5.3480787,8.452024
663762578600,3.173401,6.0665846,6.7539554
663782431619,3.906277,5.4223247,5.0199614
663802288516,2.8093581,3.7266505,4.9073954
663822145411,3.3697927,4.2367897,7.5299416
663842002307,4.394861,3.8392165,7.311995
663861859076,4.605623,3.66438,4.998406
663881715971,4.9337406,3.5925295,3.4847536
663901570709,5.223538,3.3123121,2.931504
663921427478,5.4127445,3.3506324,2.7255323
663941284245,4.864285,3.3290772,2.1531227
663961141013,3.9302273,3.4057178,2.2201831
663980997782,3.288362,3.4512234,3.6931202
664000857322,2.4812403,3.2859669,6.4138627
664020714090,1.6429834,2.4764502,9.230406
664040570859,1.9926564,1.8609302,11.821816
664060427626,1.8537452,2.0166066,13.39295
664080281243,0.17004639,2.2872438,15.20119
664100138012,-3.3697927,2.4644752,16.144827
664119994779,-2.4644752,1.9567311,13.258829
664139851547,5.927674,-0.62989014,13.43127
664159708315,9.093889,-3.391348,12.296031
664179565083,5.0367265,-0.613125,10.921289
664199421851,1.8968556,3.7050953,8.763377
664219269214,3.5949244,7.862849,0.8981324
664239125726,5.879773,5.8965383,-0.1101709
664258982238,4.4403663,1.4250367,6.1647806
664278838878,2.703977,1.5208374,7.6592727
664298695390,1.5950831,2.1818628,5.388794
664318541186,1.8537452,1.6286134,3.1207106
664338397570,2.2728736,1.5280225,0.98914313
664358253954,3.4919386,1.1687696,-0.13172609
664378110338,5.7145166,0.7807764,-0.80233157
664397966722,9.321417,0.244292,-0.5724097
664417815886,11.829002,-0.21555176,1.1687696
664437672014,14.786851,-0.2083667,2.8764186
664457528014,16.372355,-0.7544312,3.7482057
664477384142,16.935184,-0.15088624,3.3458424
664497240142,17.62974,1.5471827,2.8404932
664517103060,18.839224,2.936294,4.0787187
664536959188,20.180435,2.9698243,5.345684
664556815316,20.043919,2.5004005,3.3697927
664576671444,21.39471,3.9781277,1.705254
664596527572,19.658321,7.92512,2.6369166
664616380402,16.719631,6.303692,3.3889527
664636236530,10.736873,4.8044095,7.2832546
664656092658,8.131092,8.753797,5.8677983
664675948658,10.566827,11.156001,3.2356715
664695804786,11.690091,9.78605,-0.7496411
664715663980,11.591895,6.734795,-3.8200562
664735520108,11.539205,5.6833816,-6.440208
664755376236,9.472302,5.637876,-4.754114
664775232492,8.042476,3.5206788,0.7568262
664795088620,5.1157618,3.4751735,1.8250049
664814943748,3.535049,4.2367897,2.548301
664834799876,4.129014,4.2128396,1.583108
664854656004,4.9505057,2.7590625,1.6238233
664874512132,9.208851,-0.5843848,-2.2225783
664894368260,8.667576,-0.6466553,-4.4691067
664914224613,8.080796,-0.30177248,-3.6548
664934080741,8.473579,-2.2369483,-5.927674
664953936741,5.518125,-2.6345215,-3.551814
664973792869,3.5566041,-0.7161109,-2.3806496
664993648869,5.0415163,1.2070899,-2.955454
665013516127,5.9156985,2.5770411,-2.802173
665033372383,8.875943,1.710044,-2.3854396
665053228639,11.948753,2.3974147,-1.9663111
665073085023,12.554693,2.8452833,-2.0429518
665092941279,10.756033,1.7459693,-2.1004322
665112798206,8.885523,-0.46702883,-1.465752
665132654590,12.470867,-1.22146,-2.215393
665152510846,14.154566,0.086220704,-2.9506643
665172367230,12.710369,1.7124391,-1.7435743
665192223614,10.789563,1.0083033,1.9806812
665212079808,9.958491,-0.16286133,3.0368848
665231936192,12.85886,-2.9698243,2.0070264
665251792448,14.327007,-3.4751735,1.4609619
665271648832,15.153289,0.5987549,2.1770728
665291505088,12.518767,2.066902,-1.2502003
665311360279,11.824212,4.9217653,-3.8895118
665331216663,10.696157,7.417376,-2.6297317
665351072919,11.826607,7.5035963,-1.5591577
665370929303,14.439573,4.90979,2.2129982
665390785559,12.145144,6.200706,2.4764502
