UPTIMENANO,Gx,Gy,Gz
662263396649,-0.065124765,-0.18847582,-0.30202484
662273325098,-0.08962584,-0.18155159,-0.35155964
662283253547,-0.1269101,-0.2049874,-0.35688597
662293177781,-0.1567375,-0.18528003,-0.3196017
662303106230,-0.17591228,-0.08674305,-0.24982688
662313034679,-0.17431438,0.060796075,-0.16300783
662322963125,-0.13383433,0.2051394,-0.07725404
662332891574,-0.055004753,0.3255143,-0.01493607
662342820023,0.04885853,0.433106,0.019152394
662352748469,0.16124393,0.5289798,0.025011348
662362676918,0.24539982,0.5907651,-2.2367749E-5
662372605367,0.29173884,0.5683946,-0.06873193
662382527525,0.3007936,0.49169555,-0.16247518
662392455846,0.2794883,0.41606176,-0.25249004
662402384167,0.23794296,0.3574722,-0.31853646
662412312485,0.20491977,0.30314374,-0.3259933
662422240806,0.21184398,0.25254366,-0.2663385
662432169127,0.27096617,0.18756254,-0.17152993
662442097445,0.3620463,0.10180876,-0.06287297
662452025894,0.48295382,0.013391806,0.053240854
662461954215,0.56710964,-0.0776883,0.1581694
662471885855,0.5750992,-0.14639787,0.23380318
662481814304,0.52023804,-0.18314949,0.2838706
662491742625,0.44247377,-0.22203164,0.30783907
662501670943,0.38494948,-0.2428043,0.29665378
662511599392,0.35458943,-0.2625117,0.25830427
662521527713,0.36470947,-0.29553488,0.21036737
662531456159,0.42223373,-0.37436447,0.15603888
662541384480,0.48881277,-0.56238365,0.08892722
662551312801,0.5074549,-0.6172448,0.05537138
662561241247,0.49041066,-0.55119836,0.17468101
662571169568,0.49786752,-0.340276,0.19332314
662581098017,0.29599988,-0.34080863,0.18746418
662591023933,-0.008133115,-0.3333518,0.10011249
662600952254,-0.18070596,-0.17729053,0.052708223
662610880575,-0.20201126,0.03096867,0.11715672
662620808893,-0.11625746,0.19129096,0.17734417
662630737342,0.054717485,0.31326374,0.21782422
662640665663,0.23474717,0.2845016,0.22794423
662650593981,0.3274252,0.03576236,0.16349573
662660522302,0.28854305,-0.26730537,0.056436647
662670450751,0.1441997,-0.4787604,-0.03144767
662680381306,-0.006002587,-0.5916784,-0.08630879
662690309627,-0.07524478,-0.69287854,-0.11240777
662700238076,-0.0326342,-0.85959244,-0.12412568
662710166394,0.080283836,-1.0944831,-0.1427678
662720094715,0.15911339,-1.4300414,-0.13957201
662730023036,0.19320185,-1.7123365,-0.0335782
662739951482,0.17935343,-1.9301832,0.06336086
662749879803,0.1441997,-2.1016908,0.13526623
662759808124,0.16497235,-2.154954,0.20663895
662769736570,0.20491977,-2.0793202,0.25457582
662779664891,0.21663769,-1.9381726,0.2822727
662789593212,0.19746292,-1.8332441,0.2870664
662799512923,0.22089873,-1.6750523,0.27268532
662809441244,0.2826841,-1.3315045,0.23806424
662819369565,0.27416196,-1.1338979,0.19864947
662829297755,0.24699771,-0.98582625,0.20024736
662839226076,0.22409452,-0.7594576,0.21942212
662849154269,0.16017866,-0.48035827,0.23273793
662859082587,0.049923796,-0.20605268,0.24765162
662869010908,-0.055537384,0.058665544,0.26150006
