UPTIMENANO,Ax,Ay,Az
662250573427,2.1024613,-0.52140397,2.6786482
662270573428,1.674794,-0.58228606,1.213291
662290573427,0.3195071,-0.5963213,-0.039255284
662310573427,-0.7979929,-0.5283836,-0.78321695
662330573428,-0.9756712,-0.43641847,-1.2296942
662350573427,-0.46645075,-0.4689847,-1.9841107
662370576148,0.18915184,-0.524959,-3.2788796
662390576149,0.4115002,-0.6388096,-4.2441216
662410576148,-0.12742572,-0.9827214,-4.0770326
662430576148,-0.9327827,-1.1145382,-2.8545308
662450576149,-1.0447158,-0.9500288,-1.7815423
662470576148,-0.45060673,-0.5054484,-2.1369326
662490576148,-0.013897468,0.23222208,-2.3682537
662510576149,0.24616714,0.66035146,-1.2897629
662530576148,0.38808957,0.6468121,0.15937512
662550576148,-0.009013803,0.12096021,0.4379195
662570576149,-0.33993444,1.9723451,0.127927
662590576148,0.8357454,0.96681935,-0.5587381
662610576148,0.24350524,1.0620044,1.6572863
662630576149,-0.5256363,1.8642422,3.327611
662650576148,-0.35105953,2.5422885,2.2621841
662670576148,-0.22751193,2.1420946,0.81252545
662690576148,-0.9179069,1.035998,1.9483639
662710576148,-1.142393,0.45840004,3.4622552
662730576148,-2.041211,0.3943199,2.854076
662750576148,-1.4935299,-0.40248173,2.388902
662770576148,-0.42068517,-1.3151274,2.5930083
662790576148,0.25151145,-1.656811,1.9127257
662810576148,-0.0683553,-1.6354479,0.50441104
662830576149,-0.57143694,-1.4224025,-0.87507874
662850576148,-0.6906802,-1.3233641,-1.9990315
662870576148,-0.7647492,-1.3830963,-2.6065092
662890576149,-0.87580574,-1.4930212,-2.4579282
662910576148,-0.9109379,-1.4598682,-1.5041275
662930576148,-0.76526695,-1.5701385,-1.0360713
662950576149,-0.92273706,-1.2693893,-2.1652849
662970576148,-1.1191498,-0.50872076,-2.575013
662990576148,-1.3019133,-0.19464897,-1.5101062
663010576149,-1.805866,-0.016742593,-0.81670016
663030576148,-1.8678317,0.24277464,-0.54430753
663050576148,-1.5962352,0.4248394,-0.44774258
663070576149,-0.9665595,-0.1736843,0.7743906
663090576148,-0.9784414,0.6108795,1.7742889
663110576148,-0.96562505,2.267643,1.2488401
663130576149,-0.88519377,2.594305,1.2419877
663150576148,-0.40357324,1.8294505,1.8068659
663170576148,0.12238374,1.0475063,3.841287
663190576149,0.30412316,0.52465355,5.3684096
