UPTIMENANO,Ax,Ay,Az
1024056661484,0.2481181,-0.034970205,0.3215472
1024076661484,0.26980188,0.008902092,0.33646336
1024096661484,0.12073843,-0.36266297,-0.13903725
1024116661484,-0.026285782,-0.4200855,-0.3318322
1024136661484,0.11343817,-0.33871597,-0.20505816
1024156661484,0.24751051,-0.3696299,-0.015783058
1024176661484,0.36057827,-0.32025278,0.18438537
1024196661484,0.23219214,-0.15017213,0.1953857
1024216661484,0.23942183,-0.30516112,0.07990414
1024236661484,0.22455934,-0.29793966,0.02961165
1024256661484,-0.094128326,0.24295461,0.038042445
1024276661484,-0.26078767,0.32740578,-0.04412441
1024296661484,0.50443107,-0.15376255,-0.36165643
1024316661484,0.15870132,-0.25145152,-0.5998859
1024336661484,-0.35070956,-0.007793362,-0.757415
1024356661484,-0.17154877,0.03797961,-0.60604453
1024376661484,0.2863385,-0.15107238,-0.03476583
1024396661484,0.5772271,-0.3360584,0.29950076
1024416661484,0.4560294,-0.3935586,0.32470343
1024436661484,0.9653476,-0.9952563,0.71581113
1024456661484,1.5812864,-1.574268,1.1124916
1024476661484,0.65648174,-0.7177651,0.79397726
1024496661484,-0.12010983,-0.119538255,0.23562634
1024516661484,-0.34832084,-0.2340758,-0.39483473
1024536661484,-0.08337208,-0.20212513,-0.3001199
1024556661484,0.2738006,0.116103075,0.10443983
1024576661484,-0.031121593,0.24026926,0.005705076
1024596661484,-0.39555174,0.23529555,-0.43168047
1024616661484,-0.47540107,-0.24344525,-0.76515144
1024636661484,-0.046940975,-0.58016515,-0.32959184
1024656661484,0.3610006,-1.0169421,0.064247854
1024676661484,-0.07077686,-0.3848475,0.19605756
1024696661484,-0.46242017,0.59073126,0.1959798
1024716661484,-0.072837755,0.3731752,0.22296706
1024736661484,0.17911662,-0.11997774,0.06930595
1024756661484,0.008843779,-0.20901826,-0.08600396
1024776665259,-0.29210535,0.09648173,-0.16159637
1024796665259,-0.5204408,0.68735445,0.06472822
1024816665259,0.08460388,0.20249662,0.31469318
1024836665259,0.7008461,-0.9732103,0.14910811
1024856665259,0.32808185,-1.334398,-0.28855136
1024876665259,0.12928027,-0.61951834,-0.21659648
1024896665259,0.0840058,0.30690062,0.017869204
1024916665259,0.083643086,0.4336119,0.16135888
1024936665259,0.57081026,0.17581165,0.7010841
1024956665259,0.5873212,-0.3836971,0.58117086
1024976665259,-0.40182015,-0.58323586,-0.23685929
1024996665260,-0.873713,-0.81667864,-0.7647354
1025016665259,-0.95310295,-0.6954015,-0.8212198
1025036665259,-0.6237166,-0.64118403,-0.8238464
1025056665260,0.018349705,-0.75053346,-0.5262376
1025076665259,0.30482137,-0.81115574,-0.15879452
1025096665259,0.24628724,-0.9048428,-0.19133726
1025116665260,0.01069721,-0.690643,-0.07662681
1025136665259,-0.03782648,-0.12607065,0.31646693
1025156665259,0.123456724,0.23015183,0.81936884
1025176665260,0.17955695,0.16584721,0.9689055
1025196665259,0.040378295,-0.17101893,0.6295673
1025216665259,0.09846093,-0.5456074,0.29623762
1025236665260,0.49470705,-0.33665255,0.61030036
1025256665259,0.83473235,0.8763191,1.2812669
1025276665259,1.0494645,1.7995621,1.1704886
1025296665260,0.8797949,1.5878109,0.27671987
1025316665259,0.54621315,1.6054682,-0.3355188
1025336665259,-0.64387184,3.7194483,-0.39489543
1025356665260,-1.293223,3.5515397,-0.8333098
1025376665259,-0.16215296,0.24541192,-1.2020276
1025396665259,1.1516361,-2.7091784,-0.8502691
1025416665260,1.2834185,-3.482744,-0.43494046
1025436665259,0.5292398,-2.9973526,-0.068395205
1025456665259,-0.34632915,-3.3352733,-0.12054122
1025476665260,-0.7774604,-4.015455,-0.90008444
1025496665259,-1.5301199,-3.4615712,-1.1284218
1025516665259,-0.8574555,-2.051137,0.09104178
1025536665260,-0.24632128,-1.3043354,0.47119963
1025556665259,0.040405456,-1.0035639,-0.037205443
1025576665259,0.43675962,-1.2979246,-0.16292883
1025596665260,-0.31572267,-0.37943697,-0.74487543
1025616665259,-0.8603345,0.20909998,-1.4105612
1025636665259,-1.1584505,-0.5804119,-2.1407824
1025656665260,-1.2143712,-0.7068338,-2.5201077
1025676665259,-0.5117353,-0.05988755,-1.9067582
1025696665259,0.32215852,-0.6960616,-1.0976357
1025716665260,0.94785225,-2.4010344,-0.88734716
1025736665259,1.456911,-3.1281435,-0.45245513
1025756665259,1.6955254,-2.9482186,0.9738548
1025776665260,1.8924557,-2.529218,2.8480225
1025796665259,1.5076116,-2.35106,5.249898
1025816665259,0.84125584,-2.4367661,6.995349
1025836665260,1.1398851,-1.9968696,6.7128873
1025856665259,1.5455943,-0.7105035,4.7453003
1025876665259,1.8657148,0.4416648,3.336415
1025896665260,1.7363499,0.97248745,3.2170079
1025916665259,1.5912759,3.3283718,-10.14523
1025936665259,1.2167276,0.67803204,-16.305016
1025956665260,0.57325214,0.665108,-1.422862
1025976665259,-0.16995166,5.4582953,2.9254816
1025996665259,-0.562829,4.2982225,-0.17371373
1026016665260,0.20201929,2.760211,-2.3086212
1026036665259,0.28679314,2.2531476,-6.0321913
1026056665259,-1.1249436,1.9031428,-9.304041
1026076665259,-0.9087245,1.8730675,-7.0854254
1026096665259,-4.324261,-1.2282991,-2.9609468
1026116665259,-7.118747,-2.6736321,-3.8175695
1026136665259,-5.2935395,-1.628802,-7.5048637
1026156665259,-2.7636106,-0.4835786,-8.909212
1026176665259,-1.361445,0.5508739,-8.558376
1026196665259,0.026265765,2.0974617,-7.76873
1026216665259,1.7142487,3.1327524,-5.538461
1026236665259,5.619414,3.8745134,-0.7424174
1026256665259,9.801005,2.444099,2.1797543
1026276665259,8.295274,1.5263734,1.7958719
1026296665259,4.60137,0.90457076,1.8067739
1026316665259,3.5758643,1.3721308,9.1394205
1026336665259,2.1575005,-0.6480259,15.770664
1026356665259,2.6990612,-2.6360357,15.358439
1026376665259,5.0695257,-4.206104,12.705676
1026396665259,4.936495,-6.6945596,8.626003
1026416665259,3.1914747,-5.0466127,8.157561
1026436665259,5.0677943,-2.3535254,10.387879
1026456665259,2.335678,-2.9235058,10.23541
1026476665259,-1.7353975,-3.2984612,8.0881195
1026496665259,-2.354768,-2.0966635,6.1257734
1026516665259,-3.0144916,-1.5348351,6.0177293
1026536665259,-2.3643136,1.2695187,6.138837
1026556665259,-2.31044,2.3839679,4.777736
1026576665259,1.6921432,2.357013,3.0062897
1026596665259,0.77975994,1.4607607,0.28478438
1026616665259,-1.6739392,1.5482986,-1.3183057
1026636665259,0.4831755,0.32977647,-1.6465869
1026656665259,2.0704374,-1.4337201,-2.3655136
1026676665259,0.3027474,-1.5019945,-6.618868
1026696665259,1.0471216,-2.194028,-9.205878
1026716665259,3.9069479,-3.3271067,-8.6300535
1026736665259,3.5428002,-2.8635063,-9.411771
1026756665259,3.7288275,-3.3248925,-8.888513
1026776665259,2.2974322,-3.4640138,-9.143308
1026796670435,1.8829594,-2.4881783,-5.3880787
1026816670435,2.9915206,-2.87513,-1.3414259
1026836670435,1.6065047,-2.7490964,0.15997903
1026856670435,1.6633433,-2.5215712,-1.1848267
1026876670435,-0.20098636,-2.366311,1.2699056
1026896670435,0.24425332,-3.8545732,1.4576255
1026916670435,4.5976815,-2.8073032,3.1686566
1026936670435,6.6593285,0.7727815,2.109601
1026956670435,6.6978474,0.77678955,4.0228415
1026976670435,7.391962,-2.6525934,6.1597304
1026996670435,3.3701184,-3.2256823,9.485342
1027016670435,2.214044,-1.0230856,9.12833
1027036670435,1.9022703,1.0437376,6.432568
1027056670435,-3.4000628,3.9125648,2.959756
1027076670435,-9.018136,3.3730195,2.8641553
1027096670435,-3.804396,-0.47970107,6.739659
1027116670435,9.655259,1.4972445,6.632791
1027136670435,9.872583,10.430565,-0.85186315
1027156670435,-1.0026494,2.8430028,-2.442024
1027176670435,-2.1857927,3.1074355,-5.230021
1027196670435,1.5715063,0.37044585,-7.2896657
1027216670435,2.727844,-3.4574525,-7.8516626
1027236670435,2.5037706,-3.5073013,-5.7420845
1027256670435,2.5482142,-0.8894253,-6.2707686
1027276670435,-0.8497572,-1.0111045,-6.180264
1027296670435,-0.97728145,-2.8650887,-5.774995
1027316670435,1.7695327,-1.229721,-3.9496143
1027336670435,3.8610914,-0.059104778,-2.0735035
1027356670435,3.1842165,-0.71546775,-0.98949975
1027376670435,1.6096115,-0.2556367,-0.98556125
1027396670435,0.68196845,0.18134598,-0.36310762
1027416670435,1.464461,0.14363448,1.4954398
1027436670435,3.4593918,1.4704232,3.7068105
1027456670435,1.0793227,2.1326883,4.1891456
1027476670435,-1.4144253,-0.26206648,6.012961
1027496670435,-0.6625094,-2.219926,5.5182257
1027516670435,0.95533806,-1.6043279,5.724583
1027536670435,2.2105956,0.56512916,5.162666
1027556670435,2.8136146,3.863516,2.3424253
1027576670435,2.8303137,5.101339,0.19754885
1027596670435,2.795543,3.0846667,-1.039574
1027616670435,1.5109608,1.6747364,-3.5037901
1027636670435,-1.2848592,1.1698738,-5.661722
1027656670435,-2.3642697,2.1216,-6.884832
1027676670435,-2.5887206,3.2385037,-7.896064
1027696670435,-3.1146255,4.0071163,-6.566359
1027716670435,-3.7578819,6.5469913,2.030555
1027736670435,-4.23089,5.701717,15.385883
1027756670435,3.2486734,1.6841383,12.023736
1027776670435,10.0619335,3.0882318,-0.61553234
1027796670435,8.524429,1.4094329,-0.19715005
1027816670435,4.3961883,-0.58601755,0.3649434
1027836670435,2.347923,-0.07207918,-0.6676613
1027856670435,1.0235245,0.1106014,-0.3726573
1027876670435,0.7287429,-0.1807564,0.93585867
1027896670435,-0.82015353,0.27940845,1.323351
1027916670435,-2.6019049,0.6962287,0.5834941
1027936670435,-0.29792663,-2.2475102,-1.378204
1027956670435,1.9659597,-2.7721725,-2.1330037
1027976670435,0.7924842,-1.7113411,-1.8997364
1027996670435,0.70711464,-2.2377715,-3.2245443
1028016670435,1.0296018,-1.1513584,-2.7385733
1028036670435,1.1735959,-0.9115327,-1.150611
1028056670435,4.0364957,-0.22918212,1.1357533
1028076670435,7.2101736,-0.3690674,3.654772
1028096670435,7.5804243,-1.2573771,3.905837
1028116670435,5.0947323,-2.1801476,1.6720771
1028136670435,2.1604645,-2.3973694,-0.0066960743
1028156670435,1.7449827,-1.5682307,0.6521673
1028176670435,2.547149,-0.71905476,2.0756269
1028196670435,2.5123165,-0.38524663,1.8308936
1028216670435,2.0334833,0.24742705,0.9402104
1028236670435,1.0083491,4.8597536,1.3656161
1028256670435,-0.5726307,9.72182,1.5481234
1028276670435,-1.639757,7.346708,0.054462634
1028296670435,-1.4785488,3.2051663,-1.8394266
1028316670435,-1.2458472,2.526848,-2.7265837
1028336670435,-0.71079946,1.8948146,-2.570968
1028356670435,-0.17628212,-0.9309343,-2.0154967
1028376670435,-0.05493637,-3.5451021,-1.2741412
1028396670435,-0.38062805,-3.0354898,-1.7880244
1028416670435,-0.9518657,-0.33057517,-3.5603085
1028436670435,-1.5761935,1.2944716,-4.536965
1028456670435,-1.3706477,0.96636593,-3.6713643
1028476670435,-0.14339754,0.2877152,-1.7129616
1028496670435,1.3490419,-0.712217,0.010551282
1028516670435,2.9180915,-3.168204,1.2308149
1028536670435,3.4771276,-4.9284472,1.9867008
1028556670435,2.8182526,-4.369644,1.2239792
1028576670435,1.7509949,-2.8796835,-0.11753094
1028596670435,1.0335196,-1.2367964,-0.8428241
1028616670435,0.9989458,0.41237,-0.20257019
1028636670435,1.3456038,0.7325198,1.5100237
1028656670435,2.4280906,0.12762658,4.307673
1028676670435,2.87717,2.0341635,6.551669
1028696670435,1.2289121,4.2077613,4.859485
1028716670435,0.05492362,3.0663342,-0.072114244
1028736670435,-0.5345549,0.29239675,-4.14809
