UPTIMENANO,Mx,My,Mz
1024074920298,10.642231,-35.04614,-12.348789
1024094770549,10.642231,-34.89614,-12.348789
1024114630262,10.642231,-34.74614,-12.348789
1024134489973,10.642231,-34.74614,-12.348789
1024154349685,10.642231,-35.04614,-12.348789
1024174209398,10.642231,-35.04614,-12.348789
1024194062331,10.642231,-34.89614,-12.348789
1024213921915,10.642231,-34.14614,-12.648788
1024233781500,10.642231,-34.596138,-12.648788
1024253641083,10.642231,-34.596138,-12.648788
1024273498296,10.792231,-34.596138,-12.79879
1024293357881,10.792231,-34.596138,-12.79879
1024313217464,10.792231,-34.596138,-12.79879
1024333077048,10.792231,-34.596138,-12.79879
1024352936505,10.792231,-34.74614,-12.948788
1024372796088,11.092232,-34.596138,-12.948788
1024392653514,11.242231,-34.74614,-12.948788
1024412512971,11.092232,-34.596138,-13.398788
1024432372298,11.242231,-34.596138,-13.848789
1024452231754,11.092232,-34.596138,-14.448788
1024472091211,11.092232,-34.596138,-15.198788
1024491952019,11.092232,-34.596138,-16.24879
1024511811347,11.092232,-33.99614,-17.148788
1024531670804,11.092232,-33.99614,-17.898788
1024551530131,11.092232,-34.14614,-19.54879
1024571389294,11.092232,-33.99614,-19.09879
1024591248751,11.092232,-33.99614,-19.54879
1024611108078,10.792231,-33.99614,-19.54879
1024630967406,10.042231,-33.99614,-19.698792
1024650826863,9.44223,-33.846138,-20.148788
1024670686190,7.642231,-33.846138,-20.59879
1024690545061,7.642231,-33.69614,-20.74879
1024710404390,7.94223,-33.54614,-21.04879
1024730263717,7.94223,-33.54614,-21.198792
1024750123173,7.94223,-33.54614,-21.198792
1024769982502,7.94223,-33.39614,-21.198792
1024789838075,7.94223,-33.54614,-21.198792
1024809697275,7.94223,-33.39614,-21.198792
1024829556476,7.94223,-33.39614,-21.198792
1024849415675,8.242231,-33.39614,-21.04879
1024869277770,8.392231,-33.39614,-20.59879
1024889137099,8.392231,-33.39614,-20.448792
1024908996298,8.542231,-33.39614,-20.74879
1024928855498,8.69223,-33.39614,-20.59879
1024948714827,8.542231,-33.69614,-19.698792
1024968574026,8.542231,-33.54614,-18.948792
1024988438358,8.542231,-33.846138,-18.49879
1025008297687,8.542231,-33.846138,-17.898788
1025028157014,8.542231,-33.99614,-17.898788
1025048016342,8.542231,-33.99614,-17.29879
1025067875543,8.542231,-33.99614,-18.04879
1025087738478,8.542231,-33.99614,-18.34879
1025107597934,8.69223,-33.99614,-18.34879
1025127457263,8.69223,-33.99614,-18.34879
1025147316718,8.69223,-33.99614,-18.34879
1025167176046,8.69223,-33.99614,-18.49879
1025187035503,8.842232,-33.99614,-19.09879
1025206852803,8.992231,-33.846138,-19.54879
1025226711491,8.992231,-33.846138,-20.74879
1025246570180,9.44223,-33.69614,-21.648788
1025266428739,8.992231,-33.39614,-22.84879
1025286297021,8.842232,-32.79614,-22.84879
1025306155838,8.842232,-31.89614,-22.84879
1025326014653,8.842232,-31.89614,-22.84879
