UPTIMENANO,P
1032065149491,997.4402
1032164172690,997.43365
1032263348514,997.4214
1032363043264,997.42
1032461669638,997.4169999999999
1032560662312,997.4172
1032659807611,997.4119
1032758769760,997.4119
1032858313964,997.4069
1032957520314,997.40344
1033056451938,997.4053
1033155688812,997.4016
1033254864636,997.39655
1033354406760,997.3879
1033452911034,997.38446
1033552819459,997.3829
1033651506883,997.3811599999999
1033750621657,997.3793
1033851262682,997.3879400000001
1033948179654,997.3896
1034047263903,997.3879
1034149156455,997.38574
1034245676602,997.3819599999999
1034344791376,997.3839999999999
1034446867078,997.37305
1034543173549,997.36957
1034642227273,997.36615
1034745432402,997.36957
1034840792597,997.3734
1034939965622,997.3611
1035044269651,997.3575400000001
1035139171971,997.3558300000001
1035237889920,997.3541
1035339935097,997.35046
1035436302618,997.3611
1035535570018,997.3661
1035637584670,997.3575400000001
1035733616416,997.3538
1035832548040,997.3538
1035932456465,997.35016
1036031052313,997.3466
1036130197612,997.3432
1036229648162,997.34296
1036328182960,997.3393599999999
1036427633510,997.341
1036527053534,997.3428
1036626198833,997.3460699999999
1036725527283,997.3406
1036824703107,997.3385599999999
1036924178099,997.3385599999999
1037023353923,997.3403
1037122621323,997.33844
1037221827672,997.328
1037320911921,997.3191
1037420179320,997.3135
1037519355144,997.30145
1037618408869,997.2981
1037717371017,997.29645
1037816485792,997.29474
1037915753191,997.2873
1038014929015,997.2804
1038113891164,997.2752
1038212883838,997.26825
1038312029137,997.2713
1038411113386,997.2663
1038510228160,997.2713
1038614501665,997.2658
1038709861860,997.2624
1038808274558,997.2589999999999
1038907597091,997.2501
1039006559240,997.2485
1039105857164,997.2429
1039204758263,997.24084
1039304514063,997.2353
1039403537262,997.2283
1039502652036,997.23
1039601705760,997.2297
1039701156309,997.2297
1039800118458,997.2172
1039899416383,997.21344
1039998683782,997.2063
1040097706981,997.2063
1040197127005,997.2062400000001
1040296089154,997.2045
1040395356553,997.20795
1040494440803,997.20215
1040593769252,997.1953
1040692975601,997.1932400000001
1040792243000,997.186
1040891388299,997.1895
1040990438770,997.1929
1041089584069,997.1874
1041188729368,997.182
1041288363067,997.1803
1041387752567,997.1714
1041487050491,997.1673
1041586470516,997.1656
1041686043165,997.16046
1041785096889,997.1585
1041884120088,997.1618699999999
1041983814838,997.1618699999999
1042081983336,997.1528
1042186012640,997.15045
1042281189685,997.15216
1042380304459,997.1483
1042479693959,997.1518599999999
1042578717158,997.1426
1042678167707,997.14594
