UPTIMENANO,Ax,Ay,Az
1024056661484,-0.2718429,0.14216958,0.2684536
1024076661484,-0.27664813,0.11280597,0.3111599
1024096661484,-0.23376559,0.12316483,-0.309221
1024116661484,-0.1015648,0.09162388,-0.51823264
1024136661484,-0.21043828,0.06842948,-0.34738842
1024156661484,-0.36357456,0.16426684,-0.19739987
1024176661484,-0.46878195,0.21619703,0.008877101
1024196661484,-0.28802535,0.1462892,0.10139661
1024216661484,-0.34414652,0.17898938,-0.07972922
1024236661484,-0.32411122,0.14724423,-0.11551127
1024256661484,0.18019123,-0.11088595,0.15674739
1024276661484,0.37401173,-0.16067335,0.107009314
1024296661484,-0.49762633,-0.30122945,-0.265552
1024316661484,-0.2128046,-0.2565273,-0.5806764
1024336661484,0.3576416,-0.3371219,-0.6746677
1024356661484,0.20543304,-0.3365106,-0.49266553
1024376661484,-0.3211174,-0.024248268,-0.048134305
1024396661484,-0.6806614,0.19911423,0.18133013
1024416661484,-0.59864473,0.29373044,0.15372162
1024436661484,-1.3430985,0.7364843,0.2974794
1024456661484,-2.1625147,1.1177865,0.53898907
1024476661484,-0.9241317,0.6840844,0.50454307
1024496661484,0.03777944,0.2717044,0.094789095
1024516661484,0.10392242,0.09668562,-0.55844903
1024536661484,-0.09855047,0.008792258,-0.35789374
1024556661484,-0.11227678,-0.15774055,0.24872927
1024576661484,0.18476012,-0.14315186,0.06404414
1024596661484,0.36487368,-0.19058514,-0.47824433
1024616661484,0.03334178,-0.0022137177,-0.93252987
1024636661484,-0.4226583,0.2547827,-0.4515216
1024656661484,-0.89980423,0.5969606,-0.051092524
1024676661484,-0.15709212,0.40741882,0.029789524
1024696661484,0.7663415,-0.094262525,0.070986494
1024716661484,0.35121626,-0.11539726,0.24002078
1024736661484,-0.19142492,0.033020675,0.11639107
1024756661484,-0.16330288,0.09920177,-0.121056646
1024776665259,0.23821537,-0.01026048,-0.25277624
1024796665259,0.8411104,-0.19904774,-0.020434286
1024816665259,0.13830374,-0.020264758,0.35728964
1024836665259,-1.117509,0.41770983,0.19299842
1024856665259,-1.167369,0.61966443,-0.4741132
1024876665259,-0.54217094,0.2530543,-0.29907292
1024896665259,0.14692663,-0.24271353,0.14514466
1024916665259,0.24860641,-0.25544664,0.30658433
1024936665259,-0.17628795,-0.009219134,0.9039306
1024956665259,-0.5784225,0.31665054,0.628561
1024976665259,-0.09283102,0.44570902,-0.5919895
1024996665260,0.038183555,0.5138092,-1.3227625
1025016665259,0.17681047,0.42527127,-1.3617167
1025036665259,-0.011686531,0.24270731,-1.1915615
1025056665260,-0.54044473,0.21185316,-0.70964843
1025076665259,-0.7483003,0.34577098,-0.31079614
1025096665259,-0.75296223,0.43800443,-0.39649424
1025116665260,-0.42350152,0.4487248,-0.31979108
1025136665259,0.0020042963,0.27750185,0.20115833
1025156665259,0.15670638,0.19663545,0.8224075
1025176665260,0.09686401,0.29633376,0.94938254
1025196665259,-0.032515448,0.42569157,0.49493656
1025216665259,-0.36714944,0.4877291,0.14986764
1025236665260,-0.46916455,0.29388678,0.6511925
1025256665259,0.23442571,-0.44117236,1.6901983
1025276665259,0.79138654,-1.2755768,1.8591537
1025296665260,0.55219626,-1.4551922,0.97429496
1025316665259,0.6428384,-1.5787854,0.28748044
1025336665259,2.8721972,-2.4789925,-0.09944277
1025356665260,3.0751781,-2.201351,-0.82316333
1025376665259,-0.044300262,-0.6257149,-1.0667282
1025396665259,-2.8709178,0.880411,-0.60957265
1025416665260,-3.3881721,1.5431018,-0.32399037
1025436665259,-2.5119188,1.7056385,-0.22350712
1025456665259,-2.5215132,2.1429956,-0.55503494
1025476665260,-3.0663848,2.4315999,-1.4910004
1025496665259,-2.5932076,2.3723316,-1.8012209
1025516665259,-1.4106617,1.7051357,-0.23071006
1025536665260,-0.85902685,1.056227,0.3611803
1025556665259,-0.8864423,0.45991692,0.11337344
1025576665259,-1.321101,0.23351713,0.31949154
1025596665260,-0.51328796,0.121212,-0.721343
1025616665259,-0.10651313,0.0069338363,-1.661983
1025636665259,-1.0034282,0.45460892,-2.2468414
