UPTIMENANO,Ax,Ay,Az
1373367116138,-0.6050991,-0.6160107,7.020656
1373386975723,-0.4612031,0.29894504,8.656
1373406835306,-1.0695385,1.5358958,10.259234
1373426694890,-1.3087245,1.4748213,10.089843
1373446554475,-1.1505849,0.7669262,9.365089
1373466414058,-0.05520162,-1.1313475,9.080793
1373486275093,-0.1997867,-0.6436614,7.370112
1373506134678,-1.6332897,-0.5232947,7.1760097
1373525994389,-1.527412,-0.46991235,8.289256
1373545853973,-0.56984276,-0.19883166,9.241412
1373565713686,-0.7280126,0.48346028,9.4382
1373585580926,-1.1229564,0.3538279,9.367106
1373605440766,-0.41964895,-0.19414763,9.462869
1373625300607,0.20763531,-0.41743276,9.382591
1373645160446,1.0061673,-1.0987182,9.102368
1373665022251,1.0604349,-1.2780623,9.656166
1373684882092,-0.45717233,-0.70586497,10.259466
1373704742059,-1.3015056,-0.63079876,10.31807
1373724601899,-0.3869871,-0.7128956,10.348872
1373744461868,-0.10476623,0.29436183,11.597823
1373764321707,0.24638869,0.13288306,12.002321
1373784189081,0.087923005,0.18515567,12.248505
1373804049178,-0.12373419,1.0573792,13.243471
1373823909273,-0.6277496,0.5466724,11.974329
1373843769369,-1.3253102,-0.18526368,9.49669
1373863629466,-0.6335628,1.4405326,10.674268
1373883488817,-0.6581472,4.15419,12.354741
1373903348913,-0.50056237,5.3839464,12.107771
1373923209010,-1.8647714,2.4003677,9.275723
1373943068977,-2.7835526,-0.22912425,7.0353246
1373962924916,-2.1541774,-1.1636468,6.5988655
1373982784885,-0.5220106,-1.452685,6.9649863
1374002644852,2.6988077,-0.98575556,8.194041
1374022504948,4.773314,-0.73452294,9.317091
1374042364917,5.5684195,-1.408443,9.687194
1374062224884,4.3851953,0.038384426,9.330981
1374082077983,2.993549,1.3211377,9.37855
1374101937824,1.9590157,-0.05664156,7.6660905
1374121797791,0.8041201,-1.5096159,5.9447446
1374141657631,0.59904355,-0.91754794,7.7609916
1374161517600,-0.08244338,-1.2490897,10.440667
1374181366460,-1.2251351,0.2704688,9.9716
1374201226172,-1.8005736,0.5737322,9.51983
1374221085885,0.81515425,-0.4851475,10.080792
1374240945468,1.5512068,-0.6172346,10.629836
1374260805180,-0.2586578,0.39495486,11.578908
1374280664765,-1.1887093,0.18037318,10.870892
1374300523409,-0.27058157,0.6869915,12.277313
1374320382993,-0.16471128,1.1000103,13.103665
1374340242578,0.38315913,0.3442077,12.447366
1374360102161,1.1058964,0.32857078,12.685474
1374379953768,0.46615064,-0.08120224,11.816951
1374399813225,0.23332997,-1.1252295,10.260161
1374419672680,0.31227913,-0.89274174,9.369151
1374439532264,1.954513,1.032552,11.918256
1374459391721,3.1558697,2.8127444,13.86525
1374479251176,1.4008884,2.5908203,12.806624
1374499111216,0.73692435,0.38609883,10.279308
1374518970545,2.018035,-1.2653161,7.2916903
1374538830000,3.017646,-0.9673454,5.974037
1374558689456,2.6981065,1.4905118,7.5126834
1374578548913,2.5063815,3.6469734,9.358988
1374598410032,1.4439954,3.156636,9.361177
1374618269488,-1.7973591,-0.9493418,6.8152857
1374638128945,-1.9531776,-0.20647985,6.9851856
1374657988400,-0.045868456,0.9899905,9.997539
1374677840822,-0.74501085,1.0049574,10.27696
1374697700023,0.66220856,0.96735597,10.012173
1374717559222,0.9430267,0.23061611,9.808301
1374737418550,0.8669996,-1.1419487,7.7230167
1374757277751,-0.25804406,-2.003914,7.4348674
1374777136950,-0.494684,-1.9988579,8.159455
1374796988158,-1.0639715,-1.8853282,8.287578
1374816847231,-3.8110178,-0.8946669,8.219061
1374836706174,-3.0289714,-0.85086656,7.213032
1374856565246,-1.8736871,0.42342693,7.143946
1374876424319,-1.6299436,0.8710107,7.694864
1374896285456,-0.1871087,-0.16691145,7.8285747
1374916144528,1.2067648,-0.19397137,8.152801
1374936003601,1.2887858,0.873216,8.953977
1374955862800,0.4260074,1.079296,10.109048
1374975723676,0.025243925,1.3426352,10.635231
1374995582749,0.012251641,1.9660722,9.630859
1375015441948,-0.26746732,2.0962162,9.154062
1375035301020,0.5250651,3.4857461,9.987058
1375055160093,1.296246,4.9267516,11.629959
1375075019164,0.49453264,4.625402,13.538936
1375094875566,-0.53542495,4.2845564,14.528417
1375114734511,-0.13189806,3.9118733,15.017241
1375134593582,0.54051167,1.1475208,13.568987
1375154452526,0.04376533,0.055309925,7.194666
1375174311599,1.9479572,-1.3035707,4.397174
1375194178362,2.0799963,-0.29605865,2.852173
1375214037434,2.6836262,0.28450966,3.1110146
1375233896634,-2.5135276,5.5294733,9.968977
1375253755706,-8.04941,7.132293,12.193198
1375273614906,-10.574175,2.4806983,6.40301
1375293475636,-1.3336502,-0.642117,5.4269443
1375313334836,1.6338887,-2.7311492,6.822087
1375333197685,-3.5547862,-1.9836447,5.311792
1375353056885,-5.3982205,1.5889874,4.8476586
1375372916085,-2.6632204,1.4421353,4.663805
1375392781880,-2.2251236,1.8570839,5.2044697
1375412641336,-1.1913455,3.5226943,5.839071
1375432500664,0.791307,3.2606041,7.5020933
1375452360120,2.39816,4.7526093,11.334846
1375472219448,4.12424,4.0437613,15.047359
1375492088016,3.6089299,4.0541787,13.947106
1375511947600,2.9974716,3.455476,13.998331
1375531807184,3.1262581,2.4716568,15.310863
1375551666768,6.599739,2.2458937,19.08217
1375571526352,15.639378,3.8695295,24.075848
1375591386454,10.466166,-2.7201574,24.748543
1375611246166,1.862885,-4.492301,19.236689
1375631105878,-1.9796667,-2.1215346,13.290829
1375650965462,-3.5861287,-1.7668548,11.633603
1375670825174,-1.0011636,-1.0201871,13.396649
1375690682064,-2.9065971,-1.006888,11.492561
1375710541648,-7.8544445,0.3048807,7.534741
