UPTIMENANO,P
1373351516181,997.6433
1373452157206,997.64844
1373549745729,997.64844
1373649043653,997.64844
1373750264654,997.6408
1373847700552,997.63904
1373946693226,997.6442
1374047639502,997.6529
1374145258549,997.64935
1374248829978,997.6563
1374346174300,997.64935
1374443365997,997.64935
1374542847072,997.6563
1374644098598,997.65106
1374741503971,997.64404
1374840832420,997.64233
1374942480772,997.63855
1375039489319,997.64404
1375138939868,997.6403
1375238207267,997.6368
1375337108366,997.6437
1375436043767,997.64874
1375534914341,997.65015
1375634090165,997.6546
1375732991264,997.65295
1375832106038,997.65985
1375931159762,997.6632
1376030213486,997.665
1376129297735,997.6649
1376228076734,997.6664
1376327496759,997.6681
1376426886258,997.6728
1376525817882,997.6762
1376624749506,997.6814
1376723620080,997.6865
1376822765379,997.68475
1376921788578,997.6865
1377020506527,997.6846
1377119377100,997.69336
1377218217149,997.702
1377317118248,997.7054
1377416232925,997.7017
1377515164549,997.698
1377613943548,997.6929
1377712844647,997.69794
1377811989946,997.7168
1377910982620,997.725
1378015072974,997.71796
1378109608994,997.7147
1378208387992,997.7044
1378307472242,997.70074
1378406281765,997.69586
1378505701790,997.6853
1378605121814,997.6853
1378703931338,997.6871
1378803259787,997.68695
1378902405087,997.6835
1379001611436,997.67285
1379100359909,997.6675
1379199718884,997.6554
1379299047333,997.64825
1379398307610,997.638
1379497666585,997.62897
1379596933984,997.62726
1379696201383,997.6236
1379795316157,997.6201
1379894858282,997.6149
1379993912006,997.6133
1380093576231,997.6167
1380192477330,997.6095
1380291195278,997.60925
1380390462678,997.6075
1380489730077,997.6021
1380589058526,997.60547
1380688295400,997.59296
1380787623850,997.59296
1380886708099,997.5913
1380985944973,997.586
1381085334472,997.586
1381184907122,997.58215
1381284021896,997.57874
1381381427269,997.58215
1381480226977,997.56976
1381580196452,997.5643
1381678853351,997.5678
1381778151275,997.56415
1381877113424,997.5589
1381976106098,997.555
1382075220872,997.5495
1382174274596,997.54785
1382273419896,997.54785
1382372656770,997.5425
1382471771544,997.542
1382570611593,997.542
1382669695842,997.53656
1382768719041,997.5438
1382867833815,997.543
1382966979114,997.53796
1383066093888,997.52576
1383164903412,997.5202
1383263865561,997.5268
1383362736135,997.5302
1383462365334,997.5267
1383561510634,997.52295
1383660533833,997.5226
1383759831757,997.52045
1383858885481,997.5167
1383957847630,997.5134
1384057695005,997.50586
1384156046653,997.5024
1384255375102,997.5002
1384355069852,997.4929
1384453909901,997.48773
1384552841525,997.4788
1384652261549,997.4766
1384751010023,997.4717
1384850277422,997.4714
1384950246897,997.4745
1385048415396,997.4692
1385147713320,997.4705
1385247865945,997.46515
1385345912343,997.4631
1385445171852,997.4524
1385546484429,997.44867
1385643706651,997.4555
1385742790900,997.4555
1385844134001,997.4429
1385941234123,997.4446
1386040470998,997.4446
1386142058299,997.4424
1386238792121,997.43365
1386337784795,997.42474
1386440135222,997.421
1386536289068,997.41766
1386635464893,997.4134
1386737265869,997.4044
1386834060741,997.4025
1386933022890,997.39874
1387036289068,997.3968
1387131649264,997.39636
1387230886138,997.398
1387333114465,997.39435
1387429451462,997.39954
1387528674946,997.3991
1387630262247,997.3885
1387727057119,997.39355
1387826324518,997.3882
1387928461271,997.37573
1388024676167,997.38226
1388124065666,997.36816
1388225042467,997.36816
1388322478365,997.36804
1388421806814,997.3591
1388523699366,997.3573
1388619975312,997.3605
1388719273236,997.3566
1388821623664,997.3513
1388917685935,997.34735
1389016983859,997.3474
1389116831234,997.3456
1389215121832,997.3418
1389314236606,997.34686
1389413351380,997.35
1389512576907,997.3481
1389611447481,997.346
1389710501205,997.34247
1389809432829,997.3354
1389908974953,997.32825
1390008089727,997.3279
1390107143451,997.3279
1390206044550,997.3313
1390304976174,997.3239
1390404487774,997.3239
1390504060423,997.3187
1390602869947,997.3167
1390702015246,997.3167
1390801007920,997.31287
1390900061644,997.30927
1390999115368,997.3001
1391098077517,997.30194
1391197222816,997.29645
1391296368116,997.2889
1391395635515,997.2872
1391494802705,997.28687
1391593856429,997.2906
1391693306978,997.2814
1391792391228,997.2794
1391891506002,997.28107
1391990773401,997.2788
1392089918700,997.2716
1392188972424,997.27496
1392288026148,997.26953
1392387263022,997.2693
1392486408322,997.2641
1392585614671,997.2571
1392684759970,997.2534
1392784210519,997.25684
1392882867418,997.2514
1392982043242,997.2509
1393082073767,997.24384
1393180486466,997.2349
1393279662290,997.2401
1393379143364,997.2381
1393477916247,997.23254
1393577092071,997.2291
1393677244696,997.22
1393775352145,997.22504
1393874466919,997.221
1393974802694,997.21747
1394072788042,997.2136
1394171841766,997.21204
1394272696467,997.21204
1394370132364,997.21686
1394469033463,997.21106
1394567995612,997.21576
1394667079861,997.22235
1394766042010,997.19617
1394864637859,997.18567
1394963233707,997.1892
1395061127480,997.19403
1395160822230,997.2042
1395259875954,997.2155
1395358868628,997.21045
1395457617102,997.1966
1395556643343,997.1913
1395655544442,997.1926
1395754292915,997.1872
1395853377165,997.1872
1395952614039,997.1765
1396051820388,997.1898
1396151057262,997.1984
1396250324661,997.2066
1396348767885,997.18567
1396447882659,997.1857
1396547180583,997.20087
1396646600608,997.2111
1396745959582,997.2126
1396845013306,997.2124
1396944341756,997.20184
1397043273379,997.1965
1397142143953,997.19995
1397241472403,997.20123
1397340739802,997.20776
1397440037726,997.216
1397539298810,997.2177
1397638657785,997.2143
1397738413585,997.22284
1397837558884,997.21606
1397941588188,997.2135
1398035880007,997.2135
1398134292705,997.2146
1398233743255,997.2146
1398332644354,997.2141
1398431942278,997.2156
1398531270727,997.2155
1398630538127,997.2136
1398729805526,997.2189
1398826814073,997.2146
1398925928847,997.2113
1399024677321,997.21295
1399123669995,997.2142
1399222632144,997.2194
1399321594293,997.2157
1399420464867,997.2153
1399519487700,997.2188
1399618755099,997.2256
1399717991973,997.2236
1399816923597,997.2287
1399916038371,997.2287
1400014878420,997.22864
1400113840569,997.22833
1400212833243,997.2245
1400311612242,997.23145
1400411093316,997.226
1400509841790,997.22394
1400608834464,997.2168
1400707674513,997.21857
1400806697712,997.2165
1400905568286,997.20917
1401004469385,997.20746
1401103339959,997.2126
1401202149482,997.2143
1401301111631,997.2157
1401400073780,997.2051
1401500702869,997.2031
1401598596642,997.20483
1401697345116,997.2015
1401795971489,997.2029
1401894842063,997.1959
1401993621062,997.19727
1402092461111,997.19904
1402191423260,997.1952
1402292491636,997.19354
1402389622283,997.18964
1402488920207,997.1862
1402588157081,997.1822
1402687363431,997.18396
1402786722405,997.17883
1402885959279,997.17883
1402985287728,997.1577
1403084524603,997.1611
1403183822527,997.1486
1403283181501,997.1486
1403382448901,997.1518
1403481807875,997.1432
1403580923704,997.13965
