UPTIMENANO,Ax,Ay,Az
1373367116138,-0.10538086,4.718189,5.269043
1373386975723,-0.34009278,4.9409256,7.1203933
1373406835306,0.38559815,5.029541,9.127419
1373426694890,0.80233157,4.88105,9.012459
1373446554475,0.6682105,5.010381,8.004155
1373466414058,-0.244292,6.3060865,6.6270194
1373486275093,0.11496094,4.9624805,5.489385
1373506134678,1.5495777,4.9241605,5.271438
1373525994389,1.84177,5.6282964,6.016289
1373545853973,1.2046949,5.853428,7.074888
1373565713686,1.5352076,5.46304,7.592212
1373585580926,2.2465284,5.5803957,7.2760696
1373605440766,1.575923,5.9564137,7.197034
1373625300607,0.9053174,5.9635987,7.201824
1373645160446,0.119750984,6.212681,6.816226
1373665022251,0.21076173,6.69408,7.151529
1373684882092,1.9112257,6.935977,7.3622904
1373704742059,2.914739,7.168294,6.976692
1373724601899,2.2129982,7.065308,7.2760696
1373744461868,2.699187,7.0245924,8.830438
1373764321707,2.7638526,7.2928348,9.127419
1373784189081,3.0943654,7.4269557,9.237591
1373804049178,3.9541774,7.4509063,10.265054
1373823909273,3.9948928,7.201824,8.732242
1373843769369,3.5925295,6.485713,6.0833497
1373863629466,4.263135,5.855823,7.9969707
1373883488817,6.6126494,5.1732426,9.992022
1373903348913,8.049661,4.3254056,9.608819
1373923209010,6.0617948,4.974456,5.8127127
1373943068977,4.2799,5.654641,2.6464968
1373962924916,2.9817994,5.982759,2.203418
1373982784885,1.9399658,5.8821683,3.539839
1374002644852,0.7185059,5.400769,6.7611403
1374022504948,-0.68018556,5.3049684,9.029224
1374042364917,-1.5399976,5.7648125,9.551338
1374062224884,-0.28740236,4.655918,9.19448
1374082077983,0.8909473,3.8272414,9.12263
1374101937824,0.4263135,4.1002736,6.7539554
1374121797791,-0.15328126,4.296665,4.4475513
1374141657631,0.73048097,5.039121,5.958809
1374161517600,1.6022681,7.175479,7.5179667
1374181366460,3.4895437,6.368357,6.947952
1374201226172,4.112249,6.085745,6.344407
1374221085885,1.7531544,5.9707837,7.9873905
1374240945468,1.7028589,5.968389,8.789722
1374260805180,3.9182522,6.5144534,8.746612
1374280664765,4.2248144,6.6294146,7.6041875
1374300523409,4.3134303,6.4976883,9.510623
1374320382993,4.7062135,6.6102543,10.34888
1374340242578,3.66438,6.638994,9.884246
1374360102161,3.1614258,6.581514,10.437495
1374379953768,3.1542408,6.686895,9.230406
1374399813225,2.3471193,6.67013,7.5227566
1374419672680,2.1219873,6.191126,6.7707205
1374439532264,2.5291407,6.0282645,10.207574
1374459391721,3.06323,5.582791,13.021722
1374479251176,3.5542092,5.5492606,11.369158
