UPTIMENANO,Gx,Gy,Gz
1373337324638,0.6517982,-0.16983369,0.2625653
1373347254367,0.5458044,-0.36317918,0.16509363
1373357184096,0.3189031,-0.5751668,0.05963244
1373367116138,0.053652223,-0.8026008,-0.010675012
1373377045867,-0.15300909,-1.015121,-0.04103505
1373386975724,-0.2611334,-1.1935527,-0.06979719
1373396905450,-0.2542092,-1.3347003,-0.109211974
1373406835307,-0.1450196,-1.3810393,-0.16673625
1373416765036,0.01477007,-1.3325698,-0.23118475
1373426694890,0.18095133,-1.2516097,-0.26900166
1373436624619,0.30558726,-1.2244455,-0.27592587
1373446554476,0.38494948,-1.2606645,-0.29350275
1373456484330,0.4414085,-1.2963508,-0.25781637
1373466414059,0.37429684,-1.5051426,-0.011207645
1373476343916,0.2203661,-1.7698609,0.1613652
1373486275093,0.11916599,-1.7485555,0.13260306
1373496204950,0.049923796,-1.5402963,0.13420096
1373506134679,0.008911116,-1.2350981,0.1118304
1373516064533,-0.016122598,-1.0305673,0.064958766
1373525994390,-0.06565739,-1.0870264,-0.021860288
1373535924247,-0.13969328,-1.3070034,-0.09110248
1373545853973,-0.17591228,-1.478511,-0.12519094
1373555783830,-0.11838798,-1.4651952,-0.18591101
1373565713687,-0.010263644,-1.3240477,-0.2663385
1373575650942,0.07495751,-1.2558707,-0.39949656
1373585580927,0.104252286,-1.2382939,-0.5331872
1373595510784,0.1127744,-1.2707845,-0.5912441
1373605440766,0.096262805,-1.3560055,-0.6274631
1373615370623,0.07495751,-1.4066056,-0.6455726
1373625300608,0.05578275,-1.3789088,-0.6253326
1373635230462,0.02169429,-1.3746477,-0.5560904
1373645160447,-0.021981554,-1.3996814,-0.44370502
1373655090432,-0.0310363,-1.3565382,-0.30255747
1373665022251,0.0046500578,-1.2611971,-0.16993204
1373674952108,0.067500666,-1.2095318,-0.08364563
1373684882093,0.10585018,-1.1701169,-0.08204773
1373694812075,0.09892596,-1.1024727,-0.14383306
1373704742060,0.044597473,-1.0902221,-0.21946684
1373714671917,-0.06352686,-1.1626601,-0.26047954
1373724601899,-0.19348913,-1.2494792,-0.24769635
1373734531884,-0.27178606,-1.1120601,-0.21147735
1373744461869,-0.22278391,-0.80047023,-0.20668367
1373754391851,-0.13703012,-0.7583923,-0.22585842
1373764321708,-0.09335427,-0.6508006,-0.18484575
1373774251693,-0.072048984,-0.60552686,-0.12572357
1373784189081,0.007313219,-0.64760476,-0.087374054
1373794119066,0.1905387,-0.71098804,-0.10548355
1373804049179,0.44087586,-0.8308303,-0.15981203
1373813979161,0.6432761,-1.0587968,-0.21946684
1373823909274,0.7034635,-1.43377,-0.2833827
