UPTIMENANO,Ax,Ay,Az
2127171448083,-1.0467808,-0.5217924,8.927267
2127191305236,-0.9627018,-1.0447607,9.5259495
2127211162515,-0.7127454,-1.8958849,10.372449
2127231019667,-0.4023731,-1.879147,10.890345
2127250876948,-0.3262368,-1.3183116,10.846109
2127270734099,-0.16242442,-1.0248326,10.981408
2127290586905,-0.049007136,-0.8596414,11.44138
2127310444058,-0.2526736,-0.5239922,11.825285
2127330301209,-0.6023446,-0.45153677,11.587335
2127350158361,-0.91714007,-0.49652123,11.373821
2127370015514,-0.91922915,-0.23572104,11.027118
2127389877169,-0.2807378,-0.4278152,10.923156
2127409734449,0.35441235,-0.94897914,11.346445
2127429591730,0.48781285,-1.2056694,11.218996
2127449449009,0.15032683,-0.9349979,10.104698
2127469310995,0.28691703,-0.5311648,9.702848
2127489168532,0.8944253,-0.2969563,10.366965
2127509025939,1.1447291,-0.31534556,10.552497
2127528883347,0.9744556,-0.032713506,9.940769
2127548740756,0.3071015,0.91335213,8.654555
2127568598163,-0.07361921,1.4435866,7.622493
2127588454224,-0.5193005,2.07048,6.7774544
2127608311633,-0.7980556,1.5211725,6.7049193
2127628168912,-0.93927425,0.5578103,7.074962
2127648026320,-0.4300011,0.2938986,7.4042287
2127667883729,0.49751946,-1.1579872,8.803791
2127687743684,0.90446204,-1.7013024,10.322306
2127707601092,-0.390267,-0.18552473,8.752444
2127727458501,-0.2777667,0.401206,8.732461
2127747316036,0.588449,0.33750162,10.302198
2127767180506,0.3571687,0.0046276166,10.701588
2127787038043,-0.682826,0.436477,9.54546
2127806895578,-1.1143363,0.68092436,8.993043
2127826753114,-0.832046,0.23615868,9.618822
2127846610779,-0.78523004,-0.31636986,10.051532
2127866468314,-0.9166083,-0.35359827,10.167771
2127886330776,-1.3231215,-0.41660565,10.013986
2127906188441,-1.383391,-0.55370146,10.062369
2127926046104,-0.9334677,-0.21673843,10.462473
2127945903768,-0.61899996,-0.10449969,10.611947
2127965761433,-0.34322107,-0.28206244,10.868032
2127985621298,-0.010987559,0.0139031075,11.21013
2128005479090,-0.40643227,-0.06537893,10.860465
2128025336755,-1.0217202,-0.32552075,10.618579
2128045194546,-1.3237847,0.10829798,10.259896
2128065052210,-1.1347436,0.111777924,10.685286
2128084910003,-1.0527748,0.03324009,11.115453
2128104769795,-0.45013666,0.72685796,11.3918085
2128124627715,0.006482703,0.9370397,11.516259
2128144485508,0.23713677,0.6480888,11.330578
2128164343427,-0.79325867,0.05582361,9.462601
2128184194728,0.21793155,-0.106179036,10.063151
2128204052521,2.1468203,0.054051943,11.97814
2128223910184,1.9338591,0.16981646,11.293579
2128243767848,0.827699,-0.060296778,9.743705
2128263625513,0.13669625,-0.2753064,8.836635
2128283473624,-0.18276638,-0.48222044,8.360453
2128303331160,-0.6878451,-0.36144033,7.820732
2128323188697,-0.03347723,0.575888,8.5488405
2128343046232,1.8972328,1.0870793,10.290197
2128362903640,2.1486294,1.6648414,10.373674
2128382761177,1.0758977,1.7392881,9.217313
2128402611918,-0.0724418,1.3587341,8.082412
2128422469326,-1.0078948,0.8284339,7.3775606
2128442326735,-1.1692392,0.41788158,7.5852547
2128462184014,-0.45510405,-0.18916975,8.565468
2128482045039,-0.06977153,-0.6336665,9.180349
2128501902448,-0.10175861,-0.19716577,8.66272
2128521759983,-0.97100234,-0.5966362,7.707568
2128541617391,-1.12903,-0.8651321,7.585686
2128561474800,0.27870607,-0.9654281,8.52419
2128581330659,1.2877625,-0.84493035,9.26904
2128601188067,0.82670283,-0.63033634,9.64971
2128621045476,0.96818227,-0.29255062,8.8587
2128640902883,1.1852399,0.0012128793,9.065765
2128660767773,2.617863,-0.3386643,10.478004
2128680625182,3.4490554,-0.46141464,11.120211
2128700479200,2.0909274,-1.7565522,12.082225
2128720336608,0.75072455,-2.1135654,11.359001
2128740193889,0.5915442,-1.3453968,10.130881
2128760051296,0.44648233,-0.46166024,9.271215
2128779907826,-0.23869823,0.1084572,8.416644
2128799765235,-0.20686495,0.9069427,9.576479
2128819622514,0.45607555,0.6128897,10.560469
2128839479922,1.8823004,-0.3460796,10.990686
2128859337203,2.3041463,-1.2591723,10.995283
2128879194610,0.62327206,-2.1503305,13.133087
2128899044972,0.2920877,-1.5828661,13.025965
2128918901997,0.4249724,-1.4273297,11.887289
2128938759148,0.74601704,0.7183265,10.590113
2128958616300,1.8327136,2.14147,8.949358
2128978473453,1.9229797,2.1572437,7.3016214
2128998336053,1.3645861,1.7110825,6.872681
2129018193205,0.577203,0.6594107,7.30733
2129038050358,0.425056,-0.23585077,7.3457274
2129057907637,0.3076169,-0.86646324,7.7649875
2129077764246,1.0081267,-1.0147412,8.9423685
2129097621399,2.6441941,-1.0919741,9.526866
2129117478550,3.603503,-0.6901392,10.0563135
2129137335830,3.7913396,-0.41592482,10.382127
2129157192983,3.6595395,-0.5647531,10.637779
2129177050134,2.7111678,-0.36317775,10.571679
2129196909127,2.0531511,-0.31866834,10.610835
2129216766280,1.6533103,-0.36340022,11.062434
2129236623431,0.32071564,-0.4936685,10.956178
2129256480583,-3.059118,-2.6587567,6.549961
2129276337736,-4.7575874,-4.0123663,-1.1939347
2129296191772,5.5848384,5.0137067,14.602818
2129316048796,-2.8728724,-3.7010596,13.860467
2129335905948,-3.1858773,-3.1695492,9.6697235
2129355762972,1.6326315,0.18093579,11.702728
2129375619996,2.07606,-0.69281787,12.010829
2129395483321,1.5644922,-0.6436377,9.668544
2129415340601,1.8828243,-0.37587893,9.276283
2129435197881,1.977594,-0.7581349,10.947085
2129455055161,1.246965,-0.51216924,11.864343
2129474912441,-3.2416666,0.004433776,10.690943
2129494775987,-0.9096732,0.8589317,8.780074
2129514633395,1.4488461,0.657878,9.11543
2129534490803,0.618499,1.4796587,7.823468
2129554348211,0.9026609,4.720187,6.3142614
2129574205619,2.293558,3.903132,3.554958
2129594062442,1.7060077,2.0093622,4.41434
2129613919979,3.3665428,2.416081,6.214175
2129633777386,3.3363597,1.7591231,6.016945
2129653634922,4.3047757,0.9322496,5.6817923
2129673492330,5.67337,-0.67986596,6.797758
2129693349738,7.0876412,-0.94145143,7.847667
2129713186137,9.22275,-0.64058,8.514576
2129733043161,11.064076,-0.22813506,10.478867
2129752900313,7.055056,-1.8229368,10.665683
2129772757337,4.543561,-4.1623793,10.779891
2129792614489,4.4789753,-5.067082,12.444116
2129812468569,2.9011176,-3.6377828,10.70899
2129832325593,3.0976098,-2.3473265,8.707297
2129852182617,6.154327,-5.549982,12.2433815
2129872039641,3.0650296,-6.387892,16.08616
2129891896665,0.78292537,-3.4707332,15.538219
2129911758242,0.5134529,-3.8719852,14.904662
2129931615266,0.16645122,-4.6041913,14.297752
2129951472418,-0.3462711,-4.0374866,13.953268
2129971329442,-0.9449973,-3.4340272,13.746165
2129991186466,-1.9778941,-3.0253787,13.546624
2130011033695,-2.8679943,-2.7301354,13.2701025
2130030890591,-3.3163185,-2.1387694,12.631914
2130050747359,-3.6488805,-1.6771168,12.309175
2130070604127,-4.00948,-1.2713847,13.568908
2130090460895,-1.329687,2.0394866,12.921559
2130110327403,0.0781425,2.4417827,12.249308
2130130184427,-4.4031496,-0.8475297,12.276588
2130150041451,-2.3569646,5.148148,12.239429
2130169898475,0.5866787,5.3788543,12.255245
2130189755499,1.0185587,1.9986581,10.736431
2130209593317,-5.7658763,-3.432229,14.883802
2130229449829,-5.939487,-4.0093594,13.693039
2130249306469,-2.9002762,-0.6763482,12.394968
2130269163109,-1.504319,-1.2766212,9.214914
2130289019749,2.2028022,2.8877273,5.8875556
2130308881119,5.5051513,3.0633264,6.0370727
2130328737887,5.391281,1.1405019,7.4706626
2130348594527,3.2020252,-1.1284801,8.960927
2130368451167,1.4312538,0.5467678,10.591239
2130388307807,-5.2591934,-2.27625,10.763581
2130408178359,-6.153859,-1.0911695,9.70319
2130428035255,-3.9896574,1.0246207,8.175343
2130447892151,-3.1981936,1.9338523,6.560379
2130467749047,-0.9368906,2.449041,4.751219
2130487605943,1.1663046,2.439285,3.653731
2130507465118,1.1347525,2.949001,3.7094576
2130527322014,0.20774885,3.0526235,5.419751
2130547178910,-1.2135073,3.0624802,7.9681063
2130567035806,-2.7502513,2.9315023,11.754656
2130586892702,-2.9372923,-0.20236939,10.201192
2130606756894,-1.74221,0.73926586,8.317718
2130626614046,0.4935439,0.9074929,7.7333503
2130646471070,3.3748682,0.8832871,10.148504
2130666328222,2.5293872,1.3268206,11.685125
2130686191929,1.7402714,-1.3606433,10.53608
2130706054329,3.9361508,-3.3473818,11.10194
2130725911481,3.1081216,-5.9308915,14.776612
2130745768761,3.7842462,-4.8578696,14.621614
2130765625913,4.2046423,-3.0234694,13.233502
2130785483193,3.4196873,-2.5019138,13.768173
2130805340925,3.7845156,-2.4116168,11.8236265
2130825198205,3.4167144,-1.2066032,9.664501
2130845055485,1.1942021,0.015280383,7.378941
2130864912765,-1.8620818,0.07136863,6.285656
2130884770045,-3.5159166,0.6050084,7.250695
2130904634745,-4.624357,1.4440094,7.5718546
2130924492153,-7.0014195,1.6565992,8.274859
2130944349561,-5.73518,3.9506612,8.582127
2130964206969,-4.2971873,5.1176023,8.01431
2130984064505,-2.2452798,5.4565244,8.521719
2131003929300,-1.7568746,4.498984,9.876192
2131023786964,-1.1581919,3.4978783,9.609807
2131043644500,-0.49721697,2.834717,10.195807
2131063502164,-1.6654975,1.5706383,11.169114
2131083359828,-0.2504943,-1.2718421,11.220359
2131103227653,-0.28916082,-5.2906275,14.88146
2131123085701,1.5896147,-6.221157,16.440626
2131142943621,11.086777,-1.6316108,11.565959
2131162801541,12.391786,0.6841313,9.668512
2131182659461,3.945718,-1.8993963,12.78149
2131202518719,-6.1000986,0.22902878,15.081752
2131222376767,-0.32370278,-9.614519,12.549618
2131242234815,8.857692,-3.6317146,9.58405
2131262092863,5.479133,1.3969157,8.640141
2131281950911,0.37352768,-2.479171,8.183323
2131301803439,2.5420947,0.40996635,4.0736775
2131321661231,-3.922541,2.5892885,-0.69733936
2131341519151,-4.460239,2.4970696,2.8798244
2131361376943,-2.2864246,1.0603732,1.7756432
2131381234735,-2.1694,-0.5803269,3.6594975
2131401092295,-3.4808056,-0.72771317,6.2029943
2131420950087,-5.0058966,-1.359295,9.045718
2131440807879,-4.29004,-2.5487494,11.416169
2131460665799,-2.7872052,-2.204029,13.641059
2131480523591,-0.06694434,-1.8505143,11.1410475
2131500381383,0.14371872,-2.9818933,9.447597
2131520252437,0.5648979,-3.1110222,10.313019
2131540110613,2.226194,-1.7403475,9.891415
2131559968789,6.3173327,-1.2639928,8.081655
2131579826965,4.053149,-0.47624156,11.48552
2131599685141,4.723023,0.0047540637,11.167243
2131619527505,4.588894,-0.55063355,16.11969
2131639385297,1.469783,-0.24245267,15.744675
2131659243217,-3.6038413,-1.0184822,16.433237
2131679101009,-5.2118425,-1.3306158,13.968724
2131698958929,-1.1162548,-1.2793007,11.175368
2131718827869,0.99860024,-0.9781396,10.301455
2131738686045,-0.6446564,-0.5582291,10.840013
2131758544093,1.9720267,-0.90216386,10.141366
2131778402269,0.22367547,0.54728645,11.451929
2131798260445,-0.19612318,-0.08559308,11.075915
2131818093760,1.2051188,-1.0372033,8.699369
2131837951296,1.579714,-1.4830374,8.225098
2131857808704,-1.280585,1.5486344,7.880852
2131877666240,-1.5746292,0.3326454,10.540107
2131897523776,-1.3105427,-1.5604546,11.772903
2131917387761,0.45352903,-2.929141,8.098447
2131937245425,-0.07858161,-4.653968,7.918987
2131957102961,-3.232943,-3.6380296,8.375985
2131976960625,-4.199908,-1.5728841,8.803331
2131996818161,-3.1565735,1.3658935,8.476558
2132016683372,-1.3744836,1.4221895,8.667902
2132036541164,0.039807558,0.28705913,9.660939
2132056398956,-0.19549736,1.4043604,8.818401
2132076256876,-1.6940973,2.789785,8.415866
2132096114668,0.23619103,-1.0517621,9.444469
2132115974915,0.25397915,-2.9937685,9.482714
2132135832707,-0.7452733,-4.120632,9.5522
2132155690627,-0.13346063,-4.9004726,10.84144
2132175548419,1.370108,-3.455973,11.408706
2132195406339,2.6778333,-1.6569041,10.841041
2132215258353,2.1618996,0.32350266,10.38058
2132235116145,1.8057313,1.6999388,10.306533
2132254973809,2.6655009,0.34332156,10.3770485
2132274831601,4.3115106,-0.58259964,10.365267
2132294689393,2.8053217,2.0421073,9.534649
2132314541644,1.1352417,3.0393372,9.461427
2132334399308,1.0714707,-1.429539,9.59244
2132354256972,-0.18187429,-1.6676035,9.94639
2132374114508,-0.8276422,-0.20392396,10.020629
2132393972172,-0.888152,0.484114,9.98688
2132413822052,-0.6849114,-0.26719874,9.828416
2132433679460,-0.39439276,-1.4255899,9.566007
2132453536868,-0.006405212,-1.5465491,9.631406
2132473394276,-0.2243351,-0.5278597,9.654903
2132493251684,-0.3743279,0.43841624,9.739147
2132513107897,-0.42281607,0.017646365,9.665463
2132532965305,-0.534046,-0.64069843,9.66379
2132552822713,-0.567723,-0.70576245,9.769505
2132572680121,-0.50258434,-0.42982575,9.784789
2132592537529,-0.448899,-0.1403781,9.744312
2132612388805,-0.5024329,-0.07554847,9.668503
2132632246085,-0.5087978,-0.13445976,9.657685
2132652103365,-0.5236225,-0.2064166,9.668637
2132671960645,-0.55274945,-0.24534018,9.693769
2132691822480,-0.51813525,-0.2699627,9.656703
2132711684909,-0.3960693,-0.24996755,9.669971
2132731542317,-0.29074425,-0.18013062,9.73918
2132751399725,-0.22018382,-0.20700552,9.763902
2132771257133,-0.23630993,-0.3149478,9.730188
2132791114413,-0.20015478,-0.33726305,9.707726
2132810967883,-0.16122161,-0.31474048,9.663798
2132830825035,-0.1425133,-0.3910175,9.672295
2132850682315,-0.14745891,-0.4386174,9.648927
2132870539595,-0.16173592,-0.4515015,9.637324
2132890396875,-0.15443705,-0.47060096,9.713257
2132910256977,-0.11508805,-0.53149194,9.758028
2132930114257,-0.055196777,-0.5695173,9.747165
2132949971665,-0.001277363,-0.5114044,9.766892
2132969828945,0.0030457845,-0.45897543,9.838905
2132989686225,0.028540015,-0.46456277,9.827945
2133009547297,0.105573386,-0.4279988,9.764689
2133029404705,0.1598888,-0.43236682,9.729888
2133049262113,0.16875532,-0.3938271,9.721949
2133069119393,0.07147442,-0.39567512,9.740518
2133088976801,-0.10003713,-0.36999542,9.742287
2133108837591,-0.20426606,-0.37351453,9.697303
2133128695127,-0.18782508,-0.4406611,9.767361
2133148552663,-0.14220633,-0.376424,9.791169
2133168410199,-0.073312655,-0.24899617,9.758202
2133188267735,-0.06596325,-0.1439224,9.735989
2133208122863,-0.090072684,-0.12992664,9.726769
2133227980143,-0.14020447,-0.21609376,9.736442
2133247837551,-0.14555782,-0.29455945,9.730641
2133267694959,-0.13531362,-0.30214828,9.7441
2133287552367,-0.10470027,-0.32396486,9.737165
2133307412213,-0.061704807,-0.27176428,9.746423
2133327269749,-2.32845E-4,-0.26234308,9.791371
2133347127285,0.12496118,-0.26406035,9.797712
2133366984693,0.2059367,-0.37597996,9.768581
2133386842229,0.1955787,-0.403429,9.713932
2133406692542,0.109882146,-0.41335157,9.702208
2133426549822,-0.020070422,-0.4314011,9.748569
2133446407102,-0.1648897,-0.39250344,9.752409
2133466264382,-0.38300374,-0.3794285,9.690317
2133486121662,-0.6021482,-0.26614702,9.67338
2133505987103,-0.8059763,-0.12452299,9.641149
2133525844639,-0.84891623,-0.11197301,9.653928
2133545702047,-0.7800222,-0.11808944,9.713121
2133565559583,-0.6324279,-0.1676987,9.752123
2133585416991,-0.41477287,-0.08655612,9.750611
2133605277701,-0.2842962,-0.028453052,9.746089
2133625135237,-0.24383076,-0.09787898,9.751844
2133644992773,-0.20596258,-0.1605993,9.722913
2133664850309,-0.16738392,-0.26443923,9.718771
2133684707845,-0.057957657,-0.38326007,9.7102375
2133704579692,0.025077393,-0.42335647,9.740229
2133724437612,0.07760305,-0.40242028,9.714741
2133744295532,0.106567025,-0.38045356,9.70277
2133764153452,0.074553184,-0.35226485,9.713419
2133784011372,-8.2740595E-4,-0.30582392,9.729307
2133803866768,-0.08746077,-0.30610996,9.77708
2133823724688,-0.10157557,-0.3251236,9.778066
2133843582608,-0.07331744,-0.31232873,9.769299
2133863440400,-0.0074243955,-0.32745683,9.778688
2133883298320,0.047798075,-0.28907534,9.776851
2133903160359,0.12669782,-0.25193024,9.789344
2133923018279,0.22073983,-0.30046484,9.781507
2133942876199,0.20734902,-0.34136313,9.728625
2133962734247,0.18683697,-0.39607173,9.704401
2133982592167,0.07999662,-0.36739224,9.728283
2134002455871,-0.09225572,-0.38292196,9.734848
2134022314047,-0.18952477,-0.35366803,9.753608
2134042172095,-0.32998267,-0.25846925,9.698555
2134062030143,-0.45259708,-0.26062086,9.678683
2134081888191,-0.5290256,-0.33756423,9.70419
2134101746367,-0.52071035,-0.30852762,9.696998
2134121601117,-0.50668484,-0.22321178,9.711099
2134141459165,-0.51956576,-0.23924848,9.699656
2134161317213,-0.46877277,-0.27168956,9.701669
2134181175261,-0.43514025,-0.2381228,9.697456
2134201033309,-0.42146248,-0.16671333,9.686692
2134220880038,-0.47249383,-0.1651329,9.692352
2134240737830,-0.44295448,-0.19636893,9.674674
2134260595622,-0.35243365,-0.24010272,9.698009
2134280453414,-0.24510978,-0.20359941,9.689466
2134300311206,-0.17531525,-0.13996306,9.682024
2134320159872,-0.14420754,-0.11432983,9.692452
2134340017536,-0.16084172,-0.063261986,9.712631
2134359875200,-0.25662583,-0.06859492,9.740736
2134379732864,-0.25306374,-0.056651358,9.714528
2134399590528,-0.27526745,-0.04867963,9.696949
2134419439439,-0.28708375,-0.15333614,9.7666
2134439296975,-0.23021367,-0.07952013,9.767661
2134459154383,-0.1777223,-0.005488851,9.746137
2134479011919,-0.21446966,-0.06745176,9.757468
2134498869327,-0.14181584,-0.07484403,9.784692
2134518726491,-0.104637936,-0.059456374,9.782008
2134538583899,-0.12963556,-0.07310718,9.764363
2134558441307,-0.20379584,-0.0929351,9.730356
2134578298715,-0.24778709,-0.13300942,9.723211
2134598156251,-0.24764678,-0.17129925,9.744018
2134618013817,-0.20251477,-0.22580725,9.793388
2134637871353,-0.11981287,-0.1437609,9.75136
2134657728761,-0.09551738,-0.10187596,9.726574
2134677586169,-0.12679721,-0.140694,9.735575
2134697443705,-0.17181972,-0.2367924,9.778715
2134717289857,-0.20893145,-0.31276107,9.819907
2134737147265,-0.17559382,-0.26406056,9.776775
2134757004545,-0.14876032,-0.15961184,9.735454
2134776861953,-0.18910912,-0.15737076,9.758651
2134796719361,-0.21638103,-0.2710231,9.700928
2134816571806,-0.21335252,-0.3678326,9.675791
2134836429086,-0.21379843,-0.38323796,9.731117
2134856286238,-0.18287611,-0.31680125,9.751737
2134876143518,-0.11506812,-0.32719406,9.734558
2134896000798,-0.03739262,-0.36533195,9.748552
2134915851190,-3.6575983E-4,-0.30825418,9.725012
