UPTIMENANO,P
2127177742509,998.30414
2127277070958,998.3012
2127376429933,998.29803
2127475575232,998.28784
2127574751056,998.2827
2127674354231,998.27496
2127773133229,998.2733
2127872400629,998.2682
2127972217478,998.27405
2128070721752,998.269
2128169867051,998.25867
2128270080726,998.25726
2128368401850,998.25226
2128467882924,998.25433
2128567608199,998.25464
2128666265097,998.25336
2128765753654,998.2482
2128866150479,998.24023
2128964624228,998.2334
2129063922152,998.23553
2129163922152,998.23413
2129262823251,998.23413
2129362212750,998.23956
2129461327525,998.2417
2129560472824,998.23816
2129659648648,998.2417
2129758732897,998.2468
2129857847671,998.249
2129957023495,998.2685
2130056229844,998.27527
2130160075998,998.27875
2130255253043,998.2769
2130353665742,998.2807
2130453574167,998.2829
2130552139490,998.2846
2130651681615,998.29193
2130750925172,998.3008
2130850131521,998.29926
2130949276820,998.2924
2131048757895,998.2998
2131147994769,998.3017
2131247811619,998.3005
2131346499043,998.3005
2131445735917,998.30225
2131544942266,998.3128
2131644240190,998.3145
2131742622364,998.29956
2131841920288,998.30255
2131941187687,998.3029
2132040485612,998.31195
2132139814061,998.31537
2132238959360,998.3282
2132338928835,998.3212
2132437311008,998.3229
2132536822608,998.32477
2132635357407,998.3282
2132734537786,998.3317
2132833805185,998.33014
2132932919959,998.3372
2133032156833,998.3372
2133131637908,998.33905
2133230752682,998.33563
2133328402255,998.3407
2133426631803,998.3446
2133526234977,998.3429
2133625655002,998.35
2133727333879,998.3466
2133824159275,998.35046
2133923029849,998.35046
2134026753903,998.3541
2134121167822,998.34906
2134220343647,998.3541
2134319458421,998.34906
2134418695295,998.34607
2134517565869,998.3461
2134616650118,998.34796
2134715603876,998.3461
2134814627075,998.3461
2134913589224,998.3428
2135012765048,998.34296
2135111849297,998.34125
2135210750396,998.3433
2135309620970,998.3433
2135408430494,998.33655
2135507484218,998.33655
2135606202166,998.3298
2135705103265,998.32635
2135803912789,998.3281
2135902844413,998.33356
2136001623412,998.33527
2136100585561,998.3406
2136199425610,998.3441
2136298387759,998.3459
2136397624633,998.3424
2136497258332,998.339
2136596006806,998.3374
2136694938430,998.3288
2136793831919,998.3288
2136892885643,998.3305
2136991817267,998.3305
2137090748891,998.3305
2137189802615,998.3254
2137288947914,998.3254
2137389283689,998.3305
2137487269037,998.33563
2137587482713,998.33563
2137685773311,998.33215
2137784735460,998.33215
2137883972334,998.3305
2137983209208,998.33386
2138082293457,998.33563
2138181438757,998.33386
2138280706156,998.339
2138379943030,998.339
2138479088329,998.3424
2138578264153,998.3407
2138677104202,998.34796
2138776337926,998.3497
2138875635850,998.3509
2138975055874,998.3493
2139074048548,998.3493
2139172644397,998.35266
2139272186521,998.3561
2139371728646,998.3578
2139470873945,998.36456
2139570019244,998.36975
2139669225593,998.3697
2139768248792,998.3748
2139867516192,998.3765
2139966783591,998.3762
2140065928890,998.3745
2140165043664,998.3728
2140264372114,998.3697
2140363547938,998.36206
2140462693237,998.36597
2140561869061,998.36255
2140661014360,998.3571
2140760312285,998.3609
2140859634948,998.3558
2140958658147,998.35187
2141058230796,998.3502
2141157284520,998.34686
2141260428599,998.3416
2141356521395,998.3383
2141455178293,998.3332
2141554262542,998.32764
2141653346792,998.3293
2141752461566,998.3383
2141851790015,998.3416
2141951118464,998.3361
2142050050088,998.3396
2142149134337,998.3396
2142248584887,998.3396
2142347241785,998.34296
2142446783910,998.336
2142547089160,998.33936
2142645288183,998.3444
2142744555583,998.341
2142845319641,998.3341
2142943274463,998.3358
2143042236612,998.34045
2143143060788,998.34216
2143240679836,998.33716
2143339977760,998.34015
2143440008285,998.34393
2143538390459,998.34015
2143637535758,998.34357
2143737444183,998.3449
2143836131606,998.3466
2143935337956,998.35
2144035429531,998.35016
2144133506454,998.357
2144232926478,998.36035
2144333231728,998.362
2144431552852,998.362
2144530698151,998.3637
2144631094976,998.36
2144729293999,998.3615
2144828378249,998.3615
2144928741401,998.36676
2145026848849,998.3736
2145126055198,998.36456
2145226543599,998.36285
2145324559472,998.36456
2145423826871,998.3612
2145525810998,998.3595
2145622239569,998.3576
2145721812219,998.3595
2145822605870,998.3662
2145920408068,998.37305
2146019705992,998.37476
2146120835418,998.3798
2146218149215,998.3781
2146317386090,998.3812
2146418118690,998.388
2146515981938,998.3896
2146615157762,998.3894
2146716042988,998.38727
2146813631511,998.3853
2146912897052,998.39075
2147013843328,998.39246
2147111218175,998.39246
2147210424525,998.387
2147311553951,998.38873
2147408654073,998.38354
2147507951997,998.3785
2147609295098,998.38196
2147706608896,998.387
2147805815245,998.39215
