UPTIMENANO,Ax,Ay,Az
2127141407484,-0.343705,-0.98738617,0.028279535
2127161407484,-0.8650533,-0.8088916,-0.65909135
2127181407485,-0.9915603,-0.85953104,-0.58442104
2127201407484,-0.82537085,-1.4956754,0.1496272
2127221407484,-0.5730792,-1.8638941,0.83166546
2127241407485,-0.33504066,-1.6160995,1.0569664
2127261407484,-0.19980966,-1.2723935,1.0996491
2127281407484,-0.081533425,-1.1425626,1.3883297
2127301407485,-0.10191128,-0.9914023,1.8220333
2127321407484,-0.36913761,-0.8107911,1.8698372
2127341407484,-0.658404,-0.77198184,1.6464671
2127361407485,-0.72641945,-0.7225661,1.3669662
2127381407484,-0.3893758,-0.6532772,1.1562477
2127401407484,0.18286262,-0.9245425,1.3414514
2127421407485,0.54570764,-1.3214537,1.436139
2127441407484,0.3918074,-1.2216133,0.72477376
2127461407484,0.30331147,-0.7934671,0.039330002
2127481407485,0.7843825,-0.5312725,0.28516096
2127501407484,1.1881915,-0.48357493,0.65340894
2127521407484,1.2349815,-0.32974294,0.30404878
2127541407485,0.90940684,0.27940652,-0.69248194
2127561407484,0.4192136,0.9701436,-1.792825
2127581407484,-0.11188574,1.6778133,-2.6445117
2127601407485,-0.39680943,1.4513015,-2.990925
2127621407484,-0.7413842,0.7742621,-2.82185
2127641407484,-0.5863705,0.3951691,-2.541349
2127661407485,0.059119523,-0.26768896,-1.4335104
2127681407484,0.5948768,-1.0045072,0.10361814
2127701407484,-0.1411568,-0.37185305,-0.5364407
2127721407485,-0.5342502,0.4162954,-1.0859625
2127741407484,0.1362681,0.43648314,0.023934327
2127761407484,0.31296393,0.09789433,0.7831874
2127781407485,-0.45320222,0.28074327,0.06484995
2127801407484,-0.98474646,0.62643975,-0.66029686
2127821407484,-0.89072394,0.42509183,-0.36344752
2127841407485,-0.7854723,0.0329766,0.13388266
2127861407484,-0.8801862,-0.13652027,0.33610576
2127881407484,-1.211952,-0.21534991,0.25885665
2127901407485,-1.328754,-0.22351556,0.2604434
2127921407484,-0.9858801,-0.057863712,0.57292736
2127941407484,-0.6117527,0.10152909,0.7797189
2127961407485,-0.2628849,0.09814607,1.0118613
2127981407484,0.038189765,0.14823353,1.3314787
2128001407484,-0.18203941,0.09521864,1.1286669
2128021407485,-0.6763248,-0.058707934,0.8796556
2128041407484,-1.1337272,0.1608023,0.53535277
2128061407484,-1.1104534,0.20863566,0.8048826
2128081407485,-1.0143236,0.21403633,1.2359412
2128101407484,-0.5479406,0.74357116,1.5322374
2128121407484,-0.07130726,1.1089174,1.6544546
2128141407485,0.22456294,1.0615885,1.5237637
2128161407484,-0.62112653,0.37889048,-0.07626579
2128181407484,0.021939866,0.115972996,0.17082597
2128201407485,1.7341187,0.4837725,1.9305512
2128221407484,1.9672997,0.19296835,1.5710201
2128241407484,1.0766389,-0.09410256,0.091921
2128261407485,0.44627362,-0.37976155,-0.8818257
2128281407484,-0.014122689,-0.5742131,-1.4031433
2128301407484,-0.54749453,-0.47729954,-1.9332201
2128321407484,0.03461362,0.32187843,-1.3107048
2128341407485,1.7318442,0.82950705,0.36171433
2128361407484,2.1648614,1.3805428,0.5872945
2128381407484,1.2665375,1.3462396,-0.44842097
2128401407485,0.11639449,1.1008941,-1.6137378
2128421407484,-0.9167491,0.76246667,-2.3761811
2128441407484,-1.1119999,0.35206178,-2.223461
2128461407485,-0.5256576,-0.23036303,-1.2832048
2128481407484,-0.1198038,-0.66114676,-0.6493539
2128501407484,-0.14532669,-0.30974394,-1.138219
2128521407485,-0.9870224,-0.72675323,-2.0976906
2128541407484,-1.2102473,-0.8783953,-2.2342591
2128561407484,0.05714485,-1.0887175,-1.2963351
2128581407484,0.90172297,-1.1264111,-0.5208016
2128601407484,0.43001255,-0.9766284,-0.1687958
2128621407484,0.4060737,-0.83793455,-0.9357063
2128641414966,0.5920897,-0.58274037,-0.6617105
2128661414966,1.6683824,-1.1455566,0.8350157
2128681414966,1.8697014,-1.5872041,1.6138034
2128701414966,0.9432078,-2.1152794,2.321856
2128721414966,0.06855105,-2.2574673,1.4742457
2128741414966,0.05615496,-1.4217639,0.26917547
2128761414966,0.38846347,-0.39035702,-0.5921984
2128781414966,-0.28776276,0.30765268,-1.3074483
2128801414966,-0.34368518,1.2419757,-0.19371243
2128821414966,0.20543486,1.0947664,0.7590875
2128841414966,1.4179642,0.39421472,1.2625769
2128861414966,1.593214,-0.026729403,1.5817177
2128881414966,0.3054565,-0.77233887,3.4675186
2128901414966,-0.19381633,-0.7906705,3.1560965
2128921414966,-0.24952944,-0.5263025,1.9767332
2128941414966,0.5176749,0.8662707,0.5893938
2128961414966,1.4791805,2.1305335,-1.0167578
2128981414966,1.4988766,2.0365148,-2.4732609
2129001414966,1.1779773,1.4507328,-2.8321958
2129021414966,0.3342717,0.6134774,-2.4875178
2129041414966,0.0344366,-0.11982076,-2.3733628
2129061414966,0.03864996,-0.60130304,-1.7977628
2129081414966,0.8238149,-0.6422516,-0.6644305
2129101414966,2.0780437,-0.6779709,0.03194722
2129121414966,3.064757,-0.5832682,0.5049359
2129141414966,3.1770713,-0.14889126,0.8298377
2129161414966,2.7048852,-0.19837959,1.0497481
2129181414966,2.0607407,-0.5105812,0.8796218
2129201414966,1.3991005,-0.44007337,0.9907135
2129221414966,0.53167397,-0.45936078,1.3066188
2129241414966,-1.1964402,-0.90799737,0.058295082
2129261414966,-4.0357237,-2.6410496,-5.42216
2129281414966,-2.5198722,-1.0255051,-7.229664
2129301414966,3.0430403,3.1613276,4.5896907
2129321414966,-3.4004493,-2.8831928,2.980606
2129341414966,-2.1233323,-2.0106082,0.4243768
2129361414966,1.1525415,0.026465708,2.0553484
2129381414966,1.1944878,-0.7073461,1.6187668
2129401414966,1.1210362,-0.66615963,-0.18807963
2129421414966,1.481757,-0.5537027,0.052710276
2129441414966,1.3995134,-0.6365866,1.482814
2129461414966,-0.4410413,-0.250974,1.6919202
2129481414966,-2.8557184,0.2879311,0.15216261
2129501414966,-0.6390512,0.8250138,-0.9557978
2129521414966,0.63564014,0.9755062,-1.0764424
2129541414966,0.44974577,2.5622218,-2.475025
2129561414966,1.3644128,4.308721,-4.3708754
2129581414966,2.3081734,2.8492222,-5.7700796
2129601414967,1.8953142,1.9920027,-4.605321
2129621414966,3.0237622,1.7165954,-3.3609588
2129641414966,3.3957078,1.0049539,-3.6435988
2129661414966,4.2561035,0.24838397,-3.2549894
2129681414966,5.3368144,-0.6834417,-1.9067701
2129701414966,6.9954624,-0.93811184,-0.89669186
2129721414966,8.852964,-1.4472034,0.5043076
2129741414966,7.9318604,-1.3030728,1.9172223
2129761414966,4.4645567,-2.721719,1.6761446
2129781414966,2.6593673,-4.7050014,2.2092102
2129801414966,1.5026656,-4.8440576,2.2212684
2129821414966,1.1509107,-3.611418,0.15112472
2129841414966,1.9717802,-5.154474,0.6928324
2129861414966,2.0159414,-7.128964,4.4110847
2129881414966,0.046012636,-5.3035383,6.0697985
2129901414966,-1.0890222,-3.686492,5.3934827
2129921414966,-1.3998812,-4.137413,4.7609057
2129941414966,-1.445734,-4.2260613,4.2765856
2129961414966,-1.9126412,-3.4968452,3.9918041
2129981414966,-2.5701528,-2.8927681,3.7606142
2130001414966,-3.458694,-2.374648,3.4777684
2130021414966,-4.0180435,-1.8761641,2.9727485
2130041414966,-4.140462,-1.6329587,2.494836
2130061414966,-4.3409133,-1.222997,3.045236
2130081414966,-2.918697,1.008264,3.3002923
2130101414966,-0.74845153,2.9164062,2.5957322
2130121414966,-2.2822905,1.8153205,2.3405704
2130141414966,-3.099058,3.7019396,2.3218315
2130161414966,-0.5720953,5.6320004,2.300625
2130181414966,0.9848814,3.4739594,1.5346001
2130201414966,-2.7180529,-0.93721044,3.4287317
2130221414966,-5.8794,-3.5377717,4.41636
2130241414966,-4.3180714,-2.1407409,3.013517
2130261414966,-2.2574763,-1.0903628,0.6027641
2130281414966,0.7977261,1.1889949,-2.6478903
2130301414966,4.524936,2.744812,-3.8838918
2130321414966,5.691501,1.3956343,-2.956808
2130341414966,4.105703,-0.67421746,-1.4519967
2130361414966,2.1071043,-0.62419784,0.16094425
2130381414966,-2.8585227,-2.0457847,0.82640696
2130401414966,-5.699889,-2.1426692,0.20573913
2130421414966,-4.259417,0.11216878,-0.90704566
2130441414966,-3.2552671,1.4018157,-2.5793316
2130461414966,-1.6044961,2.1678808,-4.421344
2130481414966,0.5726321,2.4206183,-5.8048706
2130501414966,1.2275373,2.730398,-6.0940895
2130521414966,0.59312445,2.8680584,-4.8174763
2130541414966,-0.68709826,2.733256,-2.4361205
2130561414966,-2.1175117,2.4160244,1.060792
2130581414966,-2.5736148,0.2093123,0.94281936
2130601414966,-1.8127629,0.27886838,-0.92236644
2130621414966,0.041297786,0.68509144,-1.8942966
2130641414966,2.5120068,0.5723279,-0.20898609
2130661421649,2.6838996,0.96366924,1.5367805
2130681421649,1.9809352,-0.83807164,0.9958095
2130701421649,3.5036929,-2.8667076,1.1468791
2130721421649,3.5883114,-5.4063087,4.0406423
2130741421649,3.8192663,-5.1638193,4.778082
2130761421649,4.1322484,-3.3707151,3.7261403
2130781421649,3.4475992,-2.6889493,3.8712318
2130801421649,3.4545467,-2.4347124,2.4739509
2130821421649,3.1519494,-1.3630673,0.38690963
2130841421649,1.3040967,-0.1451776,-1.9447408
2130861421649,-1.5580193,0.011376989,-3.3658504
2130881421649,-3.4235983,0.47493413,-2.8002152
2130901421649,-4.572832,1.373555,-2.3734872
2130921421649,-6.726068,1.5598031,-1.7006394
2130941421649,-5.7308064,3.85571,-1.2502977
2130961421649,-4.153517,5.200524,-1.6749592
2130981421649,-2.369477,5.431301,-1.3131065
2131001421649,-2.0848079,4.3921657,-0.04816671
2131021421649,-1.6431962,3.2452095,-0.094845615
2131041421649,-1.1435564,2.357132,0.41697487
2131061421649,-2.3552427,1.0642197,1.2063769
2131081421649,-1.376133,-1.3466343,1.2947481
2131101421649,-2.0610976,-5.6767883,4.3182387
2131121421649,-0.35223615,-6.1861687,6.5344467
2131141421649,8.773234,-1.7037244,3.3288333
2131161421649,11.403618,1.0560216,0.9758552
2131181421649,4.151172,-0.6952886,3.0222938
2131201421649,-5.65822,0.621318,5.1080403
2131221421649,-0.78493744,-8.818785,3.0704246
2131241421649,7.5411205,-2.866518,0.9699901
2131261421649,4.1985044,1.4380955,-0.39823297
2131281421649,-0.18890509,-2.1851623,-1.5360987
2131301421649,2.6094413,0.32967755,-5.7250786
2131321421649,-3.2489758,3.2266695,-10.694346
2131341421649,-4.182826,3.0085888,-7.023535
2131361421649,-2.2853062,1.037596,-8.01428
2131381421649,-2.1694553,-0.56270874,-6.112985
2131401421649,-3.4622035,-0.89269924,-3.5521412
2131421421649,-5.0643587,-1.6362234,-0.78772014
2131441421649,-4.6750774,-2.790306,1.449045
2131461421649,-3.652391,-2.2834055,3.4921763
2131481421649,-0.9383626,-1.6896386,1.2512887
2131501421649,-0.3874168,-2.6258745,-0.21430877
2131521421649,0.09240917,-2.6119034,0.61517113
2131541421649,1.7542304,-1.2355868,0.18604381
2131561421649,5.3359003,-0.47310987,-0.84660107
2131581421649,2.9232116,0.087427534,2.014678
2131601421649,3.3622785,0.15933646,2.2588887
2131621421649,2.0882895,-0.55515796,6.7218103
2131641421649,-0.75204587,-0.5912507,6.0412455
2131661421649,-4.646361,-1.5579207,6.0959806
2131681421649,-4.9825397,-1.4242713,3.7318475
2131701421649,-0.8626339,-1.3768522,1.2423487
2131721421649,0.8841507,-1.0805109,0.54053146
2131741421649,-0.19989556,-0.8050411,0.92805445
2131761421649,1.7662258,-0.87969774,0.49947277
2131781421649,0.1262988,0.29431394,1.5942788
2131801421649,-0.07130871,-0.25933957,0.88975394
2131821421649,1.2483442,-0.9369757,-1.163885
2131841421649,1.0725098,-0.649365,-1.6051235
2131861421649,-1.5367556,1.6125631,-1.5328109
2131881421649,-1.9316221,0.29610348,0.8898587
2131901421649,-1.4308565,-1.4527065,1.2403046
2131921421649,0.017424952,-2.8607786,-1.5855027
2131941421649,-1.2672446,-3.9419167,-1.5829464
