UPTIMENANO,Mx,My,Mz
2127151583129,20.692232,-17.796139,-11.898788
2127171448083,20.692232,-17.796139,-12.198788
2127191305236,20.692232,-17.796139,-12.198788
2127211162515,20.692232,-17.796139,-12.348789
2127231019667,20.692232,-17.796139,-12.648788
2127250876948,20.692232,-17.796139,-13.248791
2127270734099,20.692232,-17.796139,-14.148788
2127290586905,20.242231,-17.796139,-15.498791
2127310444058,20.242231,-17.346138,-15.198788
2127330301209,20.242231,-16.896137,-15.498791
2127350158361,20.242231,-15.996139,-15.498791
2127370015514,20.242231,-16.74614,-15.498791
2127389877169,20.242231,-16.446138,-15.79879
2127409734449,20.242231,-16.596138,-16.24879
2127429591730,20.242231,-16.596138,-16.54879
2127449449009,20.242231,-16.446138,-16.698792
2127469310995,20.242231,-16.446138,-17.148788
2127489168532,20.242231,-16.446138,-17.74879
2127509025939,19.942232,-16.446138,-18.49879
2127528883347,19.942232,-16.446138,-18.04879
2127548740756,19.942232,-16.446138,-17.74879
2127568598163,19.942232,-16.296139,-17.898788
2127588454224,19.792233,-16.296139,-18.04879
2127608311633,19.642231,-16.296139,-18.04879
2127628168912,18.292233,-16.296139,-18.04879
2127648026320,18.292233,-16.296139,-18.04879
2127667883729,18.44223,-16.296139,-18.04879
2127687743684,18.44223,-16.296139,-18.04879
2127707601092,18.44223,-15.696138,-18.04879
2127727458501,18.592232,-15.396138,-18.04879
2127747316036,18.892231,-15.396138,-18.04879
2127767180506,20.242231,-15.546138,-18.04879
2127787038043,20.992231,-15.546138,-18.04879
2127806895578,20.842232,-15.396138,-18.04879
2127826753114,20.542233,-15.246139,-17.74879
2127846610779,20.392231,-15.246139,-17.74879
2127866468314,20.392231,-15.246139,-17.74879
2127886330776,20.392231,-15.246139,-17.74879
2127906188441,20.392231,-15.246139,-17.74879
2127926046104,20.392231,-15.546138,-17.74879
2127945903768,20.392231,-15.396138,-17.148788
2127965761433,20.392231,-14.796138,-16.84879
2127985621298,20.392231,-14.796138,-16.54879
2128005479090,21.742231,-14.646138,-16.54879
2128025336755,21.892231,-14.646138,-15.648788
2128045194546,21.592232,-14.646138,-15.79879
2128065052210,21.742231,-14.646138,-15.648788
2128084910003,22.342232,-14.796138,-15.498791
2128104769795,22.642231,-14.796138,-15.498791
2128124627715,23.092232,-14.796138,-15.04879
2128144485508,22.942232,-14.796138,-14.898788
2128164343427,23.092232,-14.646138,-14.598789
2128184194728,23.092232,-14.646138,-13.54879
2128204052521,23.092232,-14.646138,-12.348789
2128223910184,23.092232,-14.496139,-12.79879
2128243767848,23.092232,-14.496139,-12.348789
2128263625513,23.092232,-14.496139,-12.348789
2128283473624,23.092232,-14.496139,-12.348789
2128303331160,22.942232,-14.496139,-12.348789
2128323188697,22.792233,-14.496139,-12.348789
2128343046232,22.792233,-14.496139,-12.648788
2128362903640,22.792233,-14.496139,-13.848789
2128382761177,22.792233,-14.496139,-13.848789
2128402611918,22.342232,-14.496139,-15.04879
2128422469326,22.042233,-14.496139,-15.498791
2128442326735,21.742231,-14.496139,-15.198788
2128462184014,21.292233,-14.496139,-16.54879
2128482045039,21.442232,-14.496139,-16.84879
2128501902448,20.992231,-14.496139,-16.84879
2128521759983,20.692232,-14.496139,-16.84879
2128541617391,20.692232,-14.196138,-17.29879
2128561474800,20.692232,-14.196138,-17.898788
2128581330659,20.542233,-13.746139,-18.34879
2128601188067,19.942232,-13.446138,-19.698792
2128621045476,19.642231,-12.096138,-20.448792
2128640902883,19.19223,-11.346138,-21.198792
2128660767773,19.19223,-9.246138,-24.948792
