UPTIMENANO,Ax,Ay,Az
2127171448083,0.19639161,5.5803957,7.062913
2127191305236,-0.29937744,6.006709,7.5227566
2127211162515,-1.0705738,6.5288234,8.241262
2127231019667,-1.1735597,6.552774,8.830438
2127250876948,-0.68737066,6.2749515,8.923843
2127270734099,-0.4263135,6.13604,9.15616
2127290586905,-0.18441652,6.2270513,9.635164
2127310444058,0.2203418,6.480923,9.905801
2127330301209,0.69695073,6.583909,9.539363
2127350158361,0.9053174,6.734795,9.18011
2127370015514,1.1208692,6.4833183,8.899893
2127389877169,1.1615845,6.0186844,9.05557
2127409734449,0.74724615,5.8989334,9.716595
2127429591730,0.45026368,5.7959476,9.683064
2127449449009,0.8286768,5.4534597,8.519085
2127469310995,1.2094849,5.0558863,8.214917
2127489168532,1.4394068,4.8571,9.093889
2127509025939,1.5926881,4.840335,9.316627
2127528883347,1.8920655,4.634363,8.643626
2127548740756,2.6321266,4.258345,7.1251836
2127568598163,3.2332766,4.0523734,5.7719975
2127588454224,3.8224514,3.8895118,4.5553274
2127608311633,3.297942,4.1888895,4.414021
2127628168912,2.7327175,4.8594947,4.4906616
2127648026320,2.5866213,4.758904,5.0750465
2127667883729,1.6046631,5.2355127,7.0078273
2127687743684,1.0059083,5.9085135,8.62207
2127707601092,1.8034497,5.601951,6.4928985
2127727458501,2.3614893,5.388794,6.471343
2127747316036,2.3566992,5.503755,8.411309
2127767180506,2.090852,5.872588,8.705896
2127787038043,2.3662794,5.958809,7.117998
2127806895578,2.5578809,5.8893533,6.430628
2127826753114,2.2058132,6.12646,7.1323686
2127846610779,1.7483643,6.4354177,7.568262
2127866468314,1.5399976,6.6557593,7.5946074
2127886330776,1.331631,6.9240017,7.2449346
2127906188441,1.2094849,7.0221977,7.2593045
2127926046104,1.2693604,6.9144216,7.807764
2127945903768,1.2070899,6.792276,8.087981
2127965761433,1.0394385,6.7491655,8.466394
2127985621298,1.0106983,6.806646,8.849598
2128005479090,0.81191164,6.9934573,8.279583
2128025336755,0.5748047,7.3527102,7.7143583
2128045194546,0.80233157,7.4964113,7.084468
2128065052210,0.728086,7.692803,7.4676714
2128084910003,0.6682105,7.91075,7.8508744
2128104769795,1.1711646,7.6329274,8.418494
2128124627715,1.2525953,7.359895,8.818462
2128144485508,0.94603276,7.082073,8.820857
2128164343427,0.06945557,6.7371902,6.6916847
2128184194728,-0.3520679,6.3875175,7.7718387
2128204052521,-0.37362307,6.1647806,10.485396
2128223910184,-0.68737066,5.7815776,9.869876
2128243767848,-0.6706055,5.6594315,7.9466753
2128263625513,-0.7496411,5.613926,6.7898808
2128283473624,-0.7496411,5.719307,6.0737696
2128303331160,-0.45505372,5.7983427,5.2858086
2128323188697,0.39278322,5.7480474,6.342012
2128343046232,0.8167017,5.5492606,8.899893
2128362903640,1.5783179,5.3384986,9.16574
2128382761177,1.7363893,5.333709,7.5946074
2128402611918,1.5663428,5.4366946,5.9300685
2128422469326,1.2741505,5.712122,4.6774735
2128442326735,0.87897223,5.992339,4.7325587
2128462184014,0.4167334,6.1863356,5.9300685
2128482045039,0.098195806,6.303692,6.70366
2128501902448,0.49097902,5.961204,6.2701616
2128521759983,0.021555176,5.944439,5.0367265
2128541617391,-0.12454102,5.973179,4.88584
2128561474800,-0.086220704,5.5684204,6.5312185
2128581330659,0.25387207,5.242698,7.793394
2128601188067,0.5604346,5.7312818,7.812554
2128621045476,0.8143067,5.0989966,7.2688847
2128640902883,1.5519727,4.806804,7.6209526
2128660767773,1.9974464,4.3541455,9.685459
2128680625182,2.1435425,4.0882983,10.698553
2128700479200,1.9375709,4.6846585,11.302097
2128720336608,1.2382251,4.9073954,10.413546
2128740193889,1.5591577,4.5457473,9.038804
2128760051296,2.3926246,4.0667434,8.006551
2128779907826,2.315984,4.368516,6.816226
2128799765235,3.3290772,5.134922,7.424561
2128819622514,3.558999,4.90979,8.679551
2128839479922,3.4775686,3.3793726,10.047108
2128859337203,2.926714,2.7231374,10.574012
2128879194610,1.3483961,3.7003052,12.727135
2128899044972,1.0346485,3.6763551,12.557088
2128918901997,1.0490186,3.2380664,11.486514
2128938759148,2.4644752,2.9961696,9.908196
2128958616300,4.140989,2.4045997,8.068821
2128978473453,3.9613624,1.8800904,6.5144534
2128998336053,3.3793726,1.6836988,6.1456203
2129018193205,2.2513185,1.7675245,6.7803006
2129038050358,1.4849122,1.3795313,7.077283
2129057907637,1.1304493,0.8909473,7.685618
2129077764246,1.7866846,0.28261232,8.873548
2129097621399,2.9889846,-0.8334668,9.4507475
2129117478550,4.1960745,-1.7292042,9.69504
2129137335830,4.8211746,-1.8106349,9.788445
2129157192983,4.6822634,-1.8250049,10.080638
2129177050134,4.28948,-1.705254,9.896221
2129196909127,3.9637575,-1.5040723,9.946517
2129216766280,3.7362306,-1.3004956,10.468631
2129236623431,3.046465,-0.9532178,10.497371
2129256480583,-1.8250049,-0.97237796,7.4197707
