UPTIMENANO,Gx,Gy,Gz
2127141654553,-0.057667915,-0.5362847,-0.3472986
2127151583130,-0.072048984,-0.60073316,-0.38511547
2127161511579,-0.09015848,-0.56877524,-0.45755345
2127171448083,-0.08802795,-0.47130352,-0.54543775
2127181376660,-0.05873318,-0.40738764,-0.6253326
2127191305237,-0.010796277,-0.36903813,-0.65089893
2127201233811,0.038205888,-0.33814546,-0.602962
2127211162516,0.07868594,-0.3434718,-0.52253455
2127221091093,0.10531755,-0.4292256,-0.43411765
2127231019667,0.10585018,-0.5703731,-0.3606144
2127240948372,0.072294354,-0.7029985,-0.32226488
2127250876949,0.019031128,-0.81911236,-0.30628592
2127260805523,-0.04009105,-0.92297566,-0.29829642
2127270734100,-0.082169,-0.9826305,-0.29190484
2127280662805,-0.10720271,-1.0055336,-0.29190484
2127290586905,-0.11252903,-1.0582641,-0.2796543
2127300515482,-0.084832154,-1.1328326,-0.25408795
2127310444059,-0.03476473,-1.1956832,-0.23651107
2127320372633,0.023824818,-1.2542728,-0.24716371
2127330301210,0.07655541,-1.2867634,-0.2594143
2127340229787,0.115970194,-1.3080688,-0.27539325
2127350158361,0.13514495,-1.3261782,-0.30255747
2127360086938,0.12822072,-1.2856982,-0.33345014
2127370015515,0.10798071,-1.1674538,-0.3654081
2127379948465,0.07708804,-1.0183167,-0.39097443
2127389877170,0.051521692,-0.9011377,-0.4170734
2127399805747,0.049923796,-0.83935237,-0.41281235
2127409734449,0.07655541,-0.7898176,-0.36647335
2127419663026,0.12928599,-0.74614173,-0.28498062
2127429591731,0.1937345,-0.67317116,-0.19656365
2127439520433,0.2416714,-0.5767647,-0.1427678
2127449449010,0.25179142,-0.5048593,-0.12199515
2127459377715,0.22569242,-0.4675751,-0.12678882
2127469310995,0.20119135,-0.48674986,-0.15182255
2127479239700,0.21290925,-0.59753734,-0.18804154
2127489168533,0.27895567,-0.7546639,-0.22958685
2127499097235,0.3966674,-0.91605145,-0.26687112
2127509025940,0.54047805,-1.0758411,-0.29936168
2127518954645,0.6880172,-1.2894266,-0.33238488
2127528883347,0.79773945,-1.5237848,-0.36327755
2127538812052,0.8435458,-1.7331092,-0.3867134
2127548740757,0.82437104,-1.8598757,-0.43145448
2127558669459,0.75512886,-1.92752,-0.47566295
2127568598164,0.6454066,-1.9488252,-0.49483773
2127578526869,0.4712359,-1.9051495,-0.5326546
2127588454224,0.26404196,-1.7655997,-0.6322568
2127598382929,0.109045975,-1.4103341,-0.7062927
2127608311634,0.005715322,-0.8489398,-0.68765056
2127618240208,-0.08856058,-0.15225682,-0.5939073
2127628168913,-0.1663249,0.6328431,-0.46287978
2127638097618,-0.22811022,1.403562,-0.34570068
2127648026320,-0.27977553,2.0427206,-0.27432796
2127657955025,-0.30427662,2.449119,-0.22159737
2127667883730,-0.30907032,2.4778812,-0.14862676
2127677814852,-0.30800506,1.9905227,-0.040502418
2127687743685,-0.36606196,1.2054228,0.082535625
2127697672390,-0.49762213,0.66054,0.16882205
2127707601092,-0.6025507,0.4080723,0.15923467
2127717529797,-0.64249814,0.30207846,0.09105774
2127727458502,-0.623856,0.23869523,0.043653473
2127737387204,-0.5460917,0.1273751,0.0010428966
2127747316037,-0.39908516,-0.06330723,-0.065536134
2127757244742,-0.21372916,-0.22682533,-0.11879936
2127767180506,-0.050743695,-0.2710338,-0.1427678
2127777109339,0.059511177,-0.21244426,-0.17472573
2127787038044,0.10531755,-0.095265165,-0.2237279
2127796966874,0.08880595,0.062926605,-0.2663385
2127806895579,0.058978543,0.20620467,-0.3078838
2127816824412,0.051521692,0.35960275,-0.340907
2127826753114,0.063239604,0.5636009,-0.34143963
2127836681947,0.07762068,0.7138032,-0.32173225
2127846610780,0.08614279,0.72924954,-0.32333013
2127856539482,0.087208055,0.65521365,-0.34037438
2127866468315,0.096262805,0.5795799,-0.3472986
2127876397020,0.12502494,0.5902325,-0.33984172
2127886330776,0.18627764,0.67492104,-0.3196017
2127896259609,0.2549872,0.76280534,-0.29616588
2127906188442,0.3007936,0.8347107,-0.2663385
2127916117272,0.3359473,0.8405697,-0.25621846
2127926046105,0.38122106,0.7979591,-0.2647406
2127935974938,0.4169074,0.757479,-0.26687112
2127945903768,0.43235373,0.6962263,-0.29030696
2127955832601,0.42915794,0.59129775,-0.3371786
2127965761434,0.42436427,0.41872492,-0.377126
2127975692466,0.45046324,0.25201103,-0.40322497
2127985621299,0.5170422,0.18330148,-0.4463682
2127995550132,0.5692402,0.24455419,-0.48684824
2128005479090,0.56710964,0.28130582,-0.45116186
2128015407923,0.5399454,0.24988051,-0.38405022
2128025336756,0.48188853,0.22697732,-0.32652593
2128035265714,0.3737642,0.18649727,-0.30042696
2128045194547,0.25338933,0.18916044,-0.32386276
2128055123380,0.14047126,0.25041315,-0.33771122
2128065052210,0.0664354,0.24615209,-0.34623334
2128074981171,0.0318143,0.22591206,-0.3361133
2128084910004,9.216322E-4,0.29675215,-0.31427538
2128094840835,9.216322E-4,0.40860492,-0.32386276
2128104769796,0.04566274,0.56945986,-0.31374276
2128114698757,0.11916599,0.77239275,-0.28711113
2128124627715,0.17935343,0.9369761,-0.27059954
2128134556676,0.20278925,0.9960983,-0.29989433
2128144485509,0.18148395,0.932715,-0.3472986
2128154414467,0.09573017,0.93484557,-0.3196017
2128164343428,-0.1119964,0.90501815,-0.3259933
2128174272389,-0.28776503,0.8118075,-0.33664593
2128184194728,-0.30480924,0.6014178,-0.30894908
2128194123561,-0.21372916,0.2131289,-0.30628592
2128204052522,-0.008133115,-0.06224197,-0.2833827
2128213981352,0.28801042,-0.24014114,-0.21094473
2128223910185,0.5213033,-0.43188873,-0.13371305
2128233839018,0.64434135,-0.5591878,-0.056481384
2128243767848,0.7045288,-0.6875522,-0.0117402775
2128253696681,0.7087898,-0.7802302,0.021815555
2128263625514,0.6747014,-0.81857973,0.058034543
2128273544920,0.61291605,-0.87983245,0.07987247
2128283473625,0.53674966,-0.88622403,0.0953188
2128293402458,0.41051582,-0.73975015,0.14591888
2128303331160,0.21450715,-0.5181752,0.17308311
2128313259865,-0.012926806,-0.4324214,0.16349573
2128323188698,-0.22811022,-0.48142353,0.10011249
2128333117400,-0.29628715,-0.60819,0.09425353
2128343046233,-0.20414178,-0.8478745,0.06442613
2128352974938,-0.06619003,-1.0598621,-0.0069465865
2128362903640,0.074424885,-1.1850307,-0.09855933
2128372832473,0.19266923,-1.2414896,-0.17738889
2128382761178,0.23527981,-1.2697191,-0.23970686
2128392683214,0.2203661,-1.2787739,-0.29936168
2128402611919,0.17349447,-1.2175212,-0.34836385
2128412540624,0.085077524,-1.0992769,-0.3803218
2128422469326,-0.027307875,-0.96132517,-0.41121447
2128432398031,-0.13436696,-0.79194814,-0.43624818
2128442326736,-0.21958812,-0.6449416,-0.45595556
2128452255310,-0.26859027,-0.5810258,-0.4644777
2128462184015,-0.26379657,-0.61831003,-0.41121447
2128472112720,-0.21532705,-0.73602176,-0.42612815
2128482045039,-0.174847,-0.95120513,-0.4532924
2128491973744,-0.17537963,-1.1275064,-0.55182934
2128501902449,-0.19828282,-1.2276412,-0.6620842
2128511831279,-0.2590029,-1.2787739,-0.74570745
2128521759984,-0.37724724,-1.2766434,-0.7984381
2128531688689,-0.5381022,-1.2132602,-0.7957749
