UPTIMENANO,Ax,Ay,Az
2127141407484,-0.7691029,0.63289875,-0.31903648
2127161407484,-0.43347314,0.62629807,-1.1211047
2127181407485,-0.42803425,0.78148305,-1.126767
2127201407484,-1.0557498,1.2455255,-0.5241461
2127221407484,-1.4919784,1.4993433,0.1419853
2127241407485,-1.3379654,1.3455423,0.49048263
2127261407484,-1.0682977,1.1311741,0.66882175
2127281407484,-0.94723135,1.1231365,1.0396509
2127301407485,-0.7622157,1.3173718,1.4130212
2127321407484,-0.4879057,1.4927969,1.3503484
2127341407484,-0.3450931,1.6071066,1.0190315
2127361407485,-0.3188282,1.5024973,0.74781984
2127381407484,-0.36038852,1.0986407,0.76052785
2127401407484,-0.69427216,0.80843544,1.2458441
2127421407485,-1.1352997,0.67281115,1.5378399
2127441407484,-1.120518,0.38935572,0.8740653
2127461407484,-0.80775326,-0.03281123,0.2638049
2127481407485,-0.5810674,-0.35166633,0.7193851
2127501407484,-0.4915864,-0.49400145,1.2597191
2127521407484,-0.38403305,-0.72418123,1.0268571
2127541407485,2.75359E-4,-1.1763031,-0.03051139
2127561407484,0.42477715,-1.5919129,-1.2714232
2127581407484,0.79252535,-1.892781,-2.3686075
2127601407485,0.48332226,-1.832426,-2.7600691
2127621407484,-0.10907813,-1.3275846,-2.7087986
2127641407484,-0.2505881,-1.1703371,-2.3507361
2127661407485,-0.6354979,-0.85782087,-0.99518365
2127681407484,-0.9951325,-0.20363127,0.5847182
2127701407484,-0.461618,-0.1373673,-0.4626096
2127721407485,0.22474483,-0.28483984,-1.2273532
2127741407484,0.42049488,-0.17376532,0.05146919
2127761407484,0.22638011,0.17741963,0.79886574
2127781407485,0.32469743,0.34793556,-0.24885124
2127801407484,0.55613065,0.29836842,-1.1831479
2127821407484,0.42243916,0.43036047,-0.8616967
2127841407485,0.11829284,0.6994122,-0.36442843
2127861407484,-0.009751016,0.92006916,-0.24435674
2127881407484,-0.086901955,1.1486127,-0.5053187
2127901407485,-0.085995674,1.2438298,-0.5734714
2127921407484,0.0906733,1.130128,-0.13469489
2127941407484,0.21044227,0.9441329,0.23840755
2127961407485,0.20475619,0.810426,0.63552266
2127981407484,0.24915893,0.77281624,1.0662746
2128001407484,0.17349462,0.845596,0.7556195
2128021407485,0.03556128,1.0819571,0.2505196
2128041407484,0.24498227,1.1986222,-0.31794015
2128061407484,0.3010974,1.3504992,-0.09981877
2128081407485,0.31691638,1.5545974,0.2915574
2128101407484,0.81540513,1.359723,0.8289493
2128121407484,1.1039113,1.071525,1.2669713
2128141407485,1.0366323,0.7644345,1.3565722
2128161407484,0.42383412,0.40649417,-0.43623367
2128181407484,0.10272015,0.08410379,0.15964875
2128201407485,0.12828684,-0.116090395,2.6340644
2128221407484,-0.13764197,-0.49667993,2.471836
2128241407484,-0.22181144,-0.7349203,0.7662558
2128261407485,-0.39802027,-0.8938081,-0.40457693
2128281407484,-0.5393585,-0.89877725,-1.0954556
2128301407484,-0.4066281,-0.88515776,-1.8210036
2128321407484,0.30304372,-0.9375861,-0.9229562
