UPTIMENANO,Ax,Ay,Az
2761215682856,-0.31308624,0.36066216,8.5460205
2761235540008,-0.5191448,0.0022430262,9.420117
2761255397289,-0.05785379,-0.20972715,10.12736
2761275268112,0.12131338,-0.19049802,10.276247
2761295125648,0.10173555,-0.094247095,9.895996
2761314983185,0.02015529,-0.059187192,9.511862
2761334840720,-0.05849788,-0.095838234,9.570222
2761354701329,-0.30506846,-0.09416391,9.855184
2761374558994,-0.13853465,-0.11077726,9.69234
2761394416529,-0.007473342,-0.0634053,9.61275
2761414274193,0.042698056,-0.08508313,9.9059925
2761434131730,0.033497952,-0.1363343,10.064233
2761453989393,-0.013041219,-0.1723353,10.271419
2761473852439,-0.07336005,-0.08216774,10.078741
2761493710104,-0.10263143,0.12091061,9.468768
2761513567895,-0.046550944,0.19587822,9.192993
2761533425559,-0.017343663,-0.41247973,9.790561
2761553283224,0.73467994,-0.37307268,10.325293
2761573134645,0.0066225473,0.733821,9.7061615
2761592992309,-0.38287142,-0.3208021,9.545891
2761612849974,0.5585705,-0.20859554,10.268043
2761632707637,0.7742708,0.25480756,10.746513
2761652565301,0.69229674,-0.77836716,10.652726
2761672423094,3.3075416,0.4631134,10.042156
2761692284408,5.510742,0.39396203,9.416444
2761712142072,3.201607,-0.40004134,10.329109
2761731999865,1.9227345,-0.30838326,10.623246
2761751857528,1.2519513,-0.23820816,10.232904
2761771724469,-0.710637,-0.1382816,9.477472
2761791582390,-3.967323,-0.046830304,9.650854
2761811440181,-3.3466525,0.6278307,8.866215
2761831298101,-0.6793177,0.69549304,8.07067
2761851156022,1.1137193,0.27565828,8.943098
2761871025290,1.3113217,-0.62944293,10.628542
2761890883466,1.2775615,-0.5918051,9.957725
2761910741643,0.5050775,-0.79622114,10.931325
2761930599818,-0.8146513,-1.3770813,12.904553
2761950457866,0.15041897,-0.43608588,10.028427
2761970316043,1.088006,-0.16851452,9.975191
2761990180368,1.0325869,-0.14662357,9.818056
2762010045905,0.2840502,-0.33270967,9.932295
2762029904210,-0.7744675,-1.0131112,10.787959
2762049762513,0.42329326,-0.84993184,11.512858
2762069620099,0.65857506,-0.44837144,9.28356
2762089478404,0.72310823,0.86399883,8.053998
2762109336707,0.45188397,0.99241745,8.01461
2762129195011,0.2267628,0.5607008,8.589247
2762149053316,-0.53375894,-1.2684736,11.958159
2762168904128,0.15958998,-1.2201738,11.04838
2762188762304,0.8940079,-0.32683644,9.678148
2762208620481,0.43325493,0.35616094,9.44859
2762228478528,0.4746905,0.2890062,8.923472
2762248336704,0.876139,-0.23234114,9.475603
2762268194881,1.0976279,-0.5366584,9.611102
2762288053184,0.84204936,-0.44994074,9.354705
2762307911360,1.0492268,-0.21051803,8.949606
2762327769537,1.7998194,-0.015483412,9.197427
2762347627712,2.3259141,-0.3662035,9.320899
2762367485669,1.3281702,-1.3899609,8.830256
2762387343846,-1.0888139,-3.43667,10.214691
2762407202021,1.2548555,-0.2471686,10.261221
2762427060197,1.5162903,1.1010582,6.5516973
2762446918374,-0.09374015,1.4266921,5.299574
2762466775860,-0.049055655,1.3401817,6.6203904
2762486634036,1.0267118,-0.3645782,7.309779
2762506492213,1.7255263,-1.3208984,7.2501125
2762526350388,1.7815044,-1.0090337,6.7743306
2762546208436,0.81104696,-1.6148771,8.281543
2762566066613,-0.5804954,-2.9725187,11.095292
2762585926848,-0.70298785,-2.891457,12.619969
2762605785152,0.5291888,-1.8314817,8.371757
2762625643329,0.2525884,-1.4863642,10.399835
2762645501632,0.17578575,-1.567567,12.093122
2762665360788,0.68598807,-0.43058354,11.70281
2762685219093,0.74731535,-0.40492666,10.377952
2762705077396,0.58288145,-0.69833666,9.911806
2762724935828,0.048844006,-0.87581897,9.976311
2762744794133,0.10951334,-1.2066879,12.180581
2762764652564,-0.9354516,-0.017957147,12.097583
2762784500238,-2.2201009,1.3082066,9.002992
2762804358159,-0.6746688,-1.5515429,5.9904685
2762824216206,4.1374984,-7.5531206,9.452828
2762844074126,4.632462,-5.282616,13.901003
2762863932175,2.6930985,-1.537387,8.467348
2762883794123,2.8791933,-0.7452559,5.844009
2762903652299,3.559711,1.256882,8.855958
2762923510348,2.1329067,3.5474977,6.424083
2762943368523,1.4940251,2.7848804,6.443334
2762963226059,3.9686165,0.83948654,6.6558523
2762983084236,3.7541664,0.34024233,6.7439094
2763002942283,5.2625585,-1.2851979,7.1211276
2763022800459,5.6921897,-4.762029,8.599311
2763042658508,4.6643763,-4.354536,10.162314
2763062516555,1.2836751,-6.725389,11.557535
2763082372299,-1.4339246,-7.662061,9.685737
2763102230348,-1.8069803,-8.430945,8.883429
2763122088395,-4.0443325,-6.3231564,13.030513
2763141946443,-4.6727095,-3.8594995,11.958689
2763161804619,-4.178695,-1.7138307,11.692092
2763181660121,-4.7212896,0.8642621,17.67431
2763201518041,-4.7068114,1.9127212,16.68124
